"Facility";"Telephone";"ID";"Status";"Official";"Daytime Hours";"Nighttime Hours";"Daytime Ages";"Nighttime Ages";"Mailing Address";"Address";"City";"State";"Zip";"Licensee";"Mailing Address State";"Mailing Address City";"Mailing Address Zip";"DetailsURL";"Type of Care";"Star Rating";"Rating Expiration";"Accr Code";"Accreditations";"Accr Exp Date";"County"
"AUTAUGA ACADEMY PRESCHOOL";"(334)365-4343";1835;"Licensed";"DAWN WENDLAND - Director";"07:00 AM - 06:00 PM";"N/A - N/A";"18 MOS Through 6 YRS";"N/A";"497 GOLSON ROAD";"497 GOLSON ROAD";"PRATTVILLE";"AL";36067;"AUTAUGA CO PRIVATE SCHOOL FOUNDATION";"AL";"PRATTVILLE";36067;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1835";"Day Care Centers";;;;;;"Autauga"
"BOONES CHAPEL BAPTIST CHURCH";"(334)365-4191";1837;"Exempt";"KELLI STIERINGER - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"2301 COUNTY ROAD 66";"2301 COUNTY ROAD 66";"PRATTVILLE";"AL";36067;"BOONES CHAPEL BAPTIST CHURCH";"AL";"PRATTVILLE";36067;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1837";"Day Care Centers";;;;;;"Autauga"
"CAMELLIA BAPTIST CHURCH";"(334)365-5693";1836;"Exempt";"JESSICA SENN - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"201 WOODVALE ROAD";"201 WOODVALE ROAD";"PRATTVILLE";"AL";36067;"CAMELLIA BAPTIST CHURCH";"AL";"PRATTVILLE";36067;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1836";"Day Care Centers";;;;;;"Autauga"
"DIVERSITY MISSIONS FAITH CENTER";"(334)730-1104";1845;"Exempt";"WENDY COLEMAN - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"720 DOSTER ROAD";"720 DOSTER ROAD";"PRATTVILLE";"AL";36067;"DIVERSITY MISSIONS FAITH CENTER";"AL";"PRATTVILLE";36067;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1845";"Day Care Centers";;;;;;"Autauga"
"EAST MEMORIAL BAPTIST CHURCH";"(334)358-4110";1841;"Exempt";"LISA MONTGOMERY - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"1320 OLD RIDGE ROAD";"1320 OLD RIDGE ROAD";"PRATTVILLE";"AL";36066;"EAST MEMORIAL BAPTIST CHURCH";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1841";"Day Care Centers";;;;;;"Autauga"
"FOCUS POINT EDUCATION ACADEMY-PRATTVILLE";"(334)549-9298";1604;"Licensed";"SHIRLEY DUKES - Director";"07:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 15 YRS";"N/A";"750 LODER STREET";"750 LODER STREET";"PRATTVILLE";"AL";36066;"FOCUS POINT EDUCATION ACADEMY";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1604";"Day Care Centers";1;"Daytime Hours: 07:00 AM - 06:00 PM";;;;"Autauga"
"FOUR SISTERS MISSIONARY CHURCH";"(334)285-2476";55;"Exempt";"JANE APLIN - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"3080 MAIN STREET";"3080 MAIN STREET";"MILLBROOK";"AL";36054;"FOUR SISTERS MISSIONARY CHURCH";"AL";"MILLBROOK";36054;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=55";"Day Care Centers";;;;;;"Autauga"
"GLYNWOOD BAPTIST CHURCH";"(334)491-9452";1844;"Exempt";"AMY B. ALEXANDER - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"376 NO. MCQUEEN SMITH RD";"376 NO. MCQUEEN SMITH RD";"PRATTVILLE";"AL";36066;"GLYNWOOD BAPTIST CHURCH";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1844";"Day Care Centers";;;;;;"Autauga"
"JOURNEY CHURCH";"(334)568-1259";1843;"Exempt";"LEANN AMASON - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"435 SHEILA BLVD";"435 SHEILA BLVD";"PRATTVILLE";"AL";36066;"JOURNEY CHURCH";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1843";"Day Care Centers";;;;;;"Autauga"
"KINDER CARE LEARNING CTR #753";"(334)365-0470";875;"Licensed";"CHARLOTTE HARDY - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"701 SHELIA BLVD";"701 SHEILA BLVD";"PRATTVILLE";"AL";36067;"KINDERCARE LEARNING CENTER, LLC.";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=875";"Day Care Centers";;;;;;"Autauga"
"LITTLE LIGHTS CREATIVE LEARNING CENTER";"(334)356-0422";1634;"Licensed";"KRISTIE SKIPPER - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 14 YRS";"N/A";"640 MALWEST DRIVE";"640 MALWEST DRIVE";"PRATTVILLE";"AL";36066;"LITTLE LIGHTS CREATIVE LEARNING CTR. LLC";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1634";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 06:00 PM";;;;"Autauga"
"NEW BEEGINNINGS";"(334)358-3331";242;"Licensed";"REGINA HOLLON - Director";"06:30 AM - 05:45 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"2341 HWY 31";"2341 HWY 31";"DEATSVILLE";"AL";36022;"NEW BEEGINNINGS CHILD CARE CENTER, LLC.";"AL";"DEATSVILLE";36022;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=242";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:45 PM";;;;"Autauga"
"PEACHTREE ACADEMY";"(334)365-7895";1793;"Licensed";"HOLLEE BOWMAN HONAKER - Director";"05:45 AM - 05:45 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"821 PEACH TREE ST.";"821 PEACH TREE ST.";"PRATTVILLE";"AL";36066;"HOLLEE BOWMAN HONAKER";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1793";"Day Care Centers";1;"Daytime Hours: 05:45 AM - 05:45 PM";;;;"Autauga"
"PRATTVILLE COMMUNITY CHURCH";"(334)365-4477";1842;"Exempt";"RICKY SMITH - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"266 W. FIFTH STREET";"266 W. FIFTH STREET";"PRATTVILLE";"AL";36067;"PRATTVILLE COMMUNITY CHURCH";"AL";"PRATTVILLE";36067;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1842";"Day Care Centers";;;;;;"Autauga"
"PRATTVILLE HEAD START/EARLY HS CENTER";"(334)310-1700";988;"Licensed";"DORIS TOLBERT - Director";"07:00 AM - 05:00 PM";"N/A - N/A";"6 WKS Through 5 YRS";"N/A";"286 QUEEN ANN ROAD";"869 JENSEN ROAD";"PRATTVILLE";"AL";36067;"FAMILY GUIDANCE CENTER OF ALABAMA, INC.";"AL";"WETUMPKA";36092;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=988";"Day Care Centers";;;;;;"Autauga"
"PRATTVILLE YMCA PRESCHOOL & C.D.C.";"(334)358-1446";1473;"Licensed";"SANDRA HANNA - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"2 1/2 YRS Through 5 YRS";"N/A";"972 MCQUEEN SMITH ROAD S";"972 MCQUEEN SMITH ROAD S";"PRATTVILLE";"AL";36066;"YMCA OF PRATTVILLE, AL INC.";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1473";"Day Care Centers";;;;;;"Autauga"
"PURPOSE CHILDCARE AND ACADEMY, LLC.";"(334)312-0113";1798;"Licensed";"DAVINA TOLVER - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"1345 S MEMORIAL DR.";"1345 S MEMORIAL DR.";"PRATTVILE";"AL";36067;"PURPOSE CHILDCARE AND ACADEMY, LLC";"AL";"PRATTVILE";36067;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1798";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 06:00 PM";;;;"Autauga"
"SPIRIT WALK MINISTRIES";"(334)568-2002";1850;"Exempt";"AMY STINSON - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"1908 COUNTY ROAD 107";"1908 COUNTY ROAD 107";"PRATTVILLE";"AL";36066;"SPIRIT WALK MINISTRIES";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1850";"Day Care Centers";;;;;;"Autauga"
"THE LEARNING TREE - PRATTVILLE LOCATION";"(334)365-1451";1662;"Licensed";"TAMMY MCLEMORE - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"1816 GLYNWOOD DR";"1816 GLYNWOOD DR";"PRATTVILLE";"AL";36066;"ANGEL JANE, LLC DBA THE LEARNING TREE";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1662";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 06:00 PM";;;;"Autauga"
"UNITED CHRISTIAN LEARNING ACADEMY";"(334)358-4954";1524;"Licensed";"THAYLEE DICKERSON - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 13 YRS";"N/A";"PO BOX 681892";"1852 HWY 14 EAST";"PRATTVILLE";"AL";36066;"UNITED CHRISTIAN";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1524";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Autauga"
"COUNTRY PUMPKIN DAY CARE";"(334)568-5092";400;"Licensed";"LAURIE HAYNES - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"3 WKS Through 12 YRS";"N/A";"2312 COUNTY ROAD 59";"2312 COUNTY ROAD 59";"PRATTVILLE";"AL";36067;"LAURIE HAYNES";"AL";"PRATTVILLE";36067;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=400";"Family Child Care Homes";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Autauga"
"DEIDRA'S HOME DAY CARE";"(205)344-3620";656;"Licensed";"DEIDRA SURLES - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 5 YRS";"N/A";"1848 SEASONS DR";"1848 SEASONS DR";"PRATTVILLE";"AL";36066;"DEIDRA SURLES";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=656";"Family Child Care Homes";;;;;;"Autauga"
"ELAINE GRIFFITHS";"(334)462-1950";248;"Licensed";"ELAINE GRIFFITHS - Director";"07:00 AM - 05:00 PM";"N/A - N/A";"6 WKS Through 5 YRS";"N/A";"102 GRASMERE COURT";"102 GRASMERE COURT";"PRATTVILLE";"AL";36066;"ELAINE GRIFFITHS";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=248";"Family Child Care Homes";;;;;;"Autauga"
"GAYLE WALKER";"(334)365-9523";731;"Licensed";"GAYLE WALKER - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 10 YRS";"N/A";"207 AZALEA DRIVE";"207 AZALEA DRIVE";"PRATTVILLE";"AL";36067;"GAYLE WALKER";"AL";"PRATTVILLE";36067;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=731";"Family Child Care Homes";;;;;;"Autauga"
"GIGGLES N GRINS";"(334)651-1561";382;"Licensed";"BEVERLY HILL - Director";"07:00 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 6 YRS";"N/A";"1229 CONESTOGA WAGON TRAI";"1229 CONESTOGA WAGON TRAI";"PRATTVILLE";"AL";36067;"BEVERLY HILL";"AL";"PRATTVILLE";36067;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=382";"Family Child Care Homes";;;;;;"Autauga"
"JENE'S BRIGHT START";"(334)399-4274";1428;"Licensed";"JENE M GOLSON - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 8 YRS";"N/A";"701 CO RD 15 N";"701 CO RD 15 N";"AUTAUGAVILLE";"AL";36003;"JENE M GOLSON";"AL";"AUTAUGAVILLE";36003;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1428";"Family Child Care Homes";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Autauga"
"LITTLE LEARNERS DAYCARE HOME";"(334)207-5912";661;"Licensed";"SHELBY GRIFFITHS - Director";"07:00 AM - 05:00 PM";"N/A - N/A";"6 WKS Through 5 YRS";"N/A";"111 OLD PRESTWICK CT";"111 OLD PRESTWICK CT";"PRATTVILLE";"AL";36066;"SHELBY SEAMON GRIFFITHS";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=661";"Family Child Care Homes";;;;;;"Autauga"
"SHARON L WILLIAMS";"(334)356-4797";167;"Licensed";"SHARON L WILLIAMS - Director";"07:00 AM - 05:00 PM";"N/A - N/A";"6 WKS Through 5 YRS";"N/A";"2009 REGENT ROAD";"2009 REGENT ROAD";"PRATTVILLE";"AL";36066;"SHARON WILLIAMS";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=167";"Family Child Care Homes";;;;;;"Autauga"
"TODDLER TOWN";"(334)730-1265";425;"Licensed";"CHARLEE SEGREST - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"0 WKS Through 5 YRS";"N/A";"1032 WRIGHT ST";"1032 WRIGHT ST";"PRATTVILLE";"AL";36066;"CHARLEE SEGREST";"AL";"PRATTVILLE";36066;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=425";"Family Child Care Homes";;;;;;"Autauga"
