"id";"provider_id";"compliance type";"inspection/investigation date";"findings";"violation date";"compliance date";"action taken";"statute/regulation";"section"
18072;10006849;"INSPECTION ANNOUNCED";"12/23/2020";"IN-COMPLIANCE";;"12/23/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17950;10006849;"INVESTIGATION/PRIORITY 2";"09/24/2020";"IN-COMPLIANCE";;"09/24/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16440;10006849;"INSPECTION ANNOUNCED";"10/01/2019";"IN-COMPLIANCE";;"10/01/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
15938;10006849;"INSPECTION UNANNOUNCED";"06/26/2019";"IN-COMPLIANCE";;"06/26/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
14677;10006849;"INSPECTION ANNOUNCED";"01/08/2019";"IN-COMPLIANCE";;"01/08/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
14440;10006849;"INVESTIGATION/PRIORITY 2";"11/28/2018";"IN-COMPLIANCE";;"11/28/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
12903;10006849;"INSPECTION UNANNOUNCED";"06/05/2018";"IN-COMPLIANCE";;"06/05/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
18405;10000163;"INSPECTION ANNOUNCED";"03/16/2021";"IN-COMPLIANCE";;"03/16/2021";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17903;10000163;"INSPECTION ANNOUNCED";"10/09/2020";"IN-COMPLIANCE";;"10/09/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16684;10000163;"INSPECTION ANNOUNCED";"10/02/2019";"NON-COMPLIANCE";"10/02/2019";"11/12/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.230 - RECORDS"
15030;10000163;"INSPECTION UNANNOUNCED";"03/12/2019";"IN-COMPLIANCE";;"03/12/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
13909;10000163;"INSPECTION ANNOUNCED";"09/12/2018";"IN-COMPLIANCE";;"09/12/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
