"FacilityID";"Name";"State";"County";"City";"Zip";"Address";"Phone";"Fax";"Licensee";"License Number";"Facility Type";"FacilityUrl"
"CDC17533";"BRIGHT HORIZONS AT DOWNTOWN PHOENIX";"AZ";"Maricopa";"PHOENIX";85003;"150 NORTH 4TH AVENUE";"(602) 334-4775";"(602) 253-6694";"BRIGHT HORIZONS CHILDREN'S CENTERS L.L.C.";"CDC-17533";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18142";"GREATER PHOENIX URBAN LEAGUE HEAD START - MARCOS D";"AZ";"Maricopa";"PHOENIX";85003;"301 WEST PIMA STREET";"(602) 276-9305";"(602) 268-1544";"GREATER PHOENIX URBAN LEAGUE, INC.";"CDC-18142";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18662";"LINCOLN FAMILY Y.M.C.A.";"AZ";"Maricopa";"PHOENIX";85003;"350 NORTH 1ST AVENUE";"(623) 486-3134";"( ) -";"VALLEY OF THE SUN YOUNG MEN'S CHRISTIAN ASSOCIATIO";"CDC-18662";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18614";"O.E.S.D.#8 - ENCANTO ELEMENTARY SCHOOL";"AZ";"Maricopa";"PHOENIX";85003;"1420 WEST OSBORN ROAD";"(602) 707-2300";"(602) 707-2340";"OSBORN ELEMENTARY SCHOOL DISTRICT #8";"CDC-18614";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC6326";"P.E.S.D.#1 - KENILWORTH ELEMENTARY SCHOOL";"AZ";"Maricopa";"PHOENIX";85003;"1210 NORTH 5TH AVENUE";"(602) 257-3889";"( ) -";"PHOENIX ELEMENTARY SCHOOL DISTRICT #1";"CDC-6326";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC6324";"P.E.S.D.#1 - LOWELL ELEMENTARY SCHOOL";"AZ";"Maricopa";"PHOENIX";85003;"1121 SOUTH 3RD AVENUE";"(602) 523-8896";"(602) 257-6396";"PHOENIX ELEMENTARY SCHOOL DISTRICT #1";"CDC-6324";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18750";"A NEW LEAF'S PHOENIX DAY";"AZ";"Maricopa";"PHOENIX";85004;"115 EAST TONTO STREET";"(602) 252-4911";"(602) 252-0979";"A NEW LEAF, INC.";"CDC-18750";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC10099";"CHICANOS POR LA CAUSA - PHOENIX EARLY HEAD START";"AZ";"Maricopa";"PHOENIX";85004;"1402 SOUTH CENTRAL AVENUE";"(602) 716-0156";"(602) 716-0164";"CHICANOS POR LA CAUSA, INC.";"CDC-10099";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC16506";"FRIENDLY HOUSE EARLY CHILDHOOD DEVELOPMENT CENTER";"AZ";"Maricopa";"PHOENIX";85004;"201 EAST DURANGO STREET";"(602) 258-4353";"(602) 443-1066";"FRIENDLY HOUSE, INC.";"CDC-16506";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC9157";"KHALSA MONTESSORI";"AZ";"Maricopa";"PHOENIX";85004;"2536 NORTH 3RD STREET";"(602) 252-3759";"(602) 252-5224";"KHALSA MONTESSORI ELEMENTARY SCHOOL";"CDC-9157";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
