"rundate";"subtype";"ZIP";"LEGALNAME";"ADDRESS";"LICENSE";"LICENSE_EFFECTIVE";"LICENSE_EXPIRATION";"CITY";"COUNTY";"TELEPHONE";"FAXPHONE";"CAPACITY";"FACID";"N_LON";"N_LAT";"N_MCODE";"N_LCODE";"N_BLOCK";"FACTYPE";"state";"INFANT";"ONES";"TWOS";"THREE_TO_FIVE";"SCHOOL_AGE";"EMAIL"
12/1/2020;"CHILD CARE CENTER";"85202";"1ST ACADEMY PRESCHOOL & CHILDCARE";"1133 SOUTH DOBSON ROAD - SUITE 101";"CDC-17859";4/1/2020;3/31/2023;"MESA";"MARICOPA";"(480)292-9880";"(480)292-9812";169;"CDC17859";;;;;;"C11";"AZ";"N/A";"10";"LICENSED";"LICENSED";"LICENSED";"bunnie@1stacademy.com"
12/1/2020;"CHILD CARE CENTER";"85042";"1ST STEP TO GREATNESS, L.L.C.";"6807 SOUTH CENTRAL AVENUE";"CDC-18085";12/1/2020;11/30/2023;"PHOENIX";"MARICOPA";"(602)601-6192";"(   )   -";103;"CDC18085";;;;;;"C11";"AZ";"5";"16";"LICENSED";"LICENSED";"LICENSED";"1ststep2greatness@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85201";"5TH PLACE COMMUNITY CHILDCARE";"306 WEST 5TH PLACE";"CDC-14548";10/1/2020;9/30/2023;"MESA";"MARICOPA";"(480)833-7600";"(480)834-4573";49;"CDC14548";-111.838037;33.425272;;;;"C11";"AZ";"N/A";"8";"LICENSED";"LICENSED";"LICENSED";"crachellewis@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85283";"A B C PRESCHOOL";"6311 SOUTH RURAL ROAD";"CDC-11150";2/1/2019;1/31/2022;"TEMPE";"MARICOPA";"(480)839-0111";"(480)839-6247";184;"CDC11150";-111.928433;33.364766;;;;"C11";"AZ";"20";"15";"LICENSED";"LICENSED";"LICENSED";"abcpreschool123@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85297";"A CHILD'S PLACE AT THE RANCHES,  L.L.C.";"3636 SOUTH ATHERTON BOULEVARD";"CDC-11818";3/1/2020;2/28/2023;"GILBERT";"MARICOPA";"(480)907-7590";"(480)907-7593";189;"CDC11818";-111.716832;33.284551;;;;"C11";"AZ";"11";"22";"LICENSED";"LICENSED";"LICENSED";"kristina@achildsplaceattheranches.com"
12/1/2020;"CHILD CARE CENTER";"85746";"A DREAM COME TRUE PRESCHOOL AND LEARNING CENTER";"6163 SOUTH MIDVALE PARK";"CDC-12527";8/1/2019;7/31/2022;"TUCSON";"PIMA";"(520)294-3738";"(520)294-3723";46;"CDC12527";-110.998672;32.138808;;;;"C11";"AZ";"8";"12";"LICENSED";"LICENSED";"LICENSED";"armidafierroadct@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85338";"A GREAT BEGINNING INC.";"13380 WEST VAN BUREN STREET";"CDC-17384";8/1/2018;7/31/2021;"GOODYEAR";"MARICOPA";"(623)932-9940";"(623)882-1172";105;"CDC17384";;;;;;"C11";"AZ";"N/A";"34";"LICENSED";"LICENSED";"LICENSED";"agbschool6@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85009";"A KIDDIE'S KINGDOM";"2318 NORTH 35TH AVENUE";"CDC-0179";7/1/2019;6/30/2022;"PHOENIX";"MARICOPA";"(602)278-1513";"(302)278-7908";248;"CDC0179";-112.134591;33.473868;;;;"C11";"AZ";"16";"20";"LICENSED";"LICENSED";"LICENSED";"sandrasellsaz@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85004";"A NEW LEAF'S PHOENIX DAY";"115 EAST TONTO STREET";"CDC-18750";4/9/2020;3/31/2023;"PHOENIX";"MARICOPA";"(602)252-4911";"(602)252-0979";191;"CDC18750";;;;;;"C11";"AZ";"10";"36";"LICENSED";"LICENSED";"LICENSED";"jegarcia@turnanewleaf.org"
12/1/2020;"CHILD CARE CENTER";"85209";"A PLACE 4 EVERYONE LEARNING CENTER";"7040 EAST SUPERSTITION SPRINGS BLVD";"CDC-18252";6/7/2018;5/31/2021;"MESA";"MARICOPA";"(480)985-6797";"(480)830-9046";147;"CDC18252";;;;;;"C11";"AZ";"N/A";"45";"LICENSED";"LICENSED";"LICENSED";"maxine@aplace4everyone.com"
