"id";"name";"address";"city";"state";"phone";"main website";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4"
943393;"LITTLE LIONS PRESCHOOL";"3901 W LINDA VISTA";"TUCSON";"AZ";" 520-579-4400 x. 4633";"http://www.maranausd.org/index.aspx?NID=8244";"http://www.maranausd.org/index.aspx?NID=8244";;;;"http://www.maranausd.org/index.aspx?nid=9392";"http://www.maranausd.org/DocumentCenter/View/34854";"n";"n";"y";"y";"n";"n";"http://www.maranausd.org/images/layout/design21/ba2_MVHS.jpg";"http://www.maranausd.org/images/pages/N8244//march%20of%20dimes_thumb.jpg";"http://www.maranausd.org/images/pages/N8244//spring%20conference_thumb.jpg";;
943392;"EL CAMINO BAPTIST CHURCH";"7777 E SPEEDWAY BLVD";"TUCSON";"AZ";"(520) 886-7770";"http://www.elcaminochurch.org/ministries/children/preschool/";"http://www.elcaminochurch.org/ministries/children/preschool/";;;;;;"y";"y";"y";"y";"n";"n";;;;;
943391;"PRE-KADEMY L L C";"1509 WEST DUNLAP AVENUE";"PHOENIX";"AZ";"(602) 503-5798";"http://www.pre-kademy.com/";;;;;;;;;;;;;;;;;
943390;"SONORAN SCIENCE ACADEMY PHOENIX";"4837 EAST MCDOWELL ROAD";"PHOENIX";"AZ";"(602) 244-9855";"http://www.sonoranacademy.org/phoenix/";;;;;;;;;;;;;;;;;
943389;"CAREER SUCCESS SAGE";"3120 NORTH 32ND STREET";"PHOENIX";"AZ";"(602) 955-0355";"http://csschools.com/Our-Schools/Sage";"http://csschools.com/Our-Schools/Sage";;;;"http://csschools.com/resources/enrollment-packet";;"n";"n";"n";"y";"y";"n";"http://csschools.com/images/stories/Career_Success_SAGE.png";;;;
943388;"KIDS INCORPORATED LEARNING CENTERS FULTON RANCH IN";"4991 SOUTH ALMA SCHOOL ROAD";"CHANDLER";"AZ";"(480) 821-5437";"http://kidsinclearningcenters.com/contact/";"http://kidsinclearningcenters.com/contact/";;"Mon – Fri: 6 am – 6 pm";;"http://kidsinclearningcenters.com/apply-to-kids-inc/";;"y";"y";"y";"y";"y";"n";"http://kidsinclearningcenters.com/wp-content/uploads/2012/10/thumb_logo.png";"http://kidsinclearningcenters.com/wp-content/uploads/2013/02/slider3-960x400.jpg";"http://kidsinclearningcenters.com/wp-content/uploads/2013/02/slider1-960x400.jpg";"http://kidsinclearningcenters.com/wp-content/uploads/2013/02/slider4-960x400.jpg";"http://kidsinclearningcenters.com/wp-content/uploads/2013/02/slider2-960x400.jpg"
943385;"ARIZONA'S CHILDREN ASSOCIATION - GOLDEN GATE HEAD";"5480 WEST CAMPBELL";"PHOENIX";"AZ";"(623) 849-7129";"http://www.arizonaschildren.org/locations.htm";"http://www.arizonaschildren.org/locations.htm";;;"http://www.arizonaschildren.org/jobopportunities.htm";;;"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"http://www.arizonaschildren.org/images/logomain2.jpg";;;;
943382;"ST ANTHONY SCHOOL-PREKINDERGARTEN";"1400 EAST OWENS";"SHOW LOW";"AZ";"(928) 537-4497";"http://www.saintanthonycatholicschool.org/";"http://www.saintanthonycatholicschool.org/";;"Monday-Thursday:
8:00 am - 4:00 pm

Friday: 8:00 am - 12:30 pm";;"http://www.saintanthonycatholicschool.org/Tuition_and_Registration.html";;"n";"n";"n";"y";"y";"n";;"http://www.saintanthonycatholicschool.org/Photo_Album.html";;;
943381;"THE ILIAD ACADEMY, INC";"4290 SOUTH MILLER ROAD";"BUCKEYE";"AZ";"623-474-6328";"http://www.theiliadacademy.com/";"http://www.theiliadacademy.com/";"http://www.facebook.com/pages/The-Iliad-Academy-Preschool/118740558160417?ref=ts";"Mon - Thu: 8:00 am - 3:00 pm";"http://iliadpreschool.com/iliad-academy-preschool-careers/";;;"n";"n";"y";"y";"n";"y";"http://iliadpreschool.com/wp-content/uploads/2011/12/TheIliadAcadeD04aR01bP02ZL-240x230.png";;;;
943378;"LEARNING CASTLE CHILDRENS CENTER LLC";"4701 NORTH ROBERT ROAD";"PRESCOTT VALLEY";"AZ";"(928) 775-9677";"http://learningcastlechildrenscenter.com/";"http://learningcastlechildrenscenter.com/";;"6:00am-6:00pm";;;;"n";"n";"y";"y";"n";"n";"http://learningcastle.fatcow.com/sitebuildercontent/sitebuilderpictures/1NewDragonCastlecolor.jpg";"http://learningcastle.fatcow.com/sitebuildercontent/sitebuilderpictures/131.jpg";"http://learningcastle.fatcow.com/sitebuildercontent/sitebuilderpictures/102.jpg";"http://learningcastle.fatcow.com/sitebuildercontent/sitebuilderpictures/100_3240.JPG";"http://learningcastle.fatcow.com/sitebuildercontent/sitebuilderpictures/100_3247.JPG"
