"Faciliy #";"Facility Name";"Address";"City";"State";"Zip";"County";"Site Phone";"Facility_Type";"Website Address";"Contact Persons";"Voucher Participant";"ABC Program";"Head Start";"Better Beginnings";"DCCECE Assigned Staff";"DCCECE Office Address";"DCCECE Office City";"DCCECE Office Zip";"DCCECE Office Phone";"DCCECE Email Address";"Months of Operation";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday";"Facility Rates for Ages Served";"Capacity Infant/Toddler";"Capacity Preschool";"Capacity School Age";"Capacity Sick Care";"DetailsRef"
23561;"Park Avenue Elementary Pre-k";"1202 South Park Avenue";"Stuttgart";"AR";72160;"Arkansas";"(870) 673-3563";"Child Care Center";"-";"Meghan Ables";"No";"Yes";"No";5;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:50:00 AM-2:50:00 PM";"7:50:00 AM-2:50:00 PM";"7:50:00 AM-2:50:00 PM";"7:50:00 AM-2:50:00 PM";"7:50:00 AM-2:50:00 PM";;;;;80;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NRpAAM&language=en_US"
29726;"De Witt High Quality Preschool";"1718 South Grandview Drive";"De Witt";"AR";72042;"Arkansas";"(870) 946-4651";"Child Care Center";"-";"Carrie Ashcraft";"Yes";"Yes";"No";3;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;;;53;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NafAAE&language=en_US"
28838;"Buttons & Bows";"513 East Ninth Street";"Dewitt";"AR";72042;"Arkansas";"(870) 946-2022";"Child Care Center";"-";"Jamie Thompson";"Yes";"No";"No";3;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:45:00 AM-5:30:00 PM";"6:45:00 AM-5:30:00 PM";"6:45:00 AM-5:30:00 PM";"6:45:00 AM-5:30:00 PM";"6:45:00 AM-5:30:00 PM";;;"
Infant 0 to 18 Months-$19.50 per Day (7 Hours or More)
Infant 0 to 18 Months-$12.50 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$15.50 per Day (7 Hours or More)
Preschool 30 to 72 Months-$9.50 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$9.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$15.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$12.50 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$17.50 per Day (7 Hours or More)";23;16;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NYVAA2&language=en_US"
22442;"Grand Prairie Child Development Center";"1801 North Buerkle";"Stuttgart";"AR";72160;"Arkansas";"(870) 672-7730";"Early Intervention Day Treatment (EIDT)";"-";"Barbara Bean";"Yes";"No";"No";3;"Stacey Morris";"PO Box 1437 Slot S530";" Little Rock";72203;"(501) 320-6408";"stacey.morris@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:30:00 AM-3:00:00 PM";"6:30:00 AM-3:00:00 PM";"6:30:00 AM-3:00:00 PM";"6:30:00 AM-3:00:00 PM";"6:30:00 AM-3:00:00 PM";;;"
Infant 0 to 18 Months-$2.50 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$19.50 per Day (7 Hours or More)
Preschool 30 to 72 Months-$18.50 per Day (7 Hours or More)
Preschool 30 to 72 Months-$2.50 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$19.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$6.25 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$2.50 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$18.50 per Day (7 Hours or More)
Toddler 18 to 36 Months-$19.00 per Day (7 Hours or More)";46;41;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009OZpAAM&language=en_US"
22258;"Little Stars Daycare";"1709 North Spring Street";"Stuttgart";"AR";72160;"Arkansas";"(870) 224-0287";"Licensed Child Care Family Home";"-";"Janice Mullins";"Yes";"No";"No";2;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-4:00:00 PM";"7:00:00 AM-4:00:00 PM";"7:00:00 AM-4:00:00 PM";"7:00:00 AM-4:00:00 PM";"7:00:00 AM-4:00:00 PM";;;"
Infant 0 to 18 Months-$10.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$18.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$10.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$18.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$10.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$18.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$18.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$10.00 per Day (Less than 7 Hours)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NQ7AAM&language=en_US"
29511;"DeWitt Daycare";"814 W 2nd St";"DeWitt";"AR";"72042-1702";"Arkansas";"(870) 672-2021";"Licensed Child Care Family Home";"-";"Jeanie Reidhar";"Yes";"No";"No";2;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-4:30:00 PM";;;"
Infant 0 to 18 Months-$26.00 per Day (7 Hours or More)
Infant 0 to 18 Months-$26.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$20.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$20.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$15.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$20.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$20.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$20.00 per Day (Less than 7 Hours)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NaIAAU&language=en_US"
23556;"Pattillo Center School";"601 S Union St";"De Witt";"AR";72042;"Arkansas";"(870) 946-1606";"Early Intervention Day Treatment (EIDT)";"-";"Jay Chambless";"Yes";"No";"No";2;"Stacey Morris";"PO Box 1437 Slot S530";" Little Rock";72203;"(501) 320-6408";"stacey.morris@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";;;"
Infant 0 to 18 Months-$14.00 per Day (7 Hours or More)
Infant 0 to 18 Months-$30.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$13.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$25.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$13.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$14.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$30.00 per Day (Less than 7 Hours)";48;66;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009OZuAAM&language=en_US"
46452;"Jacob's Ladder";"307 East 4th Street";"Stuttgart";"AR";72160;"Arkansas";"(870) 672-9801";"Child Care Center";"https://stuttgartfumc.org/jacobs-ladder";"Elizabeth Alvarenga";"No";"No";"No";0;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:45:00 AM-5:15:00 PM";"6:45:00 AM-5:15:00 PM";"6:45:00 AM-5:15:00 PM";"6:45:00 AM-5:15:00 PM";"6:45:00 AM-5:15:00 PM";;;;27;31;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z000000IA1hAAG&language=en_US"
46329;"The Learning Tree L.L.C";"1115 S. Jefferson";"DeWitt";"AR";72042;"Arkansas";"(870) 717-0266";"Child Care Center";"-";"Penny Merritt";"No";"No";"No";0;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-4:00:00 PM";;;;5;15;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z000000HZgJAAW&language=en_US"
31354;"Little Steps Childcare Center";"301 D N Jackson";"Dewitt";"AR";72042;"Arkansas";"(870) 946-5333";"Child Care Center";"littlestepschildcarecenterllc@outlook.com";"Ashley Rhodes";"No";"No";"No";0;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";;;"
Infant 0 to 18 Months-$22.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$22.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$18.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$10.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$16.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$10.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$20.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$20.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$20.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$20.00 per Day (Less than 7 Hours)";41;22;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NgHAAU&language=en_US"
