"Faciliy Num";"Complaint Date";"Regulation(s) No";"Regulation_Description"
28838;"06/20/2018";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm.)"
28838;"10/09/2017";"1100.1101.4";"Any child who is injured shall have immediate attention. Parents shall be notified of all injuries. Injuries that require the attention of medical personnel shall be reported to the parent immediately and to the Licensing Unit within one business day."
22442;"06/23/2022";"200.201.4.2";"Subparts 1 and 2(A) An EIDT must comply with all requirements of the applicable Minimum Licensing Standards for Child Care Centers. (B) A violation of the applicable Minimum Licensing Standards for Child Care Centers constitutes a violation of these standards."
22442;"06/23/2022";"100.110.1.a";"The following persons shall apply to the Identification Bureau of the Arkansas State Police for a nationwide criminal record check, to be conducted by the Federal Bureau of Investigation (FBI), which shall include a fingerprint check: (The individual is responsible for the cost of a nationwide check. Each request must be accompanied by a check or money order made out to the Arkansas State Police.) Fingerprints submitted will be used to check the criminal history records of the FBI. Individuals with results showing a prohibited offense shall be advised to contact the Licensing Unit for procedures to obtain the results and for procedures to update or make corrections to the record of their individual history.Each applicant to own or operate a child care facility At initial application and every five (5) years thereafter"
22442;"06/23/2022";"300.304.1.04";"An EIDT must maintain a personnel file for each employee that includes:All required Adult Maltreatment Registry checks;"
22442;"06/23/2022";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
22442;"06/23/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
22442;"06/23/2022";"600.603.1.j";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Documentation of new employee evaluations."
22442;"04/20/2012";"700.702.5";"Children shall not share the same bottle or eating utensils. The facility shall practice a sanitary method of cleansing baby bottles, cups and utensils."
22442;"04/20/2012";"1100.1104.1";"The water supply shall be approved by the Arkansas Department of Health."
29511;"02/02/2015";"100.102.4";"A home requires licensing when one (1) or more persons care for six (6) or more children, from more than one (1) family at the same time. A maximum of sixteen (16) children may be cared for with a Child Care Family Home license."
31354;"05/17/2023";"700.701.2";"Breakfast, lunch, snacks, and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. (See Division website.) If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
23533;"11/12/2019";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
30342;"07/24/2023";"1100.1102.1";"Individual towels, paper towels, or forced air dryers shall be within the reach of children."
30342;"11/09/2020";"700.701.2";"Breakfast, lunch, snacks and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. (See Division web-site.) If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
13549;"10/26/2021";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
16074;"12/16/2020";"500.501.5.o";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Covering the faces of children with blankets or similar items"
16074;"03/12/2020";"500.501.2";"Physical punishment shall not be administered to children."
16074;"03/12/2020";"500.501.2";"Physical punishment shall not be administered to children."
16074;"08/16/2017";"800.801.5";"Thirty-five square feet per child of usable floor space shall be required for indoor activities. This does not include bathrooms, kitchen and hallways. Usable space in the child care center shall include areas in the classroom used for storage of programmatic materials which are accessible to children. This does not include closets or storage space for equipment that is not in use."
26772;"02/26/2019";"600.604.1.k";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:Written permission for the facility to photograph or video tape their child, if applicable."
12115;"01/06/2020";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence.)"
29488;"03/25/2021";"1000.1001.1";"All manufacturer guidelines shall be followed for furniture and equipment that is used by, or around, children."
29488;"03/25/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
29488;"03/25/2021";"700.701.5";"Food shall be served on individual plates, bowls, or other dishes that can be sanitized or discarded."
29488;"10/01/2020";"500.501.5.e";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Profane or abusive language"
29488;"09/23/2020";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
31031;"05/12/2021";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
31245;"08/05/2020";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
29968;"07/01/2021";"500.501.2";"Physical punishment shall not be administered to children."
29968;"05/17/2019";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
30448;"10/12/2018";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred. A copy of this shall be given to the parent on the day of occurrence."
30127;"04/08/2022";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
30127;"04/08/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30127;"03/14/2022";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
