"Faciliy Num";"Visit Date";"Visit_Description"
23561;"09/27/2023";"No Violations Cited"
23561;"08/17/2023";"No Violations Cited"
23561;"02/23/2023";"No Violations Cited"
23561;"11/07/2022";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Initiation of Criminal Record Checks and Central Registry Checks and the results obtained when received;"
23561;"11/07/2022";"All new staff, including volunteers who are counted in the ratios, shall receive the following orientation within three (3) months of employment (and every three (3) years thereafter) and shall not be left alone with children until this is completed.Introduction (eight (8) clock hours) a. Proper supervision of children; b. Behavioral guidance practices; c. Safe sleep practices for infants; d. Shaken baby syndrome; which includes prevention (Carter’s Law, Act 1208); e. Appropriately responding to a crying or fussy infant or child; f. Emergency procedures in the event of severe weather, or fire, including evacuation procedures and routes, and location and use of fire extinguishers; g. Mandated reporter training; h. Administering medication; i. Caring for children with special needs or care plans; j. Transportation and car seat safety; k. Policies regarding release of children to authorized individuals; l. Prevention and control of infectious diseases; m. Building and physical premises safety, including the identification of, and protection from, hazards, bodies of water, and vehicular traffic; n. Nutrition and physical activities; o. Prevention and response to food sensitivities and allergic reactions; p. Basic child development; and q. The handling and storage of hazardous materials and the appropriate disposal of bio contaminants. See Division website for a list of courses, that the Division maintains contracts for, which meet the above requirements."
23561;"11/07/2022";"All medications and poisonous substances shall be kept in separately locked areas."
23561;"11/07/2022";"All space used by a center shall be kept clean and free of hazardous or potentially hazardous objects. (These objects include, but are not limited to, poisonous substances, firearms, explosives, broken toys or equipment, or other objects that could be harmful or dangerous, if they are determined to be accessible to children.)"
29726;"09/20/2023";"No Violations Cited"
29726;"05/01/2023";"No Violations Cited"
29726;"02/27/2023";"No Violations Cited"
29726;"10/31/2022";"All space used by a center shall be kept clean and free of hazardous or potentially hazardous objects. (These objects include, but are not limited to, poisonous substances, firearms, explosives, broken toys or equipment, or other objects that could be harmful or dangerous, if they are determined to be accessible to children.)"
29726;"10/31/2022";"Electrical outlets shall be guarded."
