"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";;;;;"bad url?";
1091454;"Save the Children Head Start Dardanelle";"1109 North 3rd Street";"Dardanelle";"AR";72834;"YELL";"(479) 229-3001";"http://arheadstart.org/index.php?option=com_content&view=article&id=67:community-development-institute-serving-tri-region-head-start&catid=26&Itemid=92&showall=&limitstart=4";"dardanelle@triregionhs.org";"The purpose of the Arkansas Head Start Association includes working to ensure availability of comprehensive early childhood education and high-quality services for children and families in Arkansas. The AHSA is a 501(c)(3) non-profit organization.";"http://arheadstart.org/index.php?option=com_content&view=article&id=67:community-development-institute-serving-tri-region-head-start&catid=26&Itemid=92&showall=&limitstart=4";;;"http://arheadstart.org/index.php?option=com_content&view=article&id=200&Itemid=319";"http://arheadstart.org/index.php?option=com_content&view=article&id=164&Itemid=192";;"n";"n";"y";"y";"n";"n";;;;;;;
1091452;"King's Kids Christian Preschool";"105 East 11th Street";"Judsonia";"AR";72081;"WHITE";"(501) 729-5437";;;;;;;;;;;;;;;;;;;;;"Y";
1091451;"HIS Kids Christian Academy";"3328 Hwy 36 W";"Searcy";"AR";72143;"WHITE";"(501) 268-5437";"http://valleybaptistchurch.com/his-kids-christian-academy/";;"The need for high quality, Christian, early education is large and we will strive to meet the need of our community by providing age-appropriate, Biblical foundations and foster educational experiences. We hope to meet this need by employing top-notch employees that will love your children, like Jesus loves them. We will also be using a Christian curriculum to help teach valuable life lessons to each age group of children. Children will participate in a chapel service weekly where they will have the opportunity to learn and worship their loving God.

What do we believe?? We believe there is one God who exists in three persons: the Father, the Son, and the Holy Spirit. We believe Jesus is the Son of God, was born of a virgin, lived a sinless life, shed His blood and died in our place as a sacrifice for the sins of mankind, was buried, arose bodily from the grave and ascended into Heaven. He is the one and only Savior who will literally return to Earth. We believe children are a blessing from God and are very special to Him as they are to us at HIS Kids Christian Academy.";"http://valleybaptistchurch.com/his-kids-christian-academy/";"https://www.facebook.com/hiskidschristianacademy/info?tab=page_info";"Mon - Fri: 
8:30 am - 5:00 pm";;"http://valleybaptistchurch.com/his-kids-christian-academy/";;"y";"y";"y";"y";"y";"y";"http://valleybaptistchurch.com/wp-content/uploads/hiskidsdaycare.png";;;;;;
1060341;"Arch Ford Conway ABC Program";"1629 South Blvd";"Conway";"AR";72032;"FAULKNER";"(501) 450-4835";;;;;;;;;;;;;;;;;;;;;"Y";
1091449;"Bright Horizons Academy, LLC";"2312 Llama Drive";"Searcy";"AR";72143;"WHITE";"(501) 268-5400";"http://brighthorizonsacademy.webs.com/";"bha2013@att.net";"We are a pre-school Academy for ages 0-5.
We offer a Christian Curriculum for every class tailored to the age group and written by one of our certified teachers.
Bright Horizons will be striving toward our goal of becoming part of the Better Beginnings program and becoming a 3-star Pre-school Academy! ";"http://brighthorizonsacademy.webs.com/";"https://www.facebook.com/pages/Bright-Horizons-Academy/509651089116340";"Mon - Fri: 
7:00 am - 6:00 pm";;"http://brighthorizonsacademy.webs.com/assignments-handouts";"http://brighthorizonsacademy.webs.com/assignments-handouts";"y";"y";"y";"y";"n";"n";"http://imageprocessor.websimages.com/width/351/crop/0,0,351x210/brighthorizonsacademy.webs.com/bright%20horizons%20academy-1.jpg";;;;;;
1060339;"Kim's Class LLC";"203  E Trotter";"Monticello";"AR";71655;"DREW";"(870) 460-0503";;;;;;;;;;;;;;;;;;;;;"Y";
1091448;"Little Seedlings";"208 East Moore";"Searcy";"AR";72143;"WHITE";"(501) 268-3243";;;;;;;;;;;;;;;;;;;;;"Y";
1091447;"Tots Landing Child Care Center";"2085 N. Center St., Ste. D.";"Elkins";"AR";72727;"WASHINGTON";"(479) 643-2756";"http://tots-landing-elkins.com/";"totslandingelkinsar@gmail.com";"As your local Elkins child care center and preschool, we strive to meet the needs of all children in a secure, happy, enriching and loving environment convenient to your home or place of work. We respond to today’s growing need of working parents for the kind of excellent childcare facilities that foster peace of mind.

We work to make each day a happy learning experience where your child will be encouraged to explore his/her environment and think creatively. Teachers guide and enhance this process through materials, play and activities. We are committed to providing a stimulating, child-orientated environment, which is clean, healthy, and safe.

We are committed to supporting our teachers with specific and appropriate special development opportunities. Our staff exceed the Minimum Licensing training requirements to comply with the Better Beginnings quality program and provide the best possible care for your child. We require 100% of our staff to be CPR & First Aid certified.

We are committed to developing and maintaining an atmosphere of mutual respect and trust between parents and staff. Supporting the belief that communication is key to making any relationship successful, the Director and teachers are available for parents to discuss any aspect of the program at Tots Landing.";"http://tots-landing-elkins.com/";;"6:30am to 6pm, Monday-Friday";;"http://tots-landing-elkins.com/wp-content/uploads/2012/05/1-Enrollment_Form_Fillable-II.pdf";"http://tots-landing-elkins.com/wp-content/uploads/2012/05/Tots-Landing-Parent-Handbook1.pdf";"y";"y";"y";"y";"y";"y";"http://tots-landing-elkins.com/wp-content/themes/child_care_creative/images/logo.png";;;;;;
1091445;"Sunshine House Early Learning Center";"2460 N Old Wire Road";"Fayetteville";"AR";72703;"WASHINGTON";"(479) 443-2000";"http://www.sunshinehousekids.net/#!contact-us/c1gzt";"landers.angie@yahoo.com";"We originated through Sunshine House Early Learning Center; a high quality child care center in Fayetteville. We decided to spread our quality child care along to other families in Northwest Arkansas for times when needed most.. We take much pride in what we do everyday and would love to offer you this amazing service to take the stress out of finding that perfect sitter. 
 ";"http://www.sunshinehousekids.net/#!contact-us/c1gzt";;;;"http://www.sunshinehousekids.net/#!customer-care/c219a";"http://www.sunshinehousekids.net/#!customer-care/c219a";"y";"y";"y";"y";"n";"n";"http://static.wixstatic.com/media/298c07_05345a8184c54b4d84f8fae7ac73b118.gif";;;;;;
1091441;"All-Star Childcare Center";"507 S Old Missouri Road";"Springdale";"AR";72764;"WASHINGTON";"(479) 200-3261";"https://www.facebook.com/pages/All-Star-Childcare-Center-/200082841778?sk=info&tab=page_info";"Desiebugg8585@aol.com or Frogette1198@aol.com";;"https://www.facebook.com/pages/All-Star-Childcare-Center-/200082841778?sk=info&tab=page_info";"https://www.facebook.com/pages/All-Star-Childcare-Center-/200082841778?sk=info&tab=page_info";;;;;"y";"y";"y";"y";"y";"y";;;;;;;
1091439;"Prism Education Center - Willow Heights Campus";"10 South Willow St";"Fayetteville";"AR";72701;"WASHINGTON";"(479) 249-6113";"http://prismeducationcenter.org/who-we-are/willow-heights";"info@prismeducationcenter.org";"The Willow Heights campus is home to the youngest students at Prism. This center opened in October 2013, and it serves students from 6 weeks of age to 5 years of age. This center includes one Infant/Toddler classroom, one Toddler classroom, and one Preschool classroom. ";"http://prismeducationcenter.org/who-we-are/willow-heights";"https://www.facebook.com/pages/Prism-Education-Center/175876669171327";;"http://prismeducationcenter.org/information/employment-opportunities";;;"y";"y";"y";"y";"y";"y";"http://prismeducationcenter.org/assets/prism-72c551049a1f779bc767dd6af642378b.png";;;;;;
1091438;"Kreative Kidz Learning Center of Arkansas";"1310 W Robinson Ave";"Springdale";"AR";72762;"WASHINGTON";"(479) 751-2011";;;;;;;;;;;;;;;;;;;;;"Y";
1091437;"Westwood Elementary Pre-K";"1850 McRay Ave";"Springdale";"AR";72762;"WASHINGTON";"(479) 750-1887";;;;;;;;;;;;;;;;;;;;;"Y";
1091436;"Sonora Elementary Pre-K";"20200 Sonora Road";"Springdale";"AR";72764;"WASHINGTON";"(479) 750-8820";;;;;;;;;;;;;;;;;;;;;"Y";
1091435;"John Tyson Elementary Pre-K";"1967 Chapman Ave";"Springdale";"AR";72762;"WASHINGTON";"(479) 750-8862";;;;;;;;;;;;;;;;;;;;;"Y";
1091434;"Jo Kelly Middle School Pre-K";"1879 E Robinson Ave";"Springdale";"AR";72764;"WASHINGTON";"(479) 750-8730";;;;;;;;;;;;;;;;;;;;;"Y";
1091432;"The Learning Tree";"19127 Hwy 5 North";"Mtn. View";"AR";72560;"Stone";"(870) 269-5655";;;;;;;;;;;;;;;;;;;;;"Y";
1091431;"Princeton Prep Academy";"7917 Hwy 271 South";"Fort Smith";"AR";72908;"SEBASTIAN";"(479) 646-5350";"https://www.facebook.com/pages/Princeton-Prep-Academy/108562915835340?sk=info&tab=page_info";"PrincetonPrepAcademy@gmail.com";"Our program strives to nurture each child's growth and education in a stimulating and caring learning environment. This environment gives children the opportunity to develop linguistic, social, physical and cognitive skills. The center helps children feel good about themselves and their abilities, which fosters the development of creativity and a strong sense of identity and competence. The program also values close working relationships with parents as a necessity in attaining program goals.";"https://www.facebook.com/pages/Princeton-Prep-Academy/108562915835340?sk=info&tab=page_info";"https://www.facebook.com/pages/Princeton-Prep-Academy/108562915835340?sk=info&tab=page_info";"Mon - Fri: 
7:30 am - 5:30 pm";;;;"y";"y";"y";"y";"y";"y";"https://scontent-sin.xx.fbcdn.net/hphotos-xtp1/v/t1.0-9/1382859_754126431278982_995253214_n.jpg?oh=b7f7e28fd4e1e810aa92efedc523125d&oe=5599B35E";;;;;;
1091428;"Save the Children Head Start Waldron";"715 West 2nd Street";"Waldron";"AR";72958;"SCOTT";"(479) 637-0450";"http://arheadstart.org/index.php?option=com_content&view=article&id=67:community-development-institute-serving-tri-region-head-start&catid=26&Itemid=92&showall=&limitstart=4";"waldron@triregionhs.org";"The purpose of the Arkansas Head Start Association includes working to ensure availability of comprehensive early childhood education and high-quality services for children and families in Arkansas. The AHSA is a 501(c)(3) non-profit organization.";"http://arheadstart.org/index.php?option=com_content&view=article&id=67:community-development-institute-serving-tri-region-head-start&catid=26&Itemid=92&showall=&limitstart=4";;;"http://arheadstart.org/index.php?option=com_content&view=article&id=200&Itemid=319";"http://arheadstart.org/index.php?option=com_content&view=article&id=164&Itemid=192";;"n";"n";"y";"y";"n";"n";;;;;;;
1091426;"Childcare Network # 238";"408 S Reynolds Rd";"Bryant";"AR";72022;"SALINE";"(501) 847-5400";"http://www.childcarenetwork.com/Arkansas-Bryant-AR-238";;"Childcare Network is the 4th largest for profit child care organization in North America.  With over 200 schools in 10 states, we are the leading early care and preschool education provider in the southern United States.   Our Childcare Network family is encompassed by over 25,000 families, and we truly feel that way! At Childcare Network, we engage our parents, local partners, and other advocates in our communities to provide high quality, age appropriate, and affordable early care and education for our children. We are there for our families as they maneuver through the joys and challenges of raising strong, caring, bright young children in this busy world.

We go above and beyond to create safe teaching environments that allow parents to feel comfortable going to work each day while their child is with us. We deliver our high quality education, while striving to keep our costs less than other premium private child care providers. The directors at each location make sure that everything they do is done in a way that creates a positive experience for both parents and children in their school.

Your family IS our family at Childcare Network, and we wouldn’t have it any other way!";"http://www.childcarenetwork.com/Arkansas-Bryant-AR-238";"https://www.facebook.com/ChildcareNetworkSchools";" Monday - Friday
6:00 am - 6:00 pm";"http://www.childcarenetworkjobs.com/";;;"y";"y";"y";"y";"y";"y";"http://afee0e90d5d7d29deac0-9f4946773be90d0bc170827895a58c68.r20.cf1.rackcdn.com/images/logo.png";;;;;;
1091424;"The Missionary Daycare of the Disciples";"800 Kirby Road";"Little Rock";"AR";72211;"PULASKI";"(501) 228-1077";;;;;;;;;;;;;;;;;;;;;"Y";
1091425;"Village Montessori School";"4401 Woodlawn Dr";"Little Rock";"AR";72205;"PULASKI";"(501) 666-9797";"http://ourvillagemontessori.com/";"info@ourvillagemontessori.com";"Montessori is an approach to education pioneered by Italy’s first female medical doctor, Maria Montessori, MD, in 1900. Her theories are based on observations of standard education practices. She felt that the traditional teaching method — based on repetition and memory, restraining and silencing students and relying on reward and punishment – were detrimental to child development. In its place she developed an alternative system called scientific pedagogy. She believed that all children possess an innate desire and ability to learn and that they simply needed an encouraging environment in which spontaneous activity could also be an educational tool. The Montessori method advocates hands-on activities rather than lecturing and is strongly reliant upon parent and community participation. These ideas have not only yielded highly positive results when put into practice, but have proven to be far superior in terms of brain development and fostering independence, self-reliance and personal responsibility. Montessori classrooms are organized in three-year age increments and emphasis is placed on age group interactions as part of the educational experience. Teachers are there to facilitate and guide individual interests and curiosity.";"http://ourvillagemontessori.com/";"https://www.facebook.com/ourvillagemontessori";"7:30am – 5:30pm
Full Day: 8:30am – 3:00pm
Extended Day: 7:30am – 5:30pm";"http://ourvillagemontessori.com/employment-opportunities/";"http://ourvillagemontessori.com/online-application/";;"n";"n";"y";"y";"y";"y";"http://ourvillagemontessori.com/wp-content/themes/villagemontessori/images/header_logo_new.png";;;;;;
1091422;"Stewards of Christ dba Grandma's Hands CDC";"804 E Keihl Ave";"Sherwood";"AR";72120;"PULASKI";"(501) 833-0102";;;;;;;;;;;;;;;;;;;;;"Y";
1091420;"NBBHS";"10800 Mara Lynn Dr";"Little Rock";"AR";72211;"PULASKI";"(501) 663-1837";;;;;;;;;;;;;;;;;;;;;"Y";
1091421;"Rise and Shine Early Childhood";"3105 West 12th Street";"Little Rock";"AR";72204;"PULASKI";"(501) 296-9620";;;;;;;;;;;;;;;;;;;;;"Y";
1091417;"Little Scholars Academy of Maumelle ( Charter)";"900 Edgewood Dr";"Maumelle";"AR";72113;"PULASKI";"(501) 803-0300";;;;;;;;;;;;;;;;;;;;;"Y";
1091415;"Kare-a-Lot Learning Academy";"10204 Mabelvale West Road";"Mabelvale";"AR";72103;"PULASKI";"(501) 712-5772";"http://www.karealot.us/index.php?option=com_content&view=frontpage&Itemid=55";;"Kare-A-Lot Child Care Center, Inc., is a privately owned and operated child care company. Kare-A-Lot was established in 1984 and its mission is to care for and educate children 6 weeks to 9 years of age. The two Centers, one in Upper Arlington and one in Grandview, operate on a full-day, Monday through Friday from 7:00 am to 6:00 pm, year round schedule.";"http://www.karealot.us/index.php?option=com_content&view=frontpage&Itemid=55";;"Monday through Friday from 7:00 am to 6:00 pm";;;;"y";"y";"y";"y";"y";"y";;;;;;;
1091414;"Johnson's Montessori School, Inc.";"708 Towne Oaks Drive";"Little Rock";"AR";72227;"PULASKI";"(501) 614-3860";"http://www.johnsonsmontessori.com/news.html";;"Montessori philosophy states that a child has an innate desire to learn and produce purposeful, meaningful work.  We interpret Maria Montessori's legacy as direction to ...
Provide a nurturing and cooperative learning environment
A high correlation exists between parental involvement and student success in school; all parents at Johnson's Montessori School are expected to participate as partners in education of the child.

Consider the whole child
The multi-age makeup of the students facilitate meaningful observation and exposure to advanced lessons, peer modeling, and the opportunity to solidify one's understanding of the material by ""tutoring"" others.  Students further engage in rhythmic movement, play rhythm instruments, and engage in service learning activities.

Encourage respect for self, others, the environment and all of life
Service projects assist in teaching our children that the Earth and our surrounding community are to be respected and preserved.";"http://www.johnsonsmontessori.com/news.html";;;;;;"n";"n";"y";"y";"y";"y";"http://www.johnsonsmontessori.com/lgo.gif";;;;;;
1091413;"Indigo Learning Center";"1410 E 2nd street";"North Little Rock";"AR";72114;"PULASKI";"(501) 374-2772";;;;;;;;;;;;;;;;;;;;;"Y";
1091412;"In God We Trust II";"5300 W12th St";"Little Rock";"AR";72204;"PULASKI";"(501) 301-0001";;;;;;;;;;;;;;;;;;;;;"Y";
1091410;"Deloney's Child Development Center";"8003 Mabelvale Cut Off Rd";"Mabelvale";"AR";72103;"PULASKI";"(501) 562-6613";;;;;;;;;;;;;;;;;;;;;"Y";
1091409;"Cribs '2' Crayons";"14021 Arch St";"Little Rock";"AR";72206;"PULASKI";"(501) 888-8100";"https://www.facebook.com/Cribs2crayons/info?tab=page_info";;"We are proudly family owned and operated and proudly carry over 30 years and 3 generations into the business of caring for yours by loving them like ours! ";"https://www.facebook.com/Cribs2crayons/info?tab=page_info";"https://www.facebook.com/Cribs2crayons/info?tab=page_info";;;;;"y";"y";"y";"y";"y";"y";"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/1502537_608382525929884_8772464700888256505_n.jpg?oh=a94ede05530cd889cd0df75b232bfed4&oe=5597466C&__gda__=1440808365_f24ae0c4f737b9849c0fb73873d9660c";;;;;;
1091408;"Anderson Taekwondo Center Camp Positive, Inc.";"6004 West 53rd Street STE -B";"Little Rock";"AR";72209;"PULASKI";"(501) 375-5507";;;;;;;;;;;;;;;;;;;;;"Y";
1091407;"Tweety's Lil Academy";"3821 Baseline Rd";"Little Rock";"AR";72209;"PULASKI";"(501) 562-7191";;;;;;;;;;;;;;;;;;;;;"Y";
1091406;"The Child Care Academy ( CCA)";"6800 Baseline Rd";"Little Rock";"AR";72209;"PULASKI";"(501) 661-9291";;;;;;;;;;;;;;;;;;;;;"Y";
1091405;"Nutrition & Day Care Assistance DBA Kidz Palace";"7123 Interstate 30 Ste. 26";"Little Rock";"AR";72209;"PULASKI";"(501) 476-0702";"http://www.kidzpalace.org/contact-us-2/";"greg.plunkett@nadcacorp.org";"We are a 501(c)3 non-profit organization established to work with the Arkansas Special Nutrition Program (SNP) Child and Adult Care Food Program (CACFP) to provide meals and snacks to children at child day care centers, homeless shelters, after-school programs, at-risk programs, and similar programs that need supplemental food and nutritious meals.  We also provide assistance to adult day care operations.  NADCA also provides educational services through free consulting for care providers in program administration, provide training in child and adult care operations, and provides instructions to effectively operate a care facility by sponsoring training seminars and training documents.

Our After-School Program is called Kidz Palace.

When school is out and parents are still at work, children need a safe place to be with their friends, with structured activities, supportive adults, and good nutrition.

Afterschool programs that participate in CACFP give children and teenagers the nutrition they need, and draw them into constructive activities that are safe, fun, and filled with opportunities for learning.";"http://www.kidzpalace.org/contact-us-2/";"https://www.facebook.com/kidzpalaceafterschool";;;;;"n";"n";"n";"n";"y";"y";"http://www.kidzpalace.org/wp-content/uploads/2013/12/kidz-palace-kp-web1.jpg";;;;;;
1091403;"Little Sprouts Learning Center LLC";"802 East Kiehl Ave";"Sherwood";"AR";72120;"PULASKI";"(501) 533-7393";"https://www.facebook.com/pages/Little-Sprouts-Learning-Center/1432483300299608";"littlesprouts802@gmail.com";"Welcome to the official Facebook page of Little Sprouts Learning Center. We are very proud of our innovative facility that provides effective educational program for children ages 6wks. through 4 years old. We provide before and after school care plus tutoring for students as needed.";"https://www.facebook.com/pages/Little-Sprouts-Learning-Center/1432483300299608";"https://www.facebook.com/pages/Little-Sprouts-Learning-Center/1432483300299608";"M-F from 6am-10pm";;;;"y";"y";"y";"y";"y";"y";;;;;;;
1091401;"Busy Bees at Patticake's Preschool, Inc.";"1924 West Main Street Suite A";"Jacksonville";"AR";72076;"PULASKI";"(501) 985-2337";"https://www.facebook.com/pages/Busy-Bees-at-Patticakes-Preschool-Inc/518619628257485";"BUSYBEEPRESCHOOL@OUTLOOK.COM";"Busy Bees at Patticake's Preschool is the best childcare situation that you could put your child in!!!!!";"https://www.facebook.com/pages/Busy-Bees-at-Patticakes-Preschool-Inc/518619628257485";"https://www.facebook.com/pages/Busy-Bees-at-Patticakes-Preschool-Inc/518619628257485";"6:00 am - 6:30 pm";;;;"n";"n";"y";"y";"n";"n";"https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10254021_547218658730915_3053545049860779957_n.jpg?oh=afa546b65cf92938ee8cbbd4c7ea320e&oe=559836AA&__gda__=1437367744_dd5a2732ab88485082cdee13b677d430";;;;;;
1091400;"Bright Beginning Child Care Center";"5001 Camp Robinson Road";"North Little Rock";"AR";72118;"PULASKI";"(501) 771-0114";;;;;;;;;;;;;;;;;;;;;"Y";
1091399;"Harris Elementary School";"4424 Highway 161 North";"North Little Rock";"AR";72117;"PULASKI";"(501) 955-3550";;;;;;;;;;;;;;;;;;;;;"Y";
1091396;"Save the Children Head Start Dover";"8952 Market StreetUnits 3 & 4";"Dover";"AR";72837;"POPE";"(479) 331-0753";;;;;;;;;;;;;;;;;;;;;"Y";
1091397;"Save the Children Head Start Dover Infant/Toddler";"5979 North Arkansas Avenue";"Russellville";"AR";72802;"POPE";"(479) 498-9414";"http://arheadstart.org/start/index.php?option=com_content&view=article&id=67&showall=1";;"The purpose of the Arkansas Head Start Association includes working to ensure availability of comprehensive early childhood education and high-quality services for children and families in Arkansas. The AHSA is a 501(c)(3) non-profit organization.";"http://arheadstart.org/start/index.php?option=com_content&view=article&id=67&showall=1";;;"http://arheadstart.org/index.php?option=com_content&view=article&id=200&Itemid=319";"http://arheadstart.org/index.php?option=com_content&view=article&id=164&Itemid=192";;"n";"n";"y";"y";"n";"n";;;;;;;
1091398;"Save The Children Head Start Russellville";"507 N Elmira Ave";"Russellville";"AR";72811;"POPE";"(479) 498-6502/EHS: (479) 498-6504";"http://arheadstart.org/start/index.php?option=com_content&view=article&id=67&showall=1";"rsvlcd@triregionhs.org";"The purpose of the Arkansas Head Start Association includes working to ensure availability of comprehensive early childhood education and high-quality services for children and families in Arkansas. The AHSA is a 501(c)(3) non-profit organization.";"http://arheadstart.org/start/index.php?option=com_content&view=article&id=67&showall=1";;;"http://arheadstart.org/index.php?option=com_content&view=article&id=200&Itemid=319";"http://arheadstart.org/index.php?option=com_content&view=article&id=164&Itemid=192";;"n";"n";"y";"y";"n";"n";;;;;;;
1091394;"Save The Children Head Start Appleton";"20189 SR 124";"Atkins";"AR";72823;"POPE";"(479) 284-0977";"http://arheadstart.org/start/index.php?option=com_content&view=article&id=67&showall=1";"appleton@triregionhs.org";"The purpose of the Arkansas Head Start Association includes working to ensure availability of comprehensive early childhood education and high-quality services for children and families in Arkansas. The AHSA is a 501(c)(3) non-profit organization.";"http://arheadstart.org/start/index.php?option=com_content&view=article&id=67&showall=1";;;"http://arheadstart.org/index.php?option=com_content&view=article&id=200&Itemid=319";"http://arheadstart.org/index.php?option=com_content&view=article&id=164&Itemid=192";;"n";"n";"y";"y";"n";"n";;;;;;;
1091395;"Save the Children Head Start Crawford";"1116 North Parker Road";"Russellville";"AR";72801;"POPE";"(479) 967-1624";"http://arheadstart.org/start/index.php?option=com_content&view=article&id=67&showall=1";"crawford@triregionhs.org";"The purpose of the Arkansas Head Start Association includes working to ensure availability of comprehensive early childhood education and high-quality services for children and families in Arkansas. The AHSA is a 501(c)(3) non-profit organization.";"http://arheadstart.org/start/index.php?option=com_content&view=article&id=67&showall=1";;;"http://arheadstart.org/index.php?option=com_content&view=article&id=200&Itemid=319";"http://arheadstart.org/index.php?option=com_content&view=article&id=164&Itemid=192";;"n";"n";"y";"y";"n";"n";;;;;;;
1091319;"Shaw Elementary Pre-K";"4337 Grimsley Road";"Springdale";"AR";72762;"WASHINGTON";"(479) 750-8895";;;;;;;;;;;;;;;;;;;;;"Y";
1091393;"Save the Children Head Start Mena";"606 Pine Avenue";"Mena";"AR";71953;"POLK";"(479) 394-1110";"http://arheadstart.org/start/index.php?option=com_content&view=article&id=67&showall=1";"mena@triregionhs.org";"The purpose of the Arkansas Head Start Association includes working to ensure availability of comprehensive early childhood education and high-quality services for children and families in Arkansas. The AHSA is a 501(c)(3) non-profit organization.";"http://arheadstart.org/start/index.php?option=com_content&view=article&id=67&showall=1";;;"http://arheadstart.org/index.php?option=com_content&view=article&id=200&Itemid=319";"http://arheadstart.org/index.php?option=com_content&view=article&id=164&Itemid=192";;"n";"n";"y";"y";"n";"n";;;;;;;
1091390;"Day Springs of Trumann";"339 Highway 463 N";"Trumann";"AR";72472;"POINSETT";"(870) 483-7039";;;;;;;;;;;;;;;;;;;;;"Y";
1091391;"Mary Ann Arnold";"99 West Hwy 163";"Marked Tree";"AR";72365;"POINSETT";"(870) 358-3083";;;;;;;;;;;;;;;;;;;;;"Y";
