"Referring Page URL";"Referring Page Title";"Link URL";"Link Anchor";"correct link";
"https://childcarecenter.us/provider_detail/ressurection_catholic_church_preschool_burtonsville_md";"Ressurection Catholic Church Preschool | Burtonsville MD";"https://resurrectionadw.org/preschool.html";"http://resurrectionadw.org/preschool.html";"http://adw.org/school/resurrection-catholic-church-preschool/";
"https://childcarecenter.us/provider_detail/misd_childrens_house_la_jolla_ca";"M.I.S.D. CHILDREN'S HOUSE | LA JOLLA CA DAY CARE CENTER";"https://misdami.org/misd-childrenshouse/";"http://www.misdami.org/misd-childrenshouse/";"http://artssciencesmontessori.org/";
"https://childcarecenter.us/provider_detail/asbury_child_development_center_wichita_ks";"Asbury Child Development Center | Wichita KS Child Care Center";"https://asburychurch.org/en/portfolio-view/cdc/";"http://asburychurch.org/portfolio-view/cdc/";"http://asburyschools.com/";
"https://childcarecenter.us/provider_detail/a_shining_star_preschool_inc_mesa_az";"A SHINING STAR PRESCHOOL INC. | MESA AZ CHILD CARE CENTER";"https://www.directdomains.com/profile/ashiningstarpreschool.com?domain=ashiningstarpreschool.com";"http://ashiningstarpreschool.com/";"http://ashiningstars.com/";
"https://childcarecenter.us/provider_detail/blue_mountain_elementary_preschool_program_longmont_co";"Blue Mountain Elementary Preschool Program | Longmont CO";"http://www.stvrain.k12.co.us/sv_error/404.php";"http://bmes.stvrain.k12.co.us/kinderlynx.html";"http://bmes.svvsd.org/about/preschool";
"https://childcarecenter.us/provider_detail/blue_mountain_elementary_preschool_program_longmont_co";"Blue Mountain Elementary Preschool Program | Longmont CO";"http://www.svvsd.org/sv_error/404.php";"http://bmes.stvrain.k12.co.us/kinderlynx.html";"http://bmes.svvsd.org/academics/preschool";
"https://childcarecenter.us/provider_detail/brogden_primary_school_dudley_nc";"BROGDEN PRIMARY SCHOOL | DUDLEY NC Five Star Center License";"http://www.waynecountyschools.org/Page/1262";"http://www.waynecountyschools.org/Page/1262";"http://bps314.waynecountyschools.org/";
"https://childcarecenter.us/provider_detail/black_rock_elementary_childcare_erie_co";"Black Rock Elementary Childcare | Erie CO";"http://www.stvrain.k12.co.us/academicsPrograms/preschoolKindergarten/";"http://www.stvrain.k12.co.us/academicsPrograms/preschoolKindergarten/";"http://bres.svvsd.org/updates/preschool-information";
"https://childcarecenter.us/provider_detail/black_rock_elementary_preschool_erie_co";"Black Rock Elementary Preschool | Erie CO Child Care Center";"http://www.stvrain.k12.co.us/academicsPrograms/preschoolKindergarten/";"http://www.stvrain.k12.co.us/academicsPrograms/preschoolKindergarten/";"http://bres.svvsd.org/updates/preschool-information";
"https://childcarecenter.us/provider_detail/burr_elementary_child_care_ctr_sterling_hgts_mi";"Burr Elementary Child Care Ctr | STERLING HEIGHTS MI CHILD CARE CENTER";"http://www.uticak12.org/ucsmain.asp";"http://www.uticak12.org/ucsmain.asp";"http://burr.uticak12.org/";
