"Referring Page URL";"Referring Page Title";"Link URL";"Link Anchor";"Correct link";"Does not have website other link";" "
"https://childcarecenter.us/provider_detail/kracker_jack_palace_child_care_day_care_home_harper_ks";"Kracker Jack Palace Child Care Day Care Home | Harper KS";"http://www.harpercountyks.gov/DocumentCenter/Home/View/224";"http://www.harpercountyks.gov/DocumentCenter/Home/View/224";" ";;
"https://childcarecenter.us/provider_detail/84520_first_presbyterian_church_kindergarten_terrell_tx";"First Presbyterian Church Kindergarten | TERRELL TX";"http://www.fpcterrell.org/Kindergarten_Information.html";"http://www.fpcterrell.org/Kindergarten_Information.html";"https://www.facebook.com/pages/First-Presbyterian-Church-Kindergarten/347598485420612";;
"https://childcarecenter.us/provider_detail/stanford_madera_grove_childrens_center_stanford_ca";"Stanford Madera Grove Children's Center | STANFORD CA INFANT CENTER";"http://www.kindercare.com/center/ca/stanford-madera-grove-childrens-center";"http://www.cclc.com/center/ca/stanford-madera-grove-childrens-center";;;
"https://childcarecenter.us/provider_detail/lil_explorers_child_care_learning_center_mcalester_ok";"Li'l Explorers Child Care & Learning Center | MCALESTER OK Child Care Center";"http://www.lilexplorersok.com/child-day-care";"http://lilexplorersok.com/child-day-care";"https://www.facebook.com/pg/Lil-Explorers-Child-Care-Learning-Center-164972270318881/about/?ref=page_internal";;
"https://childcarecenter.us/provider_detail/hinesburg_nursery_school_hinesburg_vt";"Hinesburg Nursery School | Hinesburg VT Center Based Child Care and Preschool Program - Licensed Provider";"http://www.hinesburgnurseryschool.org/program";"http://www.hinesburgnurseryschool.org/program";"hinesburgnurseryschool.org";;
"https://childcarecenter.us/provider_detail/anderson_elementary_conley_ga";"Anderson Elementary | Conley GA Local School System";"http://www.clayton.k12.ga.us/facilities/Schools/101.asp";"http://www.clayton.k12.ga.us/facilities/Schools/101.asp";"http://101.clayton.k12.ga.us/programs/after_school";;
"https://childcarecenter.us/provider_detail/callaway_elementary_school_jonesboro_ga";"Callaway Elementary School | Jonesboro GA Local School System";"http://www.clayton.k12.ga.us/facilities/Schools/133.asp";"http://www.clayton.k12.ga.us/facilities/Schools/133.asp";"http://101.clayton.k12.ga.us/programs/after_school";;
"https://childcarecenter.us/provider_detail/suitland_community_center_forestville_md";"Suitland Community Center | Forestville MD";"http://www.pgparks.com/Things_To_Do/Child_Care_Programs.htm";"http://www.pgparks.com/Things_To_Do/Child_Care_Programs.htm";"http://161.58.91.113/Things_To_Do/Community_Centers/Suitland_Community_Center.htm";;
"https://childcarecenter.us/provider_detail/treasure_house_child_development_center_south_abington_township_pa";"TREASURE HOUSE CHILD DEVELOPMENT CENTER | South Abington Township PA Child Care Center";"http://www.nechildcare.org/earlylearning.htm";"http://www.nechildcare.org/earlylearning.htm";"http://abingtonacademy.com/";;
"https://childcarecenter.us/provider_detail/irvine_valley_college_child_development_center_irvine_ca";"Irvine Valley College Child Development Center | IRVINE CA";"http://www.ivc.edu/resources/cdc/Pages/default.aspx";"http://www.ivc.edu/resources/cdc/Pages/default.aspx";"http://academics.ivc.edu/sbs/earlychildhood/Pages/default.aspx";;
