"Referring Page URL";"Referring Page Title";"Link URL";"Link Anchor";"correct link"
"http://childcarecenter.us/provider_detail/1st_choice_after_school_kare_edmonson_loveland_co";"1ST CHOICE AFTER SCHOOL KARE - EDMONSON | Loveland CO School age child care";"http://www.1stchoiceask.com/index.htm";"http://1stchoiceask.com/index.htm";
"http://childcarecenter.us/provider_detail/1st_choice_after_school_kare_ft_collins_fort_collins_co";"1ST CHOICE AFTER SCHOOL KARE - FT COLLINS | Fort Collins CO School age child care";"http://www.1stchoiceask.com/index.htm";"http://1stchoiceask.com/index.htm";"https://www.1stchoiceask.com/contact-us.html"
"http://childcarecenter.us/provider_detail/1st_choice_after_school_kare_mary_blair_loveland_co";"1ST CHOICE AFTER SCHOOL KARE - MARY BLAIR | Loveland CO School age child care";"http://www.1stchoiceask.com/index.htm";"http://1stchoiceask.com/index.htm";
"http://childcarecenter.us/provider_detail/1st_choice_after_school_kare_winona_loveland_co";"1ST CHOICE AFTER SCHOOL KARE - WINONA | Loveland CO School age child care";"http://www.1stchoiceask.com/index.htm";"http://1stchoiceask.com/index.htm";"https://www.1stchoiceask.com/contact-us.html"
"http://childcarecenter.us/provider_detail/55682_first_united_methodist_church_daycare_hopkinsville_ky";"First United Methodist Church Daycare | Hopkinsville KY Family Child Care - Licensed Type I";"http://hopfumc.org/668317/";"http://hopfumc.org/668317";"http://hopfumc.org/student-ministries/childrens-activities/?view=mobile"
"http://childcarecenter.us/provider_detail/56788_jessamine_county_head_start_center_wilmore_ky";"Jessamine County Head Start Center | Wilmore KY Family Child Care - Licensed Type I";"http://www.bluegrasscommunityaction.org/Pages/jessamine.html";"http://www.bluegrasscommunityaction.org/Pages/jessamine.html";"http://www.bluegrasscommunityaction.org/bgcap_head_start.html"
"http://childcarecenter.us/provider_detail/59996_acap_child_and_family_center_at_caribou_caribou_me";"ACAP - Child & Family Center At Caribou | Caribou ME Child Care Center";"http://www.acap-me.org/Child_and_Family_Services/child_care.cfm";"http://www.acap-me.org/Child_and_Family_Services/child_care.cfm";"https://www.acap-me.org/family-services.html"
"http://childcarecenter.us/provider_detail/60001_acap_mars_hill_mars_hill_me";"ACAP - Mars Hill | Mars Hill ME Child Care Center";"http://www.acap-me.org/Child_and_Family_Services/child_care.cfm";"http://www.acap-me.org/Child_and_Family_Services/child_care.cfm";"https://www.acap-me.org/family-services.html"
"http://childcarecenter.us/provider_detail/60432";"City Of Augusta - Hussey Site | Augusta ME Child Care Center";"http://www.augustaschools.org/schools/hussey_elementary_school/index.htm";"http://www.augustaschools.org/schools/hussey_elementary_school/index.htm";"http://www.augustaschools.org/schools/lillian_p_hussey_elementary_school/index.php"
"http://childcarecenter.us/provider_detail/60435";"City Of Augusta-Childcare Bureau-Lincoln Site | Augusta ME Child Care Center";"http://www.augustaschools.org/schools/lincoln_elementary_school/index.htm";"http://www.augustaschools.org/schools/lincoln_elementary_school/index.htm";"http://www.augustaschools.org/schools/lincoln_elementary_school/index.php"
