"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"detail";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
151152;"SANTA PAULA CHILD DEVELOPMENT";"11TH & SANTA PAULA STREETS";"SANTA PAULA";"CA";93060;"VENTURA";"(805)933-8947";;;;;;;;;;;;;;;;;;;;;"Y";
151153;"SANTA PAULA HEAD START";"1400 EAST HARVARD BLVD.";"SANTA PAULA";"CA";93060;"VENTURA";"(805)525-9516";"https://www.childdevelopmentresources.org/TextPages/child_care_centers.aspx";"info@cdrv.org";"Child Development Resources (CDR) enriches and strengthens the lives of children and their families in Ventura County through high quality children’s programs.  CDR actively seeks to develop, secure and promote a variety of programs and resources to serve the needs of children, families and the community of Ventura County.";"https://www.childdevelopmentresources.org/TextPages/child_care_centers.aspx";;;;;;"n";"n";"y";"y";"n";"n";"https://www.childdevelopmentresources.org/masterimages/Agency-Logo.jpg";"https://www.childdevelopmentresources.org/SiteImages/TREEHOUSE_Child.jpg";"https://www.childdevelopmentresources.org/SiteImages/ChildCare_f02.jpg";"https://www.childdevelopmentresources.org/SiteImages/ChildCare_f03.jpg";"https://www.childdevelopmentresources.org/SiteImages/CDR_hq_location.jpg";;
143096;"4C'S BELLEVUE STATE PRESCHOOL";"3223 PRIMROSE AVE.";"SANTA ROSA";"CA";95407;"SONOMA";"(707) 526-6901";"http://www.sonoma4cs.org/pub/center/bellevue-preschool.html";"swhipple@sonoma4cs.org";"The mission of the Community Child Care Council is to inspire our community to support the well-being of every child and to improve the quality and availability of child care in Sonoma County. ";"http://www.sonoma4cs.org/pub/center/bellevue-preschool.html";"https://www.facebook.com/sonoma4cs";"8:15am-3:45pm";"http://www.sonoma4cs.org/pub/htdocs/opportunities.html";;;"n";"n";"y";"y";"n";"n";;"http://www.sonoma4cs.org/imgs/BellevueSP.JPG";"http://www.sonoma4cs.org/images/rotate3.jpg";"http://www.sonoma4cs.org/imgs/boypaintingWeb.JPG";"http://www.sonoma4cs.org/imgs/4Cs_GirlOnPhone.JPG";;
143097;"4C'S BENNETT VALLEY CHILD DEVELOPMENT CENTER";"2250 MESQUITE DRIVE";"SANTA ROSA";"CA";95405;"SONOMA";"(707)542-6272";"http://www.sonoma4cs.org/pub/center/bennet-valley-center.html";"swhipple@sonoma4cs.org";"The mission of the Community Child Care Council is to inspire our community to support the well-being of every child and to improve the quality and availability of child care in Sonoma County. ";"http://www.sonoma4cs.org/pub/center/bennet-valley-center.html";"https://www.facebook.com/sonoma4cs";"7:00 a.m. - 5:30 p.m. ";"http://www.sonoma4cs.org/pub/htdocs/opportunities.html";;;"n";"n";"y";"y";"n";"n";;"http://www.sonoma4cs.org/imgs/BennettValley.JPG";"http://www.sonoma4cs.org/imgs/cirvil.jpg";"http://www.sonoma4cs.org/imgs/lemur.jpg";"http://www.sonoma4cs.org/imgs/vege.jpg";;
143103;"4C'S PAULIN CREEK CDC - PRESCHOOL";"2614 PAULIN DRIVE";"SANTA ROSA";"CA";95403;"SONOMA";"(707)565-3420";"http://www.sonoma4cs.org/pub/center/paulin-creek.html";"swhipple@sonoma4cs.org";"The mission of the Community Child Care Council is to inspire our community to support the well-being of every child and to improve the quality and availability of child care in Sonoma County. ";"http://www.sonoma4cs.org/pub/center/paulin-creek.html";"https://www.facebook.com/sonoma4cs";"7:00 am - 5:30 pm ";"http://www.sonoma4cs.org/pub/htdocs/opportunities.html";;;"n";"n";"y";"y";"n";"n";;"http://www.sonoma4cs.org/imgs/Kids_grating_cheesePCCDCWeb.JPG";"http://www.sonoma4cs.org/images/rotate3.jpg";"http://www.sonoma4cs.org/imgs/boypaintingWeb.JPG";"http://www.sonoma4cs.org/imgs/4Cs_GirlOnPhone.JPG";;
143107;"4C'S WILLOW CREEK STATE PRESCHOOL";"2536 MARLOW ROAD";"SANTA ROSA";"CA";95403;"SONOMA";"(707)528-2813";"http://www.sonoma4cs.org/pub/center/willow-creek.html";"swhipple@sonoma4cs.org";"The mission of the Community Child Care Council is to inspire our community to support the well-being of every child and to improve the quality and availability of child care in Sonoma County. ";"http://www.sonoma4cs.org/pub/center/willow-creek.html";"https://www.facebook.com/sonoma4cs";;"http://www.sonoma4cs.org/pub/htdocs/opportunities.html";;;"n";"n";"y";"y";"n";"n";;"http://www.sonoma4cs.org/imgs/WCSPGirlsWeb.JPG";"http://www.sonoma4cs.org/images/rotate3.jpg";"http://www.sonoma4cs.org/imgs/boypaintingWeb.JPG";"http://www.sonoma4cs.org/imgs/4Cs_GirlOnPhone.JPG";;
143108;"4C'S WINDSOR STATE PRESCHOOL";"79 PLEASANT AVENUE";"SANTA ROSA";"CA";95403;"SONOMA";"(707)836-7068";"http://www.sonoma4cs.org/pub/center/windsor-state.html";"swhipple@sonoma4cs.org";"The mission of the Community Child Care Council is to inspire our community to support the well-being of every child and to improve the quality and availability of child care in Sonoma County. ";"http://www.sonoma4cs.org/pub/center/windsor-state.html";"https://www.facebook.com/sonoma4cs";;"http://www.sonoma4cs.org/pub/htdocs/opportunities.html";;;"n";"n";"y";"y";"n";"n";;"http://www.sonoma4cs.org/imgs/KidsWaterBucketsWeb.JPG";"http://www.sonoma4cs.org/images/rotate3.jpg";"http://www.sonoma4cs.org/imgs/boypaintingWeb.JPG";"http://www.sonoma4cs.org/imgs/4Cs_GirlOnPhone.JPG";;
143110;"4CS KAWANA STATE PRESCHOOL";"2121 MORAGA DR.";"SANTA ROSA";"CA";95404;"SONOMA";"(707) 542-4517 ";"http://www.sonoma4cs.org/pub/center/kawana-state.html";"swhipple@sonoma4cs.org";"The mission of the Community Child Care Council is to inspire our community to support the well-being of every child and to improve the quality and availability of child care in Sonoma County. ";"http://www.sonoma4cs.org/pub/center/kawana-state.html";"https://www.facebook.com/sonoma4cs";;"http://www.sonoma4cs.org/pub/htdocs/opportunities.html";;;"n";"n";"y";"y";"n";"n";;"http://www.sonoma4cs.org/imgs/boys_runningWebSmall.jpg";"http://www.sonoma4cs.org/images/rotate3.jpg";"http://www.sonoma4cs.org/imgs/boypaintingWeb.JPG";"http://www.sonoma4cs.org/imgs/4Cs_GirlOnPhone.JPG";;
143157;"A SPECIAL PLACE";"1128 EDWARDS AVENUE";"SANTA ROSA";"CA";95401;"SONOMA";"(707)523-2337";"http://www.kintera.org/site/c.7pLNLVPpEbLWH/b.7966389/k.8432/A_Special_Place.htm";"tporter@ywcasc.org";"The YWCA offers the only therapeutic preschool for 3-5 year olds in Sonoma County.  The teachers are credentialed by the State of California Department of Education in Early Childhood Education with an emphasis on Social-Emotional and Self-Regulation.  As a therapeutic preschool, we work extensively with at-risk children, helping them identify their emotions and develop socially.  As a state subsidized preschool, we follow the Department of Education framework for early learning curriculum and the children are assessed through DRDP (Desired Results Developmental Profiles) observations to chart their development.";"http://www.kintera.org/site/c.7pLNLVPpEbLWH/b.7966389/k.8432/A_Special_Place.htm";"https://www.facebook.com/pages/YWCA-Sonoma-County/150620728191?sk=wall";"Monday through Friday from 8:00am to 3:30pm";"http://www.kintera.org/site/c.7pLNLVPpEbLWH/b.8958839/k.6973/Employment_Opportunities/apps/s/link.asp";;;"n";"n";"y";"y";"n";"n";"http://www.kintera.org/atf/cf/%7BC69447F6-034A-4B17-A4F0-3B449C893882%7D/logo_YWCA_int.png";"http://www.kintera.org/atf/cf/%7BC69447F6-034A-4B17-A4F0-3B449C893882%7D/ASPFront_500pxW.jpg";;;;;
932326;"APPLES AND BANANAS PRESCHOOL-ROSELAND SCHOOL DIST.";"1931 BIWANA DRIVE";"SANTA ROSA";"CA";95407;"SONOMA";"(707) 545-0102";"http://www.sonoma4cs.org/pub/center/abs-preschool";"swhipple@sonoma4cs.org";"The mission of the Community Child Care Council is to inspire our community to support the well-being of every child and to improve the quality and availability of child care in Sonoma County. ";"http://www.sonoma4cs.org/pub/center/abs-preschool";"https://www.facebook.com/pages/YWCA-Sonoma-County/150620728191?sk=wall";;"http://www.kintera.org/site/c.7pLNLVPpEbLWH/b.8958839/k.6973/Employment_Opportunities/apps/s/link.asp";;;"n";"n";"y";"y";"n";"n";;"http://www.sonoma4cs.org/imgs/PreschoolCollegeBound.jpg";"http://www.sonoma4cs.org/imgs/BearSleep255x191.JPG";"http://www.sonoma4cs.org/imgs/BearPajamaDay197x263.JPG";"http://www.sonoma4cs.org/imgs/The_root_children%283%29.JPG";;
143783;"BENNETT VALLEY MONTESSORI - PRESCHOOL";"2810 SUMMERFIELD ROAD";"SANTA ROSA";"CA";95405;"SONOMA";"(707)537-8889";;;;;;;;;;;;;;;;;;;;;"Y";
144799;"CHILDREN'S LEARNING CENTER - PRESCHOOL";"1213 W. STEELE LANE";"SANTA ROSA";"CA";95403;"SONOMA";"(707) 575-7486 or (707) 575-7179 ";"http://www.childrenslearningctr.com/santa_rosa/contact.htm";"info@childrenslearningctr.com";"Children’s Learning Center is committed to providing families of all economic backgrounds with fair-affordable-quality childcare. It is also our belief that “it takes a village to raise a child.” We consider it a privilege to care for and educate the young children in our community. Our purpose is to provide our students and their families with an environment of acceptance and opportunities for success. Our hope is to develop in each child a love of learning and an “I can” - “Let me try” attitude. ";"http://www.childrenslearningctr.com/santa_rosa/contact.htm";;"6AM - 6:30PM";;;;"n";"y";"y";"y";"n";"n";;;;;;;
