"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
676756;"YOUTH ENRICHMENT SERVICES INC";"824 EAST 14TH STREET";"SIOUX FALLS";"SD";57104;"MINNEHAHA";"(605) 338-8061";"http://www.youthenrichment.org/locations/4585979063";"info@youthenrichment.org";"The mission of Youth Enrichment Services, Inc. is to enrich and develop the lives of children, youth and families in the Sioux Empire through comprehensive and educational services necessary to meet evolving needs. ";"http://www.youthenrichment.org/locations/4585979063";"https://www.facebook.com/Youth-Enrichment-Services-109351440875/timeline/";"Mon-Fri: 
6:30 am-6:00 pm";"http://www.youthenrichment.org/volunteer-careers/4585979065";"http://www.youthenrichment.org/enroll-now/4586017309";;"y";"y";"y";"y";"y";"y";"http://www.youthenrichment.org/communities/8/004/012/790/258//images/4612918711_221x81.png";;;;;;
676776;"YES EASTSIDE LEARNING CENTER";"700 S. SNEVE AVENUE";"SIOUX FALLS";"SD";57103;"MINNEHAHA";"(605) 339-2095";"http://www.youthenrichment.org/locations/4585979063";"info@youthenrichment.org";"The mission of Youth Enrichment Services, Inc. is to enrich and develop the lives of children, youth and families in the Sioux Empire through comprehensive and educational services necessary to meet evolving needs. ";"http://www.youthenrichment.org/locations/4585979063";"https://www.facebook.com/Youth-Enrichment-Services-109351440875/timeline/";"https://www.facebook.com/Youth-Enrichment-Services-109351440875/timeline/";"http://www.youthenrichment.org/volunteer-careers/4585979065";"http://www.youthenrichment.org/enroll-now/4586017309";;"y";"y";"y";"y";"y";"y";"http://www.youthenrichment.org/communities/8/004/012/790/258//images/4612918711_221x81.png";;;;;;
676803;"YOUTH & FAMILY SERVICES CDC";"120 E. ADAMS PO BOX 2813";"RAPID CITY";"SD";57709;"PENNINGTON";"(605) 342-4233";"http://www.youthandfamilyservices.org/rapid-city-head-start/contact-head-start/";"info@youthandfamilyservices.org";"Youth & Family Services is a nonprofit organization that has been serving children and their families since 1965. YFS has grown to become one of the largest, most comprehensive youth development programs in western South Dakota. What began as Girls Club of Rapid City has grown to encompass seven cohesive programs that offer education, meals and snacks, health advocacy and support, counseling services, fatherhood and parent enrichment education, and prevention programs.

YFS has a rich history of partnering with other service providers in an effort to have greater impact, be cost effective and avoid duplication of services. Looking to the future, YFS has announced several new critical initiatives that will ensure positive growth and support for future generations.";"http://www.youthandfamilyservices.org/rapid-city-head-start/contact-head-start/";"https://www.facebook.com/Youth-Family-Services-404267680133/timeline/";;;;;"y";"y";"y";"y";"n";"n";;;;;;;
677445;"YMCA ARTS AND SCIENCE CENTER";"830 QUINCY STREET";"RAPID CITY";"SD";57701;"PENNINGTON";"(605) 718-5437";;;;;;;;;;;;;;;;;;;;;"Y";
677809;"YWCA KIDS KLUB/LONGFELLOW";"110 N MENTZER STREET";"MITCHELL";"SD";57301;"DAVISON";"(605) 996-4311";"http://www.ywcamitchellsd.org/kids--klub.html";"ywcamitchell@mitchelltelecom.net ";"Mission Statement: YWCA Kids' Klub enriches the lives of children by providing a safe, educational, caring environment in the Mitchell Community.

YWCA Kids' Klub is a childcare program that provides after school care in a classroom setting for children ages five to twelve. This low cost, high quality program operates at the four elementary schools in Mitchell: Gertie Bell Rogers, LB Williams, Longfellow, and John Paul II. As a state licensed childcare program, ywca Kids' Klub strives to stimulate the minds of children by providing fun activities and a safe, supervised environment. Hours of operation for Kids' Klub are from 3:15pm to 5:45pm every school day and our student to staff ratio is twelve to one.

The YWCA also provides a Kids' Klub summer program that is available from 7:30am to 5:45pm Monday through Friday during the summer months. ";"http://www.ywcamitchellsd.org/kids--klub.html";;"7:30am to 5:45pm Monday through Friday";;;;"n";"n";"n";"n";"y";"y";;;;;;;
677810;"YWCA KIDS KLUB/JOHN PAUL II";"1510 WEST ELM STREET";"MITCHELL";"SD";57301;"DAVISON";"(605) 996-4311";"http://www.ywcamitchellsd.org/kids--klub.html";"ywcamitchell@mitchelltelecom.net ";"Mission Statement: YWCA Kids' Klub enriches the lives of children by providing a safe, educational, caring environment in the Mitchell Community.

YWCA Kids' Klub is a childcare program that provides after school care in a classroom setting for children ages five to twelve. This low cost, high quality program operates at the four elementary schools in Mitchell: Gertie Bell Rogers, LB Williams, Longfellow, and John Paul II. As a state licensed childcare program, ywca Kids' Klub strives to stimulate the minds of children by providing fun activities and a safe, supervised environment. Hours of operation for Kids' Klub are from 3:15pm to 5:45pm every school day and our student to staff ratio is twelve to one.

The YWCA also provides a Kids' Klub summer program that is available from 7:30am to 5:45pm Monday through Friday during the summer months. ";"http://www.ywcamitchellsd.org/kids--klub.html";;"7:30am to 5:45pm Monday through Friday";;;;"n";"n";"n";"n";"y";"y";;;;;;;
677811;"YWCA KIDS KLUB/GERTIE BELLE ROGERS";"1301 NORTH KIMBALL STREET";"MITCHELL";"SD";57301;"DAVISON";"(605) 996-4311";"http://www.ywcamitchellsd.org/kids--klub.html";"ywcamitchell@mitchelltelecom.net ";"Mission Statement: YWCA Kids' Klub enriches the lives of children by providing a safe, educational, caring environment in the Mitchell Community.

YWCA Kids' Klub is a childcare program that provides after school care in a classroom setting for children ages five to twelve. This low cost, high quality program operates at the four elementary schools in Mitchell: Gertie Bell Rogers, LB Williams, Longfellow, and John Paul II. As a state licensed childcare program, ywca Kids' Klub strives to stimulate the minds of children by providing fun activities and a safe, supervised environment. Hours of operation for Kids' Klub are from 3:15pm to 5:45pm every school day and our student to staff ratio is twelve to one.

The YWCA also provides a Kids' Klub summer program that is available from 7:30am to 5:45pm Monday through Friday during the summer months. ";"http://www.ywcamitchellsd.org/kids--klub.html";;"7:30am to 5:45pm Monday through Friday";;;;"n";"n";"n";"n";"y";"y";;;;;;;
677812;"YWCA KIDS KLUB/LB WILLIAMS";"1420 UNIVERSITY AVENUE";"MITCHELL";"SD";57301;"DAVISON";"(605) 996-4311";"http://www.ywcamitchellsd.org/kids--klub.html";"ywcamitchell@mitchelltelecom.net ";"Mission Statement: YWCA Kids' Klub enriches the lives of children by providing a safe, educational, caring environment in the Mitchell Community.

YWCA Kids' Klub is a childcare program that provides after school care in a classroom setting for children ages five to twelve. This low cost, high quality program operates at the four elementary schools in Mitchell: Gertie Bell Rogers, LB Williams, Longfellow, and John Paul II. As a state licensed childcare program, ywca Kids' Klub strives to stimulate the minds of children by providing fun activities and a safe, supervised environment. Hours of operation for Kids' Klub are from 3:15pm to 5:45pm every school day and our student to staff ratio is twelve to one.

The YWCA also provides a Kids' Klub summer program that is available from 7:30am to 5:45pm Monday through Friday during the summer months. ";"http://www.ywcamitchellsd.org/kids--klub.html";;"7:30am to 5:45pm Monday through Friday";;;;"n";"n";"n";"n";"y";"y";;;;;;;
1081789;"YOUTH & FAMILY SERVICES CDC MONROE";"410 EAST MONROE ST. PO BOX 2813";"RAPID CITY";"SD";57709;"PENNINGTON";"(605) 341-6448";;;;;;;;;;;;;;;;;;;;;"Y";
1081462;"YMCA YOUTH DEVELOPMENT CENTER";"6 STATE ST S";"ABERDEEN";"SD";57401;"BROWN";"(605) 225-7113";"http://www.aberdeenymca.org/childcare/ydc.html";"info@aberdeenymca.org";"Selecting the right child care program is a big step for a parent to take. It can influence how well a child learns, studies and plays. It can also determine how he or she sees the world. It is exactly for these reasons that so many parents trust the YMCA to care for their children.

For more than 25 years, the Aberdeen Family Y has been providing services to our community though various child care related programs. Today, our child care facilities offer a wide range of programs for infants through pre-teens.

The Youth Development Center is open 52 weeks a year. This includes school release days and during the summer. We also provide transportation from area schools. If you plan to start sizing up child care programs in the near future, we ask you to remember one thing, our 25 year record of caring for children is tough to measure up to. ";"http://www.aberdeenymca.org/childcare/ydc.html";;"Monday - Friday, 6:30am - 6pm";"http://www.aberdeenymca.org/facilities_staff/careers.html";;;"y";"y";"y";"y";"y";"y";"http://www.aberdeenymca.org/new/banner4c.jpg";;;;;;
