"id";"name";"address";"city";"state";"zip";"county";"phone";"location website";"email";"details";"main url";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour"
1170941;"AMANI ACADEMY INC";"131 EAST MOHAVE ROAD";"TUCSON";"AZ";85705;"PIMA";"(520)777-3864";;;"Permanently Closed";;;;;;;;;;;;;"7AM - 7PM";"7AM - 7PM";"7AM - 7PM";"7AM - 7PM";"7AM - 7PM";"Closed";"Closed"
1170942;"AZ KIDZ PRESCHOOL/ DAYCARE, LLC";"650 WEST COMBS ROAD";"QUEEN CREEK";"AZ";85140;"MARICOPA";"(480)686-1545";"https://azkidz.weebly.com/";"azkidz11@yahoo.com";"Az Kidz recognizes that each child is an individual; that all children are creative; and that all children need to succeed. Therefore, Az Kidz respects the
individual needs of all children; fosters a caring and creative environment;
and emphasizes the social, emotional, physical, and intellectual
development of each child.";"https://azkidz.weebly.com/";"https://www.facebook.com/azkidz11/";"https://azkidz.weebly.com/contact.html";"https://azkidz.weebly.com/contact.html";"https://azkidz.weebly.com/contact.html";;;;;"x";;"https://azkidz.weebly.com/";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"Closed";"Closed"
1170943;"AZ KIDZ PRESCHOOL/DAYCARE, L.L.C.";"4380 NORTH HUNT HIGHWAY";"FLORENCE";"AZ";85132;"PINAL";"(480)686-1545";;;"Relocated on 650 WEST COMBS ROAD ";;;;;;;;;;;;;;;;;;;
1170944;"BEACON LEARNING CENTER";"8801 NORTH 43RD AVENUE";"PHOENIX";"AZ";85051;"MARICOPA";"(623)934-3286";"http://www.beaconlcaz.org/";;"Beacon Learning Center extends a warm welcome to all parents and their children who are entering our program. It is our hope that the learning and childcare experience will be happy and helpful for all";"http://www.beaconlcaz.org/";;;;;"x";"x";"x";"x";"x";;;;;;;;;
1170945;"BRIGHT HORIZONS AT DOWNTOWN PHOENIX";"150 NORTH 4TH AVENUE";"PHOENIX";"AZ";85003;"MARICOPA";"(602)334-4775";"https://child-care-preschool.brighthorizons.com/AZ/Phoenix/coppersun";"parents@brighthorizons.com";"Part of the Bright Horizons family of top-quality child care centers, Bright Horizons at Downtown Phoenix recognizes the positive result of supporting a lifelong love of learning. We offer high-quality care and education - places that allow parents to go to work knowing their children are happy, safe and well cared for, and where children move to the elementary years socially prepared, excited to learn, and well-versed in the language, math and science skills they'll need to succeed. Explore our website to learn more!";"https://www.brighthorizons.com/";"https://www.facebook.com/BHDowntownPhoenix";"https://jobs.brighthorizons.com/";"https://www.brighthorizons.com/acquisitions";"https://blogs.brighthorizons.com/familyroom/";"x";"x";"x";"x";"x";"x";"https://child-care-preschool.brighthorizons.com/BH/Centers/includes/images/bh-logo.png";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"Closed";"Closed"
1170946;"BRIGHTER ANGELS LEARNING CENTER CENTRAL, L.L.C.";"7227 SOUTH CENTRAL AVENUE #1160";"PHOENIX";"AZ";85042;"MARICOPA";"(623)204-9121";"http://www.brighterangels.com/phoenix.html";;"Welcome to our center! A child is a unique individual at Brighter Angels
Learning Center environment respects the child's unique developmental needs.
We encourage children to express their creativity and we focus on
opportunities for success. We encourage children to think about and reflect
on each decision they make, thus developing their problem solving skills,
creativity and excitement about learning areas are organized to provide
hands-on activities and to encourage children to problem-solve. ";"http://www.brighterangels.com/";"https://www.facebook.com/pages/Brighter-Angels-Learning-Center/115621191831859";"http://www.brighterangels.com/employment.html";"http://www.brighterangels.com/enrollment_reqs.html";"http://www.brighterangels.com/pdf/parent_handbook.pdf";"x";"x";"x";"x";"x";"x";"http://www.brighterangels.com/Menu/menu%20items/menu.gif";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"Closed";"Closed"
1170947;"BRILLIANT SCHOLARS PRESCHOOL";"18185 NORTH 83RD AVENUE STE 113";"GLENDALE";"AZ";85308;"MARICOPA";"(623)463-4555";"http://www.brilliantscholarspreschool.com/";;"Brilliant Scholars Preschool is an academically oriented, year-long school serving 1 to 5 aged students.   We strive to create an environment that will grow your child to be passionate for learning. ";"http://www.brilliantscholarspreschool.com/";"https://www.facebook.com/brilliantscholarspreschool/";;"http://www.brilliantscholarspreschool.com/contact-us.html";;;"x";"x";"x";;"x";"http://www.brilliantscholarspreschool.com/uploads/7/7/1/7/77171673/2208257.png";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"Closed";"Closed"
1170948;"CAURUS EXPLORERS, L.L.C.";"41900 NORTH 42ND AVENUE";"ANTHEM";"AZ";85086;"Maricopa";"(623)551-5083";"https://caurusacademy.org/";"info@caurusacademy.org";"Our students start the day in a happy, nurturing environment. They learn by creating, discovering and exploring curriculum that is often connected to their personal interests. This approach allows a love of learning to flourish. See what a day at Caurus looks like.";"https://caurusacademy.org/";"https://www.facebook.com/caurusacademy01/";"https://caurusacademy.org/employment/";"https://caurusacademy.org/enrollment/";"https://caurusacademy.org/family-handbook/";;;;;"x";"x";"https://caurusacademy.org/wp-content/uploads/square-logo-small.png";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"Closed";"Closed"
1170949;"CHAMPION CHANDLER PRESCHOOL";"250 SOUTH MCQUEEN ROAD";"CHANDLER";"AZ";85225;"MARICOPA";"(480)664-3379";"http://championchandler.org/";"info@championchandler.org";"Champion Schools is powerful learning community for ALL students, regardless of their educational backgrounds. Our learning environment includes many opportunities to work collaboratively. We use common core, project based learning and utilize the community as a laboratory for students to have hands-on experiences. These types of learning activities activate the imagination, stimulate critical thinking and develop problem-solving skills. We believe in every student’s natural desire to learn and want to bring ALL of our students into the educational mainstream by the end of middle school.";"http://championchandler.org/";"https://www.facebook.com/championchandler/";;"http://championchandler.org/enroll-now/";"http://championchandler.org/about-us/handbook/";;;"x";"x";"x";"x";"http://championchandler.org/wp-content/uploads/sites/5/2017/07/Icon_08_MD.png";;;;;;;
1170950;"CLUB ELEVATE";"3801 NORTH MILLER ROAD";"SCOTTSDALE";"AZ";85251;"MARICOPA";"(480)874-3720";"https://www.olphaz.org/school";;"Club Elevate is an extension of the school day, focusing on discipleship, homework help, and enrichment. Registration is required. ";"https://www.olphaz.org/school/about/clubelevate";"http://facebook.com/pages/Our-Lady-of-Perpetual-Help-Scottsdale-Arizona/460009677375385";;"https://www.olphaz.org/school/admissions/re-enrollment";"https://www.olphaz.org/media/1/14/17/Club%20Elevate%20Child%20Care%20Parent%20Handbook%202017.pdf";;;;;"x";;"https://www.olphaz.org/media/1/Our%20Lady%20of%20Perpetual%20Help%20School/About%20OLPH/elevate%20icon.png";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"8AM – 1PM";"Closed";"Closed"
