"provider_id";"date";"stage2_investigation_number";"outcome";"category";"roi_url"
"0011J000017VV6uQAG";" 8/24/2020 ";3079806;" Unfounded ";" Business/Financial ";"https://decl.my.salesforce.com/sfc/p/o0000000IHut/a/1J000000UlSa/wpdTqOhwX2lTRhxUrZjtyxHHN7qtIpY5Oeb5qcyInTQ"
"0011J000017VV6uQAG";" 8/24/2020 ";3079806;" Founded ";" Business/Financial ";"https://decl.my.salesforce.com/sfc/p/o0000000IHut/a/1J000000UlSa/wpdTqOhwX2lTRhxUrZjtyxHHN7qtIpY5Oeb5qcyInTQ"
"0011J000017VV6uQAG";" 8/24/2020 ";3079806;" Unfounded ";" Other ";"https://decl.my.salesforce.com/sfc/p/o0000000IHut/a/1J000000UlSa/wpdTqOhwX2lTRhxUrZjtyxHHN7qtIpY5Oeb5qcyInTQ"
"0011J000017VV6uQAG";" 8/24/2020 ";3079806;" Unfounded ";" Other ";"https://decl.my.salesforce.com/sfc/p/o0000000IHut/a/1J000000UlSa/wpdTqOhwX2lTRhxUrZjtyxHHN7qtIpY5Oeb5qcyInTQ"
"0011J000017VV6uQAG";" 8/24/2020 ";3076747;" Unfounded ";" Harsh Treatment ";"https://decl.my.salesforce.com/sfc/p/o0000000IHut/a/1J000000UlSf/VttNAddpm7NAPKQ8WBZ7jfwpRQeRcDPSw3Qz0R9GwQk"
"0011J000017VV6uQAG";" 8/24/2020 ";3076747;" Founded ";" Business/Financial ";"https://decl.my.salesforce.com/sfc/p/o0000000IHut/a/1J000000UlSf/VttNAddpm7NAPKQ8WBZ7jfwpRQeRcDPSw3Qz0R9GwQk"
"0011J000017VV6uQAG";" 8/24/2020 ";3076747;" Unfounded ";" Facility Condition/safety ";"https://decl.my.salesforce.com/sfc/p/o0000000IHut/a/1J000000UlSf/VttNAddpm7NAPKQ8WBZ7jfwpRQeRcDPSw3Qz0R9GwQk"
"0011J000017VV6uQAG";" 8/24/2020 ";3076747;" Unfounded ";" Business/Financial ";"https://decl.my.salesforce.com/sfc/p/o0000000IHut/a/1J000000UlSf/VttNAddpm7NAPKQ8WBZ7jfwpRQeRcDPSw3Qz0R9GwQk"
"0011J000017VV6uQAG";" 8/24/2020 ";3076747;" Unfounded ";" Other ";"https://decl.my.salesforce.com/sfc/p/o0000000IHut/a/1J000000UlSf/VttNAddpm7NAPKQ8WBZ7jfwpRQeRcDPSw3Qz0R9GwQk"
"0011J000017VV6vQAG";" 7/24/2018 ";2862804;" Founded ";" Business/Financial ";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MTmx/ME71evGh.p8uU0yFFJFRsepr1.dmi.6bzDLxnd5CY1g"
