"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
986873;"SAMUELS ELEMENTARY SOAR";"3985 S Vinceness CT";"Denver";"CO";80237;"DENVER";7208650845;"http://samuels.dpsk12.org/";"schoolchoice@dpsk12.org";"Samuels Elementary School is a diverse, high-growth, high-performing elementary school in Southeast Denver. In addition to strong academic offerings and character education, students participate in the arts, technology and physical education. ";"http://samuels.dpsk12.org/";"https://www.facebook.com/SamuelsElementaryDenver";;;"http://samuels.dpsk12.org/enroll-at-samuels/";;"n";"n";"y";"y";"y";"y";;"http://samuels.dpsk12.org/wp-content/uploads/2013/12/samuels_slider4.jpg";"http://samuels.dpsk12.org/wp-content/uploads/2013/12/samuels_slider2.jpg";"http://samuels.dpsk12.org/wp-content/uploads/2014/06/samuels.dpsk12.org_SLIDER_650x435_video.jpg";"http://samuels.dpsk12.org/wp-content/uploads/2013/12/samuels_WeFly_1.jpg";;
986872;"DENVER ATHLETIC CLUB CHILDRENS CENTER";"1325 Glenarm PL";"Denver";"CO";80204;"DENVER";"720-931-6721";;;;;;;;;;;;;;;;;;;;;"Y";
986871;"KIDS ROCK UNIVERSITY";"412 N C ST";"Cripple Creek";"CO";80813;"Teller";7196893514;"http://www.cripplecreektoday.com/kids-rock-university-summer-program/";;"Kids Rock University is a licensed childcare program for children ages 5-17 years old.  During the summer months there is a week long, full-day program.  The week includes three in-house days, two field trips, along with a variety of fun activities such as crafts, games, movies, cooking, music, drama, science, sports, playing outdoors, etc.  The KRU Clubhouse is located across the street from CCV High School on North B Street.

Every Tuesday is swimming and a movie and Friday’s trips vary weekly.  Some of the summer trips will be Elitch’s, bowling, lazer tag, Santa’s Workshop, Pirate’s Cove, It’z Family Fun Center, Cheyenne Mountain Zoo, and Trampoline World.  The “in house” days are just as much fun.  There will be skating, crafts, hula hoop contest, water slide, face painting, and outdoor games for examples.

There are some steps to take to get your child into the program.  There are a couple of forms to be filled out, a current immunization record MUST be turned in with the application, and there is a one time registration fee of $10.00 and a t-shirt will be provided.  The cost is $14/day plus activity fee and $11/day plus activity fee for an additional child.  There is a half day rate of $8.00 if a child attends less than 5 hours  a  day.  There is also financial aid available.  Lunches are provided through partnership with Care & Share.";"http://www.cripplecreektoday.com/kids-rock-university-summer-program/";;;;;;"n";"n";"n";"n";"y";"y";;"http://www.cripplecreektoday.com/wp-content/uploads/2014/05/IMG_1131-500x373.jpg";;;;;
986870;"MISSION VIEJO PRESCHOOL";"3855 S Alicia PKWY";"Aurora";"CO";80013;"ADAMS";7205544056;"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";;"Cherry Creek Early Childhood Program is dedicated to providing quality early childhood education to preschool children and families of all cultures, abilities, and circumstances in the Cherry Creek School District. ";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";;"8:50am-3:20 PM";;;"http://www.cherrycreekschools.org/EarlyChildhood/Documents/2014-2015%20Parent%20Handbook%2010.2014.pdf";"n";"n";"y";"y";"n";"n";"http://www.cherrycreekschools.org/EarlyChildhood/PublishingImages/EarlyChildhood_logo.jpg";;;;;;
986869;"WILD BEAR CENTER FOR NATURE DISCOVERY";"20 Lakeview DR";"Nederland";"CO";80466;"BOULDER";3032580495;"http://wildbear.org/courses/";"wildbear@wildbear.org";"Wild Bear Mountain Ecology Center is a nonprofit, tax exempt corporation offering year round hands on, educational programs to people of all ages to foster a lifelong appreciation of the environment and to promote an environmentally aware, responsible and ecologically sound community.";"http://wildbear.org/courses/";"https://www.facebook.com/pages/Wild-Bear-Mountain-Ecology-Center/121767597845567";"Mon - Sun: 
11:00 am - 5:00 pm";;"http://wildbear.org/registration2014/";"http://wildbear.org/newsite/wp-admin/uploads/2011/ParentHandbook2014.pdf";"n";"n";"y";"y";"y";"y";"http://wildbear.org/newsite/wp-admin/uploads/2011/standing-bear.jpg";"http://wildbear.org/newsite/wp-admin/uploads/2011/bear-cubs.jpg";"http://wildbear.org/newsite/wp-admin/uploads/2011/boys.jpg";"http://wildbear.org/newsite/wp-admin/uploads/2011/kids-in-mud-lake.jpg";"http://wildbear.org/newsite/wp-admin/uploads/2011/colorado-july-background2-300x247.jpg";;
847836;"HARRISON SCHOOL DISTRICT #2 GORMAN ED CTR";"2883 S Circle DR";"Colorado Springs";"CO";80906;"EL PASO";7195381330;;;;;;;;;;;;;;;;;;;;;"Y";
847839;"COWLIKS CHILD CARE CENTER";"1400 Grape ST";"Denver";"CO";80220;"DENVER";"303-3215437";"http://www.sproutschildren.com/";"Cowliks@sproutschildren.com";"“Our mission is to provide the highest quality child care by creating a safe, healthy, and caring environment that promotes the physical, social, and emotional development of your child” ";"http://www.sproutschildren.com/";;"7:3ma-5:30pm";"http://www.sproutschildren.com/careers.html";"http://www.sproutschildren.com/Enrollment%20Package%202014.pdf";"http://www.sproutschildren.com/parent_handbook_2014.pdf";"y";"y";"n";"n";"n";"n";;"http://www.sproutschildren.com/wpimages/wp75ab352e_05_06.jpg";"http://www.sproutschildren.com/wpimages/wp5ecc7a0a_05_06.jpg";"http://www.sproutschildren.com/wpimages/wpa2c52a30_05_06.jpg";"http://www.sproutschildren.com/wpimages/wpb93eb415_05_06.jpg";;
847841;"LIL RASCALS CHILD CARE CENTER";"208 Main ST";"Fowler";"CO";81039;"OTERO";7192634399;;;;;;;;;;;;;;;;;;;;;"Y";
847842;"CHILDRENS LEARNING CENTER";"445 W Berry AVE";"Littleton";"CO";80120;"ARAPAHOE";3037941719;;;;;;;;;;;;;;;;;;;;;"Y";
847846;"KENT DENVER SCHOOL";"4000 E Quincy AVE";"Englewood";"CO";80113;"ARAPAHOE";3037707660;"http://www.kentdenver.org/";;"Excellence in scholarship and character is the goal of a Kent Denver education.  We seek to build a caring, diverse community of responsible citizens.  To that end, the school provides a challenging college preparatory curriculum and sets high ethical standards.";"http://www.kentdenver.org/";"https://www.facebook.com/kentdenverschool";;"http://www.kentdenver.org/page.cfm?p=516";;;"n";"n";"y";"y";"y";"y";;"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/s720x720/10702125_727781267301895_9177489139848549498_n.jpg?oh=3ffe458846d6a9c790ead0ad4a776538&oe=55156428&__gda__=1426535317_1907883d7ec54034bbf5bc5851027fca";"https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/p480x480/10702110_722253024521386_4499287618797535898_n.jpg?oh=a00e89176804e760bfb4071e9d5f5c0e&oe=550C35EB&__gda__=1427999062_257726b1c73fa1c9cae2f709db69e0ff";"https://scontent-a-lax.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10382729_742377955842226_8955352913440249314_n.png?oh=09c2c30340082e00b2746193e2775933&oe=550F8827";"https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/s720x720/10392318_749365898476765_2873588268202242927_n.jpg?oh=b4fed1b1e9d18d6e2496cf5aac51756b&oe=551C3F0D&__gda__=1427509995_2d484c8d4fb136382dab4ca95371ce3d";;
