"ID";"Name";"State";"County";"City";"Zip";"Address";"Address2";"Telephone";"License Number";"License Type";"License Status";"Status Reason";"Issue Date";"Expiration Date";"Endorsements";"Total Capacity";"Under 3 Capacity";"Age Range Served";"Regular Capacity";"School Age Capacity";"DetailsURL"
1011189;"A PLACE TO GROW- AVON";"CT";"Hartford";"AVON";6001;"9 AVONWOOD ROAD";;"(860) 677-6929";"Child Care Center";"DCCC.16786";"ACTIVE";;"03/15/2010";"03/31/2026";"Children Under 3 Yrs, Pre-School, School Age";61;42;"6 weeks-12 years";;;"https://www.elicense.ct.gov/Lookup/PrintLicenseDetails.aspx?cred=1011189&contact=1267438"
1015767;"AVON CONGREGATIONAL CHURCH NURSERY SCHOOL";"CT";"Hartford";"AVON";6001;"6 W MAIN ST";;"(860) 678-1267";"Child Care Center";"DCCC.16348";"ACTIVE";;"09/11/2006";"03/31/2025";"Pre-School";16;;"3 years-5 years";;;"https://www.elicense.ct.gov/Lookup/PrintLicenseDetails.aspx?cred=1015767&contact=1267198"
2147797;"BUILDING BLOCKS EARLY LEARNING CENTER - AVON";"CT";"Hartford";"AVON";6001;"84 W AVON RD";;"(860) 675-1888";"Child Care Center";"DCCC.70607";"ACTIVE";;"03/18/2021";"03/31/2025";"Children Under 3 Yrs, Pre-School, School Age";124;46;"6 weeks-12 years";;;"https://www.elicense.ct.gov/Lookup/PrintLicenseDetails.aspx?cred=2147797&contact=2456389"
1016819;"CHURCHERY SCHOOL";"CT";"Hartford";"AVON";6001;"867 WEST AVON ROAD";;"(860) 675-6144";"Child Care Center";"DCCC.12254";"ACTIVE";;"12/15/1972";"12/31/2024";"Children Under 3 Yrs, Pre-School";28;8;"2 years-5 years";;;"https://www.elicense.ct.gov/Lookup/PrintLicenseDetails.aspx?cred=1016819&contact=1264306"
1069345;"EDUCATIONAL PLAYCARE - AVON BLDG 19";"CT";"Hartford";"AVON";6001;"124 SIMSBURY RD BLDG 19";;"(860) 409-7051";"Child Care Center";"DCCC.70066";"ACTIVE";;"07/31/2012";"07/31/2024";"Children Under 3 Yrs, Pre-School";64;64;"6 weeks-3 years";;;"https://www.elicense.ct.gov/Lookup/PrintLicenseDetails.aspx?cred=1069345&contact=1319470"
1010802;"EDUCATIONAL PLAYCARE LTD- RIVERDALE FARMS BUILDING 7 & 8";"CT";"Hartford";"AVON";6001;"144 SIMSBURY RD";;"(860) 409-7051";"Child Care Center";"DCCC.12025";"ACTIVE";;"09/28/1994";"07/31/2026";"Children Under 3 Yrs, Pre-School, School Age";142;56;"2 years-12 years";;;"https://www.elicense.ct.gov/Lookup/PrintLicenseDetails.aspx?cred=1010802&contact=1264187"
1017599;"EDUCATIONAL PLAYCARE LTD- SIMSBURY ROAD";"CT";"Hartford";"AVON";6001;"124 SIMSBURY RD";;"(860) 409-7051";"Child Care Center";"DCCC.15680";"ACTIVE";;"02/21/2001";"08/31/2025";"Pre-School, School Age";96;;"3 years-12 years";;;"https://www.elicense.ct.gov/Lookup/PrintLicenseDetails.aspx?cred=1017599&contact=1266538"
1016957;"PINE GROVE NURSERY SCHOOL";"CT";"Hartford";"AVON";6001;"280 COUNTRY CLUB ROAD-WEST AVON CONG CHURCH";;"(860) 805-7440";"Child Care Center";"DCCC.12769";"ACTIVE";;"02/06/1969";"04/30/2025";"Pre-School, School Age";45;;"3 years-6 years";;;"https://www.elicense.ct.gov/Lookup/PrintLicenseDetails.aspx?cred=1016957&contact=1264622"
1015757;"THE FARMINGTON ACADEMY";"CT";"Hartford";"AVON";6001;"150 FISHER DR";;"(860) 677-2403";"Child Care Center";"DCCC.16340";"ACTIVE";;"10/26/2006";"04/30/2025";"Children Under 3 Yrs, Pre-School, School Age";164;16;"18 months-13 years";;;"https://www.elicense.ct.gov/Lookup/PrintLicenseDetails.aspx?cred=1015757&contact=1267190"
1233012;"YMCA PINE GROVE SACD PROGRAM";"CT";"Hartford";"AVON";6001;"151 SCOVILLE RD";;"(860) 653-5524";"Child Care Center";"DCCC.70188";"ACTIVE";"ACTIVE";"08/28/2014";"08/31/2022";"School Age";40;;"5 years-12 years";;;"https://www.elicense.ct.gov/Lookup/PrintLicenseDetails.aspx?cred=1233012&contact=1470850"
