"ID";"Case Number";"How Received";"Date Opened";"Violations[Regulation]";"Resolution Action";;;;
1069345;"2021-446";"Self-Reported";"07/20/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1069345;"2021-813";"Complaints";"11/10/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1010802;"2020-343";"Complaints";"08/26/2020";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1010802;"2022-376";"Self-Reported";"06/02/2022";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1233012;"2020-59";"Self-Reported";"01/22/2020";"12-Administration-Postings - [19a-79-3a(e)] 21-Staffing- Adequate staff - [19a-79-4a(c)] 22-Staffing- Ratios - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017111;"2019-921";"Complaints";"09/20/2019";"06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 19-Staffing- Staff file on premise - [19a-79-4a(a)] 20-Staffing- Staff records - [19a-79-4a(b)] 22-Staffing- Ratios - [19a-79-4a(c)] 28-Staffing- Professional development - [19a-79-4a(g)] 80-CO/NCAP Compliance Violation(s) - [-] [Reference regulation link above.]";"Referred to Legal Division";;;;
1017111;"2021-868";"Self-Reported";"12/07/2021";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016783;"2020-274";"Complaints";"07/08/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016783;"2021-602";"Self-Reported";"09/14/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1464163;"2019-1020";"Complaints";"10/22/2019";"22-Staffing- Ratios - [19a-79-4a(c)] 31-Health & Safety- Food service - [19a-79-6a(a)] 38-Physical Plant- Environmental requirements - [19a-79-7a(e)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] 59-Under Three Endorsement- Diapering & toileting - [19a-79-10(e)] 61-Under Three Endorsement- Sleep arrangements - [19a-79-10(g)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1464163;"2020-383";"Complaints";"09/11/2020";"12-Administration-Postings - [19a-79-3a(e)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1464163;"2021-21";"Complaints";"01/15/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1464163;"2021-843";"Complaints";"11/22/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 22-Staffing- Ratios - [19a-79-4a(c)] 41-Physical Plant- Equipment - [19a-79-7a(g)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] 65-Under Three Endorsement- Foods & liquids - [19a-79-10(k)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1276568;"2019-1167";"Complaints";"12/17/2019";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1276568;"2019-963";"Complaints";"10/02/2019";"01-Abuse- DCF: On Registry - [DCF Finding] 02-Neglect- DCF: On Registry - [DCF Finding] 03b-Licensure procedures - [19a-79-2a] 04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] 40-Physical Plant- Program space - [19a-79-7a(f)] 61-Under Three Endorsement- Sleep arrangements - [19a-79-10(g)] 64-Under Three Endorsement- Bottle feeding - [19a-79-10(j)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1276568;"2020-24";"Self-Reported";"01/09/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1276568;"2021-534";"Complaints";"08/20/2021";"30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1629637;"2022-71";"Complaints";"02/09/2022";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] [Reference regulation link above.]";"Corrective Action Plan";;;;
