"OBJECTID";"Provider OBJECTID";"Type";"Date";"Result";"Conclusion"
11;14;"Complaint";"05-19-2017";"Substantiated";"A complaint was received on May 18, 2017, regarding the allegation of a safe sleep violation. An investigation was conducted on May 19, 2017. This complaint is substantiated because the violation was witnessed by a Delaware STARS representative."
9;14;"Complaint";"05-18-2018";"Substantiated";"A complaint was received on May 15, 2018, regarding the allegation of an unqualified staff member being left alone with the children in the infant classroom. An unannounced visit was conducted on May 18, 2018, to investigate this complaint. The complaint was substantiated because there was an unqualified staff member alone with the children in the infant classroom. During the visit, a qualified staff member was placed with Staff #1 in the infant classroom to correct the non-compliance. It was explained to Staff #1 that all staff must receive the eligibility letter for the fingerprinting and have a Delaware First certificate of an assistant teacher or higher to be qualified to be left alone with children."
10;14;"Complaint";"09-20-2017";"Substantiated";"On August 23, 2017, a complaint was called into the report line and not accepted for investigation by the Institutional Abuse Unit. The Office of Child Care Licensing received the complaint on August 24, 2017, regarding the allegation of lack of supervision which resulted in an incident involving a sexual act between two school-age children. This complaint is substantiated because Child #1 disclosed to both Reporter #1 and Reporter #2 that the incident occurred while in the auditorium of the center. In addition, Staff #1 let Child #1 go to the locker room without being with a qualified staff member."
12;14;"Complaint";"08-09-2016";"Substantiated";"A complaint was received on August 5, 2016, regarding an allegation that a teacher sent a child to change into a bathing suit without direct supervision. This complaint is substantiated for lack of supervision. The administrator provided documentation stating it is the parents responsibility to change the child into the bathing suit if they are arriving after a certain time in the morning. However, it is the center's responsibility to supervise a child once he/she enters the classroom."
252;321;"Complaint";"05-28-2019";"Substantiated";"A complaint was received on May 6, 2019, regarding the provider being over capacity, not letting OCCL into the family child care home, and hiding children in the home with a helper. An investigation was conducted on May 7, 2019. This complaint is substantiated for exceeding capacity because the provider acknowledged that she has seven preschool-age and younger children present in care on a daily basis and that she is also over capacity during school breaks and the summer when the school-age children are present all day in care.There was no evidence to substantiate the provider has not answered the door for OCCL visits or that other children are being hidden in the home during the OCCL visit."
366;424;"Complaint";"10-11-2016";"Substantiated";"On September 30, 2016, the Office of Child Care Licensing received an email complaint regarding Carmen Rocio Bregante's Large Family Child Care Home. An investigation visit was conducted on October 10, 2016. This complaint is substantiated because Ms. Brigante confirmed the stated complaint allegations of feeding, an infant in a bouncy seat, propping a bottle during feeding and having a soft object in a infant's crib. LS Budin observed additional safe sleep, lack of supervision, and choking hazard rule violations."
365;424;"Complaint";"06-29-2018";"Substantiated";"A complaint was received on June 20, 2018, regarding the LFCCH of Carmen Rocio Bregante being overcapacity and not maintaining proper staff-to-child ratio.  An investigation was conducted on June 27, 2018.  This complaint is substantiated because based on documentation from CACFP and the provider stated she had been overcapacity and was alone in the Family Child Care Home.  Another concern noted is the failure to document attendance for all children present."
415;473;"Complaint";"11-01-2017";"Substantiated";"A complaint was received on October 9, 2017, regarding lack of supervision and failure to notify and communicate an accident/injury. At the conclusion of an investigation conducted on October 17, 2017, this complaint is substantiated for not writing an accident/injury report the day of the accident, improperly filling out the medication log prior to administering medication, and failing to have a working phone. Another concern is that the center staff failed to return a call from OCCL. There was no evidence from this investigation of lack of supervision within the center or on the playground. Tracking sheets showed proper staff-to-child ratios."
468;546;"Complaint";"06-29-2018";"Unsubstantiated with Concern";"A complaint was received on June 4, 2018, regarding qualifications of staff at the center, the existence and compliance with a positive behavior management policy, and notification to parents of a child’s challenging behaviors. An investigation was conducted on June 13, 2018.  This complaint is unsubstantiated with concern. There is no evidence to substantiate the complaint for any of the allegations, as evidence was presented of staff qualifications, a positive behavior management policy, and parents’ receipt of the behavior management policy.  There is no evidence to substantiate that Child #1’s parents were not informed of Child #1’s challenging behaviors.  The concern is a child “head-butted” a teacher and an accident/injury report was not completed."
466;546;"Complaint";"01-09-2020";"No Evidence to Substantiate with Concern";"A complaint was received on December 2, 2019, involving multiple allegations, including lack of supervision, because the Reporter stated there was a bruise and abrasion on Child #1's buttock, but staff were unable to explain how it happened.  The complaint also alleged that one staff person was alone with up to 13 children, and ""adult music"" was being played by staff during the children's nap time.  An investigation was conducted, beginning on December 10, 2019, and ending on January 3, 2020.  There is no evidence to substantiate lack of supervision, as there was sufficient staff signed in on the attendance sheets during the week of October 14 to 18, 2019.  Classroom staff all denied seeing a bruise or abrasion on the buttocks of any child in the two-year-old classrooms. Attendance sheets indicated the only time there was one staff person with up to 13 children, was when the children were asleep during nap time, which is permitted. There is no evidence to substantiate that Child #1 was [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
467;546;"Complaint";"12-06-2019";"Substantiated";"A complaint was received on October 28, 2019, regarding inappropriate care of children, because Child #1's diaper allegedly was not changed on at least one occasion, in over two-and-a-half hours.  An investigation began on November 11, 2019, and was completed on November 20, 2019.  The complaint is substantiated for inappropriate care of children, because three staff did not know that diapers must be checked at least hourly. Other concerns were, there was no organized system of documenting communication between staff people, so evening people were not aware of when children brought to the Ballroom had last had diapers checked, and attendance records were inaccurate, as Child #1's whereabouts and times of arrival and departure from room to room were not accurately recorded on October 18, 2019."
476;553;"Complaint";"11-19-2019";"Substantiated";"A complaint was received on October 28, 2019, regarding a lack of respectful language with children and others.  An investigation was conducted on October 29, 2019.  The complaint is substantiated for lack of positive behavior management because the provider admitted to cursing in front of an adult and a child.  Other concerns noted were a letter the provider wrote to families outlining restrictions on parental visitation and not allowing professionals to come in to provide services to children in care when such services are requested by the parent or guardian."
479;558;"Complaint";"01-02-2020";"Substantiated";"On November 25, 2019, the Office of Child Care Licensing received a complaint regarding not notifying parents of a child injury and lack of supervision.  An investigation was conducted on December 4, 2019.  The complaint is substantiated for failing to notify a parent immediately after a serious injury that is defined in the regulations as, “any impact or injury to a child’s face or head…”  The complaint is not substantiated for lack of supervision because the staff were placed so one staff member was monitoring the children as the other began to clean up for the day.  Additionally, staff were responsive after the incident when a child scraped his face along the floor after falling while playing with a toy car."
481;558;"Complaint";"09-28-2016";"Unsubstantiated with Concern";"A complaint was received on September 19, 2016, regarding a staff member leaving marks on a child. At the conclusion of the investigation, this complaint is unsubstantiated with concern. While marks were left on the arm of the child, it was not in an attempt to discipline the child. Staff #1 was holding the child while asking for help from an administrator, preventing Child #1 from hurting other students in the classroom. The series of events was well-documented and this incident was self-reported prior to receiving the complaint."
480;558;"Complaint";"11-28-2018";"Unsubstantiated with Concern";"On August 7, 2018, OCCL received a complaint regarding staff-to-child ratio violations, possible safe sleep violations, and the center not providing incident reports.  The complaint is unsubstantiated with concerns due to the fact that although sleep checks were being conducted and documented in Tadpoles, that information was not being transmitted on the infant daily sheets received by parents.  The administrator contacted their Tadpoles representative immediately and requested he ensure the daily sleep checks are being documented on the parent’s daily sheets."
527;599;"Complaint";"11-09-2018";"Substantiated";"A complaint was received on October 17, 2018, regarding concerns of improper discipline, lack of supervision, and failure to report an injury in the required timeframe. At the conclusion of an investigation conducted on October 18, 2018, this complaint is substantiated for lack of supervision and failure to report a head injury within the required time frame. Two staff at the center stated Child #1 was alone in one classroom with a staff member in another classroom or the hallway. There is no evidence to substantiate the allegation that Child #1 was locked in that classroom. Additionally, it was found that an unqualified staff member was alone in the infant room and a staff member without fingerprinting results was alone monitoring children in two separate spaces at the same time."
528;599;"Complaint";"04-11-2017";"Substantiated";"A complaint was received on March 31, 2017, regarding concerns with staffing, improper staff-to-child ratios, and unprofessional communication with parents/guardians. At the conclusion of an investigation conducted April 04, 2017, this complaint is substantiated for improper staff-to-child ratios, insufficient staffing, and general staff qualifications. A plan of action has been submitted to remedy these substantiated items."
547;617;"Complaint";"08-15-2016";"Substantiated";"At the conclusion of the investigation conducted on August 10, along with a telephone conversation with Nita Patel on August 12, this complaint is substantiated.  While conflicting variations of this incident were received, Owner Nita Patel stated Staff #1 started spraying outside on the playground, and stopped upon noticing children on the playground. Staff #1 stated they were instructed by Ms. Patel to spray the playground. This occured at a time of day when most children are scheduled for outdoor play time. Staff #1 stated there was a warning on the container, which was not available for view at the time of the visit, claiming it to be hazardous to children. Children should not have been on the playground, before, during or shortly after the application of a hazardous chemical."
548;617;"Complaint";"03-02-2016";"Unsubstantiated with Concern";"A complaint was received on January 26, 2016, regarding poor sanitary conditions causing one child to repeatedly become ill. An investigation was conducted on January 28, 2016. This complaint is UNSUBSTANTIATED WITH CONCERN. There was no evidence to support poor sanitation in the facility. Other concerns noted during this visit were that two infants were seen sleeping in infant seats and not all children's napping equipment included top and bottom covers. Technical assistance was provided on proper safe sleep procedures and best practice.  The staff member moved the infants to their cribs. The administrators was informed that all children need to have top and bottom sheets."
546;617;"Complaint";"12-02-2016";"Unsubstantiated with Concern";"At the conclusion of the investigation conducted on November 22, 2016, this complaint is unsubstantiated with concern. The Medication Log provided shows that a parent signature is required each day, and Ms. Strickland did make attempts to contact Parents #1 and 2 so Child #1 could receive the medication. Ms. Bailey discussed concerns with the policy in regards to parents forgetting to sign the sheet daily, or an administrator missing the parent during drop-off. Mr. Patel is currently in discussion with GSI regarding the corporate-wide policy to see if a written confirmation (such as fax or e-mail) would be an acceptable means of consent in the event the signature is not provided at drop-off.   It is also stated in the Parent Handbook that ""two weeks written notice is required for withdrawing for any reason. If the required notice is not given, parents will be charged for that period"". There is also a Parent Code of Conduct that states it is not acceptable for parents to swear/curse in  [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
570;651;"Complaint";"04-10-2019";"Unsubstantiated with Concern";"On March 14, 2019, the Office of Child Care Licensing received a complaint regarding tripping hazards on the outdoor play area and choking hazards in the two-year-old classrooms. A complaint investigation was conducted on March 18, 2019. This complaint in unsubstantiated with concern because LS Flowers did not observe any tripping hazards on the outdoor play area or any choking hazards in the two-year-old classrooms. The concern is, the center did not notify OCCL of an injury that resulted in medical treatment other than first aid provided at the center."
569;651;"Complaint";"09-10-2020";"Substantiated";"On August 18, 2020, OCCL received a complaint regarding lack of supervision and improper staff-to-child ratios. An investigation was conducted on August 18, 2020. This complaint is substantiated for lack of supervision. Ms. Wilson notified LS Flowers of the incident when Child #1 was left unsupervised. There is no evidence to substantiate that the opening classroom was out of ratio because attendance documents show proper staff-to-child ratio was maintained. However, Ms. Wilson admitted staff members are not signing in and out of the classroom for bathroom breaks."
571;651;"Complaint";"08-08-2017";"Substantiated";"On August 2, 2017, the Office of Child Care Licensing received a complaint of unsanitary conditions at Celebree Learning Centers in Bear, DE. The complained was investigated on August 3, 2017, and is substantiated.  During the licensing specialist's visit on August 3, 2017, the specialist observed black mold in the kitchen. The black mold was covering the edges of the open shelves where the eating utensils were stored and speckles of black mold were observed on the dish drainer where the water pitchers were draining.  Black mold was also on a metal rack holding rolls of colored paper that was stored in the kitchen.  The center took action to address the causes of the mold in the infant room and the kitchen by repairing the plumbing and air conditioning. The infants in infant room A were moved to another classroom that was mold-free and the center maintained proper staffing and group size ratios for the ages of the children who were involved in the room changes. Although the air conditi [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
588;666;"Complaint";"11-08-2019";"Unsubstantiated with Concern";"A complaint was received September 6, 2019, regarding the allegation of incorrect staff-to-child ratios. The complaint is unsubstantiated with concern because the center was maintaining the correct staff-to-child ratios. The concern was when the staff files were reviewed, Staff #2 met the qualifications, but did not have the required Delaware First certificate in the staff file."
587;666;"Complaint";"11-08-2019";"Substantiated";"On September 5, 2019, a complaint was called into the report line and accepted by the Institutional Abuse Unit (IAU) for investigation regarding the death of a child. On September 6, 2019, OCCL also accepted the complaint for investigation. OCCL substantiated the complaint because Staff #1 has been arrested and charged by the Delaware State Police for the death of Child #1."
589;666;"Complaint";"03-03-2016";"Unsubstantiated with Concern";"A complaint was received on February 5, 2016 regarding lack of supervision. An investigation was conducted on February 9, 2016. This complaint is unsubstantiated with concern. The concern is, while there is no evidence to support lack of supervision, Ms. Palmer said she did not report suspected child abuse because it happened at home, and On January 29, 2016 she gave Reporter #1 the resources she needed to call the child abuse report line.  Ms. Palmer called the hotline on Feburay 3, 2016.  Any concerns regarding the family are being addressed by the Division of Family Services."
590;666;"Complaint";"02-23-2016";"Unsubstantiated with Concern";"A complaint was received on January 29, 2016 regardiing administration of medication.  An investigation was conducted on February 10, 2016. This complaint was Unsubstantiatted with concern because the center 's medication policy was not made clear to the parent."
593;667;"Complaint";"09-11-2017";"Substantiated";"A complaint was received on August 18, 2017, regarding an allegation of lack of supervision. An investigation was conducted on August 22, 2017. This complaint is substantiated because Staff #1 sent Child #1 and Child #2 out of the classroom without staff supervision."
591;667;"Complaint";"01-24-2020";"Substantiated";"On January 8, 2020, the Office of Child Care Licensing (OCCL) received a complaint regarding failure to notify a parent of an injury and other critical incidents involving a child while in care, and failure to use appropriate positive behavior management strategies.  An investigation was conducted on January 14, 2020.  This complaint is substantiated because the center reported that a child was injured while in the care of the center and the parent was not given a copy of an injury report on the day of the injury or within one business day.  There is no evidence to substantiate that the center failed to use appropriate positive behavior management strategies to ensure the safety of children because center staff reported they intervene quickly to redirect inappropriate behavior and this statement was supported by the video-footage viewed by the licensing specialist at the time of the visit."
