"OBJECTID";"Provider OBJECTID";"Type";"Visit Date";"Label";"URL"
59;12;"Compliance Review";"10-15-2018";"10/16/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27490&provider_action_date_of_visit=2018-10-16"
58;12;"Compliance Review";"10-02-2019";"10/03/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27490&provider_action_date_of_visit=2019-10-03"
60;12;"Compliance Review";"10-11-2017";"10/12/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27490&provider_action_date_of_visit=2017-10-12"
67;14;"Compliance Review";"12-05-2019";"12/06/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27514&provider_action_date_of_visit=2019-12-06"
66;14;"Compliance Review";"07-09-2020";"07/10/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27514&provider_action_date_of_visit=2020-07-10"
69;14;"Compliance Review";"12-14-2017";"12/15/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27514&provider_action_date_of_visit=2017-12-15"
68;14;"Compliance Review";"12-10-2018";"12/11/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27514&provider_action_date_of_visit=2018-12-11"
70;14;"Compliance Review";"12-13-2016";"12/14/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27514&provider_action_date_of_visit=2016-12-14"
71;14;"Compliance Review";"12-08-2015";"12/09/2015";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27514&provider_action_date_of_visit=2015-12-09"
199;38;"Compliance Review";"01-06-2019";"01/07/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27755&provider_action_date_of_visit=2019-01-07"
198;38;"Compliance Review";"01-14-2020";"01/15/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27755&provider_action_date_of_visit=2020-01-15"
200;38;"Compliance Review";"01-02-2018";"01/03/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=27755&provider_action_date_of_visit=2018-01-03"
344;65;"Compliance Review";"11-05-2019";"11/06/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=28165&provider_action_date_of_visit=2019-11-06"
345;65;"Compliance Review";"11-25-2018";"11/26/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=28165&provider_action_date_of_visit=2018-11-26"
346;65;"Compliance Review";"11-14-2017";"11/15/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=28165&provider_action_date_of_visit=2017-11-15"
382;74;"Compliance Review";"02-07-2018";"02/08/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=28250&provider_action_date_of_visit=2018-02-08"
381;74;"Compliance Review";"02-03-2019";"02/04/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=28250&provider_action_date_of_visit=2019-02-04"
383;74;"Compliance Review";"01-10-2017";"01/11/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=28250&provider_action_date_of_visit=2017-01-11"
380;74;"Compliance Review";"02-06-2020";"02/07/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=28250&provider_action_date_of_visit=2020-02-07"
384;74;"Compliance Review";"02-07-2016";"02/08/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=28250&provider_action_date_of_visit=2016-02-08"
672;134;"Compliance Review";"02-11-2019";"02/12/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29121&provider_action_date_of_visit=2019-02-12"
673;134;"Compliance Review";"02-07-2018";"02/08/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29121&provider_action_date_of_visit=2018-02-08"
671;134;"Compliance Review";"02-17-2020";"02/18/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29121&provider_action_date_of_visit=2020-02-18"
688;139;"Compliance Review";"12-11-2018";"12/12/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29149&provider_action_date_of_visit=2018-12-12"
691;139;"Compliance Review";"12-07-2015";"12/08/2015";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29149&provider_action_date_of_visit=2015-12-08"
690;139;"Compliance Review";"12-04-2016";"12/05/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29149&provider_action_date_of_visit=2016-12-05"
687;139;"Compliance Review";"12-04-2019";"12/05/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29149&provider_action_date_of_visit=2019-12-05"
689;139;"Compliance Review";"12-03-2017";"12/04/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29149&provider_action_date_of_visit=2017-12-04"
735;148;"Compliance Review";"04-11-2016";"04/12/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29276&provider_action_date_of_visit=2016-04-12"
733;148;"Compliance Review";"04-05-2018";"04/06/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29276&provider_action_date_of_visit=2018-04-06"
732;148;"Compliance Review";"04-08-2019";"04/09/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29276&provider_action_date_of_visit=2019-04-09"
734;148;"Compliance Review";"03-06-2017";"03/07/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29276&provider_action_date_of_visit=2017-03-07"
771;157;"Compliance Review";"07-12-2018";"07/13/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29481&provider_action_date_of_visit=2018-07-13"
772;157;"Compliance Review";"07-17-2017";"07/18/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29481&provider_action_date_of_visit=2017-07-18"
773;157;"Compliance Review";"07-20-2016";"07/21/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29481&provider_action_date_of_visit=2016-07-21"
770;157;"Compliance Review";"06-30-2019";"07/01/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=29481&provider_action_date_of_visit=2019-07-01"
933;194;"Compliance Review";"05-09-2018";"05/10/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=41861&provider_action_date_of_visit=2018-05-10"
932;194;"Compliance Review";"04-30-2019";"05/01/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=41861&provider_action_date_of_visit=2019-05-01"
935;194;"Compliance Review";"05-11-2016";"05/12/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=41861&provider_action_date_of_visit=2016-05-12"
934;194;"Compliance Review";"05-15-2017";"05/16/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=41861&provider_action_date_of_visit=2017-05-16"
954;200;"Compliance Review";"07-25-2016";"07/26/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=45690&provider_action_date_of_visit=2016-07-26"
951;200;"Compliance Review";"07-09-2019";"07/10/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=45690&provider_action_date_of_visit=2019-07-10"
952;200;"Compliance Review";"07-16-2018";"07/17/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=45690&provider_action_date_of_visit=2018-07-17"
953;200;"Compliance Review";"07-10-2017";"07/11/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=45690&provider_action_date_of_visit=2017-07-11"
1092;227;"Compliance Review";"04-06-2016";"04/07/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=75942&provider_action_date_of_visit=2016-04-07"
1091;227;"Compliance Review";"04-11-2017";"04/12/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=75942&provider_action_date_of_visit=2017-04-12"
1090;227;"Compliance Review";"04-05-2018";"04/06/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=75942&provider_action_date_of_visit=2018-04-06"
1089;227;"Compliance Review";"04-15-2019";"04/16/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=75942&provider_action_date_of_visit=2019-04-16"
1095;229;"Compliance Review";"08-12-2019";"08/13/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=77357&provider_action_date_of_visit=2019-08-13"
1096;229;"Compliance Review";"08-21-2018";"08/22/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=77357&provider_action_date_of_visit=2018-08-22"
1098;229;"Compliance Review";"08-21-2017";"08/22/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=77357&provider_action_date_of_visit=2017-08-22"
1097;229;"Compliance Review";"08-08-2018";"08/09/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=77357&provider_action_date_of_visit=2018-08-09"
1099;230;"Compliance Review";"01-06-2020";"01/07/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=80624&provider_action_date_of_visit=2020-01-07"
1100;230;"Compliance Review";"01-15-2019";"01/16/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=80624&provider_action_date_of_visit=2019-01-16"
1102;230;"Compliance Review";"02-14-2017";"02/15/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=80624&provider_action_date_of_visit=2017-02-15"
1101;230;"Compliance Review";"01-09-2018";"01/10/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=80624&provider_action_date_of_visit=2018-01-10"
1103;230;"Compliance Review";"01-25-2016";"01/26/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=80624&provider_action_date_of_visit=2016-01-26"
1177;249;"Compliance Review";"12-05-2019";"12/06/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=100861&provider_action_date_of_visit=2019-12-06"
1180;250;"Compliance Review";"04-05-2018";"04/06/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=101721&provider_action_date_of_visit=2018-04-06"
1178;250;"Compliance Review";"04-22-2019";"04/23/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=101721&provider_action_date_of_visit=2019-04-23"
1181;250;"Compliance Review";"04-11-2017";"04/12/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=101721&provider_action_date_of_visit=2017-04-12"
1182;250;"Compliance Review";"04-13-2016";"04/14/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=101721&provider_action_date_of_visit=2016-04-14"
1179;250;"Compliance Review";"07-30-2018";"07/31/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=101721&provider_action_date_of_visit=2018-07-31"
1222;259;"Compliance Review";"10-21-2019";"10/22/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=115318&provider_action_date_of_visit=2019-10-22"
1223;259;"Compliance Review";"10-18-2018";"10/19/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=115318&provider_action_date_of_visit=2018-10-19"
1306;280;"Compliance Review";"02-17-2020";"02/18/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=148524&provider_action_date_of_visit=2020-02-18"
1309;280;"Compliance Review";"02-20-2017";"02/21/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=148524&provider_action_date_of_visit=2017-02-21"
1308;280;"Compliance Review";"02-02-2018";"02/03/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=148524&provider_action_date_of_visit=2018-02-03"
1310;280;"Compliance Review";"02-08-2016";"02/09/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=148524&provider_action_date_of_visit=2016-02-09"
1307;280;"Compliance Review";"02-17-2019";"02/18/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=148524&provider_action_date_of_visit=2019-02-18"
1335;287;"Compliance Review";"01-25-2017";"01/26/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=164137&provider_action_date_of_visit=2017-01-26"
1336;287;"Compliance Review";"01-18-2016";"01/19/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=164137&provider_action_date_of_visit=2016-01-19"
1333;287;"Compliance Review";"01-15-2019";"01/16/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=164137&provider_action_date_of_visit=2019-01-16"
1334;287;"Compliance Review";"01-16-2018";"01/17/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=164137&provider_action_date_of_visit=2018-01-17"
1332;287;"Compliance Review";"01-20-2020";"01/21/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=164137&provider_action_date_of_visit=2020-01-21"
1358;291;"Compliance Review";"07-13-2017";"07/14/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=175457&provider_action_date_of_visit=2017-07-14"
1356;291;"Compliance Review";"06-20-2019";"06/21/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=175457&provider_action_date_of_visit=2019-06-21"
1359;291;"Compliance Review";"07-19-2016";"07/20/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=175457&provider_action_date_of_visit=2016-07-20"
1357;291;"Compliance Review";"06-24-2018";"06/25/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=175457&provider_action_date_of_visit=2018-06-25"
1382;296;"Compliance Review";"02-08-2016";"02/09/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=187264&provider_action_date_of_visit=2016-02-09"
1380;296;"Compliance Review";"02-14-2019";"02/15/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=187264&provider_action_date_of_visit=2019-02-15"
1381;296;"Compliance Review";"02-07-2018";"02/08/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=187264&provider_action_date_of_visit=2018-02-08"
1379;296;"Compliance Review";"02-18-2020";"02/19/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=187264&provider_action_date_of_visit=2020-02-19"
1473;316;"Compliance Review";"11-09-2015";"11/10/2015";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=201490&provider_action_date_of_visit=2015-11-10"
1472;316;"Compliance Review";"11-08-2017";"11/09/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=201490&provider_action_date_of_visit=2017-11-09"
1470;316;"Compliance Review";"11-06-2019";"11/07/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=201490&provider_action_date_of_visit=2019-11-07"
1471;316;"Compliance Review";"11-08-2018";"11/09/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=201490&provider_action_date_of_visit=2018-11-09"
1487;321;"Compliance Review";"08-06-2019";"08/07/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=208366&provider_action_date_of_visit=2019-08-07"
1488;321;"Compliance Review";"05-15-2019";"05/16/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=208366&provider_action_date_of_visit=2019-05-16"
