"id";"name";"address";"city";"state";"zip";"county";"phone";"website";"email";"detail";
1086221;"Sharnelle Herrman Day Care Home";"2701 Quivira Ave";"Great Bend";"KS";67530;"BARTON";"620-792-5899";;;;
1085813;"A 1000 Hugs Daycare";"5527 Meadowview Ct";"Wichita";"KS";67216;"SEDGWICK";"316-260-4506";"http://a1000hugsdaycare.weebly.com/";"littlebear67401@yahoo.com";"Here at A 1000 Hugs we want to give the same love and attention to each and every child the way a mother and father want to give their love and attention to their own child. Our Mission is to meet the needs of every individual child in our care. We understand that children are the most important and precious people in our lives, and want nothing more than to help each and every child learn, grow, and meet each milestone within their short journey of childhood. We will have a daily routine of activities so that each child can feel comfortable in his/her own environment, and learn as they do best through play and repetition.  ";
1084373;"All Aboard Choo Choo Train Childcare";;"Olathe";"KS";66061;"JOHNSON";"(785) 317-1505";"http://allaboardchoochootrainchildcare.blogspot.com/";"choochootrainchildcare@gmail.com";;
1085308;"Walnut Summer Scape";"313 W. 4th Avenue";"Emporia";"KS";66801;"LYON";"620.340.6300 ";"http://emporiarec.org/?page_id=1134";"tom_mcevoy@me.com";;
1084618;"Genesis Child Care";" 941 Scott Ave ";"Kansas City";"KS";66105;"WYANDOTTE";"(913) 232-8315 ";"http://genesischildcarekc.com/";"Info@genesischildcarekc.com";"Our mission is to provide solid fundamentals and care in a Christian perspective. Our purpose is to provide care and education for every child that walks through our door. We focus on not just the general care but also the academic, emotional, physical, and spiritual care of every child we care for. All this will be provided in a happy and friendly atmosphere.

Objectives on children care:

We focus on making sure that all activities are fun and have a educational purpose.

We strive to help the children learn how to socialize among themselves.

As well as provide instructions and discipline that will contribute in forming a moral character based on Biblical beliefs.";
1084263;"Laugh and Learn Daycare";;"Gardner";"KS";66030;"JOHNSON";;"http://laughlearndaycare.blogspot.com/";"laughandlearndaycare@yahoo.com";;
1084481;"Little Blessings";"16105 S. Lone Elm Road";"Olathe";"KS";66062;"JOHNSON";"(913) 538-7735";"http://littleblessingsolathe.org/";"laura.stamer@getlife.info";"OUR MISSION IS SIMPLE:

We provide a Christ-centered community of teachers and parents that partner to help children grow to their full potential as they develop in “wisdom, and stature, and in favor with God and all the people.” -Luke 2:52

Our goal is for your preschooler to leave our center ready to enter the world of formal education, and to know his or her value in the eyes of the Lord and their part in God’s big story. ";
914873;"Mindy's Munchkins";"31980 W 91st St";"De Soto";"KS";66018;"JOHNSON";"913-583-1972";"http://mindysmunchkins.weebly.com/index.html";;;"Tuesday"
1084269;"Mommy n Me Home Daycare";;"Gardner";"KS";66030;"JOHNSON";;"http://mommynme-homedaycare.com/home";"jordynphipps@yahoo.com";"First, I would like to tell you a little bit about myself and my family.  I have always lived in the Kansas City area, growing up in Olathe.  I got married to my husband seven years ago, he brought into the family a wonderful little girl who is 9 years old.  Together, my husband and I have two children --- our daughter is 7 years old and our son is 15 months old.  We are blessed to have such a healthy and happy family!  In addition to our three children, we have two very friendly dogs, Kado and Maggie.  They are big to children, but do not be scared, they are harmless and well behaved!  Our ""daycare home"" has its own 700+ sqft of dedicated play area, so your child will not be located in the same room as the dogs.  Along with all the chaos, we have 38 gallons of aquatic life living within the walls of the ""daycare home""!  The children love to watch the variety of marine life swimming before their eyes!  Please rest assured, our home is VERY clean and tidy...I promise! 

I am fully trained in CPR and First Aid.  This is a licensed daycare home located in Gardner, Kansas.

I have an educational background in child psychology and early childhood education.  Upon your request, I would be more than happy to elaborate in detail pertaining to my college background, as well as the numerous training opportunities that I have been priviledge to be a part of.

My philosophy is simple.  I want to help guide children by giving them a nurturing, safe environment to flourish and “just be kids.”  I emphasize manners, kindness, and caring on a daily basis.  For younger children, I know that physical contact is important for a sense of security and for older children, that same sense of security comes from learning to communicate and understand their needs.  I get down to the children’s level when we play and take more of a teaching role when we’re learning.  I believe children are a true gift and I enjoy every moment my life overlaps with that of a child.  Please rest assured that the children in my care are my utmost priority.

Open channels of communication are very important for me to have with all the parents.  I fully understand that there are different parenting styles and will do what I can to fulfill the needs of you and your child.  I offer many different ways to communicate any feedback, concerns, or issues you may have.  Feel free to speak to me directly in person, over the phone, email or just write a note.  Nothing is too big or too small when it comes to your child. 

I am looking forward to many milestones with you and your child!";
1085557;"Newton Neighborhood Child Care";"123 street";"Newton";"KS";67114;"HARVEY";"316-323-7854";"http://newtonneighborhood.com/";"MissTaylor@newtonneighborhood.com";"Diapers & Wipes Provided - Full Preschool & Summer Camp Curriculum - Flexible Hours - Parent's Night Out - Healthy meals & snacks including some organic produce and dairy.

I have experience helping children with many different types of behavior issues, so I know I can respond appropriately with your child, using positive discipline.";
1053870;"Small Blessings For Him";"Freedom Street";"Courtland";"KS";66939;"REPUBLIC";"785-374-4282";"http://smallblessingsforhim.wordpress.com/contact-us/";;;
1085849;"All Saints Catholic School Child Care Center";"3313 E Grand St";"Wichita";"KS";67218;"SEDGWICK";"316-682-2205
";"http://www.allsaintswichita.com/Child%20Care%20Website/child_care_%20main.htm";;"The All Saints Child Care Center (ASCCC) is a State licensed, non-profit organization. The Center is a ministry of All Saints Catholic Church whose Pastor is Father H Setter. The Center’s Director is Sandra L. Freeman. The love and training of a child is a parent’s most precious responsibility. Our Center was founded to assist in that endeavor. Our aim is to help prepare each child socially, emotionally, physically and mentally for school and life’s adjustments. The children are taught to care for personal needs, share and be considerate of others. They are challenged with new learning experiences. The awareness of God will grow as the children are taught by teachers, who themselves are aware of the ever-increasing love of God.";
1050231;"Elizabeth B Ballard Community Center Inc at Brookcreek Learning C";"708 Elm Street";"Lawrence";"KS";66049;"DOUGLAS";" (785) 842-0729";"http://www.ballardcenter.org/contactus.html";"dianne@ballardcenter.org";"What We Are:
We are a private non-profit.
We are a business.
We are growing and changing to meet community needs.
We exist on private donations to do the work of the community.

What We Are Not:
We are not federally funded.
We are not state funded.
We are not a hand-out for clients.

What We Do:
We provide over a half of a million services in Douglas County each year.
We provide hope.
We help put the pieces back together for people in crisis.
We keep people from becoming homeless.
We help the sick get well.
We keep people from being hungry.

Who We Help:
People experiencing homelessness
Children
Families
The Elderly";
1084960;"New Beginnings Childcare Daycare Home";" 2225 Browning Ave.";"Manhattan";"KS";66502;"RILEY";" 785.313.3628";"http://www.brightbeginningschildcareprogram.com/Home.html";;"Bright Beginnings located in Manhattan Kansas is a Nationally Accredited Montessori inspired pre-school program.  It was established January 1999 by Donna Moody who specializes in Early Childhood Education, working with children between the ages of 3-6.  Bright Beginnings strives to create a welcoming but orderly space for your children that allows them to work and play freely.  The order a Montessori classroom creates encourages children to become self disciplined and independent.

The purpose of Montessori  Education is to cultivate the child's natural desire to learn.  In the Montessori classroom this objective is approached in two ways: first, by allowing each child to experience the excitement of learning by their own choice rather than being forced; and second, by helping them to perfect their natural tools for learning, so that their ability will be at maximum in future learning situations.  The Montessori materials have a dual long-range purpose in addition to their immediate purpose of giving specific information to the child.

A Montessori school is a unique cycle of learning designed to take advantage of a child's sensitive years between three and six, when they can absorb information from an enriched environment.  A child who acquires the basic skills of reading and arithmetic in this natural way has the advantage of beginning her education without drudgery, boredom, or discouragement. By pursuing the child's individual interests in a Montessori classroom, they gain an early enthusiasm for learning, which is the key to them becoming a truly educated person.";
1084221;"Teaching Tots Child Care";;"Bonner Springs";"KS";66012;"WYANDOTTE";"765-749-8332";"http://www.busybeelearningcenter.net/About-Us.html";"albanybusybee@gmail.com!  ";"We believe children deserve to learn and grow in an inviting and safe environment. We believe families should be provided with peace of mind by their daycare facility and staff. We believe our teachers should be nurturing, patient, well-trained, and continuing their education to maximize professional growth of child development and early learning. We believe our community should stand together, support our families, and love our children. The Busy Bee Learning Center invites you to believe in something! ";
1055224;"Community Action Head Start Hudson A";"2410 SE Highland Ave.";"Topeka";"KS";66605;"SHAWNEE";"785-266-0245 (800-792-8039)";"http://www.cactiontopeka.com/";;"Head Start,launched in 1964, was designed to help break the cycle of poverty facing preschool children in low-income families. Today, Head Start is a comprehensive child
development program available to income-eligible families at no cost. Community Action Head start provides home-based, center-based, and family child care xperiences for children. As a combined Early Head Start and Head Start program, services
are available for prenatal women, infants and children through kindergarten age. In Kansas, children are eligible for kindergarten the year they become five years old, on or before August 31. Early Head Start services; for prenatal women and children through age 3, on or before August 31; are available through Community Action program for families throughout Shawnee County. Head Start services; for preschool children ages 3 or 4, on or before August 31; are available through Community Action program for families in the eastern portion of USD 501 Topeka Public Schools and the
Shawnee County portions of USD 437 Auburn-Washburn School District, USD 345 Seaman School District, and USD 450 Shawnee Heights School District.";
1055225;"Community Action Head Start Hudson B";"2410 SE Highland Ave.";"Topeka";"KS";66605;"SHAWNEE";"785-266-0245 (800-792-8039)";"http://www.cactiontopeka.com/";;"Head Start,launched in 1964, was designed to help break the cycle of poverty facing preschool children in low-income families. Today, Head Start is a comprehensive child
development program available to income-eligible families at no cost. Community Action Head start provides home-based, center-based, and family child care xperiences for children. As a combined Early Head Start and Head Start program, services
are available for prenatal women, infants and children through kindergarten age. In Kansas, children are eligible for kindergarten the year they become five years old, on or before August 31. Early Head Start services; for prenatal women and children through age 3, on or before August 31; are available through Community Action program for families throughout Shawnee County. Head Start services; for preschool children ages 3 or 4, on or before August 31; are available through Community Action program for families in the eastern portion of USD 501 Topeka Public Schools and the
Shawnee County portions of USD 437 Auburn-Washburn School District, USD 345 Seaman School District, and USD 450 Shawnee Heights School District.";
1055223;"Community Action Head Start Shawnee Heights";"314 SE Stanton Rd. ";"Tecumseh";"KS";66542;"SHAWNEE";;"http://www.cactiontopeka.com/";;"Head Start,launched in 1964, was designed to help break the cycle of poverty facing preschool children in low-income families. Today, Head Start is a comprehensive child
development program available to income-eligible families at no cost. Community Action Head start provides home-based, center-based, and family child care xperiences for children. As a combined Early Head Start and Head Start program, services
are available for prenatal women, infants and children through kindergarten age. In Kansas, children are eligible for kindergarten the year they become five years old, on or before August 31. Early Head Start services; for prenatal women and children through age 3, on or before August 31; are available through Community Action program for families throughout Shawnee County. Head Start services; for preschool children ages 3 or 4, on or before August 31; are available through Community Action program for families in the eastern portion of USD 501 Topeka Public Schools and the
Shawnee County portions of USD 437 Auburn-Washburn School District, USD 345 Seaman School District, and USD 450 Shawnee Heights School District.";
1086314;"Small Steps Daycare";" 2406 Hart Ave ";"Dodge City";"KS";67801;"Kansas";" (620)-225-0542 ";"http://www.corpdetails.com/us-companies/Kansas/20013-social-services/small-steps-daycare-us";;;
1086313;"Small Steps Daycare";" 2406 Hart Ave ";"Dodge City";"KS";67801;"Kansas";" (620)-225-0542 ";"http://www.corpdetails.com/us-companies/Kansas/20013-social-services/small-steps-daycare-us";;;
1085460;"Recreation Station";"801 E. Market St. ";"Derby";"KS";67037;"SEDGWICK";"316-788-3781 ";"http://www.derbyrec.com/index.aspx?nid=146";;"The Derby Recreation Center is an 80,000 square foot fitness facility with various amenities throughout.  The Center recently underwent major renovations which included remodeling, repurposing of space and upgrades to the entire facility.  The DRC provides amenities and activities for all ages and all skill levels.  Memberships to the Derby Recreation Center are reciprocal with the Oaklawn Activity Center.
";
1050148;"Community Childrens Center at Edgewood";"925 Vermont";"Lawrence";"KS";66044;"DOUGLAS";"785-842-2515";"http://www.eckan.org/head_start/community_children.html";;"Community Children’s Center (CCC) is a delegate program of ECKAN Head Start. 
CCC serves 78 children, ages 3-5 in the Lawrence community. 
CCC operates four classrooms, half day sessions, on Monday through Thursday.
Extended hours and days may be available for working families.
ECKAN Head Start promotes health development for all children.  In order for the program and the child’s family to be certain a child is healthy, a variety of screenings must be completed.  All children in the Head Start program should receive the screenings and exams on the application checklist.  Parents should review the screenings and exams on the attending doctor’s appointments, to ensure they can advocate for their child, and ensure that the appropriate screenings are completed.  ";
1053945;"Flint Hills Technical College Parent Support Day Care Home";"3301 West 18th Ave";"Emporia";"KS";66801;"LYON";"620-343-4600";"http://www.fhtc.edu";;"The mission of Flint Hills Technical College, as an associate degree granting institution, is to provide a diverse community of learners with life-long educational opportunities for personal growth and preparation for professional and civic responsibilities that meet the needs of society. ";
1084833;"Heritage Christian Academy";"9333 W 159th St";"Overland Park";"KS";66221;"Johnson";"913.681.7622";"http://www.hcakc.org/";"info@hcakc.org";"We invite you to join us at Heritage Christian Academy as we seek to glorify God by teaching and modeling Christ-like character while providing academic excellence within a caring community.  The information we  provide here is an overview of our high quality, biblically-based  academic program, but we  strongly suggest that you schedule a visit to the school. While on campus, you’ll experience for yourself the joy that loving, professional educators can bring when the totality of what is taught is grounded in the truth of God’s Word.

Heritage Christian Academy offers PreSchool four mornings a week (Monday through Thursday) with a variety of schedule options and full-day Kindergarten. We also offer an After Care program (until 5:30 PM) on all full days of school. Our elementary curriculum provides strong concentration in core subjects as well as weekly special classes in Art, Music, Phys Ed and Spanish. Our updated Media Center offers many computer and library opportunities while our expanded instrumental band program for fifth and sixth graders provides another artistic outlet.

Heritage Christian Academy’s Junior/Senior High offers an excellent well-rounded education rooted in biblical truth for students in seventh through twelfth grades. Heritage Christian Academy’s ultimate goal is to graduate students who are prepared academically and spiritually to be a light in their community, to understand the nature of God, His Word, and are committed to the importance of impacting the world for Christ.";
1086190;"Stay to Play";"17 East 1st Street";"Hutchinson";"KS";67502;"RENO";"620-663-6179";"http://www.hutchrec.com/page.php?id=209";"aconkling@hutchrec.com";"Hutchinson Recreation Commission strives to provide affordable, quality recreational programs to Hutchinson and area residents.";
1085122;"SportZone Summer Fun Camps";" 3909 Burlingame";"Topeka";"KS";66609;"SHAWNEE";"785 - 267- 4658";"http://www.isportzone.com/index.php?option=com_content&view=article&id=157&Itemid=103";;"SportZone is offering Spring Break Camp this year for kids in grades K thru 6th!  This camp will focus on a variety of sports and other fun activities. These activities will be set up to meet the needs of each camper regardless of age or ability and to promote good sportsmanship.  SportZone will provide snacks and hot lunch for all full-day campers.  Any food allergies or restrictions should be noted on this form at the time of registration.  Camp instructors will come from local colleges, high schools, and SportZone Staff.  Campers should wear gym attire and tennis shoes.";
1055098;"Bundle of Joy Family Child Care";;"Assaria";"KS";67416;"SALINE";"Home   785.667.6677
Cell       785.493.5502";"http://www.joymortimer.com/";"joy@joymortimer.com";"It is my goal to provide a warm and caring home that allows children to develop as unique individuals in a nurturing, creative, learning environment.  I believe that children are active learners that learn through play, and that learning begins at birth.  Learning/play environments should be set up to where the child feels safe, secure, and loved in order to promote independence through social, intellectual, physical, and language development.  I stress age appropriate activities based on the child’s experience, interests, and play.  These principals recognize that each child develops at his or her own unique rate.  With this philosophy in mind I strive to build a sense of self-discovery, creativity, and self-esteem in every child while enriching partnerships between home, community, and provider.";
1085643;"Little Learners";"26121 West Valley Parkway";"Wichita";"KS";67204;"SEDGWICK";"(913)254-1818";"http://www.kslittlelearners.com/contact.html";"info@kslittlelearners.com";"Welcome to Little Learners. We are
so excited to be enrolling your child in
our program. At Little Learners, your child will have the opportunity to explore, create, and imagine while
developing academically, socially, emotionally, and physically. These opportunities will take place
in a safe, nurturing environment under the guidance of loving, experienced
teachers who are professional, positive, and passionate about the car
e and education of young children.";
1053968;"Kimberly Eileen Heier Day Care Home";"Box 128";"Grainfield";"KS";67737;"GOVE";"Home: (785) 673-4350
Cell: (785) 673-8035";"http://www.lovesmalltownamerica.com/grainfieldks_kimskids.php";;"Kim Heier, owner and lead daycare provider of Kim's Kids Daycare, believes that each child is a special gift from God and has unique qualities. Her interactive, ""hands-on"" approach to daycare allows children to discover the world around them at their own individual level of development. Kim and her staff (certified in CPR and first aid) provide children with activities that foster cognitive, social, emotional, physical and spiritual growth. Kim's Kids nurturing and easy-going environment makes it easy for children to transition from home to the daycare setting. Through love and respect Kim's Kids License Group Daycare Home will help your children learn to interact appropriately with adult and peers. Kim’s outstanding reputation in the community confirms the fact that all children will be well loved and cared for at Kim's Kids. ";
1051525;"Maize Recreation Fun Factory";"10100 Grady Ave";"Maize";"KS";67101;"SEDGWICK";"316-729-7818";"http://www.maizerec.com/";"bradn@maizerec.com";;
1085176;"River Rock Child Care";"400 NE Green";"Topeka";"KS";66616;"SHAWNEE";"785-783-3336";"http://www.riverrockchildcare.com/";"susan@riverrockchildcare.com";"At River Rock Child Care I believe it is important to give children different kinds of opportunities to learn through Art, Sensory Play, Dramatic Play, Block Play (this is one of my favorites!), Cooking Projects, Small Group activities, Literacy and Math activities. ";
1084683;"Shining Star Early Learning Day Care home";"5648 Flint St";"Shawnee";"KS";66203;"Johnson";"785-550-5427";"http://www.shiningstardc.com/about-us.html";"Carrie@ShiningStarDC.com
";"Choosing a daycare program for your child is such an important decision.  Let us show you how we stand out from the crowd!  At Shining Star, we offer a widely varied weekly curriculum that ensures your child’s mind will be actively engaged in learning while playing with peers and exploring this wonderful world we live in.  Call soon to schedule a visit; we would love to become part of your family!
";
1054868;"Wee Care Day Care";"4901 Mission Road";"Westwood";"KS";66205;"WYANDOTTE";"913-384-4434";"http://www.smcschool.com/wee-caren";;;
1084837;"Ko Martial Arts";" 14820 Metcalf Ave";"Overland Park";"KS";66223;"Johnson";"(913) 851-2400 ";"http://www.thekoma.com/";"info@theKOMA.com";"Our mission: To improve the lives of our students through the physical and mental training of martial arts.";
1085386;"Andover YMCA Early Learning Center";"1115 E Us Highway 54";"Andover";"KS";67002;"BUTLER";"(316) 448-1060
";"http://www.ymcawichita.org/child-care-camp/infant-prek";;"Peace of mind is what you’ll have knowing you child’s in a trusted, quality, licensed YMCA Early Learning Center.

In our Early Learning Centers, every project is designed to activate your child’s imagination. Our nurturing environment allows kids to make friends, learn, engage in physical activity and explore their interests.

All-day care for kids 2 weeks-Kindergarten. ";
1055245;"YMCA - Kids In Sports Camp";"421 SW Van Buren";"Topeka";"KS";66603;"SHAWNEE";"785-354-8591";"http://ymcatopeka.org/site/";"CharlieL@ymcatopeka.org";"The YMCA of Topeka is dedicated to improving the quality of life and to helping all people realize their fullest potential through development of the spirit, mind and body.

And It's for Everybody.

The YMCA of Topeka focus on building strong kids, families and communities through a wide variety of programs. All programs are based on YMCA values of caring, honesty, respect, and responsibility.
";
1055249;"YMCA Jr Explorer Camp";"421 SW Van Buren";"Topeka";"KS";66614;"SHAWNEE";"785-354-8591";"http://ymcatopeka.org/site/";"CharlieL@ymcatopeka.org";"The YMCA of Topeka is dedicated to improving the quality of life and to helping all people realize their fullest potential through development of the spirit, mind and body.

And It's for Everybody.

The YMCA of Topeka focus on building strong kids, families and communities through a wide variety of programs. All programs are based on YMCA values of caring, honesty, respect, and responsibility.
";
1085916;"Duncans Daycare";;"Wichita";"KS";67230;"SEDGWICK";"(316) 371-5221";"https://duncansdaycare.shutterfly.com/";;"Family child care in a Christian home setting is a wonderful alternative for working parents. It provides a small secure environment for children during the most important time of their development. Family child care offers a home away from home, providing children with “siblings” of all ages, to play, socialize, and learn from. My goal in offering quality child care for your child is to provide…   ";
1051444;"Derby Recreation Center";"801 E Market";"Derby";"KS";67037;"SEDGWICK";"316-788-3781";"https://ks-derbyreccommission.civicplus.com/index.aspx?NID=146";;"The Derby Recreation Center is an 80,000 square foot fitness facility with various amenities throughout.  The Center recently underwent major renovations which included remodeling, repurposing of space and upgrades to the entire facility.  The DRC provides amenities and activities for all ages and all skill levels.  Memberships to the Derby Recreation Center are reciprocal with the Oaklawn Activity Center.";
