"ID";"Facility_Name";"Address_Street";"Address_City";"Address_County";"Address_State";"Address_zip";"Phone";"Facility_Type";"Capacity";"Status";"Expiration";"License_Number";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday";"Additional_Services";"Gold_Seal_Last_Accreditation_Agency";"Gold_Seal_Last_Accreditation_Effective_Date";"Gold_Seal_Last_Accreditation_Expiration_Date";"VPK_Program";"Faith_Based";"Head_Start";"School_Readiness"
36079;"Jeanni's Preschool and School Age Center";"905 Spirit Lake Rd";"Winter Haven";"Polk";"FL";33880;8632997219;"Child Care Facility";130;"Operational";"05/30/2023";"C10PO0642 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;;"After School;Before School;Food Served;Full Day;Half Day;Infant Care;Transportation";;;;"Yes";"No";"No";"Yes"
34430;"New Beginnings Preschool and Learning Center, LLC";"5965 State Road 542";"Winter Haven";"Polk";"FL";33880;8639671080;"Child Care Facility";84;"Operational";"09/30/2022";"C10PO0141 ";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";;;"After School;Before School;Drop In;Food Served;Full Day;Half Day;Infant Care;Transportation";;;;"Yes";"No";"No";"Yes"
35064;"Lajoie Family Day Care Home";"608 Sidney Cir";"Winter Haven";"Polk";"FL";33880;8632295826;"Family Day Care Home";10;"Operational";"04/30/2023";"F10PO0200 ";" 6:00AM - 6:00PM";" 6:00AM - 6:00PM";" 6:00AM - 6:00PM";" 6:00AM - 6:00PM";" 6:00AM - 6:00PM";;;"Drop In;Food Served;Full Day;Half Day;Infant Care";;;;;"No";"No";"No"
38172;"Kidology Academy";"2844 Recker Hwy";"Winter Haven";"Polk";"FL";33880;8636623957;"Child Care Facility";55;"Operational";"11/24/2022";"C10PO0895 ";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";;;"After School;Before School;Food Served;Full Day;Half Day;Infant Care;Transportation";;;;"Yes";"No";"No";"Yes"
37648;"Academy at Peoples Church";"3800 Recker Hwy";"Winter Haven";"Polk";"FL";33880;8632993398;"Child Care Facility";174;"Operational";"07/31/2023";"X10PO0550 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;;"Full Day;Infant Care";;;;"Yes";"Yes";"No";"No"
19195;"Polk County Schools - Lake Shipp Elementary";"250 Camellia Dr";"Winter Haven";"Polk";"FL";33880;8632915384;"Child Care Facility";0;"Operational";;"E10PO0047 ";;;;;;;;;;;;"Yes";"No";"No";"No"
350151;"Oasis Christian Academy";"92 High St";"Winter Haven";"Polk";"FL";33880;8632930930;"Child Care Facility";31;"Operational";"08/22/2022";"C10PO0310 ";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";;;"After School;Before School;Full Day;Half Day";;;;"Yes";"Yes";"No";"No"
34068;"All About Kidz Learning Center LLC";"3311 Avenue G";"Winter Haven";"Polk";"FL";33880;8632939999;"Child Care Facility";80;"Operational";"03/10/2023";"C10PO0879 ";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";;;"After School;Before School;Food Served;Full Day;Half Day;Transportation";;;;"Yes";"No";"No";"Yes"
416972;"Booster Edu-Care";"3433 Avenue E";"Winter Haven";"Polk";"FL";33880;8638752086;"Family Day Care Home";10;"Operational";"12/16/2022";"F10PO0356 ";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";;;"Drop In;Full Day;Half Day";;;;;"No";"No";"Yes"
387220;"Children's Day Academy Pre-School Inc";"2995 Avenue G";"Winter Haven";"Polk";"FL";33880;8632479009;"Child Care Facility";70;"Operational";"11/19/2022";"C10PO0333 ";" 6:00AM - 11:00PM";" 6:00AM - 11:00PM";" 6:00AM - 11:00PM";" 6:00AM - 11:00PM";" 6:00AM - 11:00PM";;;"After School;Food Served;Full Day;Half Day;Infant Care;Weekend Care";;;;"Yes";"No";"No";"Yes"
307377;"Polk County Schools - Inwood Elementary";"2200 Avenue G";"Winter Haven";"Polk";"FL";33880;8632915369;"Child Care Facility";0;"Operational";;"E10PO0081 ";;;;;;;;;;;;"Yes";"No";"No";"No"
18100;"Polk County Schools Head Start - Snivey Elementary";"1004 Snively Ave";"Eloise";"Polk";"FL";33880;8632915325;"Child Care Facility";0;"Operational";;"E10PO0030 ";;;;;;;;;;;;"Yes";"No";"Yes";"No"
375783;"Winter Haven Montessori N";"305 Avenue E";"Winter Haven";"Polk";"FL";33880;8632688208;"Child Care Facility";74;"Operational";"08/18/2022";"C10PO0325 ";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";;;"Drop In;Full Day;Half Day;Infant Care";;;;"Yes";"No";"No";"Yes"
424587;"Excel Athletics, Inc.";"650 6th St";"Winter Haven";"Polk";"FL";33880;8632873243;"Child Care Facility";100;"Operational";;"E10PO0108 ";" 3:30PM - 8:30PM";" 3:30PM - 8:30PM";" 3:30PM - 8:30PM";" 3:30PM - 8:30PM";" 3:30PM - 8:30PM";;;"After School;Transportation";;;;;"No";"No";"No"
472340;"Elite Academy of Polk County LLC";"560 3rd St";"Winter Haven";"Polk";"FL";33880;8636320171;"Child Care Facility";110;"Operational";"08/15/2022";"C10PO0369 ";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";;;"After School;Food Served;Full Day;Infant Care";;;;;"No";"No";"Yes"
494799;"Tiny Titans Academy LLC";"1150 1st St";"Winter Haven";"Polk";"FL";33880;8632806967;"Child Care Facility";46;"Operational";"05/09/2023";"C10PO0395 ";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";;;"Drop In;Full Day;Half Day;Infant Care";;;;;"No";"No";"Yes"
475218;"Dreamers Bilingual Academy LLC";"1129 1st St";"Winter Haven";"Polk";"FL";33880;8632129101;"Child Care Facility";32;"Operational";"10/31/2022";"C10PO0373 ";" 6:00AM - 7:00PM";" 6:00AM - 7:00PM";" 6:00AM - 7:00PM";" 6:00AM - 7:00PM";" 6:00AM - 7:00PM";;;"Food Served;Full Day;Half Day;Infant Care";;;;;"No";"No";"Yes"
275455;"Cypress Junction Montessori, Inc";"220 5th St";"Winter Haven";"Polk";"FL";33880;8632591490;"Child Care Facility";97;"Operational";"06/15/2023";"C10PO0269 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;;"After School;Before School;Food Served;Full Day;Half Day";;;;"Yes";"No";"Yes";"Yes"
32760;"RCMA Wahneta Child Development Center";"1920 Gerber Dairy Rd";"Winter Haven";"Polk";"FL";33880;8632955954;"Child Care Facility";89;"Operational";"12/31/2022";"C10PO0154 ";" 6:30AM - 5:00PM";" 6:30AM - 5:00PM";" 6:30AM - 5:00PM";" 6:30AM - 5:00PM";" 6:30AM - 5:00PM";;;"Food Served;Full Day;Infant Care";"National Accreditation Commission";"05/19/2020";"05/19/2024";"Yes";"No";"Yes";"No"
