"ID";"Facility_Name";"Address_Street";"Address_City";"Address_County";"Address_State";"Address_zip";"Phone";"Facility_Type";"Capacity";"Status";"Expiration";"License_Number";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday";"Additional_Services";"Gold_Seal_Last_Accreditation_Agency";"Gold_Seal_Last_Accreditation_Effective_Date";"Gold_Seal_Last_Accreditation_Expiration_Date";"VPK_Program";"Faith_Based";"Head_Start";"School_Readiness"
35752;"Childtime Children's Center #314";"1510 Business Center Dr";"Orange Park";"Clay";"FL";32003;9042780606;"Child Care Facility";150;"Regular/Annual";"06/16/2019";"C04CL0015";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";;;"After School;Before School;Drop In;Food Served;Full Day;Half Day;Infant Care;Open Year-Round;Transportation";"National Early Childhood Program Accreditation";"03/31/2018";"03/31/2021";"Yes";"No";"No";"Yes"
37497;"Kindercare Learning Center";"1735 Eagle Harbor Pkwy";"Orange Park";"Clay";"FL";32003;9042787710;"Child Care Facility";178;"Provisional";"05/24/2020";"C04CL0035";"6:00AM - 6:30PM";"6:00AM - 6:30PM";"6:00AM - 6:30PM";"6:00AM - 6:30PM";"6:00AM - 6:30PM";;;"After School;Before School;Food Served;Full Day;Half Day;Infant Care;Open Year-Round;Transportation";"National Accreditation Commission";"01/27/2016";"01/27/2020";"Yes";"No";"No";"Yes"
281054;"Clay County School District- Paterson Elementary";"5400 Pine Ave";"Fleming Island";"Clay";"FL";32003;9047282078;"Public School";;"Active";;"E04CL0034";;;;;;;;"Open Year-Round";;;;"Yes";"No";"No";"No"
31982;"Y M C A Before and After School @ Paterson Elementary";"5400 Pine Ave";"Fleming Island";"Clay";"FL";32003;9046440072;"Child Care Facility";100;"Regular/Annual";"12/03/2019";"C04CL0069";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";;;"After School;Before School;School Year Only";;;;;"No";"No";"Yes"
354874;"Y M C A Before and After School at St. Johns Classical Academy";"114 Canova Rd";"Fleming Island";"Clay";"FL";32003;9046440072;"Child Care Facility";176;"Regular/Annual";"09/20/2019";"C04CL0145";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";;;"After School;Before School;School Year Only";;;;;"No";"No";"Yes"
32132;"Y M C A Before and After School at Fleming Island Elementary";"4425 Lakeshore Dr";"Orange Park";"Clay";"FL";32003;9046440072;"Child Care Facility";100;"Regular/Annual";"12/27/2019";"C04CL0059";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";"2:00PM - 6:30PM; 6:30AM - 8:30AM";;;"After School;Before School;Open Year-Round";;;;;"No";"No";"Yes"
24725;"Fleming Island Elementary School";"4425 Lakeshore Dr";"Orange Park";"Clay";"FL";32003;9042728100;"Public School";951;"Active";;"E04CL0009";"7:30AM - 3:30PM";"7:30AM - 3:30PM";"7:30AM - 3:30PM";"7:30AM - 3:30PM";"7:30AM - 3:30PM";;;"Food Served;Full Day";;;;"Yes";"No";"No";"No"
34273;"Sharing Tree Preschool Fleming Island";"5900 US Highway 17";"Fleming Island";"Clay";"FL";32003;9044581970;"Child Care Facility";90;"Regular/Annual";"04/15/2020";"C04CL0098";"8:30AM - 2:00PM";"8:30AM - 2:00PM";"8:30AM - 2:00PM";"8:30AM - 2:00PM";"8:30AM - 1:00PM";;;"Half Day;School Year Only";;;;"Yes";"Yes";"No";"No"
38653;"La Petite Academy";"4321 US Highway 17";"Fleming Island";"Clay";"FL";32003;9042693767;"Child Care Facility";140;"Regular/Annual";"08/18/2019";"C04CL0038";"6:00AM - 6:30PM";"6:00AM - 6:30PM";"6:00AM - 6:30PM";"6:00AM - 6:30PM";"6:00AM - 6:30PM";;;"After School;Before School;Drop In;Food Served;Full Day;Half Day;Infant Care;Open Year-Round;Transportation";"National Early Childhood Program Accreditation";"05/17/2017";"04/30/2020";"Yes";"No";"No";"Yes"
27247;"Clay County School District - Fleming Island Eaglets";"2233 Village Square Pkwy";"Orange Park";"Clay";"FL";32003;9045294928;"Public School";999;"Active";;"E04CL0022";"8:30AM - 11:30AM";"8:30AM - 11:30AM";"8:30AM - 11:30AM";"8:30AM - 11:30AM";"8:30AM - 11:30AM";;;"Half Day;School Year Only";;;;"Yes";"No";"No";"No"
