"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"detail";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
539531;"Trinity Christian Academy of Miami";"3520 SW 97 Ave";"Miami";"FL";33165;"Miami-Dade";"305-221-9722";"http://tcamiami.com/";"contact@tcamiami.com";"We are pleased you have chosen Trinity Christian Academy as your child’s source of education. We consider it a great honor and privilege to share the responsibility of educating your child. Therefore we must have rules to guide our relationship between parents and the school. The Bible is our guidebook and serves as our set of rules. God’s Word shows us how to live the Christian life. Our prayer for your family is that God’s Word will have a strong impact upon your life. We look forward to a promising school year. Thank your for placing your confidence in Trinity Christian Academy.";"http://tcamiami.com/";"https://www.facebook.com/pages/Trinity-Christian-Academy-of-Miami/452462474773092";;;"http://tcamiami.com/admission/";"http://tcamiami.com/wp-content/uploads/2014/08/TCA-Parent-Handbook-2014-2015.pdf";"y";"y";"y";"y";"y";"y";"http://tcamiami.com/wp-content/uploads/2013/09/school_name_miami2.png";"http://tcamiami.com/wp-content/uploads/2014/07/TCA-Summer-Is-Here-4-628x471.jpg";"http://tcamiami.com/wp-content/uploads/2014/07/DSCN4418-628x470.jpg";"http://tcamiami.com/wp-content/uploads/2014/07/TCA-Aloha-2-628x471.jpg";"http://tcamiami.com/wp-content/uploads/2014/07/TCA-Crazy-Hair-2-628x471.jpg";;
539535;"Trinity Christian Day Care Inc";"1486 West 84 Street";"Hialeah";"FL";33014;"Miami-Dade";"305-819-8999";"http://trinitychristianacademy.net/Contact_Us.html";"trinityhialeah@att.net";"Founded in 1989 as a daycare, Trinity Christian Academy has grown to become an accredited high school in its 24 years of experience.  Trinity Christian Academy pursues the highest educational standards in a creative and supportive environment.  Our teachers challenge students' intellects, promote academic excellence, and cultivate individual talents while encouraging independent thinking.

Through our commitment, experience, and expertise, Trinity Christian Academy has established a relationship with our parents and students that will last a lifetime.  The key to our success is that we place this school, its teachers, the administration, and our students under God's guidance.

Another influential factor in the growth of Trinity Christian Academy is the relationship with our parents.  Our parents have an ""open door"" privilege with our teachers and staff.  Parental involvement is an instrumental asset to the school.        

Our school is operated with structure.  It may remind you of a time when schools produced good students, promoted advancement, and expected respect from students.  The school is accredited and our teachers are certified.";"http://trinitychristianacademy.net/Contact_Us.html";;;;"http://trinitychristianacademy.net/Online_Registration.html";"http://trinitychristianacademy.net/Student_Handbook.html";"n";"n";"y";"y";"y";"n";;"http://trinitychristianacademy.net/images/teacher.jpg";;;;;
539539;"TRINITY EARLY CHILDHOOD LEARNING CENTER";"11 SW 11 STREET";"Fort Lauderdale";"FL";33315;"Broward";"954-463-2456";"http://www.trinityftl.org/EarlyLearningCenter";"tlcdirector@trinityftl.org";"Trinity Learning Center's Summer Splash & Discover Camp will offer activities for children who are 6 weeks old through those entering Kindergarten.";"http://www.trinityftl.org/EarlyLearningCenter";"https://www.facebook.com/pages/Trinity-Lutheran-Church-Ft-Lauderdale/128806867157831";"Monday - Friday 7 a.m. - 6 p.m.";;;;"y";"y";"y";"y";"n";"y";;;;;;;
539540;"Trinity Episcopal Learning Center";"215 St. George Street";"Saint Augustine";"FL";32084;"Saint Johns";"904-824-2876";"http://www.acswebnetworks.com/trinityaugustine/article326458.htm";"tammy@trinityepiscopalparish.org";"Mission: Trinity Episcopal Learning Center is an educational ministry of Trinity Episcopal Parish for two-year-olds through pre-kindergarten. Our purpose is to prepare young children in a loving, Christian environment to reach their potential before entering kindergarten.

Philosophy: We see each child as God's unique creation and, therefore, teach and nurture him or her within a loving Christian environment. We use a well-rounded developmental curriculum created for the young child's special ways of learning.";"http://www.acswebnetworks.com/trinityaugustine/article326458.htm";;;;"http://images.acswebnetworks.com/1/2532/registrationform.pdf";;"n";"n";"y";"y";"n";"n";;"http://images.acswebnetworks.com/1/2532/playground.jpg";"http://images.acswebnetworks.com/1/2532/Edplayground.jpg";"http://images.acswebnetworks.com/1/2532/FatherKenChapel.jpg";"http://images.acswebnetworks.com/1/2532/mothersdaytea.jpg";;
539544;"Trinity Learning Center";"3400 Bayou Boulevard";"Pensacola";"FL";32503;"Escambia";"850-435-7829";"http://www.trinitypcola.org/tlc";"anna@trinitypcola.org";"First and foremost, the well being of your child is our top priority. Trinity Learning Center (TLC) maintains that all children need to grow spiritually, intellectually, physically, socially, and emotionally. We believe that in order to develop the highest possible self-esteem, children must become aware of God and His importance in their lives. This knowledge will help them as they begin to grow as children of God. Read More";"http://www.trinitypcola.org/tlc";;"7:30 am - 5:30 pm";;;;"y";"y";"y";"y";"n";"n";"http://images.acswebnetworks.com/1/486/TLCLogo.jpg";;;;;;
539548;"Trinity Loving Care Early Education Center";"156 Florida Park Drive";"Palm Coast";"FL";32137;"Flagler";"386-446-4534";"http://www.trinitylovingcare.com/";;"TLC is committed to providing a safe and healthy environment addressing the developmental needs of each child. Assessments are completed with development of specific objectives for each child. Parent communication is a priority with TLC staff/board.";"http://www.trinitylovingcare.com/";;"Monday - Friday 6:30am to 6:00pm";"http://www.trinitylovingcare.com/careers.html";;;"y";"y";"y";"y";"n";"n";;;;;;;
539550;"Trinity Lutheran Preschool";"3254 Coastal Highway";"Crawfordville";"FL";32327;"Wakulla";"850-926-5557";;;;;;;;;;;;;;;;;;;;;"Y";
539553;"Trinity Lutheran School";"706 SW 6th Avenue";"Cape Coral";"FL";33991;"Lee";"239-772-1549";"http://www.trinitycapecoral.org/preschool.html";"school@trinitycapecoral.org";"Located on the Trinity Lutheran Church campus, the mission of Trinity Lutheran Preschool is to provide a quality Christian education that equips students for using their God-given talents.  The children have Bible lessons each day and attend chapel weekly.  A full complement of academic programs are taught along with music and art.  Class sizes are small and taught by teachers who are loving and caring.
We currently offer programs for 2, 3 and 4 year olds, including before and after care.  We are also a VPK-4 voucher site, and have received high academic ratings from the Florida Department of Education for kindergarten readiness.";"http://www.trinitycapecoral.org/preschool.html";;"7:30 AM to 3:30 PM, Monday—Friday";;;;"n";"y";"y";"y";"n";"n";"http://www.trinitycapecoral.org/_wp_generated/wpcd389b66_05.jpg";"http://www.trinitycapecoral.org/_wp_generated/wp56f2ae8a_05.jpg";;;;;
539555;"Trinity Preschool";"4150 S Shade Ave";"Sarasota";"FL";34231;"Sarasota";"941-924-7756";"http://www.itrinity.org/livesite/pages/preschool";;"We believe children learn about the world around them through play, a variety of hands-on activities, socializing with peers and dramatic role playing of life situations.  We also recognize that children thrive with structure - a structure established by daily routines of circle time, learning centers, arts and crafts, and outside play.  Trinity Preschool is a private not-for-profit coeducational preschool licensed by the state of Florida for 31 children and operated as a ministry to our community families.
Since 1996 the mission of Trinity Preschool has been to provide a small, high-quality preschool program - a caring community that encourages and challenges each child and family to be all they can be.  Trinity Preschool is a place where children are valued, encouraged to do meaningful work and develop their wonder and curiosity as they learn to work and play.  This is a place where families are valued for their bonds, tranditions, beliefs, and dreams for their children. ";"http://www.itrinity.org/livesite/pages/preschool";;"9am-3:30pm";;;;"n";"y";"y";"y";"n";"n";"http://www.itrinity.org/livesite/files/PreschoolLogo.jpg";"http://www.itrinity.org/livesite/files/curiosity2.png";"http://www.itrinity.org/livesite/files/construction2.png";"http://www.itrinity.org/livesite/files/staffPreschool2.png";;;
539557;"TRINITY SCHOOL FOR CHILDREN";"2402 W. OSBORNE AVENUE";"TAMPA";"FL";33603;"Hillsborough";"813-874-2402";"http://www.trinitysfc.org/";;"Imagine developing a school where students can discover, learn, experiment, and create their own knowledge. Imagine a school where students feel safe and trust their environment. Imagine a school where experiences are created to allow students to integrate and accommodate their own personal feelings and ideas within an ethical framework that encourages taking risks and the creation of civic ideals. Such a place exists at Trinity School for Children. Since 1999, we have been working diligently to live up to the ideals set forth by Lucy Sprague Mitchell, Bank Street College, New York. Replicating their laboratory school has been a dream for all of our founders, educators, students and families involved.";"http://www.trinitysfc.org/";;;;"http://www.trinitysfc.org/index.php?option=com_content&view=article&id=19&Itemid=8";;"y";"y";"y";"y";"n";"n";"http://www.trinitysfc.org/images/template/logo.png";"http://www.trinitysfc.org/images/stories/aboutusshoes.png";"http://www.trinitysfc.org/images/stories/loweradm.png";"http://www.trinitysfc.org/images/stories/mathlowers.png";"http://www.trinitysfc.org/images/stories/litlower.png";;
