"ProviderNumber";"Report_Date";"Arrival_Time";"Report_Type";"Filename"
"CCLC-3037";"May 10, 2023";"11:25 AM";"Licensing Study";"mdta1_CCLC-3037_LS_5102023_(1).pdf"
"CCLC-3037";"Jul 27, 2022";"12:35 PM";"Monitoring Visit";"gtvn_CCLC-3037_MV_7272022_(3).pdf"
"CCLC-3037";"Feb 16, 2022";"11:40 AM";"Monitoring Visit";"gtvn_CCLC-3037_MV_2162022_(0)_1.pdf"
"CCLC-3037";"Sep 28, 2021";"10:00 AM";"Licensing Study";"gtvn_CCLC-3037_LS_9282021_(2)_1.pdf"
"CCLC-3037";"May 04, 2021";"10:30 AM";"Monitoring Visit";"CCLC-3037_MV_05042021_1.pdf"
"CCLC-3037";"Oct 28, 2020";"10:30 AM";"Licensing Study";"CCLC-3037_LS_10282020_1.pdf"
"CCLC-3037";"Mar 06, 2020";"09:15 AM";"Monitoring Visit";"CCLC-3037_MV_03062020_1.pdf"
"CCLC-3037";"Dec 11, 2019";"10:00 AM";"Complaint Closure";"CCLC-3037_ComplaintClosure_10302019_1.pdf"
"CCLC-3037";"Oct 30, 2019";"10:00 AM";"Complaint Investigation Follow Up";"CCLC-3037_CIFollowUp_10302019_1.pdf"
"CCLC-3037";"Aug 29, 2019";"01:20 PM";"Licensing Study";"CCLC-3037_LS_08292019_1.pdf"
"CCLC-3037";"May 20, 2019";"12:00 PM";"Follow-Up";"CCLC-3037_CIFollowUp_05202019_1.pdf"
"CCLC-3037";"Mar 28, 2019";"11:25 AM";"Licensing Study";"CCLC-3037_LS_03282019_1.pdf"
"CCLC-3037";"Sep 13, 2018";"12:45 PM";"Monitoring Visit";"CCLC-3037_MV_09132018_1.pdf"
"CCLC-53568";"Mar 17, 2023";"09:00 AM";"Follow-Up";"lyaa_CCLC-53568_IIFollowUp_3172023_(0).pdf"
"CCLC-53568";"Oct 04, 2022";"02:00 PM";"Follow-Up";"mxka_CCLC-53568_IIFollowUp_1042022_(0).pdf"
"CCLC-53568";"Aug 10, 2022";"10:00 AM";"Monitoring Visit";"gtvn_CCLC-53568_MV_8102022_(0).pdf"
"CCLC-53568";"Feb 16, 2022";"01:00 PM";"Monitoring Visit";"gtvn_CCLC-53568_MV_2162022_(0)_1.pdf"
"CCLC-53568";"Aug 25, 2021";"10:00 AM";"Licensing Study";"CCLC-53568_LS_08252021_1.pdf"
"CCLC-53568";"Mar 12, 2021";"10:00 AM";"Initial Licensing Study";"ssjr_CCLC-53568_ILS_3122021_(1)_1.pdf"
"CCLC-53568";"Dec 14, 2020";"09:30 AM";"Initial Licensing Study";"ssjr_CCLC-53568_ILS_12142020_(1)_1.pdf"
"EX-43889";"Mar 08, 2023";"03:00 PM";"Exemption Monitoring";"mnma1_EX-43889_6396_EX-Monitoring_382023_(0).pdf"
"CCLC-10998";"Apr 19, 2023";"10:50 AM";"Licensing Study";"lela1_CCLC-10998_LS_4192023_(1).pdf"
"CCLC-10998";"Dec 13, 2022";"12:00 PM";"Monitoring Visit";"lela1_CCLC-10998_MV_12132022_(0).pdf"
"CCLC-10998";"Oct 08, 2021";"11:30 AM";"Monitoring Visit";"lela1_CCLC-10998_MV_1082021_(0)_1.pdf"
"CCLC-10998";"Mar 03, 2021";"12:30 PM";"Licensing Study";"CCLC-10998_LS_03032021_1.pdf"
"CCLC-10998";"Aug 17, 2020";"01:05 PM";"Monitoring Visit";"CCLC-10998_MV_08172020_1.pdf"
"CCLC-10998";"Jan 23, 2020";"10:50 AM";"Licensing Study";"CCLC-10998_LS_01232020_1.pdf"
"CCLC-10998";"Jul 18, 2019";"11:50 AM";"Monitoring Visit";"CCLC-10998_MV_07182019_1.pdf"
"CCLC-10998";"Apr 02, 2019";"11:25 AM";"Licensing Study";"CCLC-10998_LS_04022019_1.pdf"
"CCLC-10998";"Oct 09, 2018";"11:45 AM";"Monitoring Visit";"CCLC-10998_MV_10092018_1.pdf"
"CCLC-13460";"May 02, 2023";"03:30 PM";"Licensing Study";"lela1_CCLC-13460_LS_522023_(0).pdf"
"CCLC-13460";"Dec 12, 2022";"05:00 PM";"Monitoring Visit";"CCLC-13460_MV_12122022.pdf"
"CCLC-13460";"May 16, 2022";"04:00 PM";"Licensing Study";"lela1_CCLC-13460_LS_5162022_(0).pdf"
"CCLC-13460";"Dec 02, 2021";"04:30 PM";"Monitoring Visit";"CCLC-13460_MV_12022021_1.pdf"
"CCLC-13460";"Mar 03, 2021";"02:30 PM";"Licensing Study";"CCLC-13460_LS_03032021_1.pdf"
"CCLC-13460";"Dec 09, 2020";"04:00 PM";"Monitoring Visit";"CCLC-13460_MV_12092020_1.pdf"
"CCLC-13460";"Feb 05, 2020";"02:30 PM";"Licensing Study";"CCLC-13460_LS_02052020_1.pdf"
"CCLC-13460";"Sep 17, 2019";"02:30 PM";"Monitoring Visit";"CCLC-13460_MV_09172019_1.pdf"
"CCLC-13460";"Apr 18, 2019";"02:35 PM";"Licensing Study";"CCLC-13460_LS_04182019_1.pdf"
"CCLC-13460";"Oct 23, 2018";"02:45 PM";"Monitoring Visit";"CCLC-13460_MV_10232018_1.pdf"
"CCLC-54020";"Jul 12, 2023";"10:10 AM";"Licensing Study";"sdaa_CCLC-54020_LS_7122023_(0).pdf"
"CCLC-54020";"Jul 12, 2022";"11:20 AM";"Monitoring Visit";"snmi_CCLC-54020_MV_7122022_(0)_1.pdf"
"CCLC-54020";"Feb 16, 2022";"08:45 AM";"Licensing Study";"snmi_CCLC-54020_LS_2162022_(1)_1.pdf"
"CCLC-54020";"Aug 03, 2021";"10:30 AM";"Monitoring Visit";"CCLC-54020_MV_08032021_1.pdf"
"CCLC-54020";"Apr 16, 2021";"10:00 AM";"Initial Licensing Study";"byja_CCLC-54020_ILS_4162021_(0)_1.pdf"
"CCLC-11077";"Jun 26, 2023";"08:15 AM";"Licensing Study";"lela1_CCLC-11077_LS_6262023_(1).pdf"
"CCLC-11077";"Nov 28, 2022";"01:30 PM";"Monitoring Visit";"lela1_CCLC-11077_MV_11282022_(0).pdf"
"CCLC-11077";"Apr 14, 2022";"09:00 AM";"Licensing Study";"lela1_CCLC-11077_LS_4142022_(0).pdf"
"CCLC-11077";"Nov 17, 2021";"03:30 PM";"MV POI Follow Up";"lela1_CCLC-11077_MVPOIFollow-Up_11172021_(1)_1.pdf"
"CCLC-11077";"Oct 25, 2021";"11:00 AM";"Complaint Closure";"mncn_CCLC-11077_ComplaintClosure_9152021_(2)_1.pdf"
"CCLC-11077";"Sep 15, 2021";"11:00 AM";"Complaint Investigation Follow Up";"mncn_CCLC-11077_CIFollowUp_9152021_(2)_1.pdf"
"CCLC-11077";"Mar 09, 2021";"10:00 AM";"Licensing Study";"lela1_CCLC-11077_LS_392021_(1)_1.pdf"
"CCLC-11077";"Aug 10, 2020";"01:00 PM";"Monitoring Visit";"CCLC-11077_MV_08102020_1.pdf"
"CCLC-11077";"Feb 19, 2020";"08:55 AM";"Licensing Study";"CCLC-11077_LS_02192020_1.pdf"
