"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
939898;"AppleGate Academy & Preschool (Jonesboro)";"9610 Deer Crossing Drive";"Jonesboro";"GA";30236;"CLAYTON";"(678) 565-7311";"http://www.applegateacademy.com/";;"Here at AppleGate, we understand that children are great explorers and deep thinkers. We work hard to cultivate stable, nurturing relationships, as well as a rich kid friendly stable environment so that each child has the opportunity to explore in a space especially for them!

We have experienced and degreed teachers, well equipment classrooms, and a passion for teaching.

";"http://www.applegateacademy.com/";;"6:00AM - 6:30PM ";;"http://www.applegateacademy.com/Enrollment.aspx";"http://www.applegateacademy.com/Careers.aspx";"y";"y";"y";"y";"y";"y";"http://www.applegateacademy.com/Portals/0/applegate-logo.png";"http://www.applegateacademy.com/Portals/0/applegate-front.png";"http://applegateacademy.com/Portals/0/Gallery/applegateacademy.com%20screen%20capture%202010-11-11-14-56-24.png";"http://applegateacademy.com/Portals/0/Gallery/applegateacademy.com%20screen%20capture%202010-11-11-15-5-49.png";"http://applegateacademy.com/Portals/0/Gallery/Gallery%2012.JPG";;
939966;"Ebenezer Elementary School";"1198 Ebenezer Road";"Rincon";"GA";31326;"EFFINGHAM";"(912) 754-5522";"http://www.effinghamschools.com/Domain/526";;"Our Mission
As a community of learners, in cooperation with stakeholders, our mission is:
To provide rigorous and relevant instruction in a safe environment to enable all students to obtain a high school diploma as a foundation for  post secondary success.";"http://www.effinghamschools.com/Domain/526";;;;"http://www.effinghamschools.com/site/Default.aspx?PageID=733";;"n";"n";"y";"y";"y";"y";"http://www.effinghamschools.com/cms/lib4/GA01000314/Centricity/Template/2//logos/ebes.png";;;;;;
939957;"Four Seasons Preschool Academy";"5650 Owens Drive";"Austell";"GA";30106;"COBB";"678-552-2122";;;;;;;;;;;;;;;;;;;;;"Y";
939956;"Doll's Little Haven Christian Academy";"514 North Lee Street";"Americus";"GA";31709;"SUMTER";"(229) 928-8808";"https://www.facebook.com/pages/Dolls-Little-Haven-Christian-Academy/150289688322703?sk=info&tab=page_info";;;"https://www.facebook.com/pages/Dolls-Little-Haven-Christian-Academy/150289688322703?sk=info&tab=page_info";"https://www.facebook.com/pages/Dolls-Little-Haven-Christian-Academy/150289688322703?sk=info&tab=page_info";"Mon - Fri: 
6:00 am - 12:00 am
Sat: 
6:00 am - 2:00 am";;;;"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";;"https://scontent-a-lax.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/p180x540/302589_271366989548305_160386731_n.jpg?oh=169b9e7c7be24ef036b20a3c274cdbd4&oe=55599D3C";"https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/s720x720/310322_265992956752375_1167544_n.jpg?oh=5030fd5d6d550dc6cc3a761f89a7d470&oe=55564D49&__gda__=1433129657_b480dddf8c974be82858da187043ea4a";"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/s720x720/312482_265987660086238_707577_n.jpg?oh=e2c2f7545d0a5ba0261aa7b77c006e9f&oe=5522D260&__gda__=1428452136_932b9c6d32bd52a072cbcb730ca88745";"https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/155343_177686908916314_5967654_n.jpg?oh=5db76bc19632c4ba73fdaa0980ddfcf3&oe=556CB5D8&__gda__=1432776846_f0770eccb60b94983bd546de162598b0";;
940135;"Springfield Elementary School";"300 Old Dixie Highway South";"Springfield";"GA";31329;"EFFINGHAM";"(912) 754-3326";"http://www.effinghamschools.com/Domain/1354";"terrijohnson@effingham.k12.ga.us";"Springfield Elementary School (SES) is recognized as a Title I Distinguished School. The caring, dedicated staff members focus on providing meaningful instruction for every child, every day. A well-developed curriculum and instruction plan is the foundation of the successful academic program. Staff members have high expectations for all students. The instructional plan is data driven and allows for differentiation for all students.

 

Springfield Elementary provides an accelerated Gifted & Talented (GT) program in 1st – 5th grade. Students are served by the GT certified classroom teacher as well as a resourced GT teacher.  SES also provides an Early Intervention Program (EIP) for Kindergarten – 5th grade students. In addition, three Reading Recovery teachers provide one-on-one reading instruction for qualifying first grade students. The Reading Recovery teachers also assist with small group instruction in first and second grade. In addition to early intervention resources, SES provides quality special education programs for students qualifying for additional services. SES also receives services from an intervention team that provides one-on-one tutoring for qualifying students. SES is dedicated to ensuring that all students make academic gains throughout the school year.

 

In addition to quality instruction, SES provides thirty-one advanced technology classrooms. The students also benefit from two computer labs and several student computers in each classroom. A science lab is available for all hands-on learning experiences. Active learning and advanced technology classrooms increase motivation and participation to ensure that all students are actively engaged in the learning process. ";"http://www.effinghamschools.com/Domain/1354";;;;"http://www.effinghamschools.com/site/Default.aspx?PageID=733";;"n";"n";"y";"y";"y";"y";"http://www.effinghamschools.com/cms/lib4/GA01000314/Centricity/Template/2//logos/ses.png";;;;;;
940129;"Small Kidz Daycare and Learning Center";"101 South Westberry Street";"Sylvester";"GA";31791;"WORTH";"(229) 776-0033";;;;;;;;;;;;;;;;;;;;;"Y";
939893;"ABC Montessori";"483 Walker Drive";"McDonough";"GA";30253;"HENRY";"(770) 957-9998";"http://www.abcmontessori.us/";"admin@abcmontessori.us";"It is the mission of ABC Montessori to guide every child. To discover their full, unique potential. To flourish intellectually, artistically, physically and culturally. To develop a strong foundation which prepares them for the world community. ";"http://www.abcmontessori.us/";;"8:00am - 4:00pm";"http://www.abcmontessori.us/open-positions";"http://www.abcmontessori.us/admissions";;"n";"n";"y";"y";"y";"y";"http://www.abcmontessori.us/images/template/header.png";"http://www.abcmontessori.us/images/virtual-tour/1234064_255533704594199_132766689_n.jpg?action=thumbnail&width=614&height=415&algorithm=proportional";"http://www.abcmontessori.us/images/virtual-tour/1001145_223423041138599_1450404858_n.jpg?action=thumbnail&width=614&height=415&algorithm=proportional";"http://www.abcmontessori.us/images/virtual-tour/1013758_232180973596139_1513739529_n.jpg?action=thumbnail&width=614&height=415&algorithm=proportional";"http://www.abcmontessori.us/images/virtual-tour/8289_192584817555755_447077212_n.jpg?action=thumbnail&width=614&height=415&algorithm=proportional";;
939948;"CreekStone Academy";"2400 Ellison Lakes Dr.";"Kennesaw";"GA";30152;"COBB";"(770) 919-0192";"http://www.mycreekstoneacademy.com/";"info@creekstoneacademy.com.";"Our unique approach to children's education combined with impeccable childcare, is the key difference between CreekStone Academy and other childcare centers. Our state-of-the-art facility, highly-trained staff and a commitment to excellence will give your child a private-school experience weeks to twelve years of age. Our facility is top-notch with bright, open floor plans, and the most current and safe educational tools. Outdoor play areas are secure and fenced with a great assortment of fun activities and equipment. Our teachers are some of the most highly trained in the industry, most with degrees or certification in early childhood education. We also require our staff to participate in on-going professional development – ensuring your child receives the best possible care and development opportunities.";"http://www.mycreekstoneacademy.com/";;;;"http://www.mycreekstoneacademy.com/enrollment_application.pdf";;"y";"y";"y";"y";"y";"y";;"http://www.mycreekstoneacademy.com/images/creekstone-academy-building1.jpg";"http://www.mycreekstoneacademy.com/images/Philosophy-Page.jpg";"http://www.mycreekstoneacademy.com/images/childcare-daycare2.jpg";"http://www.mycreekstoneacademy.com/images/Contact-Usp.jpg";;
939946;"Creative Pathways Preschool";"2740 Joe Jerkins Blvd.";"Austell";"GA";30106;"COBB";"(770) 941-5767";"http://creativepathways.comcastbiz.net";"kimziegler@creativepathways.comcastbiz.net";;"http://creativepathways.comcastbiz.net";;"5:30 AM to 6:30 PM, Monday through Friday";;;;"n";"n";"y";"y";"n";"n";"http://creativepathways.comcastbiz.net/mediac/400_0/media/DIR_104/3be67794cacbbea8ffff838dffffe907.jpg";"http://creativepathways.comcastbiz.net/mediac/400_0/media/DIR_104/3be67794cacbbea8ffff83adffffe907.jpg";"http://creativepathways.comcastbiz.net/mediac/400_0/media/DIR_104/3be67794cacbbea8ffff83afffffe907.jpg";"http://creativepathways.comcastbiz.net/mediac/400_0/media/DIR_104/3be67794cacbbea8ffff83b1ffffe907.jpg";"http://creativepathways.comcastbiz.net/mediac/400_0/media/aa3b62599d0a6ddffff813affffe907.jpg";;
939945;"Creative Kids Learning Center & Preschool Inc.";"1370 Cate Rd.";"Brunswick";"GA";31525;"GLYNN";"(912) 275-8953";"http://creativekidschildcarega.com/contact/1896049";"creativekids4melinda@yahoo.com";"We are committed to providing your child a safe environment. Child care hours are available day and night for all schedules. We're nationally accredited to ensure your child gets great care. Your child receives the attention they deserve at Creative Kids.";"http://creativekidschildcarega.com/contact/1896049";;;;;;"y";"y";"y";"y";"n";"n";"http://creativekidschildcarega.com/communities/7/000/001/358/757//images/3279570.png";"http://creativekidschildcarega.com/communities/7/000/001/358/757//images/3574902.jpg";"http://creativekidschildcarega.com/_imgstore/7/1358757/page_child-care_fyqRLZVCJKw9tUMjentGc/OGqT5qt07R3su6YL4ekE3yvXgG4.png";"http://creativekidschildcarega.com/_imgstore/7/1358757/page_child-care_fPjdbebG-H2dwZGJJgTnp/w4BeVYU93JOxgrjU2CEt2V1qGGE.png";"http://creativekidschildcarega.com/_imgstore/7/1358757/page_child-care_fmbuFwri8KPmdpfCzZUxj/AENYs8mKklpzIwesf29n82T0Fc8.png";;
