"ServiceType";"ProviderName";"Building";"Street1";"Street2";"City";"State";"ZipCode";"Building(Mailing)";"Street1(Mailing)";"Street2(Mailing)";"City(Mailing)";"State(Mailing)";"ZipCode(Mailing)";"ContactPerson";"Phone";"LicenseNo";"LicenseName";"Capacity";"MinimumAge";"MaximumAge";"ExpirationDate";"Island";"Area"
"BAS";"EMMANUEL LUTHERAN CHURCH AND SCHOOLS";;"520 WEST ONE ST";;"KAHULUI";"HI";"96732";;"520 WEST ONE ST";;"KAHULUI";"HI";"96732";"CARRIE DAVENPORT";"808-873-6334";"14389";"EMMANUEL LUTHERAN SCHOOL AFTER SCHOOL PROGRAM";49;"4 years 7 months";"14 years";"20210930";"Maui";"Kahului"
"BAS";"FIRST ASSEMBLY OF GOD";;"3400 MOANALUA RD";;"HONOLULU";"HI";"96819";;"3400 MOANALUA RD";;"HONOLULU";"HI";"96819";"ELEUTERIO ""TERRY"" ARISTA";"808-836-0233";"14790";"CHRISTIAN ACADEMY BEFORE & AFTER SCHOOL CARE";81;"5 years";"15 years";"20210119";"Oahu";"Moanalua"
"BAS";"FRIENDSHIP BIBLE CHURCH";;"91-1207 RENTON RD";;"EWA BEACH";"HI";"96706";;"91-1207 RENTON RD";;"EWA BEACH";"HI";"96706";"MOLLY NORDEN";"808-687-3638";"13793";"FRIENDSHIP CHRISTIAN SCHOOLS BEFORE AND AFTER SCHOOL CARE";60;"5 years";"12 years";"20210430";"Oahu";"Ewa"
"BAS";"HANALANI SCHOOLS";;"94-294 ANANIA DR";;"MILILANI TOWN";"HI";"96789";;"94-294 ANANIA DR";;"MILILANI TOWN";"HI";"96789";"GWEN NAKAMOTO";"808-625-0737";"13818";"HANALANI SCHOOLS ELEMENTARY BEFORE & AFTER SCHOOL PROGRAM";150;"4 years";"14 years";"20210331";"Oahu";"Mililani Town"
"BAS";"HAWAII BAPTIST ACADEMY";;"21 BATES ST";;"HONOLULU";"HI";"96817";;"21 BATES ST";;"HONOLULU";"HI";"96817";"CRAIG CHANG";"808-533-1106";"13133";"HAWAII BAPTIST ACADEMY  AFTER SCHOOL ENRICHMENT PROGRAM";225;"4 years 8 months";"13 years";"20210131";"Oahu";"Nuuanu"
"BAS";"HILTON HOTELS CORP";;"2005 KALIA RD";;"HONOLULU";"HI";"96815";;"2005 KALIA RD";;"HONOLULU";"HI";"96815";"BERT MOMOTOMI";"808-949-4321";"13151";"CAMP PENGUIN";61;"5 years";"13 years";"20210831";"Oahu";"Waikiki"
"BAS";"HOALA SCHOOL";;"1067A CALIFORNIA AVE";;"WAHIAWA";"HI";"96786";;"1067A CALIFORNIA AVE";;"WAHIAWA";"HI";"96786";"PHYLLIS NORTON";"808-621-1898";"13826";"HOALA PLUS";35;"4 years 8 months";"12 years";"20210930";"Oahu";"Wahiawa Town"
"BAS";"HOLY FAMILY CATHOLIC ACADEMY";;"830 MAIN ST";"VALKENBURG & NIMITZ WING";"HONOLULU";"HI";"96818";;"830 MAIN ST";"VALKENBURG & NIMITZ WING";"HONOLULU";"HI";"96818";"PHYLLIS GAY";"808-423-9611ext 313";"13832";"HOLY FAMILY BEFORE & AFTER SCHOOL CARE PROGRAM";230;"4 years";"15 years";"20210131";"Oahu";"Hickam"
"BAS";"HONOLULU WALDORF SCHOOL";;"350 ULUA ST";;"HONOLULU";"HI";"96821";;"350 ULUA ST";;"HONOLULU";"HI";"96821";"DR. SUSAN TRAVIS";"808-377-5471";"13168";"HONOLULU WALDORF SCHOOL AFTER SCHOOL CARE";60;"6 years";"14 years";"20201231";"Oahu";"Niu Valley"
"BAS";"IOLANI SCHOOL";;"563 KAMOKU ST";;"HONOLULU";"HI";"96826";;"563 KAMOKU ST";;"HONOLULU";"HI";"96826";"NATALIE HANSEN";"808-943-2249";"13182";"IOLANI AFTER SCHOOL ENRICHMENT";180;"5 years";"10 years";"20201130";"Oahu";"Moiliili"
"BAS";"MARYKNOLL SCHOOL";;"1722 DOLE ST";;"HONOLULU";"HI";"96822";;"1526 ALEXANDER ST";;"HONOLULU";"HI";"96822";"DAN NAGAMI";"808-952-7100";"13341";"MARYKNOLL SCHOOL AFTER SCHOOL CARE PROGRAM";300;"4 years 8 months";"13 years";"20201130";"Oahu";"Punahou"
"BAS";"KAWAIAHAO CHURCH CORPORATION";;"872 MISSION LN";;"HONOLULU";"HI";"96813";;"872 MISSION LN";;"HONOLULU";"HI";"96813";;;"13246";"KAWAIAHAO CHURCH SCHOOL BEFORE & AFTER SCHOOL PROGRAM";49;"5 years";"13 years";"20201231";"Oahu";"Kakaako"
"BAS";"KSL GRAND WAILEA RESORT HOTEL & SPA";;"3850 WAILEA ALANUI DR";;"KIHEI";"HI";"96753";;"3850 WAILEA ALANUI DR";;"KIHEI";"HI";"96753";"CHARESE IRLANDEZ";"808-875-1234EXT. 4577";"14367";"CAMP GRANDE";200;"5 years";"13 years";"20210331";"Maui";"Wailea"
"BAS";"LE JARDIN ACADEMY";;"917 KALANIANAOLE HWY";;"KAILUA";"HI";"96734";;"917 KALANIANAOLE HWY";;"KAILUA";"HI";"96734";"HEATHER TUCKER";"808-261-0707EXT. 1920";"14592";"LE JARDIN WINDWARD OAHU ACADEMY EXTENDED DAY PROGRAM";160;"5 years";"13 years";"20210815";"Oahu";"Kailua Town"
"BAS";"MANOA VALLEY CHURCH";;"2728 HUAPALA ST";;"HONOLULU";"HI";"96822";;"2728 HUAPALA ST";;"HONOLULU";"HI";"96822";"TRISHA HONDA";"808-988-3271EXT. 230";"13331";"MANOA VALLEY CHURCH AFTER SCHOOL CARE";130;"4 years 8 months";"13 years";"20201130";"Oahu";"Manoa"
