ServiceType;ProviderName;Building;Street1;Street2;City;State;ZipCode;Building(Mailing);Street1(Mailing);Street2(Mailing);City(Mailing);State(Mailing);ZipCode(Mailing);ContactPerson;Phone;LicenseNo;LicenseName;Capacity;MinimumAge;MaximumAge;LicensePeriodStart;LicensePeriodEnd
BAS;EMMANUEL LUTHERAN CHURCH AND SCHOOLS;;520 WEST ONE ST;;KAHULUI;HI;96732;;520 WEST ONE ST;;KAHULUI;HI;96732;CARRIE DAVENPORT;808-873-6334;14389;EMMANUEL LUTHERAN SCHOOL AFTER ;49;4 years 7 months;14 years;10/01/2017;09/30/2019
BAS;AIKANE O NUUANU INC;;3055 PUIWA LN;;HONOLULU;HI;96817;;3055 PUIWA LN;;HONOLULU;HI;96817;DAYLE HOOPAI;808-595-5422;12979;AIKANE O NUUANU EARLY ARRIVAL ;200;5 years;13 years;09/01/2017;08/31/2019
BAS;FIRST ASSEMBLY OF GOD;;3400 MOANALUA RD;;HONOLULU;HI;96819;;3400 MOANALUA RD;;HONOLULU;HI;96819;BRENDA ADRES;808-836-0233;14790;CHRISTIAN ACADEMY BEFORE & AFTER ;81;5 years;15 years;01/20/2017;01/19/2019
BAS;FRIENDSHIP BIBLE CHURCH;;91-1207 RENTON RD;;EWA BEACH;HI;96706;;91-1207 RENTON RD;;EWA BEACH;HI;96706;MOLLY NORDEN;808-687-3638;13793;FRIENDSHIP CHRISTIAN SCHOOLS BEFORE ;60;5 years;12 years;05/01/2017;04/30/2019
BAS;HANAHAUOLI SCHOOL;;1922 MAKIKI ST;;HONOLULU;HI;96822;;1922 MAKIKI ST;;HONOLULU;HI;96822;JOANNE GUY;808-949-6461;13129;HANAHAUOLI SCHOOL AFTER SCHOOL ;90;4 years 8 months;13 years;05/01/2018;04/30/2020
BAS;HANALANI SCHOOLS;;94-294 ANANIA DR;;MILILANI TOWN;HI;96789;;94-294 ANANIA DR;;MILILANI TOWN;HI;96789;GWEN NAKAMOTO;808-625-0737;13818;HANALANI SCHOOLS ELEMENTARY ;150;4 years;14 years;04/01/2018;03/31/2020
BAS;HAWAIIAN MISSION ELEMENTARY & INTERMEDIATE SCHOOL;;1415 MAKIKI ST;;HONOLULU;HI;96814;;1415 MAKIKI ST;;HONOLULU;HI;96814;MICKI AKEO-NELSON;808-949-2033;13139;HAWAIIAN MISSION ELEM & INTER ;60;4 years 8 months;15 years;01/01/2016;12/31/2018
BAS;HAWAII BAPTIST ACADEMY;;21 BATES ST;;HONOLULU;HI;96817;;21 BATES ST;;HONOLULU;HI;96817;CRAIG CHANG;808-533-1106;13133;HAWAII BAPTIST ACADEMY  AFTER ;225;4 years 8 months;13 years;04/01/2018;03/31/2020
BAS;HILTON HOTELS CORP;;2005 KALIA RD;;HONOLULU;HI;96815;;2005 KALIA RD;;HONOLULU;HI;96815;BERT MOMOTOMI;808-949-4321;13151;CAMP PENGUIN;61;5 years;13 years;09/01/2017;08/31/2019
BAS;HOALA SCHOOL;;1067A CALIFORNIA AVE;;WAHIAWA;HI;96786;;1067A CALIFORNIA AVE;;WAHIAWA;HI;96786;NANCY BARRY;808-621-1898;13826;HOALA PLUS;35;4 years 8 months;12 years;10/01/2017;09/30/2019
BAS;HOLY FAMILY CATHOLIC ACADEMY;;830 MAIN ST;VALKENBURG & NIMITZ WING;HONOLULU;HI;96818;;830 MAIN ST;VALKENBURG & NIMITZ WING;HONOLULU;HI;96818;PHYLLIS GAY;808-423-9611ext 334;13832;HOLY FAMILY BEFORE & AFTER SCHOOL ;230;4 years;13 years;02/01/2017;01/31/2019
BAS;HONOLULU WALDORF SCHOOL;;350 ULUA ST;;HONOLULU;HI;96821;;350 ULUA ST;;HONOLULU;HI;96821;LAURIE;808-377-5492;13168;HONOLULU WALDORF SCHOOL AFTER ;60;6 years;14 years;01/01/2017;12/31/2018
BAS;IOLANI SCHOOL;;563 KAMOKU ST;;HONOLULU;HI;96826;;563 KAMOKU ST;;HONOLULU;HI;96826;MELISSA NAKASATO;808-943-2294;13182;IOLANI AFTER SCHOOL ENRICHMENT;180;5 years;10 years;06/01/2018;05/31/2020
BAS;MARYKNOLL SCHOOL;;1722 DOLE ST;;HONOLULU;HI;96822;;1526 ALEXANDER ST;;HONOLULU;HI;96822;DAN NAGAMI;808-952-7100;13341;MARYKNOLL SCHOOL AFTER SCHOOL ;300;4 years 8 months;13 years;12/01/2016;11/30/2018
BAS;KAWAIAHAO CHURCH CORPORATION;;872 MISSION LN;;HONOLULU;HI;96813;;872 MISSION LN;;HONOLULU;HI;96813;SHARI MARTIN;808-585-0622;13246;KAWAIAHAO CHURCH SCHOOL BEFORE & ;49;4 years;13 years;07/01/2018;06/30/2020
BAS;KIDZ KARE ENTERPRISES;;2130 HOOKIEKIE ST;;PEARL CITY;HI;96782;;94-432 PAWA WAY;;MILILANI TOWN;HI;96789;MERLE MORIKAWA;808-453-6450;14788;KIDZ KARE - MOMILANI ELEMENTARY ;100;5 years;12 years;01/01/2018;12/31/2019
BAS;KSL GRAND WAILEA RESORT HOTEL & SPA;;3850 WAILEA ALANUI DR;;WAILEA;HI;96753;;3850 WAILEA ALANUI DR;;WAILEA;HI;96753;CHARESE IRLANDEZ;808-875-1234EXT. 4577;14367;CAMP GRANDE;200;5 years;13 years;04/01/2017;03/31/2019
BAS;LE JARDIN ACADEMY;;917 KALANIANAOLE HWY;;KAILUA;HI;96734;;917 KALANIANAOLE HWY;;KAILUA;HI;96734;HEATHER TUCKER;808-261-0707EXT. 1920;14592;LE JARDIN WINDWARD OAHU ACADEMY ;160;5 years;13 years;08/16/2017;08/15/2019
BAS;MANOA VALLEY CHURCH;;2728 HUAPALA ST;;HONOLULU;HI;96822;;2728 HUAPALA ST;;HONOLULU;HI;96822;JEWELA CAMPOS;808-988-3271EXT. 230;13331;MANOA VALLEY CHURCH AFTER SCHOOL ;130;4 years 8 months;13 years;11/01/2017;10/31/2019
BAS;OUR LADY OF GOOD COUNSEL CHURCH;;1530 HOOLANA ST;;PEARL CITY;HI;96782;;1530 HOOLANA ST;;PEARL CITY;HI;96782;CINDY OLASO;808-455-4533;14058;OUR LADY OF GOOD COUNSEL MORNING ;58;4 years 9 months;13 years;02/17/2018;02/16/2020
BAS;OUR LADY OF PERPETUAL HELP SCHOOL;;91-1010 NORTH RD;;EWA BEACH;HI;96706;;91-1010 NORTH RD;;EWA BEACH;HI;96706;DAVILYN AH CHICK;808-689-0474;14060;OUR LADY OF PERPETUAL HELP BEFORE & ;50;4 years 8 months;14 years;05/20/2017;05/19/2019
BAS;OUR SAVIOR LUTHERAN CHURCH;;98-1098 MOANALUA RD;;AIEA;HI;96701;;98-1098 MOANALUA RD;;AIEA;HI;96701;BETH YEE;808-488-0000;14062;OUR SAVIOR LUTHERAN BEFORE & AFTER ;70;4 years 9 months;15 years;12/01/2017;11/30/2019
BAS;THE CHILDRENS HOUSE;;1840 KOMO MAI DR;;PEARL CITY;HI;96782;;1840 KOMO MAI DR;;PEARL CITY;HI;96782;TODD LOS BANOS;808-455-4131;13695;THE CHILDRENS HOUSE BEFORE & AFTER ;210;4 years 9 months;12 years;02/23/2018;02/22/2020
BAS;TRINITY LUTHERAN CHURCH;;1611 CALIFORNIA AVE;;WAHIAWA;HI;96786;;1611 CALIFORNIA AVE;;WAHIAWA;HI;96786;CORISSA SHEETS;808-621-6033;15378;TRINITY LUTHERAN BSC & ASC;60;4 years 8 months;15 years;03/21/2018;03/20/2020
BAS;VARIETY SCHOOL OF HAWAII;;710 PALEKAUA ST;;HONOLULU;HI;96816;;710 PALEKAUA ST;;HONOLULU;HI;96816;JOLENE CHONGCHUA;808-732-2835;13645;VARIETY SCHOOL OF HAWAII AFTER ;60;4 years 8 months;14 years;02/01/2017;01/31/2019
BAS;PUNAHOU SCHOOL;;1601 PUNAHOU ST;;HONOLULU;HI;96822;;1601 PUNAHOU ST;;HONOLULU;HI;96822;LINDA WEBB;808-944-5826;13508;PUNAHOU SCHOOL AFTER SCHOOL CARE;335;5 years;13 years;10/01/2016;09/30/2018
BAS;SEAGULL SCHOOLS INC;MAUNA LANI BAY HOTEL;68-1400 MAUNA LANI DRIVE;;KAMUELA;HI;96743;MAUNA LANI BAY HOTEL;68-1400 MAUNA LANI DRIVE;;KAMUELA;HI;96743;PHONE AT CAMP MAUNA LANI;808-885-1455;14745;CAMP MAUNA LANI;49;5 years;13 years;01/21/2017;01/20/2019
BAS;ST ANDREWS PRIORY SCHOOL;;224 QUEEN EMMA SQ;;HONOLULU;HI;96813;;224 QUEEN EMMA SQ;;HONOLULU;HI;96813;SANDY SOUZA;808-532-2421;14854;ST ANDREWS SCHOOL AFTER SCHOOL ;150;4 years 8 months;12 years;12/01/2016;11/30/2018
BAS;ST ANTHONY PARRISH SCHOOL;;148 MAKAWAO ST;;KAILUA;HI;96734;;148 MAKAWAO ST;;KAILUA;HI;96734;BRIDGET OLSEN;808-261-3331;13580;ST ANTHONY SCHOOL AFTER SCHOOL ;60;4 years 8 months;15 years;06/01/2018;05/31/2020
BAS;ST CATHERINE PRESCHOOL;;5021 KAWAIHAU RD;;KAPAA;HI;96746;;5021 KAWAIHAU RD;;KAPAA;HI;96746;BRITT COCUMELLI;808-822-4212;15374;ST CATHERINE AFTER SCHOOL PROGRAM;40;4 years 8 months;13 years;06/30/2018;06/29/2019
BAS;ST JOSEPH SCHOOL;;94-651 FARRINGTON HWY;;WAIPAHU;HI;96797;;94-651 FARRINGTON HWY;;WAIPAHU;HI;96797;BEVERLY SANDOBAL;808-677-4475;14158;ST JOSEPH SCHOOL BEFORE & AFTER ;60;4 years 8 months;14 years;10/01/2017;09/30/2019
BAS;SAINT MARK LUTHERAN CHURCH AND SCHOOL;;45-725 KAMEHAMEHA HWY;;KANEOHE;HI;96744;;45-725 KAMEHAMEHA HWY;;KANEOHE;HI;96744;DAVID GAUDI;808-247-5589;14159;SAINT MARK LUTHERAN SCHOOL BEFORE ;80;4 years 8 months;13 years;09/01/2016;08/31/2018
BAS;SAINT MICHAEL SCHOOL;;67-340 HAONA ST;;WAIALUA;HI;96791;;67-340 HAONA ST;;WAIALUA;HI;96791;ELAINE;808-637-7772X200;14161;SAINT MICHAEL'S AFTER SCHOOL CARE ;30;5 years;14 years;01/01/2017;12/31/2018
BAS;ST PATRICK SCHOOL;;3320 HARDING AVE;;HONOLULU;HI;96816;;3320 HARDING AVE;;HONOLULU;HI;96816;SR. ANNE CLARE DECOSTA;808-734-8979;13590;ST PATRICK MORNING CARE/AFTER ;120;4 years 8 months;14 years;03/01/2018;02/29/2020
BAS;WAOLANI JUDD NAZARENE SCHOOL;;408 NORTH JUDD ST;;HONOLULU;HI;96817;;408 NORTH JUDD ST;;HONOLULU;HI;96817;CINDEE ENOS;808-531-5251;13657;WAOLANI JUDD NAZARENE SCHOOL ;120;4 years 8 months;16 years;10/01/2017;09/30/2019
BAS;WESLEY CHILDRENS PROGRAMS;;1350 HUNAKAI ST;;HONOLULU;HI;96816;;1350 HUNAKAI ST;;HONOLULU;HI;96816;BILLY HENSON;808-732-3273;13661;WESLEY CHILDRENS PROGRAMS AFTER ;80;4 years;13 years;06/01/2017;05/31/2019
