"Name";"Last Name";"First Name";"Type Of Care";"Street Address";"City";"ID";"Zip";"Area Code";"Phone";"Age Range";"Accepts ICCP";"Financial Assistance";"Quality Rating";"Health & Safety Check";"Type of Registration";"Website";"Full/Part Time Care";"Environment";"Accreditation";"Meals";"Elementary Schools";"Special Needs";"Languages";"Education";"Age Groups & Rates"
"MANUEL CAVAZOS CENTER MS HEAD START";"VILLEDA";"VIRGINIA";"Child Care Center";"555 S 4TH E";"ABERDEEN";639730;83210;208;"397-4190";"1 week to 9 years";"State Licensed, QRIS";;"Step 6 of 6";"http://idahochildcarecheck.org/provider/11644";"State Licensed, QRIS";;"Full-Time";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program, Special Meal Request, Infant Formula Provided";;"Other";"English";"High School Diploma/GED, Bachelor's Degree, other";
"ROSA RIVAS CHILD CARE";"RIVAS";"ROSA";"Family Child Care";;"ABERDEEN";626040;83210;208;"221-5186";"1 month to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/11326";"ICCP";;"Both";;;"Breakfast, Lunch, Afternoon Snack, Dinner";"ABERDEEN";;"Spanish";"High School Diploma/GED";"<br/>0 - 12 Months : 20.00 Hourly FT, 460.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 20.00 Hourly FT, 460.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 20.00 Hourly FT, 460.00 Monthly FT<br/>5 - 6 Years : 15.00 Hourly FT, 460.00 Monthly FT<br/>6 - 12 Years : 15.00 Hourly FT, 460.00 Monthly FT"
"LIGHTHOUSE PRESCHOOL AND CHILDCARE TWO LLC";"LEWIS";"COREY";"Child Care Center";"60 HILLCREST AVE";"AMERICAN FALLS";1107004;83211;208;"380-5971";"1 month 2 weeks to 12 years";"ICCP, State Licensed, QRIS";;"Step 2 of 6";"http://idahochildcarecheck.org/provider/14430";"ICCP, State Licensed, QRIS";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";;"Developmental Disability, Emotional/Behavioral Disability, Visually Impaired, ADHD/ADD";"English";"Associate's Degree, Child Related";"<br/>0 - 12 Months : 400.00 Monthly PT, 450.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 350.00 Monthly PT, 400.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 300.00 Monthly PT, 350.00 Monthly FT<br/>5 - 6 Years : 300.00 Monthly PT, 350.00 Monthly FT, 250.00 Other PT, 300.00 Other FT<br/>6 - 12 Years : 250.00 Monthly PT, 300.00 Monthly FT, 200.00 Other PT, 250.00 Other FT"
"NANA BEARS CHILDCARE";"SAVAGE";"BECKY";"(FCC)Group Child Care";;"AMERICAN FALLS";504753;83211;208;"226-5338";"1 week to 12 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2444";"ICCP, State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";"HILLCREST";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 450.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 374.00 Monthly FT, 20.00 Other PT, 20.00 Other FT<br/>31-60 Months (2.5-5 years) : 348.00 Monthly FT, 20.00 Other PT, 20.00 Other FT<br/>5 - 6 Years : 294.00 Monthly FT, 20.00 Other PT, 20.00 Other FT<br/>6 - 12 Years : 294.00 Monthly FT, 20.00 Other PT, 20.00 Other FT"
"LIL BUMBLEBEES DAYCARE";"REYNOLDS";"JAMIE";"(FCC)Group Child Care";;"AMERICAN FALLS";264200;83211;208;"221-9651";"1 month 2 weeks to 12 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/6978";"ICCP, State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, Special Meal Request";"HILLCREST";;"English, Spanish";"High School Diploma/GED";"<br/>0 - 12 Months : 400.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 400.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 400.00 Monthly FT<br/>5 - 6 Years : 350.00 Monthly FT<br/>6 - 12 Years : 300.00 Monthly FT"
"PINCHBUGS PRESCHOOL & PLAYHOUSE";"LANDVATTER";"PAM";"Child Care Center";"825 TYHEE AVE";"AMERICAN FALLS";304233;83211;208;"380-4732";"2 weeks to 6 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2445";"State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program, Special Meal Request, Infant Formula Provided";"HILLCREST";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 450.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 450.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 430.00 Monthly FT<br/>5 - 6 Years : 410.00 Monthly FT"
"ALL ABOUT THE KIDS";"JENSEN";"CANDACE";"(FCC)Group Child Care";;"AMERICAN FALLS";1130708;83211;208;"397-8867";"3 months to 12 years";"ICCP, State Licensed";"Multi-child discount";"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14651";;;"Both";"Smoke Free Facility, T.V. used less than 1 hr/day";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, Special Meal Request";;;"English";"Some College, other";"<br/>0 - 12 Months : 25.00 Daily FT<br/>13-30 Months (1-2.5 years) : 25.00 Daily FT<br/>31-60 Months (2.5-5 years) : 25.00 Daily FT<br/>5 - 6 Years : 25.00 Daily FT<br/>6 - 12 Years : 25.00 Daily FT"
"ACORN CHILDRENS ACADEMY";"MCGRATH";"SHARON";"Child Care Center";"1619 CURLEW DR STE 2";"AMMON";635878;83406;208;"524-7127";"1 month to 12 years";"ICCP, QRIS";"Multi-child discount";"Step 2 of 6";"http://idahochildcarecheck.org/provider/11558";"ICCP, QRIS";"http://acorn-academy.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program, Special Meal Request, Infant Formula Provided";;"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Significant Chronic Illness, ADHD/ADD, Other";"English";"Master's Degree, child related";"<br/>0 - 12 Months : 17.00 Daily PT, 390.00 Monthly PT, 759.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 16.00 Daily PT, 347.00 Monthly PT, 672.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 14.00 Daily PT, 325.00 Monthly PT, 628.00 Monthly FT<br/>5 - 6 Years : 433.00 Monthly FT<br/>6 - 12 Years : 433.00 Monthly FT"
"SUNNY DAYS CHILD CARE & PRESCHOOL";"RUSSELL";"DANA";"Child Care Center";"3840 E SUNNYSIDE RD";"AMMON";507279;83406;208;"542-5479";"1 month 2 weeks to 12 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/367";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";"AMMON, CLOVERDALE, HILLVIEW, IONA, Rimrock Elementary, Taylor Crossing Charter School, TIEBREAKER, Woodland Hills Elementary";"Hearing Impaired, ADHD/ADD, Other";"English";"High School Diploma/GED";"<br/>0 - 12 Months : 24.00 Daily PT, 32.00 Daily FT<br/>13-30 Months (1-2.5 years) : 24.00 Daily PT, 32.00 Daily FT<br/>31-60 Months (2.5-5 years) : 22.00 Daily PT, 29.00 Daily FT<br/>5 - 6 Years : 22.00 Daily PT, 29.00 Daily FT<br/>6 - 12 Years : 19.00 Daily PT, 25.00 Daily FT"
"RENELLS PRESCHOOL & DAYCARE";"LEE";"RENELL";"(FCC)Group Child Care";;"AMMON";229254;83406;208;"569-1864";"1 year to 6 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/514";"ICCP";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";"LINDEN PARK";"Developmental Disability, Motor Physically Impaired, Hearing Impaired, Visually Impaired, ADHD/ADD, Other";"English, Sign Language";"High School Diploma/GED";"<br/>0 - 12 Months : 488.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 488.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 488.00 Monthly FT<br/>5 - 6 Years : 488.00 Monthly FT<br/>6 - 12 Years : 488.00 Monthly FT"
