"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"detail";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
1066177;"AMERICAN MARTIAL ARTS ACADEMY NAPERVILLE";"1020 104TH ST STE 104";"NAPERVILLE";"IL";60564;"DU PAGE";"(630) 369-8879";"http://www.amaa-usa.com/naperville/naperville_learningcenter";;"The American Martial Arts Academy Learning Center provides help for your child throughout the school year.  Our trained and caring staff is dedicated to the needs of the student with an emphasis on their schoolwork, afterschool activities and martial arts.

Our program is offered year round. We coordinate with the local schools to provide pick up after school and work with the modified schedule from the district during the school year.  We also provide full day programs when school is out on teacher prep days and many holidays.";" ";"https://www.facebook.com/pages/American-Martial-Arts-Academy-Naperville/120757564780?sk=info";;;;;"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";;"http://www.amaa-usa.com/naperville/photo/IMG_8379.jpg";"http://www.amaa-usa.com/naperville/photo/IMG_3190.jpg";"http://www.amaa-usa.com/naperville/photo/IMG_8416.jpg";"http://www.amaa-usa.com/naperville/photo/IMG_4044.jpg";;
1066172;"LETS PLAY CHILD DEVELOPMENT CENTER";"7804 W 26TH ST # 08";"N RIVERSIDE";"IL";60546;"COOK";"(708) 442-6537";;;;;;;;;;;;;;;;;;;;;"Y";
1066166;"KIDDY LEARNING STATION MUNDELEIN, LLC";"745 DIAMOND LAKE RD";"MUNDELEIN";"IL";60060;"LAKE";"(847) 566-0966";"http://www.kiddylearningstation.com/contact-us.html";;"Kiddy Learning Station is a leading provider of quality childcare for the northwest suburbs.  Our first location opened in 2004, just outside of downtown Arlington Heights.  In 2012, we added a second location in Mundelein and we plan to continue to grow and add more Stations across northern Illinois.

Come inside and feel the warmth in every corner.  Hear the children laughing and playing while learning necessary skills in their development.  We understand the importance of the early childhood years and how it sets a foundation in your child's future.  So each child is treated with respect and receives the unique personal attention they require.  Please contact us to schedule a tour, meet our teachers and feel assured that we are the perfect fit for your family.";"http://www.kiddylearningstation.com/contact-us.html";;"Monday - Friday
7 a.m. - 6 p.m.";"http://www.kiddylearningstation.com/career-opportunities.html";"http://www.kiddylearningstation.com/enrollment.html";"http://www.kiddylearningstation.com/uploads/2/5/6/0/25609945/family_handbook.pdf";"y";"y";"y";"y";"n";"n";"http://www.kiddylearningstation.com/uploads/2/5/6/0/25609945/9994310.jpg";"http://www.kiddylearningstation.com/uploads/2/5/6/0/25609945/8637226_orig.jpg";"http://www.kiddylearningstation.com/uploads/2/5/6/0/25609945/5140289.jpg";"http://www.kiddylearningstation.com/uploads/2/5/6/0/25609945/5587871.jpg?650";;;
1066143;"THE MONTESSORI MIND ELEMENTARY SCHOOL";"400 COADY DR";"MINOOKA";"IL";60447;"GRUNDY";"(815) 582-3557";"http://www.themontessorimind.com/";"akobericki@minookamontessori.com";"The Kinderbridge program is a program that serves children who are currently enrolled in a half day Kindergarten class, and preschool students. The program was developed to enhance and further the development of children whose families want more then half day Kindergarten for their children, and a head start for their preschooler ";"http://www.themontessorimind.com/";;"AM Class
8:35am - 12:45pm
PM Class
11:15am - 3:25pm
";;;;"n";"y";"y";"y";"y";"n";;"http://www.themontessorimind.com/images/2page-img2.jpg";"http://www.themontessorimind.com/images/rsz_041.jpg";"http://www.themontessorimind.com/images/2page-img4.jpg";"http://www.themontessorimind.com/images/2page-img5.jpg";;
1066136;"HONEY BEAR DAY CARE CENTER LLC";"2359 N MANNHEIM RD";"MELROSE PARK";"IL";60164;"COOK";"(847) 455-8687";;;;;;;;;;;;;;;;;;;;;"Y";
1066116;"HIM LEARNING CENTER";"2001 SAINT CHARLES RD";"MAYWOOD";"IL";60153;"COOK";"(708) 345-8690";;;;;;;;;;;;;;;;;;;;;"Y";
1066113;"CRADLE TO THE CLASSROOM CHILDCARE INC";"35 S 19TH AVE UNIT 2";"MAYWOOD";"IL";60153;"COOK";"(708) 508-1032";;;;;;;;;;;;;;;;;;;;;"Y";
1066108;"STEPPING STONES CHILDREN'S CENTER";"2820 MOULTRIE";"MATTOON";"IL";61938;"COLES";"(217) 235-0114";"http://hstrial-steppingstones2.homestead.com/contact.html";;"Thank you for visiting our website. Stepping Stones Children's Center strives to provide the kind of quality care and educational environment that parents have come to expect for their children.  Continuing education for staff and administration, program improvements that follow the guidelines for developmentally appropriate practices and a strong focus on parent/center communication, are key components in our program. 

We are pleased that you and your child are considering our program at STEPPING STONES CHILDREN’S CENTER.  We consider it a privilege to share in your child’s growth and development.  We trust the time your child spends at the center will provide many worthwhile and enjoyable experiences.

If you have further questions concerning what we can offer to meet your child’s and your family’s individual needs, please call or stop by.  We look forward to speaking with you we and hope this will be the first step to a long, happy relationship.";"http://hstrial-steppingstones2.homestead.com/contact.html";;"6:30 - 5:30";;;;"y";"y";"y";"y";"n";"n";"http://hstrial-steppingstones2.homestead.com/files/Stepping_Stones_LOGO.jpg";"http://hstrial-steppingstones2.homestead.com/files/Puzzle_Time.jpg";"http://hstrial-steppingstones2.homestead.com/files/Imagination.jpg";"http://hstrial-steppingstones2.homestead.com/files/Sandbox.jpg";"http://hstrial-steppingstones2.homestead.com/files/Fingerpainting_Fun.jpg";;
1066088;"PARENTS DAY OUT CHILDCARE CENTER";"825 INDIAN OAKS TRL";"MARENGO";"IL";60152;"MCHENRY";"(815) 568-7162";"https://sites.google.com/a/marengoumc.org/parents-day-out-preschool/location";"pdo@marengoumc.org";;"https://sites.google.com/a/marengoumc.org/parents-day-out-preschool/location";;"Monday-Friday from 6:45 AM to 5:45 PM";;;;"n";"y";"y";"y";"y";"y";"https://sites.google.com/a/marengoumc.org/parents-day-out-preschool/_/rsrc/1342536495660/home/pdo2_RGB_72dpi_WEBONLY.jpg?height=112&width=400";"https://342c466f-a-c4471dc8-s-sites.googlegroups.com/a/marengoumc.org/parents-day-out-preschool/gallery/pdo%20childcare.jpg?attachauth=ANoY7cqBAWXw0pZGnx-ABgBeurzDKZeNrup5Ey-4WBOXU4WeOLK9v7aefEAqV8fd_k8cQwAbEP5Jm1c6FriolWEJj0iN61-GSbQ4uXs0ajBtTn9oK9BRcv2-9KHgHkp26tYgjqHl4a-ILmET1ha_eTbCrPhx1F4AQeHIAimiLqMasH_PhxG8wjiKp_FfNu-9nK0T8i2vpAa0wLrvqUcoeDCBiaMIz0bxyC3h3RSI8HjSpd4QH0pguOuHpfup9eTW44WoRlQRXeJW&attredirects=0";"https://lh4.googleusercontent.com/Jj906yhLt8m3duXHPHjAbK_v5VkU5zURKl-Vw4v99Q=w419-h558";"https://342c466f-a-c4471dc8-s-sites.googlegroups.com/a/marengoumc.org/parents-day-out-preschool/gallery/IMG_0503.JPG?attachauth=ANoY7cpC95B_nncUisciv9aAh1YjGJ-_H-_4NMUgtjCJUSEgvouhqrnxArlgIDcvBNDA_VA-WJwAU6NZUH3Y_2s_h16R62JXwWtlAViWArBH0g82NYBsWLm9owRxvY84WB-JkgNLnZ1neWqGDIETNV6LBzbiYRaGqcRFZl8XN71zgi3RKGq8E8L-fKJBxI4qllrl2oe_A7L4rFGw4v1Au-LOaf4i9GofZsDPhQjDAcQONgg_GoQ-_6Q%3D&attredirects=0";"https://342c466f-a-c4471dc8-s-sites.googlegroups.com/a/marengoumc.org/parents-day-out-preschool/gallery/IMG_1564.JPG?attachauth=ANoY7crixaMF_B4RhhKuUixYgIQYa3oU5KUYAqLXJCI8P9_1XV0Y5LXtpinboP3HbD3_vdk8ympQDkO3MimNgXaTQhcrMr3xl0NKi3Jqv05meSq-XLQw3m9rhrlqwX36y90RKpMIDAJ-c9N4ZgNRINTzugK_IcuABJhxbwpY7-XU70KJLCGzVtQd9_XNNirmmrDn37KG39R_jF9sG8e9__AP75P4vIHEHD6p1JpQj7li2c3lb_kJfgs%3D&attredirects=0";;
1066204;"PETER PAN PRESCHOOL";"10301 S KOLMAR AVE";"OAK LAWN";"IL";60453;"COOK";"(708) 423-4334";"http://www.peterpanpreschoolol.com/About-Us.html";"KidzRme365@aol.com";"Peter Pan Preschool of Oak Lawn, Inc.
Has been Inspiring young children's minds since 1967! We pride ourselves 
in our Excellent Phonics and Reading program.

We also teach a wonderful Math program  as well as a daily craft and Music and Movement, making Peter Pan a fun and educational learning environment for 3 and 4 year olds!";"http://www.peterpanpreschoolol.com/About-Us.html";;" Mon - Fri:   9:00 - 11:30 a.m.  and  12:30 p.m. - 3:00 p.m.";;;;"n";"n";"y";"y";"n";"n";"http://www.peterpanpreschoolol.com/bg-1-25706.jpeg?u=266677747";"http://www.peterpanpreschoolol.com/0_0_0_0_250_250_csupload_64972163.jpg?u=1267800926";;;;;
