"ProviderID";"Name";"Type";"PTQ Level";"State";"County";"City";"ZIP";"Address";"Status";"License Start Date";"License End Date";"License Status";"Child Care Ages";"Capacity";"Accreditations";"Programs";"Applicants";"Phone";"Sunday";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday"
170101;"Jennifer's Home Daycare";"Licensed Home";1;"IN";"POSEY";;47620;;"Open";"10/1/2019";"9/30/2021";"Regular";"Infant-Twelve";10;;"CCDF Provider";"Jennifer Basden";"812-838-2666";;"7:05 AM-5:00 PM";"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";
168929;"The Children's Learning Center of Posey County";"Licensed Center";3;"IN";"POSEY";"Mt. Vernon";47620;"2100 West 4th Street";"Open";"10/1/2019";"9/30/2021";"Regular";"Infant-Toddler; Two-Twelve";160;;"CCDF Provider; On My Way Pre-K";"Jamie Stevens";"812-838-3312";;"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";
366452;"Posey County Head Start";"Licensed Center";4;"IN";"POSEY";"Mt Vernon";47620;"1113 Main St, PO Box 702";"Open";"1/1/2020";"12/31/2021";"Regular";"35 Months-Five";56;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider; On My Way Pre-K";"Bridget Cox";"812-838-4839";;"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";
166902;"Children's White House Learning Center & Day Care, LLC";"Licensed Center";4;"IN";"POSEY";"Mt Vernon";47620;"431 College Ave.";"Open";"10/1/2019";"9/30/2021";"Regular";"Infant; Toddler; Two-Twelve";52;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider";"Kimberly J Higginbottom";"812-838-1850";;"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";
578770;"Trinity Head Start";"Licensed Center";4;"IN";"POSEY";"Mt Vernon";47620;"505 Mulberry St";"Open";"4/1/2021";"12/31/2021";"Regular";"Three-Six";15;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider";"Bridget Cox";"812-760-2904";;"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";;
167498;"St. Matthew Child Care Ministry";"Unlicensed Registered Ministry";3;"IN";"POSEY";"Mount Vernon";47620;"423 Walnut Street";"Open";"10/1/2020";"9/30/2022";"Registration";;;;"CCDF Provider";"St. Matthew Catholic Church";"812-838-2535";;"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";
174087;"The Baby House";"Licensed Home";3;"IN";"POSEY";;47638;;"Open";"7/1/2020";"6/30/2022";"Regular";"Infant-Two";12;;"CCDF Provider";"Allison Richardt";"812-673-4275";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
167442;"Christian Church Day Care Center";"Licensed Center";3;"IN";"POSEY";"Wadesville";47638;"7226 Hwy 66";"Open";"10/1/2020";"9/30/2022";"Regular";"Two-Twelve";60;;"CCDF Provider";"Allison Richardt";"812-673-4938";;"5:30 AM-6:00 PM";"5:30 AM-6:00 PM";"5:30 AM-6:00 PM";"5:30 AM-6:00 PM";"12:00 PM-6:00 PM";
366429;"North Posey Head Start";"Licensed Center";4;"IN";"POSEY";"Poseyville";47633;"10 North St Francis Ave";"Open";"1/1/2021";"12/31/2022";"Regular";"35 Months-Five";20;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider";"Jenny Patterson";"812-493-3953";;"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";;
168677;"Bethany Little Disciples Day Care Ministry";"Unlicensed Registered Ministry";3;"IN";"VANDERBURGH";"Evansville";47711;"601 East Mill Road ";"Open";"4/1/2021";"3/31/2023";"Registration";;;;"CCDF Provider";"Bethany Christian Church";"812-402-3775";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
