"Provider Name";"Address 1";"Address 2";"City";"State";"ZIP";"Mail Address 1";"Mail Address 2";"Mail City";"Mail State";"Mail ZIP";"Phone";"Fax Number";"Director/Owner";"Status";"License/Registration Issue Date";"Provider Type";"Approved to Accept Child Care Assistance?";"QRS Level";"Current Vacancies";"Capacity";"Monday hours";"Tuesday hours";"Wednesday hours";"Thursday hours";"Friday hours";"Saturday hours";"Sunday hours";"Rates";"County";"URL";"License Expiration Date";"Visit Report"
"B-F Pre-Kindergarten";"502 N Main St";;"Bridgewater";"IA";50837;"502 N Main St";;"Bridgewater";"IA";50837;"(641) 745-5155";;", ";"Active";"9/23/2020";"Licensed Center";"No";4;;30;" 8:00AM - 11:30AM";;" 8:00AM - 11:30AM";;" 8:00AM - 11:30AM";;;;"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=28429";"10/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/28429"
"Brenda Funke";"606 Washington ST";;"Fontanelle";"IA";50846;"PO BOX 335";;"Fontanelle";"IA";50846;"(641) 745-1216";;"Funke, Brenda";"Active";"7/1/2019";"Registered Child Development Home B";"Yes";3;;12;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00";"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=25627";"6/30/2021";
"Britnee Noland";"1202 White Pole RD";;"Adair";"IA";50002;"1202 White Pole RD";;"Adair";"IA";50002;"(712) 249-1990";;"Noland, Britnee";"Active";"10/1/2019";"Registered Child Development Home B";"No";;;12;" 6:30AM -  5:30PM";" 6:30AM -  5:30PM";" 6:30AM -  5:30PM";" 6:30AM -  5:30PM";" 6:30AM -  5:30PM";;;"Infant (up to 24 months)  Hourly/1.00| Infant (up to 24 months)  Hourly/1.00| Infant (up to 36 months)  Hourly/1.00| Infant (up to 36 months)  Hourly/1.00";"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=41772";"9/30/2021";
"Bulldog Daycare";"201 School St";;"Orient";"IA";50858;"PO Box 52";;"Orient";"IA";50858;"(641) 344-6802";;"Cruz, Susan";"Active";"2/1/2020";"Licensed Center";"Yes";;;50;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Infant (up to 24 months)  Hourly/4.00| Infant (up to 24 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| School Age (K and up)  Hourly/4.00| School Age (K and up)  Hourly/4.00";"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=25641";"1/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/25641"
"Cindy Marie Woods";"3024 Henry A Wallace RD";;"Orient";"IA";50858;"3024 Henry A Wallace RD";;"Orient";"IA";50858;"(641) 337-5323";;"Woods, Cindy Marie";"Active";"9/1/2019";"Registered Child Development Home B";"Yes";;;12;" 6:30AM -  6:30PM";" 6:30AM -  6:30PM";" 6:30AM -  6:30PM";" 6:30AM -  6:30PM";" 6:30AM -  6:30PM";;;"Infant (up to 24 months)  Hourly/2.25| Infant (up to 24 months)  Hourly/2.25| Infant (up to 36 months)  Hourly/2.25| Infant (up to 36 months)  Hourly/2.25| Preschool (24 to Kindergarten)  Hourly/2.25| Preschool (24 to Kindergarten)  Hourly/2.25| Preschool (36 to Kindergarten)  Hourly/2.25| Preschool (36 to Kindergarten)  Hourly/2.25| School Age (K and up)  Hourly/2.25| School Age (K and up)  Hourly/2.25";"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=25638";"8/31/2021";
"Immanuel Little Lambs Preschool";"505 NE Dodge";;"Greenfield";"IA";50849;"505 NE Dodge";;"Greenfield";"IA";50849;"(641) 745-5155";;", ";"Active";"4/1/2019";"Licensed Center";"No";4;;30;"12:30PM -  4:00PM";" 8:00AM -  4:00PM";;" 8:00AM -  4:00PM";;;;;"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=28430";"3/31/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/28430"
"Kid Zone Early Learning Center 2";"1003 Broad ST";;"Adair";"IA";50002;"PO Box 193";;"Adair";"IA";50002;"(641) 742-3031";;", ";"Active";"6/1/2019";"Licensed Center";"Yes";;;35;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/14.00| Infant (up to 24 months)  Half-Day/14.00| Infant (up to 36 months)  Half-Day/14.00| Infant (up to 36 months)  Half-Day/14.00| Preschool (24 to Kindergarten)  Half-Day/14.00| Preschool (24 to Kindergarten)  Half-Day/14.00| Preschool (36 to Kindergarten)  Half-Day/14.00| Preschool (36 to Kindergarten)  Half-Day/14.00| School Age (K and up)  Half-Day/14.00| School Age (K and up)  Half-Day/14.00";"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=45050";"5/31/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/45050"
"Lori Armstrong";"203 SW 5th ST";;"Greenfield";"IA";50849;"410 SW Jackson ST";;"Greenfield";"IA";50849;"(641) 743-8245";;"Armstrong, Lori";"Active";"9/1/2020";"Registered Child Development Home C";"Yes";;;16;" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/12.50| Infant (up to 24 months)  Half-Day/12.50| Infant (up to 24 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50";"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=25642";"8/31/2022";
"Misty Deemer ";"312 NE Dodge ST";;"Greenfield";"IA";50849;"312 NE Dodge ST";;"Greenfield";"IA";50849;"(641) 745-0508";;"Deemer, Misty";"Active";"8/1/2020";"Registered Child Development Home C";"Yes";;;16;" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/12.00| Infant (up to 24 months)  Half-Day/12.00| Infant (up to 36 months)  Half-Day/12.00| Infant (up to 36 months)  Half-Day/12.00| Preschool (24 to Kindergarten)  Half-Day/12.00| Preschool (24 to Kindergarten)  Half-Day/12.00| Preschool (36 to Kindergarten)  Half-Day/12.00| Preschool (36 to Kindergarten)  Half-Day/12.00| School Age (K and up)  Half-Day/12.00| School Age (K and up)  Half-Day/12.00";"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=39068";"7/31/2022";
"Nodaway Valley Preschool (CSD)";"324 NW Second Street";;"Greenfield";"IA";50846;;;;" ";" ";"(641) 743-6136";;", ";"Active";"8/22/2011";"Exempt from Licensing";"No";;;;;;;;;;;;"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=36299";"8/22/2011";
