"Facility Name";"License Number";"Owner";"Program Type";"Address";"County";"City";"Zip";"License Effective Date";"License Expiration Date";"Facility Status";"Telephone Number";"Maximum Capacity";"recUrl";"ID"
"ABC Daycare";"0070289-011";"Jennifer Ellis";"Group Day Care Home";;"Atchison";"Atchison";66002;"02/01/2018";"01/31/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=136401";136401
"Atchison Child Care Association";"0034274-010";"The Atchison Child Care Association";"Child Care Center";"1326 Kansas Avenue";"Atchison";"Atchison";66002;"12/01/2017";"11/30/2018";"Open";"913-367-6441";179;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=66801";66801
"Atchison County Head Start Center";"0000023-010";"NEK CAP Inc";"Head Start Child Care Center";"751 S 8th";"Atchison";"Atchison";66002;"01/01/2018";"12/31/2018";"Open";"913-367-7848";60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=33";33
"Boys and Girls Club of Atchison";"0058326-010";"Boys and Girls Club of Atchison Inc";"Drop In Program";"1215 Ash St";"Atchison";"Atchison";66002;"01/01/2018";"12/31/2018";"Open";"913-367-9090";75;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=112475";112475
"Courtneys Kids Day Care Home";"0063787-010";"Courtney Sanders";"Licensed Day Care Home";"311 N 10th St";"Atchison";"Atchison";66002;"08/01/2017";"07/31/2018";"Open";"913-367-5077";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=123397";123397
"Extended Day USD 409";"0036964-011";"The Atchison Child Care Association";"School Age Program";;"Atchison";"Atchison";66002;"12/01/2017";"11/30/2018";"Open";;15;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=72057";72057
"First Steps Childhood Learning Center";"0070309-009";"First Steps Childhood Learning Center LLC";"Child Care Center";"1427 Main St";"Atchison";"Atchison";66002;"05/01/2018";"04/30/2019";"Open";"913-367-6060";79;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=136441";136441
"Floydeans Daycare";"0005305-014";"Floydean Liggett";"Group Day Care Home";"1302 S 10th St";"Atchison";"Atchison";66002;"01/01/2018";"12/31/2018";"Open";"913-367-7321";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=10079";10079
"Jeanette I Whitney Daycare Home";"0054992-009";"Jeanette Whitney";"Licensed Day Care Home";;"Atchison";"Atchison";66002;"12/01/2017";"11/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=105809";105809
"Jessicas Munchkin Patch";"0071227-007";"Jessica Bailey";"Licensed Day Care Home";"839 S 5th St";"Atchison";"Atchison";66002;"04/01/2018";"03/31/2019";"Open";"913-370-0372";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=138277";138277
"Kid Kraft Daycare";"0048054-013";"Kylia Owens";"Group Day Care Home";;"Atchison";"Atchison";66002;"01/01/2018";"12/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=92741";92741
"Little Giggles Daycare";"0501388-002";"Stacy Birkinsha";"Group Day Care Home";;"Atchison";"Atchison";66002;"08/08/2017";"08/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002779";5E+018
"Little Munchkins";"0071434-010";"Chelsea Ross";"Group Day Care Home";"1527 Center Street";"Atchison";"Atchison";66002;"12/01/2017";"11/30/2018";"Open";"913-370-3665";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=138691";138691
"Little Munchkins 2";"0073273-008";"Chelsea Ross";"Group Day Care Home";"1529 Center";"Atchison";"Atchison";66002;"04/01/2018";"03/31/2019";"Open";"913-370-3665";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=142369";142369
