"Facility Name";"License Number";"Owner";"Program Type";"Address";"County";"City";"Zip";"License Effective Date";"License Expiration Date";"Facility Status";"Telephone Number";"Maximum Capacity";"recUrl";"ID"
"Kaw Valley Prime Time Rossville";"0039877-011";"USD 321 Kaw Valley";"School Age Program";" 312 East Pottawatomie Street";"Shawnee";"Rossville";66533;"12/01/2017";"11/30/2018";"Open";"(785) 584-4618";24;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=77759";77759
"Bryants Little Critters Daycare Home";"0063644-010";"Danetta Bryant";"Group Day Care Home";" 508 Elm St. Eudora";"Douglas";"Eudora";66025;"10/01/2017";"09/30/2018";"Open";"(785) 542-5409";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=123111";123111
"Butterflies and Bullfrogs";"0076393-002";"Harlie Jacobs";"Group Day Care Home";" E 21st St, Andover,";"Sedgwick";"Clearwater";67026;"10/25/2017";"10/31/2018";"Open";"(316) 733-9131";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=148609";148609
"Little People Daycare 2";"0501525-002";"Amy Gaskill";"Group Day Care Home";"1022 Grand St";"Lyon";"Emporia";66801;"11/21/2017";"11/30/2018";"Open";"(620) 342-5998";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003053";5E+018
"Little Giggles Daycare";"0501388-002";"Stacy Birkinsha";"Group Day Care Home";"1028 Atchison St.";"Atchison";"Atchison";66002;"08/08/2017";"08/31/2018";"Open";"(913) 426-1423";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002779";5E+018
"Janes Home Daycare";"0010895-017";"Carrie Smith";"Group Day Care Home";"10336 Reeds Rd";"Johnson";"Overland Park";66207;"10/01/2017";"09/30/2018";"Open";"(913) 383-1679";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=21155";21155
"Miles Of Smiles";"0076856-002";"Christopher Reed";"Group Day Care Home";"105 E Valley St.";"Pottawatomie";"Wamego";66547;"05/16/2018";"05/31/2019";"Open";"(785) 456-5176";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=149535";149535
"Land of OS Preschool";"0025963-009";"United Methodist Church of Osborne Kansas";"Preschool";"105 N 3RD STREET";"Osborne";"Osborne";67473;"01/01/2018";"12/31/2018";"Open";"(785) 346-2333";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=50405";50405
"Firefly Playcare";"0073725-004";"Rosaura Arias";"Group Day Care Home";"1112 S Calhoun Ave";"Seward";"Liberal";67901;"07/01/2017";"06/30/2018";"Open";"(620) 604-9544";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=143273";143273
"Small Steps LLC Westminster";"0501677-002";"Small Steps LLC";"Child Care Center";"113 W 4th St";"Franklin";"Ottawa";66067;"06/04/2018";"09/02/2018";"Open";"(785) 248-4453";46;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003357";5E+018
