"Facility ID";"Survey Number";"Date of Survey";"Survey Reason";"Findings"
136401;"17-010950";"01/17/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=194010&noid=60237"
136401;"16-011446";"12/08/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=180517&noid=47971"
136401;"15-011977";"12/16/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=166699&noid=37216"
136401;"15-011977";"12/16/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=166699&noid=36802"
66801;"17-008410";"11/08/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=191470&noid=58172"
66801;"16-008728";"10/10/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=177799&noid=45838"
66801;"15-009019";"10/26/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=163741&noid=35300"
33;"17-009561";"02/07/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=192621&noid=61105"
33;"16-009964";"12/14/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179035&noid=48160"
33;"15-010240";"12/14/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=164962&noid=36678"
112475;"17-009849";"12/12/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=192909&noid=59282"
112475;"16-010265";"10/20/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179336&noid=46331"
112475;"15-010569";"12/10/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=165291&noid=36621"
123397;"17-003701";"07/13/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=186761&noid=54303"
123397;"16-003788";"06/22/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=172859&noid=42165"
123397;"15-004155";"07/22/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=158877&noid=32516"
72057;"17-008425";"11/08/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=191485&noid=58171"
72057;"16-008745";"11/04/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=177816&noid=46861"
72057;"15-009038";"11/20/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=163760&noid=36134"
136441;"18-000655";"04/12/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=197116&noid=64103"
136441;"18-000655";"04/12/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=197116&noid=63596"
136441;"17-000483";"04/19/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=183543&noid=51908"
136441;"16-005832";"06/22/2016";"Compliance Check";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=174903&noid=42167"
136441;"16-003264";"05/24/2016";"Compliance Check";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=172335&noid=41248"
136441;"16-000608";"03/24/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=169679&noid=39524"
10079;"17-009601";"11/28/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=192661&noid=58720"
10079;"16-010007";"11/17/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179078&noid=47323"
10079;"15-010288";"11/02/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=165010&noid=35518"
105809;"17-008494";"10/27/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=191554&noid=57815"
