"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"s"
1104077;"SLOCUM CHILD DEVELOPMENT CENTER";"25 RUMFORD ST";"WATERBURY";"CT";6704;"NEW HAVEN";"203-754-4778";"http://newoppinc.org/locations";;"New Opportunities Early Childhood Division sponsors programs that provide educational and support services for economically disadvantaged children, as well as children with disabilities, and their families.  These services are offered primarily to low-income, working parents or those currently enrolled in schools or specialized training programs.  The Division encourages parent participation through a network of parent/teacher organizations, advisory councils and ancillary parent support services.";"http://newoppinc.org/locations";;;"http://newoppinc.org/jobs";;;"not mentioned";"not mentioned";"not mentioned";"not mentioned";"not mentioned";"not mentioned";"http://newoppinc.org/sites/default/files/logo.png";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104076;"LIGHTHOUSE DAY CARE";"1245 THOMASTON AVE";"WATERBURY";"CT";6704;"NEW HAVEN";"203-753-8023";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104075;"CDI HEAD START - SLOCUM";"25 RUMFORD ST";"WATERBURY";"CT";6704;"NEW HAVEN";"203-757-8888";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104238;"ROOM TO GROW TOO";"139 W ROCKS RD";"NORWALK";"CT";6851;"FAIRFIELD";"203-831-8200";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104229;"TODDLERTIME NURSERY SCHOOL ANNEX";"5 OENOKE RIDGE ROAD";"NEW CANAAN";"CT";6840;"LITCHFIELD";"203-972-3111";"http://www.toddlertimens.org/";"office@toddlertimens.org";"The mission of Toddlertime’s educational program is to provide a foundation for success in life. With this goal in mind, we have been inspired by leaders of education, business, and health fields to create an educational program that not only prepares children for later success in school but also develops key skills which will serve children throughout life. Beyond creating academic achievement and life skills, we are committed to encouraging each child to develop as a unique individual.

Developmentally appropriate learning outcomes are met through opportunities and support for children to make decisions, take risks, develop compassion, work collaboratively as both a leader and a team player, persevere when challenged, take responsibility for their actions, and act with integrity. All of these attributes serve a person well throughout their school years as well as throughout life.
";"http://www.toddlertimens.org/";"https://www.facebook.com/pages/Toddlertime-Nursery-School/170249769710799?sk=info&tab=page_info";"9am-2pm";;"http://www.toddlertimens.org/formsdocuments.html";;"y";"y";"y";"y";"n";"n";"http://www.toddlertimens.org/images/500_TT_open_house_lt.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104228;"YMCA OF GREENWICH AT NEW LEBANON";"25 MEAD AVE";"GREENWICH";"CT";6830;"FAIRFIELD";"203-869-3381";"http://www.greenwichymca.org/main/after-school-vacation-camps/";"dcohen@gwymca.org";"An exciting and challenging place, where children stretch their skills in mind and body. Programs offer a combination of free-choice and structured activities. The curriculum includes: homework help, arts & crafts, science, sports and character development. Each teacher brings a genuine love of learning and fun. Plus, weekly swim lessons!  The program is held at 2 St. Roch Avenue.  On Tuesdays, when there are swim lessons, pick-up is at the main Y building - 50 East Putname Avenue. ";"http://www.greenwichymca.org/main/after-school-vacation-camps/";"https://www.facebook.com/pages/YMCA-of-Greenwich/232550350094338?fref=ts";"8:00am-6:00pm";"http://www.greenwichymca.org/index.php?src=jobs";"http://www.greenwichymca.org/clientuploads/Lee%20Ann%20DOCS/Vacation%20Camp/Jan%202015_%20April%202015.pdf";;"n";"n";"n";"n";"y";"y";"http://www.greenwichymca.org/graphics/main/logo_blue.png";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104225;"CHABAD PRESCHOOL";"50 E PUTNAM AVE";"GREENWICH";"CT";6830;"FAIRFIELD";"203-629-9059";"http://www.chabadgreenwich.org/templates/section_cdo/aid/2937079/jewish/Gan-Preschool.htm";"maryashie@chabadgreenwich.org ";"Welcome to Chabad Gan of Greenwich Preschool. It is with great pleasure that I invite you to browse through our website and schedule some time to visit our classrooms so you can see what makes our Preschool so special. I invite you to visit so you can see for yourself why this school has become such a treasured place in our community. Chabad Preschool offers the very best in content and curriculum, and most importantly, our teachers are second to none. Our Preschool families come from diverse Jewish backgrounds and all are welcome. We are truly a community.";"http://www.chabadgreenwich.org/templates/section_cdo/aid/2937079/jewish/Gan-Preschool.htm";;;;"https://chabadgreenwichorg.clhosting.org/templates/articlecco_cdo/aid/2965731/jewish/Registration/lang/en";"http://ganofgreenwich.org/media/pdf/339/NoXl3399684.pdf";"n";"y";"y";"y";"n";"n";"http://chabadgreenwich.org/media/images/888/uwPF8884540.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104227;"GREENWICH FAMILY YMCA";"184 HAMILTON AVENUE";"GREENWICH";"CT";6830;"FAIRFIELD";"203-869-3381";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104220;"CHILD LINK- JENNINGS SCHL PTA- SACC AFT SCHL PGM";"31 PALM DRIVE- JENNINGS SCHOOL";"FAIRFIELD";"CT";6825;"FAIRFIELD";"203-372-7745";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104219;"BRIGHT HORIZONS AT FAIRFIELD";"682 COMMERCE DR";"FAIRFIELD";"CT";6825;"FAIRFIELD";"203-384-4951";"http://child-care-preschool.brighthorizons.com/ct/fairfield/fairfield";"communities@brighthorizons.com";"Bright Horizons is the world's leading provider of employer-sponsored child care, back-up care, education and work/life solutions with more than 700 child care and early education programs and schools for employers and working families across the US, UK, Ireland and Canada. Committed to creating great work environments for its 18,000 employees, the company has been named 12 times as one of FORTUNE magazine's ""Best Companies to Work for in America.""

Bright Horizons provides work/life solutions for more than 800 leading employers to help them address challenges across key life stages. Programs include child care, back-up care, college counseling, elder care, and work/life consulting.

The first few years of life are an extraordinary time that sets the stage for all the years that follow. Our program for learning creates educational environments that empower children to be confident, successful, lifelong learners and socially responsible citizens. Bright Horizons' innovative programs help children, families, and employers work together to be their very best.";"http://child-care-preschool.brighthorizons.com/ct/fairfield/fairfield";"https://www.facebook.com/brighthorizons";"M-F: 7:00 a.m. to 6:00 p.m. ";"http://www.brighthorizons.com/careers";;;"y";"y";"y";"y";"n";"n";"http://child-care-preschool.brighthorizons.com/BH/Centers/includes/images/bh-logo.png";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
