"ProviderId";"ProviderName";"LocationAddressLine1";"LocationCity";"LocationCountyDescription";"LocationStateDescription";"LocationZipCode5";"PhoneNumber";"ProviderType";"ProviderStatus";"Capacity";"IsSubsidyAccepted";"HoursOfOperationMonday";"HoursOfOperationTuesday";"HoursOfOperationWednesday";"HoursOfOperationThursday";"HoursOfOperationFriday";"HoursOfOperationSaturday";"HoursOfOperationSunday";"NumberOfStars";"IsFoodPermitAvailable";"Infant";"Toddler";"PreSchool";"SchoolAge";"IsAcceditationsAvailable";"Transportation";"IsOngoingProcess";"PartTimeCostInfant1";"FullTimeCostInfant1";"PartTimeCostToddler1";"FullTimeCostToddler1";"PartTimeCostToddler2";"FullTimeCostToddler2";"PartTimeCostPreschool1";"FullTimeCostPreschool1";"PartTimeCostPreschool2";"FullTimeCostPreschool2";"PartTimeCostPreschool3";"FullTimeCostPreschool3";"PartTimeCostSchoolAge1";"FullTimeCostSchoolAge1";"PartTimeCostSchoolAge2";"FullTimeCostSchoolAge2";"NonTraditional";"MailingAddress";"LocationAddress";"IsServingSpecialNeeds";"IsActiveCCAPChildren";"ExpiryDate";"AgeRangeSupported";"ProviderCLRNumber";"LocationAddressLine2"
2236;"Eminence Early Head Start";"295 West Broadway";"Eminence";"HENRY";"KY";40019;5028455502;"Licensed";"APPROVED";25;"Y";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"No Information Available";"No Information Available";4;"Y";"Y";"Y";"Y";"N";"N";"N";"N";33;40;33;40;33;40;;;;;;;;;;;"N";"100 Alpine Drive, Ovec, Shelbyville, KY, 40065";"295 West Broadway, Eminence, KY, 40019";"N";"Y";"4/30/2023";"Infant To Two_To_School";"L356933";
73635;"Rocket Power at Clear Creek Elementary School";"279 Chapel Hill Road";"Shelbyville";"SHELBY";"KY";40065;5026334057;"Licensed";"APPROVED";100;"Y";"2:00 PM - 6:00 PM";"2:00 PM - 6:00 PM";"2:00 PM - 6:00 PM";"2:00 PM - 6:00 PM";"7:00 AM - 6:00 PM";"No Information Available";"No Information Available";1;"Y";"N";"N";"N";"Y";"N";"Y";"N";;;;;;;;;;;12;24;12;24;12;24;"N";"279 Chapel Hill Road, Shelbyville, KY, 40065";"279 Chapel Hill Road, Shelbyville, KY, 40065";"Y";"Y";"3/31/2023";"School_Age";"L358867";
105464;"Frankfort Early Learning Academy";"506 W. Second Street";"Frankfort";"FRANKLIN";"KY";40601;5028758658;"Licensed";"APPROVED";38;"Y";"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";"No Information Available";"No Information Available";4;"Y";"N";"Y";"Y";"N";;"Y";"N";;;;;;28;;28;;28;;28;;;;;"No Information Available";"506 W. Second Street, Second Street Elementary School, Frankfort, KY, 40601";"506 W. Second Street, Second Street Elementary School, Frankfort, KY, 40601";"Y";"Y";"12/31/2023";"Toddler To Two_To_School";"L383089";"Second Street Elementary School"
79;"Dorman Preschool Center";"719 Burks Branch Road";"Shelbyville";"SHELBY";"KY";40065;5026332760;"Licensed";"APPROVED";70;"Y";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"No Information Available";"No Information Available";3;"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";;31;;29;;29;;29;;29;;29;;;;;"N";"Po Box 853, Shelbyville, KY, 40066";"719 Burks Branch Road, Shelbyville, KY, 40065";"Y";"Y";"3/31/2023";"Infant To School Age";"L350717";
191473;"Mrs. Davis After School Academy";"182 South Property Rd.";"New Castle";"HENRY";"KY";40050;5028458650;"Licensed";"APPROVED";120;"Y";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"No Information Available";"No Information Available";1;"N";"N";"N";"Y";"Y";;"N";"N";;;;;;;8;8;8;8;8;8;8;8;8;8;"No Information Available";"182 South Property Rd., New Castle, KY, 40050";"182 South Property Rd., New Castle, KY, 40050";"No Information Available";"Y";"2/28/2023";"Two_To_School To School_Age";"L383829";
75390;"Elks' Learning Center";"928 East Main St";"Frankfort";"FRANKLIN";"KY";40601;5026956730;"Licensed";"APPROVED";117;"Y";"7:45 AM - 5:30 PM";"7:45 AM - 5:30 PM";"7:45 AM - 5:30 PM";"7:45 AM - 5:30 PM";"7:45 AM - 5:30 PM";"No Information Available";"No Information Available";1;"Y";"N";"N";"N";"Y";"N";"Y";"N";;;;;;;;;;;;;10;20;10;20;"N";"928 East Main St, Frankfort, KY, 40601";"928 East Main St, Frankfort, KY, 40601";"Y";"Y";"8/31/2023";"School_Age";"L359033";
75814;"Patriots' Place After School Child Care Peaks Mill Elementary";"100 Peaks Mill Rd";"Frankfort";"FRANKLIN";"KY";40601;5023522560;"Licensed";"APPROVED";100;"Y";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"No Information Available";"No Information Available";3;"Y";"N";"N";"N";"Y";;"Y";"N";;;;;;;;;;;;;10;20;10;20;"No Information Available";"100 Peaks Mill Rd, Frankfort, KY, 40601";"100 Peaks Mill Rd, Frankfort, KY, 40601";"Y";"Y";"8/31/2023";"School_Age";"L359034";
69649;"Early Learning Village ASP";"200 Laralan Ave";"Frankfort";"FRANKLIN";"KY";40601;5023522589;"Licensed";"APPROVED";318;"Y";"7:45 AM - 4:15 PM";"7:45 AM - 4:15 PM";"7:45 AM - 4:15 PM";"7:45 AM - 4:15 PM";"7:45 AM - 4:15 PM";"No Information Available";"No Information Available";1;"Y";"N";"N";"Y";"Y";;"Y";"N";;;;;;;;22;10;20;10;20;10;20;;;"No Information Available";"200 Laralan Ave, Frankfort, KY, 40601";"200 Laralan Ave, Frankfort, KY, 40601";"N";"Y";"8/31/2023";"Two_To_School To School_Age";"L358747";
1792;"Western Hills High School Learning Center";"100 Doctors Drive";"Frankfort";"FRANKLIN";"KY";40601;5028758400;"Licensed";"APPROVED";36;"Y";"7:00 AM - 4:30 PM";"7:00 AM - 4:30 PM";"7:00 AM - 4:30 PM";"7:00 AM - 4:30 PM";"7:00 AM - 4:30 PM";"No Information Available";"No Information Available";2;"Y";"N";"Y";"Y";"N";"N";"N";"N";;;;;;28;;28;;28;;28;;;;;"N";"100 Doctors Dr, Frankfort, KY, 40601";"100 Doctors Drive, Frankfort, KY, 40601";"Y";"N";"8/31/2023";"Toddler To Two_To_School";"L356439";
101300;"Kidzway Learning Center";"5700 Us 127 South";"Frankfort";"FRANKLIN";"KY";40601;5026070944;"Licensed";"APPROVED";99;"Y";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"No Information Available";"No Information Available";3;"Y";"Y";"Y";"Y";"N";;"N";"N";15;27;15;27;15;27;15;27;15;27;15;27;;;;;"No Information Available";"5700 US 127 South, Frankfort, KY, 40601";"5700 Us 127 South, Frankfort, KY, 40601";"Y";"Y";"10/31/2023";"Infant To Two_To_School";"L378913";
