"InspectionId";"ProviderId";"InspectionType";"InspectionStartDate";"InspectionStartTime";"InspectionEndDate";"InspectionEndTime";"ReportFilename"
5288;2236;"Renewal Application";"2012-01-18";"13:19:00";"2012-01-18";"15:30:00";"2236_5288.pdf"
6995;2236;"Investigation";"2012-02-15";"10:30:00";"2012-02-21";"13:20:00";"2236_6995.pdf"
11582;2236;"Investigation";"2012-07-23";"09:30:00";"2012-07-23";"11:30:00";"2236_11582.pdf"
13569;2236;"Investigation";"2012-10-08";"08:45:00";"2012-10-08";"09:00:00";"2236_13569.pdf"
15379;2236;"Renewal Application";"2012-12-11";"09:30:00";"2012-12-11";"11:30:00";"2236_15379.pdf"
40347;2236;"Investigation";"2013-05-28";"09:05:00";"2013-05-28";"11:00:00";"2236_40347.pdf"
40750;2236;"Investigation";"2013-07-02";"10:00:00";"2013-07-02";"11:30:00";"2236_40750.pdf"
53233;2236;"Renewal Application";"2013-12-13";"08:45:00";"2013-12-13";"12:30:00";"2236_53233.pdf"
53869;2236;"Investigation";"2014-01-15";"10:40:00";"2014-01-15";"11:12:00";"2236_53869.pdf"
95374;2236;"Investigation";"2014-04-21";"11:00:00";"2014-04-21";"12:00:00";"2236_95374.pdf"
138482;2236;"Renewal Application";"2015-01-06";"09:30:00";"2015-01-06";"12:30:00";"2236_138482.pdf"
149416;2236;"Investigation";"2015-03-09";"11:33:00";"2015-03-09";"12:08:00";"2236_149416.pdf"
192445;2236;"Investigation";"2015-10-05";"11:43:00";"2015-10-05";"13:00:00";"2236_192445.pdf"
213333;2236;"Investigation";"2015-12-03";"11:30:00";"2015-12-03";"13:30:00";"2236_213333.pdf"
213417;2236;"Renewal Application";"2015-12-09";"09:15:00";"2015-12-09";"12:15:00";"2236_213417.pdf"
216456;2236;"Investigation";"2016-08-12";"10:30:00";"2016-08-12";"12:15:00";"2236_216456.pdf"
218335;2236;"Renewal Application";"2017-02-02";"08:30:00";"2017-02-02";"10:25:00";"2236_218335.pdf"
218700;2236;"Investigation";"2017-02-15";"12:09:00";"2017-02-15";"12:35:00";"2236_218700.pdf"
