"County";"CLR#";"Name";"Location Address";"City";"State";"Zip";"Phone";"Mailing Address";"Mailing City";"Mailing Zip";"Expiration Date";"Capacity";"Age Range Of Service";"Transporation Service";"Non Traditional";"Stars Rating";"Provider Type";"Active CCAP Children";"Address 2";"Serves Children with Special Needs"
"UNION";"L359449";"""All About Me"" Preschool/Child Care Center";"134 Uniontown Road";"Uniontown";"KY";42461;"(270) 822-9946";"134 Uniontown Road";" Uniontown";42461;"08/31/2020";12;"Toddler To Two_To_School";"N";"No Information Available";1;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L357997";"""Elf"" Childcare & Preschool";"2930 Breckenridge Lane";"Louisville";"KY";40220;"(502) 454-4470";"2930 Breckenridge Lane";" Louisville";40220;"08/31/2020";49;"Infant To School Age";"N";"N";2;"Licensed";"Y";;"Y"
"NELSON";"L357180";"""The Swamp"" / Nelson County FRYSC Child Care";"211 East Muir Avenue";"Bardstown";"KY";40004;"(502) 349-7205";"211 East Muir Avenue";" Bardstown";40004;"08/31/2020";141;"Two_To_School To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"CARROLL";"L383513";"1st Infant Toddler Kinder Ready Center";"1302 Highland Ave, Ste B";"Carrollton";"KY";41008;"(502) 890-3289";"712 5th St";" Carrollton";41008;"10/31/2020";51;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"Y"
"PULASKI";"L359240";"3 Sisters and the Mom Daycare";"60 Rowena Drive";"Somerset";"KY";42501;"(606) 802-2848";"60 Rowena Drive";" Somerset";42501;"11/30/2020";25;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"Y"
"CHRISTIAN";"L358548";"A Baby's House";"124 Lillian Drive";"Oak Grove";"KY";42262;"(270) 640-4592";"804 Pembroke Oak Grove Rd.";" Oak Grove";42262;"09/30/2020";17;"Infant To Toddler";"N";"N";5;"Licensed";"Y";;"Y"
"JESSAMINE";"L355333";"A Child's Place";"107 Brookside Drive";"Nicholasville";"KY";40356;"(859) 885-9241";"107 Brookside Dr";" Nicholasville";40356;"10/31/2020";99;"Infant To School Age";"Y";"N";3;"Licensed";"Y";;"Y"
"TAYLOR";"L358624";"A Child's Workplace LLC";"15 Bennett Lane";"Campbellsville";"KY";42718;"(270) 849-2286";"15 Bennett Lane";" Campbellsville";42718;"02/29/2020";70;"Infant To School Age";"N";"N";4;"Licensed";"Y";;"Y"
"JEFFERSON";"C70931";"A Grandma's Place Day Care";"1612 Wilson Avenue";"Louisville";"KY";40210;"(502) 637-5427";"1612 Wilson Avenue";" Louisville";40210;"10/31/2020";6;"No Information Available";"N";"Y";1;"Certified";"N";;"Y"
"CHRISTIAN";"L358295";"A Little Miracle Child Development Center";"804 Pembroke Oak-grove Road";"Oak Grove";"KY";42262;"(270) 439-5437";"804 Pembroke Oak Grove Rd";" Oak Grove";42262;"06/30/2020";70;"Toddler To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"JEFFERSON";"L356813";"A Place For Kids";"7100 Preston Highway";"Louisville";"KY";40219;"(502) 969-7117";"7100 Preston Highway";" Louisville";40219;"12/31/2020";117;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"Y"
"CHRISTIAN";"L383171";"A Place to Grow Learning Center";"621 Millbrooke Drive";"Hopkinsville";"KY";42240;"(270) 885-7211";"804 Pembroke Oak Grove Rd";" Oak Grove";42262;"04/30/2020";78;"Infant To School Age";"Y";"No Information Available";4;"Licensed";"Y";;"Y"
"HOPKINS";"L383401";"A Shepherd's Love Daycare";"412 Mcleod Lane";"Madisonville";"KY";42431;"(270) 245-5088";"412 Mcleod Lane";" Madisonville";42431;"12/31/2019";46;"Toddler To Two_To_School";"N";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L375426";"A Step Ahead Childcare";"7902 Beulah Church Road";"Louisville";"KY";40228;"(502) 762-9000";"7902 Beulah Church Road";" Louisville";40228;"04/30/2020";120;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"CLAY";"L383424";"A to Z Early Learning Center";"1342 South Hwy 421";"Manchester";"KY";40962;"(606) 598-8871";"P.O. Box 280";" Manchester";40962;"01/31/2020";72;"Infant To School Age";"N";"No Information Available";2;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L357728";"A to Z Learning Center and Child Care";"6100 Billtown Road";"Louisville";"KY";40299;"(502) 267-8350";"6100 Billtown Road";" Louisville";40299;"06/30/2020";57;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"No Information Available"
"HARDIN";"L358033";"A Treasure Chest";"2872 Valley Creek Road";"Elizabethtown";"KY";42701;"(270) 300-8229";"2872 Valley Creek Road";" Elizabethtown";42701;"12/31/2019";33;"Infant To School Age";"Y";"Y";4;"Licensed";"Y";;"Y"
"OLDHAM";"L358214";"A Wise Choice For Kids";"7219 West Hwy 22";"Crestwood";"KY";40014;"(502) 243-3222";"7219 West Hwy 22";" Crestwood";40014;"06/30/2020";49;"Infant To School Age";"N";"N";2;"Licensed";"Y";;"No Information Available"
"TAYLOR";"L383194";"A Wise Choice Preschool and Daycare";"659 West Main Street";"Campbellsville";"KY";42718;"(270) 469-4882";"659 West Main Street";" Campbellsville";42718;"08/31/2020";81;"Infant To School Age";"N";"No Information Available";3;"Licensed";"Y";;"Y"
"CAMPBELL";"L354955";"Abby's Child Enrichment Center";"2907 Alexandria Pike";"Highland Heights";"KY";41076;"(859) 781-2899";"2907 Alexandria Pike";" Highland Heights";41076;"04/30/2020";97;"Infant To School Age";"Y";"N";5;"Licensed";"Y";;"Y"
"CAMPBELL";"L355530";"Abby's Child Enrichment Center";"29 Churchill Drive";"Ft. Thomas";"KY";41075;"(859) 781-3442";"29 Churchill Drive";" Ft. Thomas";41075;"09/30/2020";140;"Infant To School Age";"Y";"N";4;"Licensed";"Y";;"Y"
"KENTON";"L356353";"Abby's Child Enrichment Center";"710 Valley Square Drive";"Taylor Mill";"KY";41015;"(859) 581-6166";"710 Valley Square Dr";" Taylor Mill";41015;"04/30/2020";151;"Infant To School Age";"Y";"N";5;"Licensed";"Y";;"Y"
"BOONE";"L358063";"Abby's Child Enrichment Center";"2012 Terrace Court";"Florence";"KY";41042;"(859) 384-8932";"2012 Terrace Court";" Florence";41042;"09/30/2020";121;"Infant To School Age";"Y";"N";4;"Licensed";"Y";;"Y"
"BOONE";"L358816";"Abby's Child Enrichment Center";"11293 Grand National Boulevard";"Walton";"KY";41094;"(859) 485-2153";"11293 Grand National Boulevard";" Walton";41094;"09/30/2020";125;"Infant To School Age";"Y";"N";4;"Licensed";"Y";;"Y"
"JEFFERSON";"L383921";"ABC 123 Academy Child Care Center";"828 Brookline Ave";"Louisville";"KY";40214;"(502) 365-4016";"828 Brookline Ave";" Louisville";40214;"08/31/2020";41;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"MERCER";"L383882";"ABC 123 The Wren's Nest Daycare & Learning Center";"125 Commercial Drive";"Harrodsburg";"KY";40330;"(859) 734-4933";"125 Commercial Drive";" Harrodsburg";40330;"04/30/2020";153;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"MADISON";"L356629";"ABC Child Care & Learning Center";"205 Churchill Drive";"Richmond";"KY";40475;"(859) 623-0157";"205 Churchill Drive";" Richmond";40475;"06/30/2020";395;"Infant To School Age";"Y";"N";3;"Licensed";"Y";;"Y"
"WARREN";"L383266";"ABC Children's Academy";"1740 Cave Mill Road";"Bowling Green";"KY";42104;"(270) 782-3456";"1740 Cave Mill Road, Suite B";" Bowling Green";42104;"01/31/2020";91;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"BRECKINRIDGE";"L355687";"ABC Daycare";"415 West Spring Street";"Irvington";"KY";40146;"(270) 547-4040";"P O Box 463";" Irvington";40146;"06/30/2020";36;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"Y"
"JESSAMINE";"L383651";"ABC Learning Academy";"706 N. Main St.";"Nicholasville";"KY";40356;"(859) 241-1675";"706 N. Main St.";" Nicholasville";40356;"12/31/2020";49;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"WAYNE";"C70928";"ABC Learning Ladder Childcare and Preschool";"325 Virginia Avenue";"Monticello";"KY";42633;"(606) 280-9171";"325 Virginia Avenue";" Monticello";42633;"09/30/2020";6;"No Information Available";"N";"Y";3;"Certified";"Y";;"Y"
"WOODFORD";"L355968";"Academy (The)";"230 Paynes Mill Road";"Versailles";"KY";40383;"(859) 879-1743";"230 Paynes Mill Road";" Versailles";40383;"08/31/2020";60;"Infant To Two_To_School";"N";"N";2;"Licensed";"Y";;"Y"
"WARREN";"L383996";"Academy for Little People";"1710 River Street";"Bowling Green";"KY";42101;"(270) 782-5437";"1710 River Street";" Bowling Green";42101;"03/31/2020";120;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"JESSAMINE";"L383522";"Academy of Great Beginnings";"101 Depot Street";"Nicholasville";"KY";40356;"(859) 241-1423";"101 Depot Street";" Nicholasville";40356;"12/31/2020";61;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"Y"
"HARDIN";"L358901";"Academy of Learning Primary House 1";"610/612 West Port Rd";"Elizabethtown";"KY";42701;"(270) 769-9631";"610/612 West Port Rd";" Elizabethtown";42701;"02/29/2020";130;"Infant To School Age";"Y";"N";1;"Licensed";"Y";;"Y"
"HARDIN";"L358902";"Academy of Learning Primary House 2";"1448 West Lincoln Trail Blvd";"Radcliff";"KY";40160;"(270) 352-5437";"1448 West Lincoln Trail Blvd";" Radcliff";40160;"02/29/2020";171;"Infant To School Age";"Y";"Y";2;"Licensed";"Y";;"N"
"DAVIESS";"L358402";"Academy of Learning-Bold Forbes";"3220 Bold Forbes Way";"Owensboro";"KY";42303;"(270) 684-1411";"3220 Bold Forbes Way";" Owensboro";42303;"01/31/2021";149;"Infant To School Age";"Y";"N";3;"Licensed";"Y";;"Y"
"DAVIESS";"L358403";"Academy of Learning-Harvard";"730 Harvard Drive";"Owensboro";"KY";42301;"(270) 684-5730";"730 Harvard Drive";" Owensboro";42301;"01/31/2020";99;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"Y"
"JESSAMINE";"L358018";"Academy of Little Learners";"812 Wilmore Road, Ste.600";"Nicholasville";"KY";40356;"(859) 885-0041";"812 Wilmore Rd, Ste 600";" Nicholasville";40356;"08/31/2020";145;"Infant To School Age";"N";"N";4;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L383159";"Active Imaginations Child Development Center";"4210 S. Church Way";"Louisville";"KY";40207;"(502) 893-4633";"4210 S. Church Way";" Louisville";40207;"03/31/2020";100;"Infant To Two_To_School";"N";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"ADAIR";"L350002";"Adair County Head Start";"111 Fairground Street";"Columbia";"KY";42728;"(270) 384-4111";"Po Box 830, 23 Industry Drive";" Jamestown";42629;"12/31/2020";72;"Two_To_School";"Y";"No Information Available";4;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L353025";"Adath Jeshurun Preschool";"2401 Woodbourne Avenue";"Louisville";"KY";40205;"(502) 451-3434";"2401 Woodbourne Avenue";" Louisville";40205;"06/30/2020";173;"Infant To Two_To_School";"Y";"N";1;"Licensed";"N";;"No Information Available"
"SHELBY";"L359067";"Adventure Club";"7208 Shelbyville Road";"Simpsonville";"KY";40067;"(502) 722-5249";"7208 Shelbyville Road";" Simpsonville";40067;"10/31/2020";264;"Infant To School Age";"Y";"N";3;"Licensed";"Y";;"No Information Available"
"FLOYD";"L383352";"Adventure Learning Center Child Care";"1430 North Lake Drive";"Prestonsburg";"KY";41653;"(606) 506-5028";"1430 North Lake Drive";" Prestonsburg";41653;"05/31/2020";49;"Toddler To School_Age";"N";"No Information Available";3;"Licensed";"Y";;"Y"
"FAYETTE";"L358917";"After 3 - Tates Creek Elementary";"1113 Centre Pkwy";"Lexington";"KY";40517;"(859) 381-3606";"1113 Centre Pkwy";" Lexington";40517;"03/31/2020";99;"School_Age";"N";"N";1;"Licensed";"Y";;"Y"
"BALLARD";"L354196";"After School Kids (ASK)";"3383 Paducah Road";"Barlow";"KY";42024;"(270) 665-8400";"3383 Paducah Road";" Barlow";42024;"11/30/2020";85;"Two_To_School To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"HARDIN";"C63366";"Agape Daycare & Learning Center";"111 W. Tuscany Court";"Radcliff";"KY";40160;"(270) 319-4696";"111 W. Tuscany Court";" Radcliff";40160;"05/31/2020";6;"No Information Available";"N";"Y";2;"Certified";"N";;"N"
"KENTON";"L359262";"AJ Lindeman Elementary YMCA Kids";"558 Erlanger Road";"Erlanger";"KY";41018;"(859) 534-5700";"5874 Veterans Way";" Burlington";41005;"08/31/2020";100;"School_Age";"N";"No Information Available";4;"Licensed";"Y";;"Y"
"JEFFERSON";"C62463";"Alegres Campanitas";"208 Alger Avenue";"Louisville";"KY";40214;"(502) 510-4266";"208 Alger Avenue";" Louisville";40214;"12/31/2020";6;"No Information Available";"N";"Y";3;"Certified";"Y";;"No Information Available"
"JEFFERSON";"L383559";"Alex R. Kennedy Childcare Enrichment Program";"4515 Taylorsville Rd";"Louisville";"KY";40220;"(502) 471-0265";"2411 Bowman Avenue, YMCA";" Louisville";40217;"02/29/2020";156;"Two_To_School To School_Age";"Y";"No Information Available";4;"Licensed";"Y";;"Y"
"CAMPBELL";"L383318";"Alexandria Head Start";"51 Orchard Lane";"Alexandria";"KY";41001;"(859) 781-4544";"717 Madison Avenue";" Covington";41011;"04/30/2020";40;"Two_To_School";"Y";"No Information Available";1;"Licensed";"N";;"No Information Available"
"CAMPBELL";"L383209";"Alexandria Pike KinderCare";"7717 Alexandria Pike";"Alexandria";"KY";41001;"(859) 635-8797";"1732 Crooks Rd.";" Troy";48084;"10/31/2020";131;"Infant To School Age";"Y";"No Information Available";3;"Licensed";"Y";;"Y"
"WAYNE";"C52862";"Alicia Jones Child Care";"2712 Highway 3106";"Monticello";"KY";42633;"(606) 348-4574";"2712 Highway 3106";" Monticello";42633;"07/31/2021";6;"No Information Available";"N";"N";2;"Certified";"N";;"No Information Available"
"HOPKINS";"L383752";"Alicia's Play, Learn, & Grow";"124 North Scott Street";"Madisonville";"KY";42431;"(270) 871-6098";"311 W. Farren Ave.";" Earlington";42410;"05/31/2020";40;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"No Information Available"
"BOONE";"C71061";"Alison Vessa";"9885 Camp Ernst Road";"Union";"KY";41091;"(859) 750-6326";"9885 Camp Ernst Road";" Union";41091;"04/30/2021";6;"No Information Available";"N";"No Information Available";1;"Certified";"N";;"No Information Available"
"BOONE";"L358561";"All About Kids Childcare and Learning Center";"1573 Cavalry Drive";"Union";"KY";41091;"(859) 538-1387";"1573 Cavalry Drive";" Union";41091;"09/30/2020";207;"Infant To School Age";"Y";"N";1;"Licensed";"Y";;"Y"
"FAYETTE";"L383819";"All About Kids Childcare and Learning Center";"695 Vincent Way";"Lexington";"KY";40503;"(859) 327-3710";"695 Vincent Way";" Lexington";40503;"01/31/2020";199;"Infant To School Age";"Y";"No Information Available";1;"Licensed";"N";;"No Information Available"
"HARDIN";"L357288";"All About Kids Learning Center";"5960 B. North Dixie Highway";"Elizabethtown";"KY";42701;"(270) 360-1543";"5960 North Dixie Highway";" Elizabethtown";42701;"12/31/2020";95;"Infant To Two_To_School";"N";"N";1;"Licensed";"Y";;"Y"
"FLOYD";"L381805";"All 'Bout Children Daycare";"625 John Cc Mayo Avenue";"Auxier";"KY";41602;"(606) 263-2760";"625 John Cc Mayo Avenue";" Auxier";41602;"03/31/2020";50;"Infant To School Age";"N";"No Information Available";2;"Licensed";"Y";;"Y"
"JEFFERSON";"L383381";"All God's Children";"4014 St. Francis Lane";"Louisville";"KY";40218;"(502) 749-7487";"4014 St. Francis Lane";" Louisville";40218;"10/31/2020";21;"Infant To Two_To_School";"N";"No Information Available";1;"Licensed";"N";;"No Information Available"
"JESSAMINE";"L356453";"All God's Children Day Care";"122 Danville Road, Loop 1";"Nicholasville";"KY";40356;"(859) 881-5010";"122 Danville Road, Loop 1";" Nicholasville";40356;"08/31/2020";33;"Infant To School Age";"Y";"N";3;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L383620";"All Kids Matter Childcare";"2922 Dixie Highway";"Louisville";"KY";40216;"(502) 742-4171";"2922 Dixie Highway";" Louisville";40216;"09/30/2020";32;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L383965";"All Kids Matter Childcare II";"3007 Dixie Hwy";"Louisville";"KY";40216;"(502) 759-6515";"3007 Dixie Hwy";" Louisville";40216;"02/29/2020";15;"Two_To_School To School_Age";"N";"Y";1;"Licensed";"Y";;"No Information Available"
"ALLEN";"L352764";"Allen County Head Start";"25 Jl Turner And Son Place";"Scottsville";"KY";42164;"(270) 782-3162";"921 Beauty Ave., CASOKY";" Bowling Green";42101;"12/31/2020";60;"Two_To_School";"N";"No Information Available";5;"Licensed";"N";;"No Information Available"
