"id";"name";"address";"city";"state";"phone";"main website";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4"
57275;"Starland Child Development Center";"135 Memorial drive";"Hazard";"KY";"606-436-5720";"http://www.hpccm.org/contact_us.htm";;;;;;;;;;;;;;;;;
57270;"Hazard Lions Club Montessori School";"608 High Street";"Hazard";"KY";"606-439-0078";"http://hazardlionsclubmontessori.com/";;;;;;;;;;;;;;;;;
57269;"New Beginnings Child Development Center";"151 Miss Edna Lane";"Hazard";"KY";"606-439-1122";"http://www.hpccm.org/Childcare%20%26%20Preschool.htm";;;;;;;;;;;;;;;;;
57260;"Northern Kentucky Head Start- Falmouth Center";"409 Barkley Street";"Falmouth";"KY";"859-654-2958";"http://www.nkcac.org/head_start_centers.aspx";"http://www.nkcac.org/head_start_centers.aspx";"http://www.facebook.com/nkcac";;"http://www.nkcac.org/employment_opportunities.aspx";;;"n";"n";"y";"y";"n";"n";"http://www.nkcac.org/images/logo.png";"http://www.nkcac.org/images/head_start_banner.jpg";;;
57253;"Southside Christian Child Care #18";"3419 Cedar Point";"La Grange";"KY";"502-222-1999";"http://www.southsidechristianchildcare.com/locations";"http://www.southsidechristianchildcare.com/locations";;;"http://www.southsidechristianchildcare.com/careers";"http://www.southsidechristianchildcare.com/contact/enrollment-forms";;"n";"y";"y";"y";"n";"n";;"http://www.southsidechristianchildcare.com/images/staff.jpg";"http://www.southsidechristianchildcare.com/images/spiderman.jpg";"http://www.southsidechristianchildcare.com/images/play.jpg";"http://www.southsidechristianchildcare.com/images/bubbles.jpg"
57248;"Locust Grove Lions' Pride";"1231 East Highway 22";"Crestwood";"KY";"502-222-3529";"http://lionsprideyouthenrichment.weebly.com/";"http://lionsprideyouthenrichment.weebly.com/";;"6:30am-6pm";;;;"n";"n";"n";"n";"y";"y";;"http://lionsprideyouthenrichment.weebly.com/uploads/5/1/4/9/5149166/1967557_orig.jpg";"http://lionsprideyouthenrichment.weebly.com/uploads/5/1/4/9/5149166/956724_orig.jpg";"http://lionsprideyouthenrichment.weebly.com/uploads/5/1/4/9/5149166/3304698_orig.jpg";"http://lionsprideyouthenrichment.weebly.com/uploads/5/1/4/9/5149166/1781943_orig.jpg"
57245;"The Chatter Box";"6317 Hwy 329";"Crestwood";"KY";"502-384-0910";"http://www.chatterboxky.com/Contact.html";;;;;;;;;;;;;;;;;
57244;"The Learning Garden";"2100 Spencer Court";"La Grange";"KY";"502-222-1700";"http://thelearninggardenpreschool.com/";"http://thelearninggardenpreschool.com/";;;"http://www.thelearninggardenpreschool.com/Job-Opportunities.html";"http://www.thelearninggardenpreschool.com/Registration-Information.html";;"y";"y";"y";"y";"n";"n";;"http://www.thelearninggardenpreschool.com/photo_of_boy.jpg";"http://www.thelearninggardenpreschool.com/publishImages/Programs---Facilities~~element53.jpg";"http://www.thelearninggardenpreschool.com/publishImages/Programs---Facilities~~element52.jpg";"http://www.thelearninggardenpreschool.com/TLG1.jpg"
57243;"Covenant United Methodist Preschool";"909 Jefferson Street";"La Grange";"KY";"502-222-9925";"http://covenantumc.com/442793";;;;;;;;;;;;;;;;;
57242;"A Wise Choice For Kids";"7219 West Hwy 22";"Crestwood";"KY";"502-243-3222";"http://awisechoiceforkids.com/";"http://awisechoiceforkids.com/";;"Monday - Friday 6:00am - 6:00pm";;;;"y";"y";"y";"y";"y";"n";"http://legacy.ybsitecenter.com/images/kop/headers/aw/64969/siteheader.jpg";"http://legacy.ybsitecenter.com/images/kop/var/bg/64969/617309-preschool-crestwood-ky-a-wise-choice-for-kidscopy.jpg";;;
57241;"Kenwood Station Elementary 'The Jungle'";"6321 Veterans Memorial Parkway";"Crestwood";"KY";"502-241-1707";"http://www.teacherweb.com/KY/KenwoodStationElementary/Jungle/apt1.aspx";"http://www.teacherweb.com/KY/KenwoodStationElementary/Jungle/apt1.aspx";;"6:30am - 6:00pm";;;;"n";"n";"n";"y";"y";"n";;;;;
57240;"Harmony Elementary Youth Enrichment Program";"1901 South Highway 1793";"Goshen";"KY";"(502) 228-2228";"http://www.oldham.k12.ky.us/harmony/";;;;;;;;;;;;;;;;;
57238;"Building Blocks Child Development Center";"2715 New Moody Lane";"La Grange";"KY";"502-222-0006";"http://buildingblockscenter.com/contact-building-blocks-development-center-of-lagrange-ky.htm";;;;;;;;;;;;;;;;;
57237;"Active Learner's Pre-School (The)";"5719 W. Highway 22";"Crestwood";"KY";"502-241-7750";"http://alpspreschool.com/";;;;;;;;;;;;;;;;;
57234;"Buckner Elementary ""Bear Care"" Program";"1240 Colonels Drive";"Buckner";"KY";"502-222-3722";"http://www.oldham.kyschools.us/buckner/index.php?option=com_content&task=blogsection&id=5&Itemid=29";;;;;;;;;;;;;;;;;
57232;"LaGrange Elementary Leopard Spot";"500 West Jefferson Street";"La Grange";"KY";"502-222-9454";"http://www.lagrangeelementary.com/";"http://www.lagrangeelementary.com/";"https://www.facebook.com/pages/LaGrange-Elementary-PTA/228351795385?ref=hl";;;"http://lagrangeelementary.com/parents/registration/";;"n";"n";"n";"y";"y";"n";"http://lagrangeelementary.com/la/wp-content/uploads/2013/03/cropped-LAHeader1.png";;;;
57231;"Camden Station Eagles Nest";"6401 West Highway 146";"Crestwood";"KY";"502-241-1271";"http://camdenstationpta.com/new/";"http://camdenstationpta.com/new/";;;;;;"n";"n";"n";"y";"y";"n";;;;;
57230;"Goshen Elementary at Hillcrest SWAMP After School";"12518 Ridgemoor Drive";"Prospect";"KY";"502-228-4838";"http://www.teacherweb.com/KY/Goshen/SWAMP/t.aspx";"http://www.teacherweb.com/KY/Goshen/SWAMP/t.aspx";;"6:30am - 6:00pm";;;;"n";"n";"n";"y";"y";"n";;;;;
57229;"Crestwood Cougar Den";"6500 West Highway 146 Crestwood Elementary School";"Crestwood";"KY";"502-241-3412";"http://crestwood-cougarden.weebly.com/";"http://crestwood-cougarden.weebly.com/";;"6:30-6:00";;;"http://crestwood-cougarden.weebly.com/general-information.html";"n";"n";"n";"n";"y";"y";;"http://crestwood-cougarden.weebly.com/uploads/3/8/1/4/3814450/1263331_orig.jpg";"http://crestwood-cougarden.weebly.com/uploads/3/8/1/4/3814450/346566_orig.jpg";"http://crestwood-cougarden.weebly.com/uploads/3/8/1/4/3814450/1449683_orig.jpg";"http://crestwood-cougarden.weebly.com/uploads/3/8/1/4/3814450/7276420_orig.jpg"
57228;"St. Aloysius Preschool";"122 Mt. Mercy Drive";"Pewee Valley";"KY";"502-241-8452";"http://www.staloysiuspwv.org/formation-committee/27-after-school-care";"http://www.staloysiuspwv.org/formation-committee/27-after-school-care";;;;;"http://staloysiuspwv.org/sports-documents-and-forms/138-athletics-handbook";"n";"n";"n";"n";"y";"y";;;;;
57227;"Centerfield Wildcats Cub Club for Children";"4512 Centerfield Drive";"Crestwood";"KY";"502-241-3448";"http://centerfieldelementary.com/index.php?option=com_content&view=section&layout=blog&id=10&Itemid=";;;;;;;;;;;;;;;;;
57226;"St. John Child Care";"12700 West Highway 42";"Prospect";"KY";"(502) 228-2897";"http://www.stjohnprospect.com/index2.html";;;;;;;;;;;;;;;;;
57225;"Liberty Doghouse";"8120 West Highway 42";"Goshen";"KY";"502-228-1839";"http://www.oldham.kyschools.us/liberty/index.php?option=com_content&view=article&id=58&Itemid=66";;;;;;;;;;;;;;;;;
