Id;Letter Grade;Name;School Type;Street;City;State;Zip;Phone;Email;Mon;Tue;Wed;Thu;Fri;Website;Twitter;Facebook;District Name;Principal;License Type;License Number;Transportation;Before Care;After Care;CCAP;Star Rating;Grades Available;Enrollment;Capacity;Academic Offerings;Music Art;Opportunities & Clubs;Sports
10005;A;LeBleu Settlement Elementary School;Traditional public school;6509 Hwy 3059;Lake Charles;LA;70615;337-217-4880;;;;;;;http://www.cpsb.org/Domain/162;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Melanie Brady;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;444;;;Art;Clubs, Visual Arts, Literature and the Humanities, Peer Tutoring or Mentoring, School Community Organizations, Career Focus;
10;;Calcasieu Parish;;;;;;;;;;;;;;;;Calcasieu Parish;;;;;;;;;;;;;;;
1;;Acadia Parish;;;;;;;;;;;;;;;;Acadia Parish;;;;;;;;;;;;;;;
10003;A;Alfred M. Barbe High School;Traditional public school;2200 West McNeese;Lake Charles;LA;70605;337-217-4460;;;;;;;http://www.cpsb.org/Domain/135;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Randy Yellott;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;1995;;Advanced Placement Details, Dual enrollment (college credit) Details, Foreign Language Details, Gifted programs, Jump Start Pathways (career focused) Details;Band Details, Music, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Affinity Associations, Business Interest, National or Statewide Leadership Associations, Honor Society, Politics and Government, School Community Organizations, Speech and Debate, Career Focus, Games and Gaming, Other;Volleyball, Cross-Country, Swimming, Football, Wrestling, Indoor Track and Field, Soccer, Basketball, Softball, Gymnastics, Golf, Outdoor Track and Field, Baseball, Spirit, Bowling, Tennis, Other Sports
10004;A;Bell City High School;Traditional public school;7161 Highway 14 East;Bell City;LA;70630;337-217-4500;;;;;;;http://www.cpsb.org/Domain/136;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Scott Nunez;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8, Grade 9, Grade 10, Grade 11, Grade 12;740;;Dual enrollment (college credit) Details, Foreign Language Details, Gifted programs, Jump Start Pathways (career focused) Details;Music, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, Peer Tutoring or Mentoring, Adult Mentoring, Business Interest, National or Statewide Leadership Associations, School Community Organizations, Career Focus, Games and Gaming, Other;Cross-Country, Swimming, Indoor Track and Field, Basketball, Softball, Golf, Outdoor Track and Field, Baseball
10011;F;Combre-Fondel Elementary School;Traditional public school;2115 Fitzenrieter Rd.;Lake Charles;LA;70601;337-217-4890;;;;;;;http://www.cpsb.org/Domain/140;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Mark Steward;;;;;;;;Grade 3, Grade 4, Grade 5;167;;;Music, Art;Clubs, Music, Visual Arts, STEM, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Career Focus;
10006;D;Brentwood Elementary School;Traditional public school;3825 Brentwood Avenue;Lake Charles;LA;70607;337-217-4610;;;;;;;http://www.cpsb.org/Domain/137;http://www.twitter.com/CPSBschools;http://www.facebook.com/Brentwood-Elementary-School-1839502389710484/;Calcasieu Parish;Julee K Spann;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;279;;;Music;Clubs, Music, STEM, Adult Mentoring, Affinity Associations, National or Statewide Leadership Associations, School Community Organizations, Other;
10002;D;Barbe Elementary School;Traditional public school;400 Penn Street;Lake Charles;LA;70601;337-217-4660;;;;;;;http://www.cpsb.org/Domain/134;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Sharon M Ruffin-Hardy;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;269;;;Art;Clubs, Drama, Theater and Dance, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Affinity Associations, School Community Organizations;
10009;F;Jessie D. Clifton Elementary School;Traditional public school;100 North Prater Street;Lake Charles;LA;70601;337-217-4420;;;;;;;http://www.cpsb.org/Domain/138;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Pamela J Bell;;;;;Yes;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2;366;;;Music;;
10001;B;S. P. Arnett Middle School;Traditional public school;400 Sulphur Ave;Westlake;LA;70669;337-217-4630;;;;;;;http://www.cpsb.org/Domain/133;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Frank M Caldarera Ii;;;;;;;;Grade 6, Grade 7, Grade 8;410;;;Band, Music, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Affinity Associations, Business Interest, National or Statewide Leadership Associations, School Community Organizations, Speech and Debate, Career Focus, Games and Gaming, Other;Volleyball, Football, Basketball, Golf, Outdoor Track and Field
