"Id";"Date";"Notes";"Link"
10073;"01/25/2021";"No deficiencies were cited on this date.";
10073;"12/03/2020";"No deficiencies were cited on this date.";
10073;"12/03/2020";"No deficiencies were cited on this date.";
10073;"01/09/2020";"No deficiencies were cited on this date.";
10073;"01/14/2019";"No deficiencies were cited on this date.";
10073;"03/28/2018";"No deficiencies were cited on this date.";
10073;"01/04/2018";"Click Here";"http://carefacility.doe.louisiana.gov/BlasPDF/SOD_01042018_11918_580483.pdf"
10073;"10/04/2017";"No deficiencies were cited on this date.";
10073;"03/16/2017";"Click Here";"http://carefacility.doe.louisiana.gov/BlasPDF/SOD_03162017_11918_555347.pdf"
10073;"03/16/2017";"Click Here";"http://carefacility.doe.louisiana.gov/BlasPDF/SOD_03162017_11918_555609.pdf"
10073;"01/20/2017";"Click Here";"http://carefacility.doe.louisiana.gov/BlasPDF/SOD_01202017_11918_553671.pdf"
10073;"11/29/2016";"No deficiencies were cited on this date.";
10073;"11/29/2016";"No deficiencies were cited on this date.";
10073;"03/17/2016";"No deficiencies were cited on this date.";
10073;"01/20/2016";"Click Here";"http://carefacility.doe.louisiana.gov/BlasPDF/SOD_01202016_11918_510360.pdf"
10083;"01/20/2021";"No deficiencies were cited on this date.";
10083;"11/30/2020";"Report is not available on-line. You may contact Licensing for a hard copy.";
10083;"02/17/2020";"Click Here";"http://carefacility.doe.louisiana.gov/BlasPDF/SOD_02172020_51676_655985.pdf"
1035;"10/27/2020";"No deficiencies were cited on this date.";
1035;"11/12/2019";"No deficiencies were cited on this date.";
1035;"05/21/2019";"No deficiencies were cited on this date.";
1035;"08/29/2018";"No deficiencies were cited on this date.";
1035;"05/02/2018";"No deficiencies were cited on this date.";
1035;"05/17/2017";"Click Here";"http://carefacility.doe.louisiana.gov/BlasPDF/SOD_05172017_4580_556338.pdf"
1035;"09/26/2016";"No deficiencies were cited on this date.";
1035;"04/19/2016";"No deficiencies were cited on this date.";
1035;"05/13/2015";"No deficiencies were cited on this date.";
1035;"05/08/2014";"No deficiencies were cited on this date.";
