"License Number";"Provider Name";"County";"Address";"City";"State";"Zip";"Contact Name";"Telephone";"Program Type";"Class Code";"Night Time Care";"Transportation";"Monday";"Tuesday";"Wednsday";"Thirsday";"Friday";"Saturday";"Sunday";"Subprograms";"NAEYC Accreditation";"Star Rating";"ID";"DetailsURL"
10110;"Alphabet Pre School II";"Jefferson";"4820 Wabash Street";"Metairie";"LA";70001;"Linda Hurley, Director";"504-780-2444";"Child Day Care";"Class A";"No";"No";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";10110;"http://carefacility.doe.louisiana.gov/view.aspx?id=10110"
14333;"An Angel's Flight Child Care & Preschool";"Jefferson";"2212 Athania Pkwy";"Metairie";"LA";70001;"Star DesDunes, Director";"504-828-3324";"Child Day Care";"Class B";"No";"Field Trip Only";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";14333;"http://carefacility.doe.louisiana.gov/view.aspx?id=14333"
4191;"Apple Tree Academy";"Jefferson";"2001 Athania Parkway";"Metairie";"LA";70001;"Cheryl DeFelice, Director";"504-831-3638";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";4191;"http://carefacility.doe.louisiana.gov/view.aspx?id=4191"
13100;"Baby's Playhouse, LLC";"Jefferson";"114 Transcontinental";"Metairie";"LA";70001;"Deanna Comeaux, DirectorPatricia Johnson, Director Designee";"504-455-8955";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"3 Stars";13100;"http://carefacility.doe.louisiana.gov/view.aspx?id=13100"
11070;"Balloons and Lollypops";"Jefferson";"209 Sierra Court";"Metairie";"LA";70001;"Larrine Reyes, Director";"504-836-2464";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";11070;"http://carefacility.doe.louisiana.gov/view.aspx?id=11070"
15652;"Celebration Christian Daycare and Learning Center";"Jefferson";"2001 Airline Drive";"Metairie";"LA";70001;"Jennifer Nuss, Director";"504-834-2273";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00p - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15652;"http://carefacility.doe.louisiana.gov/view.aspx?id=15652"
1297;"Goldilocks Child Care Center";"Jefferson";"2324 Manson Avenue";"Metairie";"LA";70001;"Jill Dendinger, Director";"504-454-0359";"Child Day Care";"Class A";"No";"No";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1297;"http://carefacility.doe.louisiana.gov/view.aspx?id=1297"
570;"Helen's Day Care";"Jefferson";"208 Carnation Avenue";"Metairie";"LA";70001;"Helen Strohmeyer, Director";"504-885-6881";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";570;"http://carefacility.doe.louisiana.gov/view.aspx?id=570"
254;"Kinder Haus Montessori";"Jefferson";"5201 West Napoleon Avenue";"Metairie";"LA";70001;"Patricia Lacoste, DirectorCassandra Becerra, DirectorTamarra James, Director";"504-454-2424";"Child Day Care";"Class B";"No";"Field Trip Only";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";254;"http://carefacility.doe.louisiana.gov/view.aspx?id=254"
4296;"Loreto Early Learning Center";"Jefferson";"1801 Division Street";"Metairie";"LA";70001;"Susan Connick, Director";"504-833-9894";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";4296;"http://carefacility.doe.louisiana.gov/view.aspx?id=4296"
10538;"Montessori Learning Center, Inc.";"Jefferson";"4804 York Street";"Metairie";"LA";70001;"Danielle Frayle, Director";"504-454-0555";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";10538;"http://carefacility.doe.louisiana.gov/view.aspx?id=10538"
5492;"St. Christopher Early Education Center";"Jefferson";"3900 Derbigny Street";"Metairie";"LA";70001;"Ruth Meche, Director";"504-833-5591";"Child Day Care";"Class B";"No";"Field Trip Only";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";5492;"http://carefacility.doe.louisiana.gov/view.aspx?id=5492"
8634;"St. Edward the Confessor School";"Jefferson";"4901 West Metairie Avenue";"Metairie";"LA";70001;"Elizabeth Durr, Director";"504-888-6353";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";8634;"http://carefacility.doe.louisiana.gov/view.aspx?id=8634"
850;"The Little School - St. Martin's Episcopal Church";"Jefferson";"2216 Metairie Road";"Metairie";"LA";70001;"Michelle Beauchamp, Director";"504-835-9964";"Child Day Care";"Class B";"No";"Field Trip Only";"8:30a - 3:00p";"8:30a - 3:00p";"8:30a - 3:00p";"8:30a - 3:00p";"8:30a - 3:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";850;"http://carefacility.doe.louisiana.gov/view.aspx?id=850"
571;"The Rocking Chair Day Care";"Jefferson";"821 Haring Road";"Metairie";"LA";70001;"Debra Barrouquere, Director";"504-733-0137";"Child Day Care";"Class B";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";571;"http://carefacility.doe.louisiana.gov/view.aspx?id=571"
953;"Tiny Tot Day Care";"Jefferson";"609-613 Transcontinental Drive";"Metairie";"LA";70001;"Cindy Chauppette, DirectorGertrude Gauthier, Director Designee";"504-888-8852";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";953;"http://carefacility.doe.louisiana.gov/view.aspx?id=953"
15688;"Athania Parkway Early Childhood Center";"Jefferson";"2804 Athania Parkway";"Metairie";"LA";70002;"Kyle Cupit, Director";"504-324-4920";"Child Day Care";"Class B";"No";"No";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15688;"http://carefacility.doe.louisiana.gov/view.aspx?id=15688"
7159;"Beary Cherry Tree of Jeff., Inc.";"Jefferson";"3117 Lake Villa Drive";"Metairie";"LA";70002;"Paula Polito, DirectorFelicia Wilson, Director Designee";"504-455-1950";"Child Day Care";"Class A";"No";"Field Trip Only";"6:00a - 6:30p";"6:00a - 6:30p";"6:00a - 6:30p";"6:00a - 6:30p";"6:00a - 6:30p";"Closed";"Closed";"Child Care";"No";"5 Stars";7159;"http://carefacility.doe.louisiana.gov/view.aspx?id=7159"
9319;"Causeway Head Start Center";"Jefferson";"3420 Causeway Boulevard Suite B";"Metairie";"LA";70002;"Lisa Mitchell, Director";"504-838-1000";"Child Day Care";"Class A";"No";"Field Trip Only";"8:15a - 2:30p";"8:15a - 2:30p";"8:15a - 2:30p";"8:15a - 2:30p";"8:15a - 2:30p";"Closed";"Closed";"Child Care";"No";"2 Stars";9319;"http://carefacility.doe.louisiana.gov/view.aspx?id=9319"
7302;"Children's Carousel Learning and Daycare Center";"Jefferson";"3720 West Esplanade Avenue";"Metairie";"LA";70002;"Gladys George, Director DesigneeJeannne Aymond, Director";"504-454-8844";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"2 Stars";7302;"http://carefacility.doe.louisiana.gov/view.aspx?id=7302"
1015;"Louise Hayem Manheim Nursery School of Congregation Gates of Prayer";"Jefferson";"4000 West Esplanade Avenue";"Metairie";"LA";70002;"Melanie Blitz, Director";"504-885-4339";"Child Day Care";"Class B";"No";"No";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1015;"http://carefacility.doe.louisiana.gov/view.aspx?id=1015"
8864;"Metairie Kids World, Inc.";"Jefferson";"2908 Lake Villa Drive";"Metairie";"LA";70002;"Arlene Franke, DirectorMiram Hodges, Director Designee";"504-887-0736";"Child Day Care";"Class A";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"1 Star";8864;"http://carefacility.doe.louisiana.gov/view.aspx?id=8864"
13794;"St. Angela Merici Preschool";"Jefferson";"835 Melody Drive";"Metairie";"LA";70002;"Susan Morise, Director";"504-835-8491";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";13794;"http://carefacility.doe.louisiana.gov/view.aspx?id=13794"
13202;"Bright Beginnings Child Development Center";"Jefferson";"4428 David Drive";"Metairie";"LA";70003;"Tamari Al Mouzani , DirectorChristina Adams, DirectorSamantha Reff, Director Designee";"504-887-5040";"Child Day Care";"Class A";"No";"Field Trip Only";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"4 Stars";13202;"http://carefacility.doe.louisiana.gov/view.aspx?id=13202"
1037;"Kehoe-France Children Center";"Jefferson";"717 Elise Avenue";"Metairie";"LA";70003;"Kyle France, Director";"504-733-1174";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1037;"http://carefacility.doe.louisiana.gov/view.aspx?id=1037"
16203;"Kehoe-France Little Pioneers";"Jefferson";"712 Elise Avenue";"Metairie";"LA";70003;"Kristin Jenkins, Director";"504-733-1174";"Child Day Care";"Class A";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";16203;"http://carefacility.doe.louisiana.gov/view.aspx?id=16203"
50034;"Little Beautiful Minds";"Jefferson";"2601 David Drive";"Metairie";"LA";70003;"Toniko Brown, Director";"504-888-3978";"Child Day Care";"Class A";"No";"No";"6:30a - 6:30p";"6:30a - 6:30p";"6:30a - 6:30p";"6:30a - 6:30p";"6:30a - 6:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";50034;"http://carefacility.doe.louisiana.gov/view.aspx?id=50034"
1158;"Little Gators Learning Center";"Jefferson";"5708 Airline Highway";"Metairie";"LA";70003;"Allyson Eichhorn, Director";"504-733-5087";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1158;"http://carefacility.doe.louisiana.gov/view.aspx?id=1158"
577;"Memorial Baptist Early Learning Center";"Jefferson";"5701 Veterans Memorial Boulevard";"Metairie";"LA";70003;"Lynn Johnston, Director";"504-455-7635";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";577;"http://carefacility.doe.louisiana.gov/view.aspx?id=577"
11204;"Our Lady of Divine Providence School";"Jefferson";"917 North Atlanta Street";"Metairie";"LA";70003;"Clare Waldo, Director";"504-466-0591";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";11204;"http://carefacility.doe.louisiana.gov/view.aspx?id=11204"
559;"Parkview Baptist Early Learning Center";"Jefferson";"6301 Camphor Street";"Metairie";"LA";70003;"DeShannan Paddock, DirectorTeresa Lind, Director Designee";"504-456-0115";"Child Day Care";"Class A";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"4 Stars";559;"http://carefacility.doe.louisiana.gov/view.aspx?id=559"
897;"Parkway Presbyterian Weekday Schools";"Jefferson";"6200 Camphor Street";"Metairie";"LA";70003;"Marlene Cooke, Director";"504-733-6340";"Child Day Care";"Class B";"No";"Field Trip Only";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";897;"http://carefacility.doe.louisiana.gov/view.aspx?id=897"
812;"St. Matthew's Early Learning Center";"Jefferson";"6017 Camphor Street";"Metairie";"LA";70003;"Jillian Patterson, Director";"504-888-2228";"Child Day Care";"Class B";"No";"Field Trip Only";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";812;"http://carefacility.doe.louisiana.gov/view.aspx?id=812"
16196;"St. Philip Neri Early Learning Center";"Jefferson";"6600 Kawanee Avenue";"Metairie";"LA";70003;"Lori Robinette, Director";"504-887-5600";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";16196;"http://carefacility.doe.louisiana.gov/view.aspx?id=16196"
11588;"The George Cottage @ St. Martin's Episcopal School";"Jefferson";"225 Green Acres Road";"Metairie";"LA";70003;"Nanette Hyatt, Director DesigneeHolly Dalferes, DirectorJennifer Collins, Director Designee";"504-736-9901";"Child Day Care";"Class A";"No";"No";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";11588;"http://carefacility.doe.louisiana.gov/view.aspx?id=11588"
15438;"Advanced Tot Academy LLC";"Jefferson";"1344 Lake Avenue";"Metairie";"LA";70005;"Sherrell Williams, DirectorEllen Joseph-Richard, Director";"504-273-1573";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15438;"http://carefacility.doe.louisiana.gov/view.aspx?id=15438"
814;"Alpha Montessori School";"Jefferson";"301 Canal Street";"Metairie";"LA";70005;"Emmie Tabor, Director";"504-833-2808";"Child Day Care";"Class B";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";814;"http://carefacility.doe.louisiana.gov/view.aspx?id=814"
15456;"CD Early Childhood Center - Baby";"Jefferson";"305 Woodvine Avenue";"Metairie";"LA";70005;"Whitney Brooks, DirectorSue Troyano, Director DesigneeErica Lund, Director Designee";"504-831-4523";"Child Day Care";"Class A";"No";"No";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15456;"http://carefacility.doe.louisiana.gov/view.aspx?id=15456"
11393;"Country Day's Early Childhood Center";"Jefferson";"303 Woodvine";"Metairie";"LA";70005;"Sue Troyano, Director DesigneeWhitney Brooks, DirectorErica Lund, Director Designee";"504-831-4523";"Child Day Care";"Class A";"No";"Field Trip Only";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"4 Stars";11393;"http://carefacility.doe.louisiana.gov/view.aspx?id=11393"
6381;"Edelweiss Montessori Pre-School and Child Care";"Jefferson";"248 Carrollton Avenue";"Metairie";"LA";70005;"Dora Gentinetta, Director";"504-831-3672";"Child Day Care";"Class B";"No";"No";"7:30a - 5:20p";"7:30a - 5:20p";"7:30a - 5:20p";"7:30a - 5:20p";"7:30a - 5:20p";"Closed";"Closed";"Child Care";"No";"No Star Rating";6381;"http://carefacility.doe.louisiana.gov/view.aspx?id=6381"
14762;"LaPetite Nursery and Pre- School Prep";"Jefferson";"1608 Hesiod Street";"Metairie";"LA";70005;"Jaimie Ramelli, DirectorCamille Ennis, Director";"504-833-1327";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";14762;"http://carefacility.doe.louisiana.gov/view.aspx?id=14762"
853;"Little Red Schoolhouse of Metairie";"Jefferson";"2055 Metairie Road";"Metairie";"LA";70005;"Connie Richardson, Director";"504-838-7979";"Child Day Care";"Class B";"No";"No";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";853;"http://carefacility.doe.louisiana.gov/view.aspx?id=853"
281;"Metairie Ridge Presbyterian Church Day Care";"Jefferson";"215 Phosphor Avenue";"Metairie";"LA";70005;"Susan Acosta, Director";"504-831-2887";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";281;"http://carefacility.doe.louisiana.gov/view.aspx?id=281"
15388;"Saint Francis Xavier School";"Jefferson";"215 Betz Place";"Metairie";"LA";70005;"Denise Bonfanti, Director";"504-833-1471";"Child Day Care";"Class B";"No";"No";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15388;"http://carefacility.doe.louisiana.gov/view.aspx?id=15388"
9885;"St. Louis King of France Catholic School";"Jefferson";"1600 Lake Avenue";"Metairie";"LA";70005;"Ashlie Louis, Director";"504-833-8224";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";9885;"http://carefacility.doe.louisiana.gov/view.aspx?id=9885"
15324;"Wee Friends Pre Kinder";"Jefferson";"864 Martin Behrman Avenue";"Metairie";"LA";70005;"Stacey Palumbo, Director";"504-837-9790";"Child Day Care";"Class B";"No";"Field Trip Only";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"7:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15324;"http://carefacility.doe.louisiana.gov/view.aspx?id=15324"
