"title";"street_address";"city";"state";"zip";"QRIS_step";"phone";"category";"ages_served";"id";"DBA";"RR";"C_O";"licensing_specialist";"licensing_specialist_email";"status";"status_date";"capacity";"approval_date";"license_type";"licensed_from";"licensed_to";"accepts_ccps"
"ST. PIERRE, JOY";"14 DRISCOLL LANE";"BERWICK";"ME";3901;3;"(207) 384-5211";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";431097;"THE JOY OF LEARNING";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Renewal in process";"9/29/22";12;"9/13/2019";"Full";"9/28/2020";"9/28/2022";"No"
"GRANT, KRISTI";"65 KEAY ROAD";"BERWICK";"ME";3901;1;"(603) 842-2120";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";572365;"KRISTIE GRANT CHILDCARE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Renewal in process";"8/19/22";12;"7/22/2020";"Full";"8/18/2020";"8/18/2022";"No"
"SANFORD SPRINGVALE YMCA - VIVIAN HUSSEY SCHOOL";"20 BLACKBERRY HILL RD.";"BERWICK";"ME";3901;1;"(204) 324-4942";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";573947;"Andy Orazio CEO, Matthew Ouellett CC Dir";;;"JENNIFER L MARTEL-PETTIT";"jennifer.martel-pettit@maine.gov";"Active";"5/18/21";49;"9/29/2020";"Full";"12/08/2020";"12/08/2022";"Yes"
"BERWICK VILLAGE PRESCHOOL & DAYCARE";"103 SCHOOL STREET";"BERWICK";"ME";3901;1;"(207) 698-1234";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 3<br />Open School Age Slots, 5 years or older: 2<br />";513820;"DONNA BOLSTRIDGE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"7/20/21";24;"5/17/2021";"Full";"7/12/2021";"7/12/2023";"Yes"
"HAMILTON, LYNN";"349 PINE HILL RD";"BERWICK";"ME";3901;1;"(207) 698-1416";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";427444;"CIRCLE TIME PRESCHOOL & CC";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"8/18/22";12;"5/16/2022";"Full";"7/13/2022";"7/13/2024";"Yes"
"BERWICK EARLY LEARNING CENTER";"541 SCHOOL STREET";"BERWICK";"ME";3901;1;"(207) 698-4685";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";321781;"SHARON PATTERSON";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"7/06/21";49;"6/08/2021";"Full";"6/14/2021";"6/14/2023";"Yes"
"DUBE, KAREN";"41 DURANT ROAD";"BERWICK";"ME";3901;1;"(207) 698-4741";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";422846;"Berwicks Building Blocks Preschool";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"6/23/22";12;"4/11/2022";"Full";"6/01/2022";"6/01/2024";"No"
"BUSY BEES CHILDCARE LLC";"2 HAROLD L. DOW HIGHWAY";"ELIOT";"ME";3903;3;"(207) 439-4398";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 1<br />Open Toddler Slots, 1-2 years old: 1<br />Open Preschool Slots, 3-5 years old: 1<br />Open School Age Slots, 5 years or older: 0<br />";578405;"BETHANY STACY";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"5/17/22";20;"3/11/2022";"Full";"3/09/2022";"3/09/2024";"Yes"
"LEAPS & BOUNDS LEARNING CENTER";"2046 STATE ROAD";"ELIOT";"ME";3903;1;"(207) 458-2547";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 1<br />Open Toddler Slots, 1-2 years old: 5<br />Open Preschool Slots, 3-5 years old: 8<br />Open School Age Slots, 5 years or older: 0<br />";631915;"ALAINA KELLEY";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"3/10/21";70;"1/04/2021";"Full";"1/06/2021";"1/06/2023";"No"
"SEACOAST WALDORF SCHOOL";"403 HAROLD L DOW HIGHWAY";"ELIOT";"ME";3903;1;"(207) 686-3140";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 75<br />";667284;"Jennifer Coad";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Renewal in process";"7/13/22";75;"11/06/2020";"Full";"11/06/2020";"7/12/2022";"No"
"RAITT, BROOKE";"2135 STATE ROAD";"ELIOT";"ME";3903;1;"(207) 994-4213";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";753417;"TRUE COLORS CHILDCARE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"12/29/21";10;"12/29/2021";"Provisional";"12/23/2021";"12/23/2022";"No"
"GREENER, AMY";"18 FROST HILL ROAD";"ELIOT";"ME";3903;1;"(603) 978-3431";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 2<br />";684497;"AMY'S FAMILY HOMECARE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"8/01/22";12;"4/29/2022";"Full";"6/21/2022";"6/21/2024";"Yes"
"SACHARCZYK, DESIREE";"43 BUCK DRIVE";"ELIOT";"ME";3903;1;"(207) 752-4152";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";755755;"OUR VILLAGE FAMILY CHILD CARE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"1/06/21";12;"12/03/2020";"Full";"12/31/2020";"12/31/2022";"No"
"SWEET PEA CHILDCARE";"2046 STATE ROAD";"ELIOT";"ME";3903;1;"(207) 686-3149";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";758062;"Ashley Irons & Deborah Erickson-Irons";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Renewal in process";"7/01/22";70;"5/13/2021";"Provisional";"6/30/2021";"6/30/2022";"No"
"GOOD TO GROW CHILD CARE";"64 HAROLD L. DOW HIGHWAY";"ELIOT";"ME";3903;1;"(207) 703-2270";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";750322;"TEGAN TESKE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"6/14/21";49;"6/14/2021";"Full";"2/02/2021";"2/02/2023";"No"
"STEPPING STONES LEARNING CENTER";"230 BEECH STREET";"ELIOT";"ME";3903;1;"(207) 438-9004";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 1<br />Open Toddler Slots, 1-2 years old: 5<br />Open Preschool Slots, 3-5 years old: 8<br />Open School Age Slots, 5 years or older: 0<br />";683772;"Alaina Kelley";;;"Pattie Collins";"Pattie.Collins@maine.gov";"Active";"10/17/22";90;"10/27/2021";"Full";"12/28/2021";"12/28/2023";"No"
"YORK COUNTY COMMUNITY ACTION CORPORATION - KITTERY HEAD START";"120  ROGERS RD";"KITTERY";"ME";3904;4;"(207) 432-1809";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";254465;"Barbara Crider/ Cecily Silva";;;"Catherine Paglio";"Catherine.A.Paglio@maine.gov";"Active-On Hold";"9/26/22";20;"3/22/2022";"Full";"5/30/2022";"5/30/2024";"No"
