"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
1032257;"Cape Cod Child Development Mashpee Preschool Rm 171";"152 Old Barnstable Rd";"Mashpee";"MA";2649;"BARNSTABLE";"5085391520x171";"http://www.cccdp.org/";"info@cccdp.org";"Our mission is to serve as a community resource that provides childcare, educational and developmental intervention, and family support services. We offer child-focused, family-centered programs that are affordable, accessible and of the highest quality. The agency staff and associated professionals work in partnership with families and others in the community to build on each child’s unique strengths, ensuring positive growth and development.";"http://www.cccdp.org/";;;"http://cccdp.org/children/about-2/about/employment/";"http://cccdp.org/children/wp-content/uploads/2013/03/2013-Enrollment-Application.pdf";;"n";"y";"y";"y";"n";"n";"http://cccdp.org/children/wp-content/uploads/2012/08/logo.png";"http://cccdp.org/children/wp-content/uploads/2012/07/KNIGHT_120320_1004.jpg";"http://cccdp.org/children/wp-content/uploads/2012/07/KNIGHT_120320_0458.jpg";"http://cccdp.org/children/wp-content/uploads/2012/07/KNIGHT_120320_9838.jpg";"http://cccdp.org/children/wp-content/uploads/2012/07/KNIGHT_120320_1036.jpg";;
653810;"Thai, Chi";"WILDER ST";"LOWELL";"MA";1851;"MIDDLESEX";;;;;;;;;;;;;;;;;;;;;;"Y";
654446;"Touchette, Deborah";"GALLOWS HILL RD";"SALEM";"MA";1970;"ESSEX";;;;;;;;;;;;;;;;;;;;;;"Y";
656483;"Little Hands Academy";"31B UNION AVE";"SUDBURY";"MA";1776;"MIDDLESEX";9784407220;"http://www.lhasudbury.com/";;;"http://www.lhasudbury.com/";;;;"http://www.lhasudbury.com/lha/enrollment-forms-3/";"http://www.lhasudbury.com/lha/wp-content/uploads/2014/11/Parent-Handbook-Revised.pdf";"n";"n";"y";"y";"y";"y";"http://www.lhasudbury.com/wp-content/uploads/2014/12/LHSLOGO1.png";;;;;;
656484;"First Steps Early Learning Center";"23 WARREN AVE STE 180";"WOBURN";"MA";1801;"MIDDLESEX";3392276867;"http://www.firststepselc.com/";"info@firststepselc.com";"First Steps Early Learning Center was established to provide a fun, safe, nurturing learning environment to assist children in their developmental stages from infancy through Pre-Kindergarten.  The staff at First Steps believe that all children develop at different stages and learn through different methods. We believe in providing a nurturing family environment for our children so that they can feel safe and comfortable. We feel that once the child feels that he/she is part of a family, they can be confident and excel in their development. Our teachers encourage social, physical, language and cognitive development through reading, art, music, dramatic arts, math, science, dance and play. We believe that our children and parents are an extended family of our staff here at First Steps and hope that you feel the same as well.";"http://www.firststepselc.com/";"https://www.facebook.com/firststepselc";"Mon - Fri: 
7:30 am - 6:00 pm";"http://www.firststepselc.com/index.php/careers";;;"y";"y";"y";"y";"y";"y";"http://www.firststepselc.com/images/stories/logo.png";"http://www.firststepselc.com/images/family1.jpg";"http://www.firststepselc.com/images/infants_efemelaniekatie.jpg";"http://www.firststepselc.com/images/efesnack.jpg";"http://www.firststepselc.com/images/leapfrogyusufart.jpg";;
656485;"Blossom Street Head Start Center";"110 BLOSSOM ST # 124";"LYNN";"MA";1902;"ESSEX";7815964140;"http://www.leoinc.org/#!child-development-programs/cnf5";;"A preschool program for children ages 3-5, Head Start prepares children for kindergarten, to be ready physically, emotionally, cognitively and socially. With trained staff specialized in early education, children participate in individual and group activities. This free program is available for those who meet income eligibility and live in Lynn, Lynnfield, Marblehead, Nahant, Saugus or Swampscott and prioritizes the most urgent needs including homeless children, children in foster care, or children with disabilities, for example.";"http://www.leoinc.org/#!child-development-programs/cnf5";;;;"http://media.wix.com/ugd/bce4b1_d709df1aa2df4875a7922db93239a676.pdf";;"n";"n";"y";"y";"n";"n";"http://static.wixstatic.com/media/bce4b1_0a1823c02e154b2ab57b66f0257b3264.jpg_srz_p_453_77_75_22_0.50_1.20_0.00_jpg_srz";"http://static.wixstatic.com/media/bce4b1_80ba6c424ad54335bea9be3c29705aff.jpg_srz_p_285_367_75_22_0.50_1.20_0.00_jpg_srz";"http://static.wixstatic.com/media/bce4b1_cd2a5138e2aa4ae6b57b56eb184d5232.jpg_srz_p_285_324_75_22_0.50_1.20_0.00_jpg_srz";"http://static.wixstatic.com/media/bce4b1_0d1bd539a720461082d46cc642eabd58.jpg_srz_p_285_318_75_22_0.50_1.20_0.00_jpg_srz";;;
656486;"Kesher, Inc.";"1991 MASSACHUSETTS AVE";"CAMBRIDGE";"MA";2140;"MIDDLESEX";6175760830;;;;;;;;;;;;;;;;;;;;;"Y";
656487;"Bright Start After School @ Bishop";"25 COLUMBIA RD";"ARLINGTON";"MA";2474;"MIDDLESEX";7816413701;"http://www.arlington.k12.ma.us/bishop/afterSchoolProgramsBrightStart.asp";"BrightStartAfter@aol.com";"BRIGHT START offers children a unique blend of challenging activities within a warm, loving, secure setting. Director, Andrea Gingrande, who founded the school in 1991, manages Bright Start and teaches in the program along with her excellent staff. Previously, Andrea was director of Acton's K-6 Academically Talented program. Andrea has a M.Ed. in Gifted Education from Johns Hopkins University and was an Education Policy Fellow in Washington, D.C. She has taught in Massachusetts for over 26 years.";"http://www.arlington.k12.ma.us/bishop/afterSchoolProgramsBrightStart.asp";;"Monday – Friday 2:15 – 6:00 p.m. ";;;;"n";"n";"n";"n";"y";"y";"http://www.arlington.k12.ma.us/bishop/images/brightStartLogo.jpg";"http://www.arlington.k12.ma.us/bishop/images/jeankids.jpg";;;;;
656489;"The Goddard School";"90 N MEADOWS RD";"MEDFIELD";"MA";2052;"NORFOLK";5083596263;"http://www.goddardschool.com/boston/medfield-meadows-road-ma";;"Our approach is based on accepted research that clearly indicates the deepest, most genuine learning occurs for children through play and fun activities, lovingly guided by highly trained teachers. We deploy the talents of highly trained teachers and educational directors to prepare your child for social and academic success. Our Educational Advisory Board and Goddard Systems University ensure our faculty maintains the highest standards in early childhood education. Your child is offered ample opportunities to develop his or her natural curiosity and creativity through exploration and discovery, guided by caring teachers who cultivate these moments for lasting understanding. Every school is co-led by an on-site owner and education director who work together to make sure every family has a wonderful experience. This distinctive model also ensures children feel known and appreciated for their individual gifts and personalities. ";"http://www.goddardschool.com/boston/medfield-meadows-road-ma";;;"http://www.goddardschool.com/boston/medfield-meadows-road-ma/careers";;;"y";"y";"y";"y";"y";"y";;;;;;;
656491;"First Step Child Care Center Inc.";"1078 BELMONT ST";"WATERTOWN";"MA";2472;"MIDDLESEX";6174846688;"http://www.1stepchildcare.com/";;"Philosophy
    First Step believes that each child is a unique individual with feelings, emotions and opinions.
    We believe that children should feel safe and loved when away from their parents.
    We encourage children to explore, learn and grow through activities and opportunities.
    First Step believes that children learn from a setting that is safe, educational, nurturing, structured as well as challenging.
    We encourage children to make their own choices. This process will help children build self-esteem and confidence. Every child is a unique individual who has the right to a happy childhood.
    At First Step, we believe that parents involvement  is a crucial part of a child’s emotional and social growth. We encourage parents to be involved in all aspects, recreational, educational and administrative.
    At First Step we believe a happy environment makes a happy child.

";"http://www.1stepchildcare.com/";;"7am-6pm";;;;"y";"y";"y";"y";"n";"n";"http://www.1stepchildcare.com/sites/default/files/firststepszen_logo.png";"http://www.1stepchildcare.com/images/baby-view.jpg";"http://www.1stepchildcare.com/images/toddler-accessories2.jpg";"http://www.1stepchildcare.com/images/preschool-halloween2.jpg";;;
