"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"detail";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
1015785;"SS. PETER AND PAUL SCHOOL";"317 BALDIE";"IONIA";"MI";48846;"IONIA";"(616)527-3561";"http://www.ssppcatholic.com/";"jbaty@ssppcatholic.com";"SS. Peter and Paul School, SSPP, is a preschool through eighth grade Catholic elementary school, enrolling approximately 150 Catholic and non-Catholic students, located in the city of Ionia. 

Through a combination of strong academics, parent involvement, and faith-based experiences, SSPP strives to meet the individual needs of our students academically and spiritually.";"http://www.ssppcatholic.com/";;;;"http://www.ssppcatholic.com/registration";;"n";"n";"y";"y";"y";"y";"http://ssppcatholic.com/yahoo_site_admin/assets/images/Catholic_schools_week_csw_logo_2014.11962923_std.jpg";"http://ssppcatholic.com/yahoo_site_admin/assets/images/SSPP_school_students.6573712_std.png";"http://www.ssppcatholic.com/yahoo_site_admin/assets/images/IMG_0835.4384142_large.JPG";"http://www.ssppcatholic.com/yahoo_site_admin/assets/images/IMG_0833.4384250_large.JPG";"http://www.ssppcatholic.com/yahoo_site_admin/assets/images/IMG_0810.4384108_large.JPG";;
201320;"Cots On Wyoming";"16630 Wyoming";"Detroit";"MI";48221;"WAYNE";"313-8623234";;;;;;;;;;;;;;;;;;;;;"Y";
201326;"Walkerville Schools Preschool";"170 North St";"Walkerville";"MI";49459;"OCEANA";"231-8735727";"http://www.wes.walkk12.org/?PageName=%27Contact%27";;"Walkerville Elementary School houses students in grades kindergarten through five. In addition, Walkerville operates a Michigan School Readiness Program (MSRP) preschool for students that are four years old by December 1. Students at Walkerville Elementary enjoy small class sizes taught by dedicated and caring teachers and paraprofessionals. In addition to basic education, Walkerville children explore the following: vocal music, band, art, and physical education. ";"http://www.wes.walkk12.org/?PageName=%27Contact%27";;"8:00 am - 2:50 pm";;;"http://www.wes.walkk12.org/?PageName=%27Handbook%27";"n";"n";"y";"y";"y";"y";;;;;;;
201332;"His Little Lambs";"4941 W Center";"Millington";"MI";48746;"TUSCOLA";"989-8714581";;;;;;;;;;;;;;;;;;;;;"Y";
1016688;"HUDSONVILLE EARLY CHILDHOOD, BALDWIN";"3835 BALDWIN STREET";"HUDSONVILLE";"MI";49426;"OTTAWA";"(616)797-0842";"http://hpsearlychildhood.edublogs.org/";;"We believe that it is important for children to have experiences with peers and caring adults in a fun, safe and positive environment. Early learning opportunities that occur through play-based, child-focused programs prepare children to be successful, life-long learners.";"http://hpsearlychildhood.edublogs.org/";;" Monday-Friday from 6:30am-6:00pm
";;"http://hpsearlychildhood.edublogs.org/20142015-registration-forms/";"http://hpsearlychildhood.edublogs.org/files/2013/05/Parent-Handbook-xdojs2.pdf";"n";"n";"y";"y";"y";"y";;;;;;;
201342;"Dorr Kid Care and Preschool";"4159 18th Street";"Dorr";"MI";49323;"ALLEGAN";"269-7929153";;;;;;;;;;;;;;;;;;;;;"Y";
201347;"Days of Discovery";"3473 Huron Road";"Bay City";"MI";48706;"BAY";"989-6671853";"https://www.facebook.com/pages/Days-Of-Discovery-Day-Care-Center/119704738056927?sk=info&ref=page_internal";"daysdiscovery@yahoo.com";;"https://www.facebook.com/pages/Days-Of-Discovery-Day-Care-Center/119704738056927?sk=info&ref=page_internal";"https://www.facebook.com/pages/Days-Of-Discovery-Day-Care-Center/119704738056927?sk=info&ref=page_internal";"Mon - Fri: 6:30 am - 6:30 pm";;;;"y";"y";"y";"y";"n";"n";;"https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-prn2/v/t1.0-9/252377_464064330287631_405108175_n.jpg?oh=efa838ec4034197f764121f6cd7b8d47&oe=54E53902&__gda__=1423185996_e45c1382efe855b445884781d778d4da";;;;;
201362;"Haas Elementary";"7347 N. Genesee Road";"Genesee";"MI";48437;"Genesee";"810-5911450";"http://www.geneseeschools.org/index.php?option=com_content&task=view&id=77&Itemid=80";;" On behalf of the teachers, support staff, and administration, it is my pleasure to welcome you to Haas Elementary. Wherever you are in the 8-year journey from preschool through 6th grade, it is our intent to make your school experience the very best possible.

Haas offers a small school setting, where staff, students, and parents form a close-knit community, and where staff members share a deep sense of personal responsibility for our students' success.

Our staff is always happy to offer whatever assistance you may need to make school a successful, satisfying, and memorable experience. We are glad you're here! ";"http://www.geneseeschools.org/index.php?option=com_content&task=view&id=77&Itemid=80";;;;;"http://www.geneseeschools.org/documents/elementary/Haas%20Elementary%20Handbook%202014-2015.pdf";"n";"n";"y";"y";"y";"y";;;;;;;
201367;"Menominee Schools Early Childhood Program";"1800 18th Ave";"Menominee";"MI";49858;"MENOMINEE";"906-8633605";;;;;;;;;;;;;;;;;;;;;"Y";
201384;"Little Hands Day Care Center";"1328 N Milwaukee Avenue";"Iron Mountain";"MI";49801;"DICKINSON";"906-7761380";;;;;;;;;;;;;;;;;;;;;"Y";
201390;"A and W Day Care Center";"6565 Greenfield";"Detroit";"MI";48228;"WAYNE";"313-5810665";;;;;;;;;;;;;;;;;;;;;"Y";
