"License No";"Name";"Address";"County";"City";"Zip";"Phone Number";"Type";"Capacity";"Status";"Services";"Age Group Served";"Months Of Operation";"Days & Hours Of Operation";"MDHS Subsidy";"Note"
"01CCPFWA-6863";"CENTER FOR LEARNING ACHIEVEMENT STUDENT";"151 PILGRAM BLVD";"ADAMS";"NATCHEZ";39120;"769-355-2195";"Center based Child Care Facility";41;"ACTIVE (07/01/2023 - 06/30/2024)";"School Age After School, Full Day, Special Needs,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:00 PM";"Yes";
"01CDPF-6149";"CROWNS & TIARAS ACADEMY";"162 E FRANKLIN ST";"ADAMS";"NATCHEZ";39120;"601-653-0012";"Center based Child Care Facility";73;"ACTIVE (05/01/2023 - 04/30/2024)";"Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:30 PM";"Yes";
"01CBGF-7475";"FALLIN EARLY LEARNING CENTER";"315 SGT PRENTISS DR";"ADAMS";"NATCHEZ";39120;"601-445-2902";"Center based Child Care Facility";30;"ACTIVE (08/01/2023 - 07/31/2024)";"Full Day";"3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:45 AM To 03:00 PM";"No";
"01CCPFA-7552";"FIRST CLASS ACADEMY";"126 CROWN CT";"ADAMS";"NATCHEZ";39120;"601-653-0664";"Center based Child Care Facility";48;"ACTIVE (09/01/2023 - 08/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:30 PM";"Yes";
"01CDPFSA-0560";"HANSEL & GRETEL CHILD DEVELOPMENT CENTER";"180B SGT PRENTISS DR";"ADAMS";"NATCHEZ";39120;"601-442-7774";"Center based Child Care Facility";75;"ACTIVE (12/01/2022 - 11/30/2023)";"School Age After School, Full Day, Summer Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:00 PM";"Yes";
"01CDRF-0786";"HOLY FAMILY ACADEMY";"8 ORANGE AVE";"ADAMS";"NATCHEZ";39120;"601-442-3947";"Center based Child Care Facility";100;"ACTIVE (12/01/2022 - 11/30/2023)";"Full Day,Accepts MDHS Subsidy Children";"2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 05:30 PM";"Yes";
"01CDRM-0206";"JEFFERSON STREET UMC PRESCHOOL";"511 JEFFERSON ST";"ADAMS";"NATCHEZ";39120;"601-445-8098";"Center based Child Care Facility";60;"ACTIVE (01/01/2023 - 12/31/2023)";"Half Day Morning";"1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Sep, Oct, Nov, Dec";"Monday-Friday 09:00 AM To 12:00 PM";"No";
"01CDPFA-2196";"KID'S COLLEGE CHILD CARE AND LEARNING CENTER";"116 PILGRIM RD";"ADAMS";"NATCHEZ";39120;"601-445-5105";"Center based Child Care Facility";70;"ACTIVE (02/01/2023 - 01/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 04:00 PM";"Yes";
"01CCPF-6769";"LITTLE BLESSING DAYCARE";"19 RIDGEWAY RD";"ADAMS";"NATCHEZ";39120;"601-445-5300";"Center based Child Care Facility";43;"ACTIVE (09/01/2023 - 08/31/2024)";"Full Day";"Infant Care, 1 yr old, 2 yr old, 3 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 05:30 PM";"No";
"UnLicensed";"MATTIE THOMAS";"354 STATE PARK RD # A";"ADAMS";"NATCHEZ";39120;"601-493-0158";"Home based Child Care Facility";5;"ACTIVE";"Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 06:00 PM";"Yes";"Unlicensed providers are monitored annually by the Mississippi State Department of Health but are not licensed by the Mississippi State Department of Health."
"UnLicensed";"MAXINE CLAY";"1403 SUNSET BLVD";"ADAMS";"NATCHEZ";39120;"601-442-9565";"Home based Child Care Facility";5;"ACTIVE";"Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 06:00 PM";"Yes";"Unlicensed providers are monitored annually by the Mississippi State Department of Health but are not licensed by the Mississippi State Department of Health."
"License Exempt";"MCLAURIN ELEMENTARY SCHOOL (NATCHEZ-ADAMS SCHOOL DISTRICT)";"170 SEARGENT S PRENTISS DR";"ADAMS";"NATCHEZ";39120;"601-445-2953";"Center based Child Care Facility";40;"ACTIVE";"Accepts MDHS Subsidy Children";"3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 08:00 AM To 02:45 PM";"Yes";
"01CDPF-7671";"NATCHEZ CHRISTIAN ACADEMY";"8 COVINGTON RD";"ADAMS";"NATCHEZ";39120;"601-653-0220";"Center based Child Care Facility";100;"ACTIVE (08/01/2023 - 07/31/2024)";"Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:00 PM";"Yes";
"01CDPFSOA-2082";"PLAYSCHOOL CHILDCARE & LEARNING CENTER";"25 E FRANKLIN ST";"ADAMS";"NATCHEZ";39120;"601-445-9277";"Center based Child Care Facility";58;"ACTIVE (04/01/2023 - 03/31/2024)";"School Age After School, Full Day, Half Day Morning & Afternoon, Summer Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:15 AM To 05:30 PM";"Yes";
"01CDRFSWA-0267";"PRESBYTERIAN PLAYSCHOOL";"400 STATE ST";"ADAMS";"NATCHEZ";39120;"601-445-0700";"Center based Child Care Facility";91;"ACTIVE (08/01/2023 - 07/31/2024)";"School Age After School, Full Day, Summer Day, Special Needs,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:30 PM";"Yes";
"01CFPFA-0207";"PRINCE STREET DAYCARE CENTER";"3 PRENTISS ST";"ADAMS";"NATCHEZ";39120;"601-445-9428";"Center based Child Care Facility";218;"ACTIVE (12/01/2022 - 11/30/2023)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 06:30 PM";"Yes";
"01CFPHE-7755";"THOMPSON HEAD START CENTER";"1038B N UNION ST";"ADAMS";"NATCHEZ";39120;"601-660-4683";"Center based Child Care Facility";320;"ACTIVE (04/01/2023 - 03/31/2024)";"Early Head Start, Head Start";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 03:30 PM";"No";
"02CDIHE-6942";"CORINTH HEAD START";"700B CRATER ST";"ALCORN";"CORINTH";38834;"662-287-0317";"Center based Child Care Facility";100;"ACTIVE (12/01/2022 - 11/30/2023)";"Early Head Start, Head Start";"2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 03:30 PM";"No";
"02CFRFSA-1935";"CROSSROADS LEARNING CENTER";"2037 HIGHWAY 72 E ANX";"ALCORN";"CORINTH";38834;"662-594-8443";"Center based Child Care Facility";181;"ACTIVE (08/01/2023 - 07/31/2024)";"School Age After School, Full Day, Summer Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 05:30 AM To 06:00 PM";"Yes";
