"License No";"Exam Type";"Begin Date";"End Date";"Exam Status";"Text";"Report"
"01CCPFWA-6863";"Renewal";"4/13/2023";"4/15/2023";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=zoKPHY3HgL1QTwOv3CmiDXORxwIaOFf0QF%2b2J4sUFVk%3d"
"01CCPFWA-6863";"Mid-Year";"10/5/2022";"10/5/2022";"Fail";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=8aj7L0UND3tG7tFWrcfb0o9i0ICd%2bWtbYFkMC5Xwj5E%3d"
"01CCPFWA-6863";"Renewal";"4/27/2022";"4/28/2022";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=mIg5GQnkbz%2bvkpG2CVHxWe9dTvNahJ%2fBS2YGGK9thTE%3d"
"01CCPFWA-6863";"Mid-Year";"10/18/2021";"10/18/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=qKcKggmpDCV%2bD2h0yk671Q%3d%3d"
"01CCPFWA-6863";"Renewal";"4/9/2021";"4/9/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=B8vl%2frBGApYEGgkq%2fC0hdA%3d%3d"
"01CCPFWA-6863";"Mid-Year";"10/30/2020";"10/30/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=OwFu9c%2fUw0CE2cAg6Y%2f3DCSb8Qe7k3yXclopjJNbd4Q%3d"
"01CCPFWA-6863";"Renewal";"7/31/2020";"7/31/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=9hhC1rc6SvU6S44GUOWbQQ%3d%3d"
"01CCPFWA-6863";"Mid-Year";"10/22/2019";"10/22/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=HRnQpZDs2MOseBWuAXxki4Yt18QlMi74OZoy4wAZxvQ%3d"
"01CCPFWA-6863";"Renewal";"4/15/2019";"4/15/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=qxlDo66g439wGA4x29Dehwze4rUfZ5JMEHCapHT9zJc%3d"
"01CCPFWA-6863";"Mid-Year";"10/30/2018";"10/30/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=wsy4gkxsm30rdlPigJSIhjsPBQcR4FeZ4t%2bfEp95Nio%3d"
"01CCPFWA-6863";"Renewal";"4/19/2018";"4/19/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=nFGURxmV7Z6ugrDKZtCBbQshiIH7Dq93Q2VXkey5xPs%3d"
"01CCPFWA-6863";"Recurring";"10/27/2017";"10/27/2017";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=Fwo9dPtRSi0n0y3XP7Yr3w%3d%3d"
"01CDPF-6149";"Mid-Year";"8/11/2023";"8/11/2023";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=oWwhMKha7u%2biR5OJibBemg%3d%3d"
"01CDPF-6149";"Follow Up";"3/20/2023";"3/20/2023";"Pass Pending";"Inspection - Follow up";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=xtN3cwI7TK7Dqwv2XRd5%2bA%3d%3d"
"01CDPF-6149";"Renewal";"2/15/2023";"2/16/2023";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=gXhAo985tJh9NmHTQlCSbQ%3d%3d"
"01CDPF-6149";"Mid-Year";"8/2/2022";"8/4/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=xRurSqPqVIxszshePCAV7p8sABCvj%2fL4iwyJP3%2bB20U%3d"
"01CDPF-6149";"Renewal";"2/7/2022";"2/8/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=LXw%2bXLeQOk45I7VDzYRby6aJlIyIT%2fZ1X9y4s7NpEjo%3d"
"01CDPF-6149";"Mid-Year";"8/12/2021";"8/12/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=GgYADRV%2bDo%2fw8d39%2bVnFR6aPKBS79nRD1yXwm3bPVk8%3d"
"01CDPF-6149";"Renewal";"2/25/2021";"2/25/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=TTxPo4hj9dANXreRc1hC6gRJcfiYmhe6QeRBk93W4d0%3d"
"01CDPF-6149";"Renewal";"2/28/2020";"2/28/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=PoWCBhu2kRUTzkfL17ltqhx66gu2Xy9Uzk6I9gzxSNc%3d"
"01CDPF-6149";"Mid-Year";"8/27/2019";"8/27/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=b8IPjKG8ejnG3Fz8oh0dYrybi1Usw3HqYPXCq3Wkong%3d"
"01CDPF-6149";"Renewal";"2/5/2019";"2/5/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=g3knsu5SoqgQeykkUpc6cQ%3d%3d"
"01CDPF-6149";"Mid-Year";"8/7/2018";"8/7/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=4t3Vho7Yr99bcNau9beFvmBLMvPLFNzQnYRqzK1IMN0%3d"
