"Name";"City";"County";"Zip";"Address";"Phone";"Email";"Type of Care";"License Effective Date";"License Expiration Date";"Facility Total Capacity";"Facility Age Range";"Hours of operation";"UrlID";"Mailing Address";"Mailing City";"Mailing State";"Mailing ZIP";"Email2";"Director";"Child Care Specialist";"ID"
"ADAIR COUNTY R-I SCHOOL DISTRICT";"NOVINGER";"ADAIR";"63559-2477";"600 ROMBAUER AVE ";"(660) 488-6411";;"CHILD CARE CENTER";"08/28/2021";;20;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001852026";" ";;;;"rchase@novinger.k12.mo.us";"CHASE, RACHAEL JUNE";"ELLEN DONOHO";1852026
"BRIGHT BEGINNINGS LEARNING CENTER LLC";"KIRKSVILLE";"ADAIR";"63501-1273";"1123 N OSTEOPATHY STE A ";"(660) 665-2504";;"CHILD CARE CENTER";"08/28/2021";;54;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002611310";" ";;;;"bbitcandrea@yahoo.com";"ORWIG, ANDREA JEAN";"BETHANY CARREL DUCKWORTH";2611310
"DAHLMAN, LISA MARIE";"KIRKSVILLE";"ADAIR";"63501-0";"416 N FLORENCE ";"(660) 349-5220";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 10 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001407016";" ";;;;"jldahlman5@gmail.com";"DAHLMAN, LISA MARIE";"ELLEN DONOHO";1407016
"FAITH LUTHERAN PRESCHOOL AND EXTENDED CA";"KIRKSVILLE ";"ADAIR";63501;"1820 S BALTIMORE ST ";"(660) 665-8166";;"Sch";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000197175";;;;;;;;197175
"KIRKSVILLE CHILD DEVELOPMENT CENTER, INC.";"KIRKSVILLE";"ADAIR";"63501-4605";"2805 S HALLIBURTON ST ";"(660) 665-5232";;"CHILD CARE CENTER";"08/28/2021";;23;"24 MONTHS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001992536";" ";;;;"kvillecdc@hotmail.com";"MAGRUDER, HANNAH NOELLE";"BETHANY CARREL DUCKWORTH";1992536
"KIRKSVILLE R-III SCHOOL DISTRICT";"KIRKSVILLE";"ADAIR";63501;"1405 S COTTAGE GROVE ";"(660) 626-1459";;"CHILD CARE CENTER";"08/28/2021";;175;"6 WEEKS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002011727";" ";;;;"mklocke@kirksville.k12.mo.us";"KLOCKE, MELISSA ROSE";"ELLEN DONOHO";2011727
"NORTHEAST MISSOURI COMMUNITY ACTION AGENCY";"KIRKSVILLE";"ADAIR";63501;"915 W LOCUST ";"(660) 665-6284";;"CHILD CARE CENTER";"04/20/2022";;40;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000670644";" ";;;;"ssullivan@capnemo.org";"SULLIVAN, SHEILA DENISE";"BETHANY CARREL DUCKWORTH";670644
"NORTHEAST MISSOURI COMMUNITY ACTION AGENCY";"KIRKSVILLE";"ADAIR";"63501-3986";"1011 S JAMISON ST ";"(660) 665-7780";;"CHILD CARE CENTER";"08/28/2021";;52;"6 WEEKS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002152834";;;;;;;;2152834
"NORTHEAST MISSOURI COMMUNITY ACTION AGENCY";"KIRKSVILLE";"ADAIR";"63501-5044";"200 PFEIFFER AVE ";"(660) 665-9855";;"CHILD CARE CENTER";"08/28/2021";;12;"BIRTH - 2 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002817170";" ";;;;"cbass@capnemo.org";"BASS, CRYSTAL KAY";"BETHANY CARREL DUCKWORTH";2817170
"SHINING STAR'S CHILD CARE";"KIRKSVILLE";"ADAIR";"63501-2565";"703 MEADOW LN ";"(660) 292-0763";;"FAMILY HOME";"08/28/2021";;10;"2 MONTHS - 8 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002764709";" ";;;;"kclark1394@gmail.com";"HARRISON, KENDRA NICOLE";"BETHANY CARREL DUCKWORTH";2764709
