id;name;address;city;state;zip;county;phone;main website;email;details;location url;facebook page;business hours;career/employment url;application/registration url;parent handbook url;infant (under 12 months);toddler (1-2yrs);preschools (2-3yrs);pre-kindergarden(4yr);before/afterschools;camps;logo url (only small logo if available);pictures url 1;picture url 2;picture url 3;picture url 4;bad url?;
1101552;GOOD SHEPHERD LUTHERAN SCH. ASSN.;13220 N. MAIN STREET;ELBERTA;AL;36530;BALDWIN;(251)987-1966;http://www.goodshepherdlutheran-sch.com/;info@goodshepherdlutheran-sch.com;"Our Mission:
To provide a Christian Education for churched and
un-churched families so that children can grow spiritually,
academically, physically, emotionally and socially
in a Christ-centered community. 
";http://www.goodshepherdlutheran-sch.com/;;8:00 – 3:00;;http://www.goodshepherdlutheran-sch.com/enrollment.html;;n;n;y;y;n;n;http://www.goodshepherdlutheran-sch.com/uploads/3/2/8/9/3289592/2984648.png?192;http://www.goodshepherdlutheran-sch.com/uploads/3/2/8/9/3289592/2965919.jpg;;;;;
1101496;AMBASSADORS FOR CHRIST MINISTRY;164 EAST SOUTH BLVD.;MONTGOMERY;AL;36105;MONTGOMERY;(334)284-2395;;;;;;;;;;;;;;;;;;;;;Y;
1101495;ABRAMS ELEMENTARY---JCCDC--HS/EHS CENTER;1200 23-RD STREET NORTH;BESSEMER;AL;35020;JEFFERSON;(205)432-3140;;;;;;;;;;;;;;;;;;;;;Y;
1101494;ABC ENRICHMENT & LEARNING CENTER;181 LONG ST;LYNN;AL;35575;WINSTON;(205) 893-5328;https://www.facebook.com/ABCenrichmentcenter/info?tab=page_info;;"A State Licensed Child Care Facility located in Lynn, Al.
Operating Hours: 6am-5:30pm
Ages: 6 weeks to 11 years
Telephone Number: 205-893-5328";https://www.facebook.com/ABCenrichmentcenter/info?tab=page_info;https://www.facebook.com/ABCenrichmentcenter/info?tab=page_info;"Mon - Fri: 
6:00 am - 5:30 pm";;;;y;y;y;y;y;y;https://scontent-sin.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/1900032_534204410026463_1059215948_n.jpg?oh=6742794f0e0225284eef8e74872993f9&oe=5575A17D;https://scontent-sin.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/s720x720/10447835_760195987427303_6347008899729275557_n.jpg?oh=bae9dc4e9fda4b44c687336c0cd2feed&oe=55B6A128;https://scontent-sin.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s720x720/10675679_740690962711139_157935791062696349_n.jpg?oh=15380593b2a7a849b569e42ce57a9060&oe=557A5CAD;https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/s720x720/1510647_740689419377960_7286231559984463951_n.jpg?oh=0d13863c5b0cfe578a6a2118829e4442&oe=55B01071&__gda__=1436881910_7012e4c9d49e31130a83e0c92da18782;https://scontent-sin.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/s720x720/10422592_770885376358364_4826157366817093533_n.jpg?oh=d25b6d98b5a9e4de390931cf86d7844f&oe=5570DEAC;;
1101493;ABC ACADEMY CHILDCARE CENTER;1303 QUARRY ROAD;SYLACAUGA;AL;35150;TALLADEGA;(256)626-4705;;;;;;;;;;;;;;;;;;;;;Y;
1101492;A BETTER WORLD BIBLE MINISTRY;341 EAST PETAIN STREET;PRICHARD;AL;36610;Mobile;(251)457-0434;;;;;;;;;;;;;;;;;;;;;Y;
1101491;"""BEE"" SMART TUTORIAL & CHILD DEV CTR";1738 WEST 3RD STREET;MONTGOMERY;AL;36106;MONTGOMERY;"(334) 356-9201

(334) 303-2627";http://www.beesmart1.com/;beesmarttutoring@hotmail.com;"Our goal is to give students a chance at a brighter future. With the inspiration and academic help we offer, students can quickly catch up in school, get ahead and develop the skills and self-esteem to be successful in life.

Why put off for tomorrow what we can do today?

Failure is not an option. Join us at ""Bee"" Smart After School Tutorial Services. We tutor from your child's school curriculum, utilizing their textbooks, worksheets and homework. We will contact their teachers, with your permission, if necessary, to discuss areas of concerns in their academics.

 We offer certified teachers, degreed professionals, qualified experienced tutors and trained staff that provides small group and one-on-one tutoring and homework assistance in a comfortable safe environment after school. Our professional dedicated tutors understand the educational needs of your children. We work on academic achievement as well as attitudes toward learning. Our goal is to promote self-esteem and confidence. Our tutors are reliable and will find out what motivates your child to succeed and do their best in school! Here at ""Bee"" Smart Tutorial Service, we’re more than an after school tutorial service. We’re an organization with a passion for helping children succeed in school. ";http://www.beesmart1.com/;;Monday – Friday, 3:30-6:00;;;;n;n;n;n;y;y;;;;;;;
1101536;FAITH BAPTIST CHURCH;88 RED EAGLE PKWY.;WETUMPKA;AL;36092;ELMORE;(334)313-4311;;;;;;;;;;;;;;;;;;;;;Y;
1101535;FAIRHOPE UNITED METHODIST CHURCH;155 SOUTH SECTION STREET;FAIRHOPE;AL;36532;BALDWIN;(251)928-7328;http://www.fairhopeumc.org/ministries/preschool_ministry;;"Fairhope UMC Preschool
A socially developmentally appropriate preschool where children learn to play and play to learn.
Click on the Preschool tab to the left for more information.
";http://www.fairhopeumc.org/ministries/preschool_ministry;;Monday through Friday mornings, 9am ~ 12pm;;http://www.fairhopeumc.org/filerequest/3581;;n;n;y;y;n;n;http://www.fairhopeumc.org/files/Cross-and-Flame-Logo-Web.png;;;;;;
1101533;EVERYDAY SUNSHINE CHILDREN MIN. SITE III;12 - 24TH AVENUE NW;CENTERPOINT;AL;35215;;(205)593-4181;;;;;;;;;;;;;;;;;;;;;Y;
1101534;EVOLVE CHURCH OF GOD;4834 WOODS CROSSING DRIVE;MONTGOMERY;AL;36106;MONTGOMERY;(334)277-6834;https://evolvelearningcenter.wordpress.com/;donnamjones70@gmail.com;Our purpose is to offer a safe loving Christian environment for children 6 weeks to 12 years of age – to enable each child to gain knowledge and understanding in the Lord and the Word of God – to stimulate and help each child grow spiritually academically and socially.;https://evolvelearningcenter.wordpress.com/;;6:30am to 6:00pm Monday thru Friday;;;;y;y;y;y;y;y;https://evolvelearningcenter.files.wordpress.com/2015/01/cropped-evolvelearningbanner2.png;https://evolvelearningcenter.files.wordpress.com/2015/01/donna-545.jpg?w=850;https://evolvelearningcenter.files.wordpress.com/2015/01/donna-539.jpg?w=850;https://evolvelearningcenter.files.wordpress.com/2015/01/donna-532.jpg?w=850;https://evolvelearningcenter.files.wordpress.com/2015/01/donna-549.jpg?w=850;;
