"provider_number";"inspectionDate";"inspectionType";"inspectionTime";"inspectionTimeout";"inspectionInspector";"deficientFindings";"totalFindings";"satisfactoryResponses";"unsatisfactoryResponses";"notInspectedResponses";"naResponses";"totalResponses";"accountName";"accountStreet";"accountCity";"accountState";"accountZip";"accountPhone";"accountFax";"reportFile"
"PV80344";"02/20/2013";"Complaint Investigation";"06:00 AM";;"Brandi Harding";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_02_20_2013.pdf"
"PV80344";"11/16/2012";"Complaint Investigation";"06:00 AM";;"Brandi Harding";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_11_16_2012.pdf"
"PV80344";"09/19/2012";"Complaint Investigation";"06:00 AM";;"Brandi Harding";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_09_19_2012.pdf"
"PV80344";"05/24/2012";"Complaint Investigation";"06:00 AM";;"Brandi Harding";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_05_24_2012.pdf"
"PV80344";"03/09/2012";"Complaint Investigation";"06:00 AM";;"Brandi Harding";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_03_09_2012.pdf"
"PV80344";"12/20/2011";"Follow-up Inspection";"06:00 AM";;"Brandi Rourke";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_12_20_2011.pdf"
"PV80344";"10/20/2011";"Complaint Investigation";"06:00 AM";;"Brandi Rourke";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_10_20_2011.pdf"
"PV80344";"02/22/2011";"20% Inspection";"06:00 AM";;"Brandi Rourke";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_02_22_2011.pdf"
"PV80344";"07/19/2010";"Follow-up Inspection";"06:00 AM";;"Brandi Rourke";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_07_19_2010.pdf"
"PV80344";"04/22/2010";"Routine Inspection";"06:00 AM";;"Brandi Rourke";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_04_22_2010.pdf"
"PV80344";"03/26/2009";"Initial / 20% Inspection";"06:00 AM";;"Brandi Rourke";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita Spooner _ Teeter Toddler - Public Report_03_26_2009.pdf"
"PV80344";"03/10/2008";"Complaint Investigation";"06:00 AM";;"Stephanie Goetz";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Alvita  Spooner - Public Report_03_10_2008.pdf"
"PV103876";"04/26/2012";"Initial / 20% Inspection";"06:00 AM";;"Sharla Jerrel";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Bethany Bielen _ Mini Miracles - Public Report_04_26_2012.pdf"
"PV107846";"05/16/2018";"Initial-New Inspection";"06:00 AM";;"Cora Helm";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"B Martin _ Miss Bobbie's Little School - Public Report_05_16_2018.pdf"
"PV107846";"03/01/2018";"Pre-Inspection";"06:00 AM";;"Pam West";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"B Martin _ Miss Bobbie's Little School - Public Report_03_01_2018.pdf"
"PV105176";"11/27/2019";"Renewal Inspection";"10:15 AM";"11:30 AM";"Lenny Brown";2;2;31;2;0;0;33;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"PV105176 - Buggy Bear Childcare_Billings Montessori - Survey Tool Public_11_27_2019.pdf"
"PV105176";"03/18/2019";"Follow-up Inspection";"9:15 AM";"11:30 AM";"Ryane Holzwarth";3;3;31;2;0;0;33;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"PV105176 - Buggy Bear Childcare_Billings Montessori - Survey Tool Public_03_18_2019.pdf"
"PV108162";"01/06/2020";"Renewal Inspection";"9:45 AM";"10:50 AM";"Pam West";4;4;33;3;0;0;36;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Danielle Jean Friede_Little Monsters - Survey Tool Public_01_06_2020.pdf"
"PV76252";"05/15/2019";"Renewal Inspection";"8:40 AM";"1:10 AM";"Ryane Holzwarth";0;0;36;0;0;0;36;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"PV76252 - Deborah Rickey - Survey Tool Public_05_15_2019.pdf"
"PV95717";"12/05/2011";"20% Inspection";"06:00 AM";;"Fern Sutherland";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Diana Hughes - Public Report_12_05_2011.pdf"
"PV95717";"06/05/2008";"Initial / 20% Inspection";"06:00 AM";;"Fern Sutherland";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Diana Hughes - Public Report_06_05_2008.pdf"
