"ID";"Start";"End";"Disciplinary/Non-Disciplinary Action"
577767;"12/29/2011";"06/29/2012";"Probation"
577767;"02/09/2010";"02/09/2011";"-Licensing Agreement"
629900;"03/25/2015";"09/25/2015";"-Licensing Agreement"
406786;"03/17/2016";"09/17/2016";"-Licensing Agreement"
406786;"03/06/2014";"09/06/2014";"-Licensing Agreement"
406787;"08/05/2011";"02/05/2012";"Probation"
870566;"01/31/2019";"09/17/2019";"Probation"
406788;"09/30/2016";"03/30/2017";"Nondisciplinary Corrective Action"
406788;"07/10/2015";"07/10/2016";"-Licensing Agreement"
406788;"12/23/2013";"06/23/2014";"Nondisciplinary Corrective Action"
406788;"05/16/2005";"11/16/2005";"Nondisciplinary Corrective Action"
406790;"03/18/2019";"09/18/2019";"-Licensing Agreement"
561129;"01/13/2018";"07/13/2019";"Probation"
561129;"09/14/2018";"09/28/2018";"Civil Penalty"
561129;"12/28/2016";"06/28/2017";"Probation"
561129;"01/26/2016";"07/26/2016";"Nondisciplinary Corrective Action"
561129;"08/06/2012";"02/06/2013";"-Licensing Agreement"
514414;"04/17/2015";"05/17/2015";"Civil Penalty"
404882;"05/01/2006";"05/01/2007";"Probation"
404882;"03/22/2006";"05/01/2006";"-Licensing Agreement"
404871;"07/16/2013";"07/16/2015";"-Licensing Agreement"
404871;"02/04/2013";"07/16/2013";"-Licensing Agreement"
404871;"02/29/2012";"02/04/2013";"-Licensing Agreement"
649246;"01/22/2016";"02/09/2016";"Civil Penalty"
441557;"08/10/2005";"02/10/2006";"-Licensing Agreement"
629902;"06/30/2010";"06/21/2011";"-Licensing Agreement"
609395;"01/03/2017";"07/03/2017";"Nondisciplinary Corrective Action"
609395;"12/15/2016";"01/17/2017";"-Licensing Agreement"
563351;"05/23/2016";"11/23/2016";"-Licensing Agreement"
563351;"03/24/2010";"04/23/2010";"Civil Penalty"
563351;"05/28/2009";"11/28/2009";"Nondisciplinary Corrective Action"
563351;"05/22/2008";"05/22/2009";"-Licensing Agreement"
702148;"08/12/2014";"02/12/2015";"-Licensing Agreement"
406114;"07/10/2002";"07/10/2003";"-Licensing Agreement"
405038;"10/25/2005";"10/25/2006";"-Licensing Agreement"
867163;"06/21/2018";"09/22/2018";"Probation"
406761;"11/07/2018";"05/07/2019";"Nondisciplinary Corrective Action"
406761;"03/27/2015";"06/24/2015";"-Licensing Agreement"
406761;"07/14/2010";"01/14/2011";"Nondisciplinary Corrective Action"
406761;"03/09/2007";"09/09/2007";"Nondisciplinary Corrective Action"
712676;"01/29/2018";"07/29/2018";"-Licensing Agreement"
856619;"12/17/2018";"06/17/2019";"Nondisciplinary Corrective Action"
406760;"07/12/2012";"01/12/2013";"Probation"
406760;"01/26/2012";"07/12/2012";"Nondisciplinary Corrective Action"
406767;"12/28/2015";"06/28/2016";"Nondisciplinary Corrective Action"
