Name;Credential Type;Credential Number;Status;Expiration Date;Disciplinary Action;Address;State;City;Zip;Phone#;First Issue Date;Primary Contact Name;Primary Contact Role;County
24 HOUR FITNESS - E. TROPICANA;ACCOMMODATION;2483-18;Active;06/30/2019;N/A;4440 E. TROPICANA AVENUE;NV;LAS VEGAS;89121;702-285-0942;07/05/2018;BARBRA WILLIAMS;Other;CLARK
24 HOUR FITNESS KID'S CLUB - CHARLESTON;ACCOMMODATION (PROVISIONAL);1023-18;Active;12/31/2018;No;4480 E. CHARLESTON BLVD;NV;LAS VEGAS;89104;702-459-4241;01/01/2014;EDWARD LA FOUGE;Person in Charge;CLARK
24 HOUR FITNESS KID'S CLUB - CRAIG;ACCOMMODATION;545-19;Active;04/30/2020;No;2106 W. CRAIG RD NORTH;NV;LAS VEGAS;89031;702-633-6034;06/01/2016;JEANETTE MONTES;Director;CLARK
24 HOUR FITNESS KID'S CLUB - MARYLAND PKWY;ACCOMMODATION (PROVISIONAL);1144-18;Active;01/31/2019;No;9875 S. MARYLAND PKWY;NV;LAS VEGAS;89183;702-361-8199;02/01/2014;ALEXIS WOELFEL;Other;CLARK
24 HOUR FITNESS KID'S CLUB - RAINBOW;ACCOMMODATION;1024-19;Active;12/31/2019;No;601 S. RAINBOW BLVD;NV;LAS VEGAS;89145;702-258-7080;01/01/2014;JOSEPH DELACRUZ;Director;CLARK
24 HOUR FITNESS KID'S CLUB - VILLAGE CENTER;ACCOMMODATION;1022-19;Active;12/31/2019;No;2090 VILLAGE CENTER CIR;NV;LAS VEGAS;89134;702-360-2408;01/01/2014;AMANDA TOLMAN;Director;CLARK
24 HOUR FITNESS KID'S CLUB - WIGWAM;ACCOMMODATION;539-19;Active;02/28/2020;No;2556 WIGWAM PKWY;NV;HENDERSON;89014;702-896-2400;08/17/2016;TIRZAH GARNER;Director;CLARK
24 HOUR FITNESS KIDS CLUB - CENTENNIAL;ACCOMMODATION;864-19;Active;03/31/2020;No;5651 CENTENNIAL CENTER;NV;LAS VEGAS;89149;702-560-5037;05/01/2017;SHAWNA STERZING;Other;CLARK
24 HOUR FITNESS KIDS CLUB - W. TROPICANA;ACCOMMODATION;1118-19;Active;01/31/2020;No;5035 W. TROPICANA AVE;NV;LAS VEGAS;89103;702-876-2451;04/01/2016;MIRELLA BRISENO;Director;CLARK
9TH BRIDGE SCHOOL;CENTER;1405-18;Active;07/31/2019;No;310 S. 9TH ST;NV;LAS VEGAS;89101;702-724-1436;08/01/2015;ETOLA BERRY;Director;CLARK
A PLACE TO GROW HOME CHILDCARE AND PRESCHOOL;FAMILY CARE;2567-18;Active;11/30/2019;N/A;390 E MINOR DR;NV;WINNEMUCCA;89445;775-304-8004;12/14/2018;KIMBERLY JONES;Owner;HUMBOLDT
A STEP AHEAD PRESCHOOL;CENTER;936-18;Active;07/31/2019;No;945 CLOVER LANE;NV;FERNLEY;89408;775-575-1122;08/01/2015;NATASHA KING;Director;LYON
A STEP BEYOND;FAMILY CARE;957-18;Active;09/30/2019;No;6944 CREEKSIDE LN;NV;LAS VEGAS;89145;702-256-2789;10/01/2017;MARTINE LAURENCE LOMBARD-CASTILLO;Owner;CLARK
ABC ETC/LITTLE LEARNERS;CENTER;411-19;Active;06/30/2019;No;500 HARRIS ST;NV;HENDERSON;89015;702-267-4060;10/01/2015;FELISHA AGUILAR;Director;CLARK
ABC PRESCHOOL AND DAY CARE CENTER;CENTER;1237-19;Active;03/31/2020;No;1730 N. PECOS RD;NV;LAS VEGAS;89115;702-642-5176;04/01/2015;MICHELLE HURLEY;Director;CLARK
ACELERO LEARNING CLARK COUNTY - CECILE WALNUT;CENTER;1273-18;Active;10/31/2019;No;3820 CECILE AVE;NV;LAS VEGAS;89115;702-799-3910;11/01/2015;LAURA & SHELLY BROWN &COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - HENDERSON LEARNING CENTER;CENTER;831-19;Active;03/31/2020;No;180 N. WESTMINSTER WAY;NV;HENDERSON;89015;702-566-1048;09/22/2017;JESSICA & SHELLY RUCH & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - HERB KAUFMAN CENTER;CENTER;1290-18;Active;08/31/2019;No;4020 PERRY ST;NV;LAS VEGAS;89122;702-434-5329;09/01/2015;SYBIL & SHELLY HEFFNER & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - MLK CDC;CENTER;1061-19;Active;03/31/2020;No;1555 W. CAREY AVE;NV;LAS VEGAS;89032;702-642-0451;04/01/2015;MAY ANN & SHELLY CAPARAS & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - PROFESSIONAL DEVELOPMENT CEN;CENTER;1059-19;Active;03/31/2020;No;701 N. RANCHO DR;NV;LAS VEGAS;89106;702-486-1460;10/30/2017;SHARMETTA & SHELLY ROBERTS & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - REACH OUT CENTER;CENTER;1060-19;Active;03/31/2020;No;1522 PINTO LN;NV;LAS VEGAS;89106;702-382-7337;04/01/2015;ERIN & SHELLY JOHN & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - REYNALDO MARTINEZ;CENTER;1062-19;Active;03/31/2020;No;2901 HARRIS AVE;NV;LAS VEGAS;89101;702-799-7048;05/01/2015;JEAN & SHELLY PIGGOTT & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - SPRING VALLEY;CENTER;1287-18;Active;10/31/2019;No;2845 MOHAWK ST;NV;LAS VEGAS;89146;702-362-2311;11/01/2015;JOY & SHELLY ELITZER & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - STEWART CENTER;CENTER;1076-19;Active;04/30/2020;No;4301 E. STEWART AVE;NV;LAS VEGAS;89110;702-438-0044;12/08/2017;NORA & SHELLY JIMENEZ & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - YVONNE ATKINSON-GATES;CENTER;1057-19;Active;03/31/2020;No;951 N. TONOPAH AVE;NV;LAS VEGAS;89106;702-799-1844;09/01/2015;TRISHA & SHELLY LOCKWOOD & COOK;Director;CLARK
ACELERO LEARNING LORENZI CENTER;CENTER;2526-18;Active;07/31/2019;N/A;700 TWIN LAKES DRIVE;NV;LAS VEGAS;89107;702-387-0179;08/27/2018;LORI & SHELLY AMIAN-GABRIEL & COOK;Other;CLARK
ACELERO LEARNING STRONG START ACADEMY;CENTER;2179-18;Active;07/31/2019;N/A;1617 ALTA DRIVE;NV;LAS VEGAS;89101;702-229-5450;08/18/2017;GWENDOLYN & SHELLY COWARD & COOK;Director;CLARK
ACELERO LEARNING STUPAK COMMUNITY CENTER;CENTER;2527-18;Active;07/31/2019;N/A;251 W. BOSTON AVENUE;NV;LAS VEGAS;89102;702-387-0179;08/09/2018;YVONNE & SHELLY JACOB & COOK;Other;CLARK
ADOLESCENT TREATMENT CENTER;INSTITUTION;44-18;Active;05/31/2019;No;480 GALLETTI WAY;NV;SPARKS;89431;775-688-1633;06/01/2015;RENEE POLLEY;Director;WASHOE
