Name;Credential Type;Credential Number;Status;Expiration Date;Disciplinary Action;Address;State;City;Zip;Phone#;First Issue Date;Primary Contact Name;Primary Contact Role;County
24 YESSI'S PRE-K & DAY CARE;GROUP CARE;2056-22;Active;07/31/2023;N;1372 HAVEN GREEN CT;NV;HENDERSON;89012;702-708-3320;08/17/2016;ELVIRA WEINTRAUB;Owner;CLARK
A PLACE TO GROW HOME CHILDCARE AND PRESCHOOL;GROUP CARE;3157-22;Active;02/28/2023;N;390 E MINOR ST;NV;WINNEMUCCA;89445;775-304-8004;03/08/2021;KIMBERLY JONES;Owner;HUMBOLDT
A STEP AHEAD PRESCHOOL;CENTER;936-22;Active;07/31/2023;N;945 CLOVER LANE;NV;FERNLEY;89408;775-575-1122;08/01/2015;NATASHA KING;Director;LYON
A WEE BIT OF CARE;GROUP CARE;3071-22;Active;03/31/2023;N;8241 SAN MATEO STREET NORTH;NV;LAS VEGAS;89085;702-986-4312;04/01/2021;BREONNA JOHNSON;Owner;CLARK
ABC ETC/LITTLE LEARNERS;CENTER;411-22;Active;06/30/2023;N;500 HARRIS ST;NV;HENDERSON;89015;702-267-4060;10/01/2015;FELISHA AGUILAR;Director;CLARK
ABC PRESCHOOL AND DAY CARE CENTER;CENTER;1237-22;Active;03/31/2023;N;1730 N. PECOS RD;NV;LAS VEGAS;89115;702-642-5176;04/01/2015;KIM WARREN;Director;CLARK
ACELERO LEARNING CLARK COUNTY - CECILE WALNUT;CENTER (PROVISIONAL);1273-22;Active;11/30/2022;N;3820 CECILE AVE;NV;LAS VEGAS;89115;702-799-3910;11/01/2015;SHELLY & LASHONDRA COOK & LANEAUX;Director;CLARK
ACELERO LEARNING CLARK COUNTY - HENDERSON LEARNING CENTER;CENTER;831-22;Active;03/31/2023;N;180 N. WESTMINSTER WAY;NV;HENDERSON;89015;702-566-1048;09/22/2017;SHARMETTA & SHELLY & SHAWNA ROBERTS & COOK & SALGADO;Director;CLARK
ACELERO LEARNING CLARK COUNTY - HERB KAUFMAN CENTER;CENTER;1290-22;Active;08/31/2023;N;4020 PERRY ST;NV;LAS VEGAS;89122;702-434-5329;09/01/2015;KELLY & SHELLY ANDERSON & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - MLK CDC;CENTER;1061-22;Active;03/31/2023;N;1555 W. CAREY AVE NORTH;NV;LAS VEGAS;89032;702-642-0451;04/01/2015;LATASHA & SHELLY MCCALL & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - PROFESSIONAL DEVELOPMENT CEN;CENTER;1059-22;Active;03/31/2023;N;701 N. RANCHO DR;NV;LAS VEGAS;89106;702-486-1460;10/30/2017;VERONICA & SHELLY BENAVIDEZ & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - REACH OUT CENTER;CENTER;1060-22;Active;03/31/2023;N;1522 PINTO LN;NV;LAS VEGAS;89106;702-382-7337;04/01/2015;THERESA & SHELLY VADALA & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - REYNALDO MARTINEZ;CENTER (PROVISIONAL);1062-22;Active;11/30/2022;N;2901 HARRIS AVE;NV;LAS VEGAS;89101;702-799-7048;05/01/2015;JENNIFER  & SHELLY HINES & COOK;Director;CLARK
ACELERO LEARNING CLARK COUNTY - SPRING VALLEY;CENTER (PROVISIONAL);1287-22;Active;11/30/2022;N;2845 MOHAWK ST;NV;LAS VEGAS;89146;702-362-2311;11/01/2015;SHELLY & GWEN COOK & COWARD;Director;CLARK
ACELERO LEARNING CLARK COUNTY - YVONNE ATKINSON-GATES;CENTER;1057-22;Active;03/31/2023;N;951 N. TONOPAH AVE;NV;LAS VEGAS;89106;702-799-1844;09/01/2015;TRISHA & SHELLY LOCKWOOD & COOK;Director;CLARK
