"Facility ID";"Name";"Programm Type";"City";"Phone";"County";"Zip";"Addess";"Addess1";"Email";"License Status"
"CCCB-06954";"Bright Ideas";"Center Based Program License";"Amherst";;"Hillsborough";"'03031";"292 Route 101, Building D";;;"Permit Issued"
"CCCB-05636";"Country Village Montessori School";"Center Based Program License";"Amherst";6036723882;"Hillsborough";"'03031";"2 Overlook Drive";;"cedbasket@aol.com";"Active"
"CCCB-06085";"Kids Inn";"Center Based Program License";"Amherst";6036721199;"Hillsborough";"'03031";"67 Route 101A";;;"Active"
"CCCB-06529";"Nellie's Treehouse";"Center Based Program License";"Amherst";6037699545;"Hillsborough";"'03031";"29 State Route 101 A";;;"Active"
"CCCB-06462";"New Morning Before and After School Programs @ Wilkins";"Center Based Program License";"Amherst";6036693591;"Hillsborough";"'03031";"80 Boston Post Road";;;"Active"
"CCFB-06412";"Pamela Porter-Ladd";"Family Based Program License";"Amherst";6036732170;"Hillsborough";"'03031";"27 Deerwood Drive";;;"Active"
"CCCB-02762";"Sunrise Children's Center";"Center Based Program License";"Amherst";6038860110;"Hillsborough";"'03031";"94 Route 101A";;;"Active"
"CCCB-06332";"The Amherst Preschool";"Center Based Program License";"Amherst";6036728271;"Hillsborough";"'03031";"58 Merrimack Road";;;"Active"
"CCCB-00637";"The Preschool In The Village";"Center Based Program License";"Amherst";6036723168;"Hillsborough";"'03031";"11 Church Street";;"pivamherst@gmail.com";"Active"
"CCCB-00916";"Auburn Children's House, A Montessori School";"Center Based Program License";"Auburn";6036271691;"Rockingham";"'03032";"78 Rockingham Road";;;"Active"
"CCCB-06944";"It's a Child's Summer";"Center Based Program License";"Auburn";;"Rockingham";"'03032";"341 Wilsons Crossing Road";;;"Permit Issued"
"CCCB-06716";"It's a Child's World";"Center Based Program License";"Auburn";6036061990;"Rockingham";"'03032";"32 Hooksett Road";;;"Active"
"CCCB-06469";"New Morning Before and After School Programs @ Auburn Village";"Center Based Program License";"Auburn";6036693591;"Rockingham";"'03032";"11 Eaton Hill Road";;;"Active"
"CCCB-00643";"Tiny Tots Preschool";"Center Based Program License";"Auburn";6034830200;"Rockingham";"'03032";"4 Wilson's Crossing Road";;;"Active"
"CCCB-04595";"Brookline After School Program @ RMMS";"Center Based Program License";"Brookline";6038014802;"Hillsborough";"'03033";"22 Milford Road";;;"Active"
"CCCB-05439";"Brookline After School Program At The Academy";"Center Based Program License";"Brookline";6038014802;"Hillsborough";"'03033";"24 Townsend Hill Road";;;"Active"
"CCCB-06871";"Creative Imaginations Child Care Center";"Center Based Program License";"Brookline";;"Hillsborough";"'03033";"108 Route 13";;;"Active"
"CCFB-05356";"Little Ones Family Child Care";"Family Based Program License";"Brookline";6032491171;"Hillsborough";"'03033";"12 Laurel Crest Drive";;;"Active"
"CCCB-06804";"Scribbles Early Learning Center";"Center Based Program License";"Brookline";6037215531;"Hillsborough";"'03033";"Stoney Ledge Plaza, 181 Route 13";;;"Active"
"CCCB-05692";"M and C Children's Learning Place";"Center Based Program License";"Candia";6034835336;"Rockingham";"'03034";"205 Main Street";;;"Active"
"CCCB-06473";"New Morning After School Program @ Henry Moore";"Center Based Program License";"Candia";6036693591;"Rockingham";"'03034";"12 Deerfield Road";;;"Active"
"CCCB-06752";"Chesterbrook School of Natural Learning";"Center Based Program License";"Chester";6034899776;"Rockingham";"'03036";"232 Fremont Road";;;"Active"
"CCFB-04393";"Imagination Station";"Family Based Program License";"Chester";6038872345;"Rockingham";"'03036";"127 Haverhill Road";;;"Active"
"CCCB-06550";"Play Laugh N Grow - Chester";"Center Based Program License";"Chester";6038875862;"Rockingham";"'03036";"184 Raymond Road";;;"Active"
"CCCB-06800";"YMCA of Greater Londonderry @ Chester Academy";"Center Based Program License";"Chester";6034379622;"Rockingham";"'03036";"22 Murphy Drive";;;"Active"
"CCCB-06926";"Deerfield Preschool";"Center Based Program License";"Deerfield";6034636446;"Rockingham";"'03037";"24 Mountain View Road";;;"Active"
"CCCB-06925";"Clubhouse Child Care Center";"Center Based Program License";"Derry";;"Rockingham";"'03038";"11 &13 Peabody Road";;;"Active"
"CCCB-06522";"Derry Head Start";"Center Based Program License";"Derry";6032168864;"Rockingham";"'03038";"9 Crystal Avenue";;;"Active"
"CCCB-03001";"East Derry Memorial School Extended Day Program";"Center Based Program License";"Derry";6034210170;"Rockingham";"'03038";"18 Dubeau Drive";;;"Active"
"CCCB-02919";"Greater Derry Extended Day Program";"Center Based Program License";"Derry";6038181008;"Rockingham";"'03038";"28 South Main Street";;;"Active"
"CCCB-05916";"Greater Derry Extended Day Program - Barka";"Center Based Program License";"Derry";6038181008;"Rockingham";"'03038";"21 Eastgate Road";;;"Active"
"CCCB-06065";"Greater Derry Extended Day Program - Grinnell";"Center Based Program License";"Derry";6038181008;"Rockingham";"'03038";"6 Grinnell Road";;;"Active"
"CCCB-06828";"Little Beginnings Early Learning Center";"Center Based Program License";"Derry";6039633363;"Rockingham";"'03038";"35 Manchester Road, Unit 12";;;"Active"
"CCCB-02184";"Over The Rainbow Preschool";"Center Based Program License";"Derry";6034326655;"Rockingham";"'03038";"223 Rockingham Road";;;"Active"
"CCFB-06196";"Riana's Sunshine Academy";"Family Based Program License";"Derry";6032162892;"Rockingham";"'03038";"40 Lawrence Road";;;"Active"
"CCCB-00846";"Sonshine Preschool and Day Care";"Center Based Program License";"Derry";6034346987;"Rockingham";"'03038";"53 North Main Street";;;"Active"
"CCCB-02198";"South Range Extended Day Program";"Center Based Program License";"Derry";6034791021;"Rockingham";"'03038";"1 Drury Lane";;;"Active"
"CCCB-02808";"Stepping Stones School";"Center Based Program License";"Derry";6034346900;"Rockingham";"'03038";"1 Partridge Lane";;;"Active"
"CCCB-06331";"The Goddard School";"Center Based Program License";"Derry";6034322210;"Rockingham";"'03038";"12 Tsienneto Road";;;"Active"
"CCCB-05788";"Wonder Years Learning Center";"Center Based Program License";"Derry";6034320505;"Rockingham";"'03038";"39 Birch Street";;;"Active"
"CCCB-00617";"Nutfield Cooperative School";"Center Based Program License";"East Derry";6034342602;"Rockingham";"'03041";"47 East Derry Road";;;"Active"
"CCFB-00055";"Bertogli Family Day Care";"Family Based Program License";"Epping";6036798200;"Rockingham";"'03042";"221 Hedding Road";;;"Active"
"CCFB-06595";"Country Woods Family Child Care";"Family Based Program License";"Epping";6038174302;"Rockingham";"'03042";"18 Hickory Hill Road";;;"Active"
"CCFB-05723";"Deb's Daycare";"Family Based Program License";"Epping";6036791088;"Rockingham";"'03042";"10 Fisher Drive";;;"Active"
"CCCB-06724";"Great Expectations Preschool";"Center Based Program License";"Epping";6037345197;"Rockingham";"'03042";"98 Hamilton Drive";;;"Active"
"CCCB-00563";"Hogarth Country Day School";"Center Based Program License";"Epping";6036792097;"Rockingham";"'03042";"41 Water Street";;;"Active"
"CCCB-06554";"Seedlings Early Learning Center";"Center Based Program License";"Epping";6036793381;"Rockingham";"'03042";"160 Main Street";;;"Active"
"CCCB-05551";"Barnyard Buddies";"Center Based Program License";"Fremont";6038955455;"Rockingham";"'03044";"77 Chester Road";;;"Active"
"CCCB-06913";"Country Club for Kids";"Center Based Program License";"Fremont";6038952234;"Rockingham";"'03044";"25 Spaulding Road";;;"Active"
"CCCB-06592";"Country Club for Kids II";"Center Based Program License";"Fremont";6038952234;"Rockingham";"'03044";"48-50 Main Street";;;"Active"
"CCFB-05496";"Jen's Family Day Care";"Family Based Program License";"Fremont";6036798303;"Rockingham";"'03044";"351 North Road";;;"Active"
"CCCB-05429";"Southern District YMCA School's Out - Fremont";"Center Based Program License";"Fremont";6036423361;"Rockingham";"'03044";"432 Main Street";;;"Active"
"CCCB-04801";"Eager Beaver Child Care Center";"Center Based Program License";"Goffstown";6036696277;"Hillsborough";"'03045";"722 Mast Road";;;"Active"
"CCCB-01641";"Educare Daycare And Learning Center";"Center Based Program License";"Goffstown";6036273392;"Hillsborough";"'03045";"379 Goffstown Back Rd";;;"Active"
"CCCB-06739";"Goffstown Creative Kids Academy";"Center Based Program License";"Goffstown";6034975000;"Hillsborough";"'03045";"231 Mast Road";;;"Active"
"CCFB-05062";"Labrecque Family Child Care";"Family Based Program License";"Goffstown";6033618738;"Hillsborough";"'03045";"25 Crestwood Lane";;;"Active"
"CCCB-06184";"Learn As We Play Child Care Center";"Center Based Program License";"Goffstown";6036683674;"Hillsborough";"'03045";"276 Goffstown Back Road";;;"Active"
"CCCB-06164";"Little Leapers & Knowledge Keepers";"Center Based Program License";"Goffstown";6036472273;"Hillsborough";"'03045";"526 B Mast Road";;"jennllkk@juno.com";"Active"
"CCFB-04050";"Loving Lambs & Kinder Kids";"Family Based Program License";"Goffstown";6034911780;"Hillsborough";"'03045";"15 Katherine Street";;;"Active"
"CCCB-05582";"Main Street Kid's Connection";"Center Based Program License";"Goffstown";6034974014;"Hillsborough";"'03045";"10 Main Street";;;"Active"
"CCCB-00909";"Merri-Loo Community Preschool, INC";"Center Based Program License";"Goffstown";6034973350;"Hillsborough";"'03045";"86 Center Street";;;"Active"
"CCCB-06181";"Montessori Children's Garden";"Center Based Program License";"Goffstown";6033843404;"Hillsborough";"'03045";"36 North Mast Street";;;"Active"
"CCCB-05769";"Namaste' Children's House";"Center Based Program License";"Goffstown";6036273503;"Hillsborough";"'03045";"535 Mast Road";;;"Active"
"CCCB-04869";"YMCA Allard Center Child Development Center";"Center Based Program License";"Goffstown";6032328638;"Hillsborough";"'03045";"116 Goffstown Back Road";;;"Active"
"CCCB-06608";"YMCA Allard Center School's Out Program @ Bartlett";"Center Based Program License";"Goffstown";6032328677;"Hillsborough";"'03045";"689 Mast Road";;;"Active"
"CCCB-06607";"YMCA Allard Center School's Out Program @ Maple Ave";"Center Based Program License";"Goffstown";6032328677;"Hillsborough";"'03045";"16 Maple Avenue";;;"Active"
"CCCB-06458";"New Morning After School Program @ Dunbarton Elementary";"Center Based Program License";"Dunbarton";6036693591;"Merrimack";"'03046";"20 Robert Rogers Road";;;"Active"
"CCCB-06844";"Boys & Girls Club - Greenfield Ext.";"Center Based Program License";"Greenfield";6036721002;"Hillsborough";"'03047";"860 Forest Road";;;"Active"
"CCCB-00994";"Southern New Hampshire Services Greenville Headstart";"Center Based Program License";"Greenville";6038784028;"Hillsborough";"'03048";"16 Adams Street";;;"Active"
"CCCB-06162";"Hollis Academy For Children";"Center Based Program License";"Hollis";6034657005;"Hillsborough";"'03049";"4-A Market Place";;;"Active"
"CCCB-00565";"Hollis Preschool";"Center Based Program License";"Hollis";6034653089;"Hillsborough";"'03049";"5 Market Place";;;"Active"
"CCCB-06653";"Nashua Adult Learning Center - Hollis Primary School";"Center Based Program License";"Hollis";6038829080;"Hillsborough";"'03049";"36 Silver Lake Road";;;"Active"
"CCCB-06711";"Nashua Adult Learning Center - Hollis Upper Elementary";"Center Based Program License";"Hollis";6035338761;"Hillsborough";"'03049";"12 Drury Lane";;;"Active"
"CCFB-04990";"Becky's House Family Day Care";"Family Based Program License";"Hudson";6038803538;"Hillsborough";"'03051";"17 Adam Drive";;;"Active"
"CCCB-05903";"Beginning Discoveries Learning Center";"Center Based Program License";"Hudson";6035986310;"Hillsborough";"'03051";"292 Derry Road";;;"Active"
"CCCB-04984";"Country Bear Preschool and Child Care";"Center Based Program License";"Hudson";6038806802;"Hillsborough";"'03051";"1 Cutler Road";;;"Active"
"CCFB-05053";"Debbie's Play Group";"Family Based Program License";"Hudson";6038824343;"Hillsborough";"'03051";"174 Robinson Road";;;"Active"
"CCCB-05377";"Early Start Learning Academy and Child Care";"Center Based Program License";"Hudson";6038803722;"Hillsborough";"'03051";"141 Kimball Hill Road";;;"Active"
"CCFB-06864";"Jens Home Daycare";"Family Based Program License";"Hudson";6039139730;"Hillsborough";"'03051";"14 Regina Street";;;"Active"
"CCFB-05202";"Karen's Family Day Care";"Family Based Program License";"Hudson";6038806069;"Hillsborough";"'03051";"12 Kenyon Street";;;"Active"
"CCCB-06842";"KCE Champions at Dr. HO Smith School";"Center Based Program License";"Hudson";6035210605;"Hillsborough";"'03051";"33 School Street";;;"Active"
"CCCB-06845";"KCE Champions at Hills Garrison";"Center Based Program License";"Hudson";6035210605;"Hillsborough";"'03051";"190 Derry Street";;;"Active"
"CCCB-06843";"KCE Champions at Hudson Memorial";"Center Based Program License";"Hudson";;"Hillsborough";"'03051";"1 Memorial Drive";;;"Active"
"CCCB-06846";"KCE Champions at Nottingham West";"Center Based Program License";"Hudson";6035210605;"Hillsborough";"'03051";"10 Pelham Road";;;"Active"
"CCCB-02393";"Kiddie Konnection";"Center Based Program License";"Hudson";6038834310;"Hillsborough";"'03051";"301 Derry Road";;;"Active"
"CCFB-04858";"Penny's Child Care";"Family Based Program License";"Hudson";6038867970;"Hillsborough";"'03051";"47 Heritage Circle";;;"Active"
"CCCB-04642";"Stonewood Child Care";"Center Based Program License";"Hudson";6038830725;"Hillsborough";"'03051";"22 Stonewood Lane";;;"Active"
"CCCB-05933";"Stonewood School";"Center Based Program License";"Hudson";6035944195;"Hillsborough";"'03051";"99 Lowell Road";;;"Active"
"CCCB-06760";"The Children's Confidence Center";"Center Based Program License";"Hudson";6038648756;"Hillsborough";"'03051";"77 Derry Road";;;"Active"
"CCCB-05622";"Nashua Adult Learning Center - Griffin Memorial";"Center Based Program License";"Litchfield";"6038829080x308";"Hillsborough";"'03052";"229 Charles Bancroft Highway";;;"Active"
"CCCB-06568";"The Gingerbread House of Litchfield";"Center Based Program License";"Litchfield";6038861500;"Hillsborough";"'03052";"273 Derry Road";;;"Active"
"CCFB-06379";"Tiny Turtles Child Care";"Family Based Program License";"Litchfield";6038648061;"Hillsborough";"'03052";"38 Stark Lane";;;"Active"
"CCCB-06969";"Action VR & Remote Learning Center";"Center Based Program License";"Londonderry";;"Rockingham";"'03053";"1 Action Blvd, Unit #3";;"contact@actionvrgaming.com";"Permit Issued"
"CCFB-06180";"Bright House Early Learning Program and Childcare";"Family Based Program License";"Londonderry";6034344974;"Rockingham";"'03053";"79 Hovey Road";;;"Active"
"CCCB-03034";"Cozy Kids Child Care";"Center Based Program License";"Londonderry";6034375437;"Rockingham";"'03053";"3 Sanborn Road";;;"Active"
"CCCB-05456";"Creative Little Angels Child Care";"Center Based Program License";"Londonderry";6034322535;"Rockingham";"'03053";"40 Mammoth Road";;;"Active"
"CCFB-05213";"Deborah Cloutier's Family Day Care";"Family Based Program License";"Londonderry";6034320876;"Rockingham";"'03053";"9 King Arthur Drive";;;"Active"
"CCCB-04585";"Jacob's Ladder Learning Center at L.U.M.C.";"Center Based Program License";"Londonderry";6034347857;"Rockingham";"'03053";"258 Mammoth Road";;;"Active"
"CCCB-00789";"Kids By The Common";"Center Based Program License";"Londonderry";6034342113;"Rockingham";"'03053";"126 Pillsbury Road";;;"Active"
"CCCB-05542";"KinderCare Learning Center";"Center Based Program License";"Londonderry";6034322288;"Rockingham";"'03053";"7 Garden Lane";;;"Active"
"CCCB-06482";"Londonderry Learning Academy";"Center Based Program License";"Londonderry";6038880677;"Rockingham";"'03053";"28 Buttrick Road";;;"Active"
"CCFB-06364";"Miss Aria's Home Grown Kids";"Family Based Program License";"Londonderry";6037670204;"Rockingham";"'03053";"49 Perkins Road";;;"Active"
"CCCB-05372";"Ms. Darlene's Early Learning Center and Child Care";"Center Based Program License";"Londonderry";6038181405;"Rockingham";"'03053";"10 Kendall Pond Road";;;"Active"
"CCFB-06970";"Nielsen Daycare";"Family Based Program License";"Londonderry";6038188833;"Rockingham";"'03053";"111 Litchfield Road";;;"Permit Issued"
"CCCB-02820";"The Applewood Learning Center";"Center Based Program License";"Londonderry";6034343139;"Rockingham";"'03053";"2 Hampton Drive";;;"Active"
"CCCB-06813";"The Learning Tree Early Education Center";"Center Based Program License";"Londonderry";6038188864;"Rockingham";"'03053";"2 Young Road";;;"Active"
"CCCB-04424";"The World of Discovery";"Center Based Program License";"Londonderry";6035372338;"Rockingham";"'03053";"182 Rockingham Road";;;"Active"
"CCFB-05801";"Trisha's Daycare";"Family Based Program License";"Londonderry";6034343130;"Rockingham";"'03053";"31 Royal Lane";;;"Active"
"CCCB-05497";"YMCA of Greater Londonderry School's Out Program";"Center Based Program License";"Londonderry";6034379622;"Rockingham";"'03053";"206 Rockingham Road";;;"Active"
"CCCB-05764";"YMCA of Greater Londonderry School's Out Program @ Matthew Thornton";"Center Based Program License";"Londonderry";6032169203;"Rockingham";"'03053";"275 Mammoth Road";;;"Active"
"CCCB-05762";"YMCA of Greater Londonderry School's Out Program @ North School";"Center Based Program License";"Londonderry";6032169010;"Rockingham";"'03053";"19 Sanborn Road";;;"Active"
"CCCB-05763";"YMCA of Greater Londonderry School's Out Program @ South School";"Center Based Program License";"Londonderry";6032169009;"Rockingham";"'03053";"88 South Road";;;"Active"
"CCCB-06814";"Above and Beyond Child Care - Merrimack";"Center Based Program License";"Merrimack";6032613043;"Hillsborough";"'03054";"325 Daniel Webster Highway";;;"Active"
"CCCB-06089";"Apple Blossoms Child Care";"Center Based Program License";"Merrimack";6034246000;"Hillsborough";"'03054";"628 Daniel Webster Highway";;;"Active"
"CCFB-05080";"Carla's Family Day Care";"Family Based Program License";"Merrimack";6034240274;"Hillsborough";"'03054";"1 Hickory Lane";;;"Active"
"CCCB-06938";"Early Beginnings for Young Learners";"Center Based Program License";"Merrimack";6173352580;"Hillsborough";"'03054";"416 Daniel Webster Highway Suite 0";;;"Active"
"CCCB-05481";"KinderCare Learning Center";"Center Based Program License";"Merrimack";6034239779;"Hillsborough";"'03054";"4 Continental Boulevard";;;"Active"
"CCFB-05522";"Kwiatkowski's Little Flowers";"Family Based Program License";"Merrimack";6033202826;"Hillsborough";"'03054";"21 Tanglewood Way";;"K.K.2@comcast.net";"Active"
"CCCB-05116";"Lisa's Tippy Toes";"Center Based Program License";"Merrimack";6034230267;"Hillsborough";"'03054";"33 Baboosic Lake Road";;;"Active"
"CCCB-06807";"Little Sprouts - Merrimack";"Center Based Program License";"Merrimack";6035467554;"Hillsborough";"'03054";"706 Milford Road";;"sficher@littlesprouts.com";"Active"
"CCCB-00911";"Merrimack PTA Kindergarten and Preschool";"Center Based Program License";"Merrimack";6034243535;"Hillsborough";"'03054";"10 Depot Street";;;"Active"
"CCCB-04404";"Merrimack YMCA Child Care";"Center Based Program License";"Merrimack";6038817778;"Hillsborough";"'03054";"6 Henry Clay Drive";;;"Active"
"CCCB-05608";"Nashua Adult Learning Center Thornton's Ferry";"Center Based Program License";"Merrimack";"6038829080 X319";"Hillsborough";"'03054";"134 Camp Sargent Road";;;"Active"
"CCCB-05614";"School Age Adventure @ Mastricola";"Center Based Program License";"Merrimack";"6038829080x313";"Hillsborough";"'03054";"7 School Street";;;"Active"
"CCCB-06778";"School Age Adventures @ Mastricola Upper";"Center Based Program License";"Merrimack";6038829080;"Hillsborough";"'03054";"26 Baboosic Lake Road";;;"Active"
"CCCB-05616";"School Age Adventures @ Reeds Ferry";"Center Based Program License";"Merrimack";"6038829080x317";"Hillsborough";"'03054";"15 Lyons Road";;;"Active"
