"Faclity ID";"Visit Type";"Visit Date";"Visit Result";"Document URL"
"CCCB-06954";"New";"8/13/2020";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06954_08132020+Visit.pdf&document_id=0902a1e380092d71"
"CCCB-05636";"Renewal";"9/16/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05636_09162020+Visit.pdf&document_id=0902a1e3800a0b8d"
"CCCB-05636";"Monitoring";"9/18/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05636_09182019+Visit.pdf&document_id=0902a1e3800506c0"
"CCCB-05636";"Monitoring";"5/16/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05636_05162018+Visit.pdf&document_id=0902a1e380029431"
"CCCB-05636";"Renewal";"3/23/2017";"NCSOF Issued";
"CCCB-05636";"Monitoring";"10/7/2016";"NCSOF Issued";
"CCCB-06085";"Monitoring";"10/15/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06085_10152020+Visit.pdf&document_id=0902a1e38009e278"
"CCCB-06085";"Renewal";"6/27/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06085_06272019+Visit.pdf&document_id=0902a1e38004d099"
"CCCB-06085";"Monitoring";"7/24/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06085_07242018+Visit.pdf&document_id=0902a1e38002cd1e"
"CCCB-06085";"Monitoring";"4/11/2017";"Violations Found-SOF Issued";
"CCCB-06085";"Renewal";"7/19/2016";"Violations Found-SOF Issued";
"CCCB-06529";"Renewal";"10/14/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06529_10142020+Visit.pdf&document_id=0902a1e38009e297"
"CCCB-06529";"Monitoring";"4/30/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06529_04302019+Visit.pdf&document_id=0902a1e380040778"
"CCCB-06529";"Monitoring";"12/4/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06529_12042018+Visit.pdf&document_id=0902a1e38003738c"
"CCCB-06529";"Renewal";"10/17/2017";"Violations Found-SOF Issued";
"CCCB-06529";"Monitoring";"3/23/2016";"Violations Found-SOF Issued";
"CCCB-06462";"Monitoring";"9/24/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06462_09242020+Visit.pdf&document_id=0902a1e3800a0ba4"
"CCCB-06462";"Renewal";"12/6/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06462_12062019+Visit.pdf&document_id=0902a1e38005abb3"
"CCCB-06462";"Monitoring";"5/30/2018";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06462_05302018+Visit.pdf&document_id=0902a1e380029a81"
"CCCB-06462";"Renewal";"2/16/2017";"NCSOF Issued";
"CCCB-06462";"Monitoring";"10/27/2016";"Violations Found-SOF Issued";
"CCFB-06412";"Monitoring";"3/3/2020";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06412_03032020+Visit.pdf&document_id=0902a1e38006e127"
"CCFB-06412";"Renewal";"5/8/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06412_05082019+Visit.pdf&document_id=0902a1e380044970"
"CCFB-06412";"Monitoring";"6/21/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06412_06212018+Visit.pdf&document_id=0902a1e38002a802"
"CCFB-06412";"Monitoring";"5/31/2017";"Violations Found-SOF Issued";
"CCFB-06412";"Renewal";"7/19/2016";"Violations Found-SOF Issued";
"CCCB-02762";"Renewal";"9/4/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02762_09042020+Visit.pdf&document_id=0902a1e3800a17ca"
"CCCB-02762";"Monitoring";"7/23/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02762_07232019+Visit.pdf&document_id=0902a1e38004c578"
"CCCB-02762";"Revision";"4/4/2019";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02762_04042019+Visit.pdf&document_id=0902a1e380040647"
"CCCB-02762";"Licensed Complaint";"3/14/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02762_03142019+Visit.pdf&document_id=0902a1e38003cccb"
"CCCB-02762";"Monitoring";"4/10/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02762_04102018+Visit.pdf&document_id=0902a1e380027076"
"CCCB-02762";"Renewal";"7/27/2017";"Violations Found-SOF Issued";
"CCCB-02762";"Monitoring";"3/23/2016";"Violations Found-SOF Issued";
"CCCB-06332";"Monitoring";"3/3/2020";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06332_03032020+Visit.pdf&document_id=0902a1e38006e177"
"CCCB-06332";"Monitoring";"3/20/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06332_03202019+Visit.pdf&document_id=0902a1e38003cca5"
"CCCB-06332";"Renewal";"5/17/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06332_05172018+Visit.pdf&document_id=0902a1e38002941e"
"CCCB-06332";"Monitoring";"10/18/2017";"Violations Found-SOF Issued";
"CCCB-06332";"Monitoring";"10/7/2016";"Violations Found-SOF Issued";
"CCCB-00637";"Monitoring";"10/16/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00637_10162020+Visit.pdf&document_id=0902a1e38009e6c3"
"CCCB-00637";"Renewal";"3/5/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00637_03052019+Visit.pdf&document_id=0902a1e38003ad84"
"CCCB-00637";"Monitoring";"2/21/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00637_02212018+Visit.pdf&document_id=0902a1e38002622a"
"CCCB-00637";"Monitoring";"2/16/2017";"Violations Found-SOF Issued";
"CCCB-00637";"Renewal";"3/15/2016";"NCSOF Issued";
"CCCB-00916";"Monitoring";"9/10/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00916_09102020+Visit.pdf&document_id=0902a1e3800a05c5"
"CCCB-00916";"Renewal";"10/24/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00916_10242019+Visit.pdf&document_id=0902a1e38005757d"
"CCCB-00916";"Monitoring";"5/31/2018";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00916_05312018+Visit.pdf&document_id=0902a1e380029acd"
"CCCB-00916";"Monitoring";"4/14/2017";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00916_04142017+Visit.pdf&document_id=0902a1e38001a0ca"
"CCCB-00916";"Renewal";"10/28/2016";"NCSOF Issued";
"CCCB-06716";"Monitoring";"9/29/2020";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06716_09292020+Visit.pdf&document_id=0902a1e38009b03d"
"CCCB-06716";"Monitoring";"6/17/2019";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06716_06172019+Visit.pdf&document_id=0902a1e3800445b7"
"CCCB-06716";"Revision";"12/28/2018";"No Violations Found";
