"full_name";"owner_name";"license_no";"license_status";"license_type";"mailing_address_line_1";"mailing_address_city";"mailing_address_state";"mailing_address_zipcode";"mailing_address_county";"mailing_address_phone";"physical_address_line_1";"physical_address_city";"physical_address_state";"physical_address_zipcode";"physical_address_county";"physical_address_phone";"director_first_name";"director_last_name";"capacity";"age_wks_lo";"age_mos_lo";"age_yrs_lo";"age_yrs_hi"
"Whistle Top Preschool";"Nifty Broome";"CCCB-06587";"Active";"Center Based Program License";"847 Washburn Road";"Alexandria";"NH";03222;"Grafton";(603) 744-2742;"847 Washburn Road";"Alexandria";"NH";03222;"Grafton";(603) 744-2742;"Nifty";"Broome";8;;;3;5
"Marie's Day Care";"Marie Carson";"CCFB-06438";"Active";"Family Based Program License";"137 Berry Farm Road";"Alexandria";"NH";03222;"Grafton";(603) 387-9656;"137 Berry Farm Road";"Alexandria";"NH";03222;"Grafton";(603) 387-9656;"Marie";"Carson";16;6;;;13
"Peace Of Mind After School Program";"Kellie Bassett";"CCCB-04307";"Active";"Center Based Program License";"30 Main Street";"Allenstown";"NH";03275;"Merrimack";(603) 848-8499;"30 Main Street";"Allenstown";"NH";03275;"Merrimack";(603) 848-8499;"Kellie";"Bassett";60;;;5;12
"Tender Years Child Care And  Learning Center";"Tender Years Child Care And  Learning Center, Inc.";"CCCB-02686";"Active";"Center Based Program License";"3 Chester Turnpike";"Allenstown";"NH";03275;"Merrimack";(603) 485-8932;"3 Chester Turnpike";"Allenstown";"NH";03275;"Merrimack";(603) 485-8932;"Brenda    ";"Lafratta";74;6;;;12
"Community Church of Alton Joyful Footsteps Preschool";"Community Church Of Alton";"CCCB-05741";"Active";"Center Based Program License";"PO Box 997";"Alton";"NH";03809;"Belknap";(603) 875-5562;"101 Main Street";"Alton";"NH";03809;"Belknap";(603) 875-5562;"Alison";"Hagar";21;;6;2;7
"Community Church of Alton After School Program";"Community Church of Alton";"CCCB-05702";"Active";"Center Based Program License";"20 Church Street";"Alton";"NH";03809;"Belknap";(603) 875-5561;"20 Church Street";"Alton";"NH";03809;"Belknap";(603) 387-5856;"Cindy     ";"Bothwick";20;;;6;12
"Cuddly Bear Day Care";"Janice Pauley";"CCFB-05943";"Active";"Family Based Program License";"775 Frank C. Gilman Highway";"Alton";"NH";03809;"Belknap";(603) 364-5737;"775 Frank C. Gilman Highway";"Alton";"NH";03809;"Belknap";(603) 364-5737;"Janice    ";"Pauley";17;6;;;13
"Little Einsteins Preschool Learning Center";"Little Einsteins Preschool Learning Center, LLC";"CCCB-05884";"Active";"Center Based Program License";"PO Box 904";"Amherst";"NH";03031;"Hillsborough";(603) 673-3022;"199 Route 101";"Amherst";"NH";03031;"Hillsborough";(603) 673-3022;"Darcie    ";"Gonsalves";20;;;3;6
"Country Village Montessori School";"Claire Doody";"CCCB-05636";"Active";"Center Based Program License";"2 Overlook Drive";"Amherst";"NH";03031;"Hillsborough";(603) 672-3882;"2 Overlook Drive";"Amherst";"NH";03031;"Hillsborough";(603) 672-3882;"Claire    ";"Doody";40;;33;;10
"The Preschool In The Village";"The Preschool In The Village, INC.";"CCCB-00637";"Active";"Center Based Program License";"11 Church Street";"Amherst";"NH";03031;"Hillsborough";(603) 672-3168;"11 Church Street";"Amherst";"NH";03031;"Hillsborough";(603) 672-3168;"Barbara   ";"Sinclair";60;;33;;12
