"facilityGenId";"licenseNumber";"facilityName";"facilityType";"address";"address2";"city";"state";"zip";"county";"phone";"phoneTypeDesc";"email";"providerStatus";"website";"licensedCapacity";"agesServedIndicatorValue";"directorFirstName";"directorMiddleName";"directorLastName";"qrisLevel";"qrisDate";"qrisOverride";"expirationDate";"facilityLicenseType";"scheduleMonday";"scheduleMondayOpenTime";"scheduleMondayCloseTime";"scheduleTuesday";"scheduleTuesdayOpenTime";"scheduleTuesdayCloseTime";"scheduleWednesday";"scheduleWednesdayOpenTime";"scheduleWednesdayCloseTime";"scheduleThursday";"scheduleThursdayOpenTime";"scheduleThursdayCloseTime";"scheduleFriday";"scheduleFridayOpenTime";"scheduleFridayCloseTime";"scheduleSaturday";"scheduleSaturdayOpenTime";"scheduleSaturdayCloseTime";"scheduleSunday";"scheduleSundayOpenTime";"scheduleSundayCloseTime";"specialistFirstName";"specialistLastName";"specialistPhone";"specialistEmail";"isCCDF";"federalId";"federalIdName";"eppicId";"caresId";"legacyId";"dohCampId";"dohMonitoringDate";"complaintCount";"sanctionCount";"seriousIncidentCount";"injuryCount";"deathCount";"grievanceCount";"lastQrisMonitoringVisit";"updatedBy";"createDate";"caseStatus";"lastInspectionMonitoringVisit";"lastLicensingVisit";"facilityTypeDescription";"facilityTypeLongName";"facilityTypeShortName";"currentCapacity";"facilityStatus";"facilityLicenseStatus";"showRenew";"nonComplianceCount";"facilityTypeDesc";"directorTitle"
700307;"01KID0003";"Kids Place";"Child Care Center";"546 Cincinnati Ave";" ";"Egg Harbor City";"NJ";8215;"Atlantic";6099655044;"Center Phone";"kidzplas@verizon.net";"Active";;24;"2 1/2 - 13 years";"Cynthia";;"Dagrosa";0;;0;"11/16/2023";"Temporary";;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1000927;604900;"01KID0003";;;1;2;"None";0;0;"None";"None";0;;"Active";"12/14/2022";"12/14/2022";"Child Care Center";"Child Care Center";"Center";24;"Active";"Active";0;5;"Child Care Center";"Director"
700341;91000147;"Tomorrows Leaders Childcare/Learning Center";"Child Care Center";"303 New Jersey Avenue";" ";"Absecon";"NJ";8201;"Atlantic";6096771877;"Center Phone";"Tomorrowsleaders@ymail.com";"Active";;30;"2 1/2 - 13 years";"Josephine";"A";"Oglesby";2;"2018-12-15T03:00:33.543";1;"8/12/2023";"Temporary";;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1001076;640632;91000147;4135;;1;2;"None";0;0;"None";"None";0;;"Active";"5/20/2022";"12/16/2022";"Child Care Center";"Child Care Center";"Center";30;"Active";"Active";0;46;"Child Care Center";
700343;100700103;"Kidz Campus";"Child Care Center";"682 White Horse Pike";" ";"Absecon";"NJ";8201;"Atlantic";6093850145;"Center Phone";"Fun@Kidz-Campus.com";"Active";;72;"0 - 13 years";"Letitia";;"Nilan";1;"2019-05-05T03:54:23.457";1;"12/20/2025";"Regular";;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1001080;640943;100700103;;;0;1;"None";0;0;"None";"None";0;;"Active";"8/18/2022";"11/15/2022";"Child Care Center";"Child Care Center";"Center";72;"Active";"Active";0;27;"Child Care Center";
700350;91100043;"Beginners First Academy";"Child Care Center";"1201 Boulevard Route 50";" ";"Weymouth";"NJ";8330;"Atlantic";6098292292;"Work";"beginnersfirstacademy@comcast.net";"Active";;63;"0 - 13 years";"Erica";"L";"Slotter";3;"2019-12-23T00:00:00";1;"7/2/2025";"Regular";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001102;640114;91100043;;;0;"None";1;0;0;"None";"None";0;;"Inactive";"1/27/2023";"1/27/2023";"Child Care Center";"Child Care Center";"Center";63;"Active";"Active";0;16;"Child Care Center";
700351;"01HAM0002";"AtlantiCare After-School Program";"Child Care Center";"601 N 4th Street";" ";"Hammonton";"NJ";8037;"Atlantic";6095672900;"Work";"abh.afterschool@gmail.com";"Active";;225;"6 - 13 years";"Anella";;"Scardino";0;;0;"6/28/2026";"Regular";"Open";"03:15 PM";"06:20 PM";"Open";"03:15 PM";"06:20 PM";"Open";"03:15 PM";"06:20 PM";"Open";"03:15 PM";"06:20 PM";"Open";"03:15 PM";"06:20 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001103;634450;"01HAM0002";;;0;"None";"None";0;0;"None";"None";0;;"Active";"1/30/2023";"1/30/2023";"Child Care Center";"Child Care Center";"Center";225;"Active";"Active";0;2;"Child Care Center";
700352;"01ATL0014";"AtlantiCare Kids";"Child Care Center";"201 N. Main Street";"North Main Street School, Kindergarten Building";"Pleasantville";"NJ";8232;"Atlantic";6096775486;"Work";"Ronni.lerner@atlanticare.org";"Active";;75;"2 1/2 - 13 years";"Heather";"V";"Turner";1;"2019-03-20T17:04:22.573";1;"9/9/2023";"Regular";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001104;632785;"01ATL0014";;;0;2;"None";0;0;"None";"None";0;;"Pending";"5/5/2023";"5/5/2023";"Child Care Center";"Child Care Center";"Center";75;"Active";"Active";0;17;"Child Care Center";"Director"
700353;170900166;"Atlantic Christian School";"Child Care Center";"391 Zion Road";" ";"Egg Harbor Township";"NJ";8234;"Atlantic";6096531199;"Center Phone";"galford@acseht.org";"Active";"https://www.acseht.org";180;"0 - 13 years";"Gail";;"Alford";0;;0;"1/22/2024";"Regular";"Open";"07:00 AM";"05:30 PM";"Open";"07:00 AM";"05:30 PM";"Open";"07:00 AM";"05:30 PM";"Open";"07:00 AM";"05:30 PM";"Open";"07:00 AM";"05:30 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001106;631848;170900166;2058;;0;"None";2;1;0;"None";"None";0;;"Active";"12/20/2022";"6/21/2023";"Child Care Center";"Child Care Center";"Center";180;"Active";"Active";1;11;"Child Care Center";
700354;"01ONE0001";"One Love Day Care and Preschool, LLC";"Child Care Center";"868 Harding Hwy";;"Buena Vista";"NJ";8310;"Atlantic";8566970485;"Center Phone";"onelovedaycare@gmail.com";"Active";"https://www.onelovedayare.net";28;"0 - 13 years";"Nicole";;"Mistroff";0;;0;"8/23/2024";"Temporary";"Open";"06:30 AM";"05:30 PM";"Open";"06:30 AM";"05:30 PM";"Open";"06:30 AM";"05:30 PM";"Open";"06:30 AM";"05:30 PM";"Open";"06:30 AM";"05:30 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001107;631927;"01ONE0001";;;0;3;"None";0;0;"None";"None";0;;"Active";"6/8/2023";"7/17/2023";"Child Care Center";"Child Care Center";"Center";28;"Active";"Active";0;12;"Child Care Center";"Director"
700356;"01TRI0001";"Trinity Learning Center";"Child Care Center";"7004 Ridge Avenue";" ";"Egg Harbor Township";"NJ";8234;"Atlantic";6096539001;"Work";"abaldwin@trinitylearningcenter.org";"Active";;180;"0 - 13 years";"Angela";;"Baldwin";0;;1;"4/26/2025";"Regular";;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1001110;634229;"01TRI0001";;;0;2;"None";0;0;"None";"None";0;;"Inactive";"1/13/2023";"6/21/2023";"Child Care Center";"Child Care Center";"Center";180;"Active";"Active";0;11;"Child Care Center";
700357;"01KID0010";"Kids' Choice Academy, L.L.C.";"Child Care Center";"6652 Black Horse Pike";" ";"Egg Harbor Township";"NJ";8234;"Atlantic";6092723099;"Work";"Kidschoiceacademy@verizon.net";"Active";;93;"0 - 13 years";"Sarah";;"Schlect";3;"2018-09-10T00:00:00";1;"6/24/2025";"Regular";;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1001113;629821;"01KID0010";;;1;1;"None";0;0;"None";"None";0;;"Active";"7/21/2023";"7/21/2023";"Child Care Center";"Child Care Center";"Center";67;"Active";"Active";0;47;"Child Care Center";
