"facilityGenId";"licenseNumber";"facilityName";"facilityType";"address";"address2";"city";"state";"zip";"county";"phone";"phoneTypeDesc";"email";"providerStatus";"website";"licensedCapacity";"agesServedIndicatorValue";"directorFirstName";"directorMiddleName";"directorLastName";"qrisLevel";"qrisDate";"qrisOverride";"expirationDate";"facilityLicenseType";"scheduleMonday";"scheduleMondayOpenTime";"scheduleMondayCloseTime";"scheduleTuesday";"scheduleTuesdayOpenTime";"scheduleTuesdayCloseTime";"scheduleWednesday";"scheduleWednesdayOpenTime";"scheduleWednesdayCloseTime";"scheduleThursday";"scheduleThursdayOpenTime";"scheduleThursdayCloseTime";"scheduleFriday";"scheduleFridayOpenTime";"scheduleFridayCloseTime";"scheduleSaturday";"scheduleSaturdayOpenTime";"scheduleSaturdayCloseTime";"scheduleSunday";"scheduleSundayOpenTime";"scheduleSundayCloseTime";"specialistFirstName";"specialistLastName";"specialistPhone";"specialistEmail";"isCCDF";"federalId";"federalIdName";"eppicId";"caresId";"legacyId";"dohCampId";"dohMonitoringDate";"complaintCount";"sanctionCount";"seriousIncidentCount";"injuryCount";"deathCount";"grievanceCount";"lastQrisMonitoringVisit";"updatedBy";"createDate";"caseStatus";"lastInspectionMonitoringVisit";"lastLicensingVisit";"facilityTypeDescription";"facilityTypeLongName";"facilityTypeShortName";"currentCapacity";"facilityStatus";"facilityLicenseStatus";"showRenew";"nonComplianceCount";"facilityTypeDesc";"directorTitle"
700307;"01KID0003";"Kids Place";"Child Care Center";"546 Cincinnati Ave";" ";"Egg Harbor City";"NJ";8215;"Atlantic";6099655044;"Center Phone";"kidzplas@verizon.net";"Active";;24;"2 1/2 - 13 years";"Cynthia";;"Dagrosa";0;;0;"5/16/2022";"Regular";;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1000927;604900;"01KID0003";;;0;2;"None";0;0;"None";"None";0;"Dec 15 2018  1:58AM";"Active";;"9/22/2020";"Child Care Center";"Child Care Center";"Center";24;"Active";"Active";0;0;"Child Care Center";"Director"
700316;"01BAR0002";"Barbarito and Beyers Preschools, Inc.";"Child Care Center";"48 Mill Street";" ";"Mays Landing";"NJ";8330;"Atlantic";6096254443;"Work";"barbaritobeyers@comcast.net";"Temporary Closure";;60;"0 - 13 years";;;;0;;0;"1/20/2022";"Regular";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1000954;604701;"01BAR0002";3230;;2;2;"None";0;0;"None";"None";0;"Dec 15 2018  1:58AM";"Active";"5/6/2019";"3/4/2020";"Child Care Center";"Child Care Center";"Center";60;"Temporary Closure";"Active";0;31;"Child Care Center";
700341;91000147;"Tomorrows Leaders Childcare/Learning Center";"Child Care Center";"303 New Jersey Avenue";" ";"Absecon";"NJ";8201;"Atlantic";6096771877;"Center Phone";"Tomorrowsleaders@ymail.com";"Active";;30;"2 1/2 - 13 years";"Josephine";"A";"Oglesby";2;"2018-12-15T03:00:33.543";1;"8/12/2022";"Regular";;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1001076;640632;91000147;;;0;2;"None";0;0;"None";"None";0;"Dec 15 2018  1:58AM";"Active";"5/6/2019";"8/5/2020";"Child Care Center";"Child Care Center";"Center";30;"Active";"Active";0;27;"Child Care Center";"Director"
700343;100700103;"Kidz Campus";"Child Care Center";"682 White Horse Pike";" ";"Absecon";"NJ";8201;"Atlantic";6093850145;"Center Phone";"Fun@Kidz-Campus.com";"Active";;72;"0 - 13 years";"Nancy";"R";"Warker";0;;1;"12/20/2022";"Regular";;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1001080;640943;100700103;;;1;1;"None";0;0;"None";"None";0;"Dec 15 2018  1:58AM";"Pending";"10/21/2019";"7/21/2020";"Child Care Center";"Child Care Center";"Center";72;"Active";"Active";0;23;"Child Care Center";"Director"
700350;91100043;"Beginners First Academy";"Child Care Center";"1201 Boulevard Rt. 50";" ";"Weymouth";"NJ";8330;"Atlantic";6098292292;"Work";"beginnersfirstacademy@comcast.net";"Active";;63;"0 - 13 years";"Erica";"L";"Slotter";3;"2018-12-15T03:00:33.543";1;"7/2/2022";"Regular";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001102;640114;91100043;;;2;"None";"None";0;0;"None";"None";0;"Dec 15 2018  1:58AM";"Pending";"2/7/2020";"7/9/2020";"Child Care Center";"Child Care Center";"Center";63;"Active";"Active";0;24;"Child Care Center";"Director"
700351;"01HAM0002";"AtlantiCare After-School Program";"Child Care Center";"601 N 4th Street";" ";"Hammonton";"NJ";8037;"Atlantic";6095672900;"Sponsor Phone";"anella.scardino@atlanticare.org";"Active";;225;"6 - 13 years";"Anella";;"Scardino";0;;0;"6/28/2021";"Temporary";"Open";"03:20 PM";"06:20 PM";"Open";"03:20 PM";"06:20 PM";"Open";"03:20 PM";"06:20 PM";"Open";"03:20 PM";"06:20 PM";"Open";"03:20 PM";"06:20 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001103;634450;"01HAM0002";;;0;"None";"None";0;0;"None";"None";0;"Dec 15 2018  1:58AM";"Pending";"10/3/2019";"10/27/2020";"Child Care Center";"Child Care Center";"Center";225;"Active";"Active";0;1;"Child Care Center";"Program Supervisor"
700352;"01ATL0014";"AtlantiCare Kids";"Child Care Center";"201 N. Main Street";"North Main Street School, Kindergarten Building";"Pleasantville";"NJ";8232;"Atlantic";6096775486;"Work";;"Temporary Closure";;150;"2 1/2 - 13 years";"Heather";"V";"Turner";1;"2019-03-20T17:04:22.573";1;"9/9/2021";"Temporary";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001104;632785;"01ATL0014";;;0;2;"None";0;0;"None";"None";0;"Dec 15 2018  1:58AM";"Active";"3/2/2020";"1/12/2021";"Child Care Center";"Child Care Center";"Center";75;"Temporary Closure";"Active";0;9;"Child Care Center";"Director"
700353;170900166;"Atlantic Christian School";"Child Care Center";"391 Zion Road";" ";"Egg Harbor Township";"NJ";8234;"Atlantic";;;;"Active";;180;"0 - 13 years";"Gail";;"Alford";0;;0;"1/22/2022";"Temporary";"Open";"06:00 AM";"06:00 PM";"Open";"06:00 AM";"06:00 PM";"Open";"06:00 AM";"06:00 PM";"Open";"06:00 AM";"06:00 PM";"Open";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001106;631848;170900166;2058;;0;"None";1;1;0;"None";"None";0;"Dec 15 2018  1:58AM";"Pending";;"7/16/2020";"Child Care Center";"Child Care Center";"Center";180;"Active";"Active";0;0;"Child Care Center";"Director"
700354;"01ONE0001";"One Love Day Care and Preschool, LLC";"Child Care Center";"868 Harding Hwy";"PO Box 713";"Buena Vista";"NJ";8310;"Atlantic";8566970485;"Work";"onelovedaycare@gmail.com";"Active";;28;"0 - 13 years";"Nicole";;"Mistroff";0;;0;"8/23/2021";"Temporary";"Open";"06:30 AM";"05:30 PM";"Open";"06:30 AM";"05:30 PM";"Open";"06:30 AM";"05:30 PM";"Open";"06:30 AM";"05:30 PM";"Open";"06:30 AM";"05:30 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001107;631927;"01ONE0001";;;0;3;"None";0;0;"None";"None";0;"Dec 15 2018  1:58AM";"Pending";"11/8/2019";"6/24/2020";"Child Care Center";"Child Care Center";"Center";28;"Active";"Active";0;4;"Child Care Center";"Director"
700355;"01LIT0013";"Little PAL's Preschool";"Child Care Center";"2594 Tilton Road";" ";"Egg Harbor Township";"NJ";8234;"Atlantic";;;;"Active";;57;"0 - 13 years";"Hector";;"Tavarez";1;"2021-01-14T17:26:59.273";0;"9/1/2021";"Regular";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Open";"07:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";"Closed";"06:00 AM";"06:00 PM";;;;;1;;;1001108;632150;"01LIT0013";;;0;4;"None";0;0;"None";"None";0;"Dec 15 2018  1:58AM";"Active";"11/7/2019";"6/25/2020";"Child Care Center";"Child Care Center";"Center";57;"Active";"Active";1;2;"Child Care Center";"Director"
