"ID,";"Inspection month";"Inspection url";"Note"
"16ELM0003";"2019 - May";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0003may2019.pdf";
"16ELM0003";"2018 - May";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0003may2018.pdf";
"16ELM0003";"2017 - March";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0003mar2017.pdf";
"16ELM0003";"2016 - April";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0003apr2016.pdf";
"16ELM0003";"2015 - June";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0003jun2015.pdf";
"16ELM0003";"2014 - July";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0003jul2014.pdf";
"16ELM0003";"2013 - May";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0003may2013.pdf";
"16ELM0002";"2018 - October";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0002oct2018.pdf";
"16ELM0002";"2017 - November";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0002nov2017.pdf";
"16ELM0002";"2017 - March";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0002mar2017.pdf";
"16ELM0002";"2017 - March";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0002mar2017CS.pdf";"Complaint Investigation Summary"
"16ELM0002";"2016 - August";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0002aug2016.pdf";
"16ELM0002";"2015 - June";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0002jun2015.pdf";
"16ELM0002";"2014 - March";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0002mar2014.pdf";
"16ELM0002";"2013 - July";"http://www.nj.gov/dcf/families/childcare/centers/16ELM0002jul2013.pdf";
90700227;"2019 - February";"http://www.nj.gov/dcf/families/childcare/centers/090700227feb2019.pdf";
90700227;"2017 - December";"http://www.nj.gov/dcf/families/childcare/centers/090700227dec2017.pdf";
90700227;"2015 - July";"http://www.nj.gov/dcf/families/childcare/centers/090700227jul2015.pdf";
90700227;"2014 - September";"http://www.nj.gov/dcf/families/childcare/centers/090700227sep2014.pdf";
130800278;"2017 - December";"http://www.nj.gov/dcf/families/childcare/centers/130800278dec2017.pdf";
130800278;"2016 - May";"http://www.nj.gov/dcf/families/childcare/centers/130800278may2016.pdf";
130800278;"2015 - December";"http://www.nj.gov/dcf/families/childcare/centers/130800278dec2015.pdf";
130800278;"2013 - October";"http://www.nj.gov/dcf/families/childcare/centers/130800278oct2013.pdf";
