id;name;address;city;state;zip;county;phone;main website;email;details;location url;facebook page;business hours;career/employment url;application/registration url;parent handbook url;infant (under 12 months);toddler (1-2yrs);preschools (2-3yrs);pre-kindergarden(4yr);before/afterschools;camps;logo url (only small logo if available);pictures url 1;picture url 2;picture url 3;picture url 4;bad url?;
1028803;St. Isabel De Hungria Nursery School;121 CONGRESS STREET;NEWARK;NJ;7105;ESSEX;(973) 589-8249;;;;;;;;;;;;;;;;;;;;;Y;
1028870;CYO - East State Street Center;794 EAST STATE STREET;TRENTON;NJ;8609;MERCER;(609) 989-8143;http://www.cyomercer.org/contact_usTCS.html;;" A Proud Tradition and A Promising Future.

The Catholic Youth Organization (CYO of Mercer County) is a public benefit community organization that enhances the lives of Greater Mercer County youth and their families, by providing affordable, quality, educational and recreational services. Rooted in the Catholic Tradition, the CYO provides these services in an inclusive and non-discriminatory manner respecting the culture and faith of all.

Founded in 1961, more than 100,000 young people have walked through the Broad Street doors of the CYO Center in Trenton or played at the CYO Camp on Yardville-Allentown Road in Hamilton. Currently served by 25 full-time staff persons (including an Executive Director and 3 Program Directors, certified Pre-School Teachers, as well as over 125 Camp, Teen Program, and After School Counselors), the CYO is presently undergoing program expansions, building renovations and tremendous overall growth. A very active eleven member Board of Trustees is committed to a CYO willing and able to reach out and serve the youth of Trenton and Mercer County.

As an agency of the Roman Catholic Diocese of Trenton (The Most Reverend David M. O’Connell, Bishop and President of the CYO), the CYO understands its mission to be one of love and concern for young people of every culture and faith.";http://www.cyomercer.org/contact_usTCS.html;;;http://www.cyomercer.org/2011docs/CYO%20employment%20application.pdf;;;n;n;y;y;y;y;http://www.cyomercer.org/img/logo.gif;http://www.cyomercer.org/2012docs/martinhouse/IMG_0028.jpg;http://www.cyomercer.org/2012docs/martinhouse/IMG_0037.jpg;http://www.cyomercer.org/2011docs/yardafterschool1.jpg;http://www.cyomercer.org/2011docs/chris1.jpg;;
1028875;Bright Star Day Care Center, Inc;1176-78 ROOSEVELT AVENUE;CARTERET;NJ;7008;MIDDLESEX;(732) 969-9690;;;;;;;;;;;;;;;;;;;;;Y;
1028774;Little Scholars Playhouse;356 HORSENECK ROAD;FAIRFIELD;NJ;7004;ESSEX;(973) 227-2777;https://www.facebook.com/lspchildcare/info?tab=page_info;littlescholars11@yahoo.com;;https://www.facebook.com/lspchildcare/info?tab=page_info;https://www.facebook.com/lspchildcare/info?tab=page_info; 7:30 am - 7:30 pm;;;;n;n;y;y;y;y;https://scontent-a-sea.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1173895_190921907752439_1900095923_n.png?oh=ab99b63dbf01a37337e0839183a678ff&oe=556EC7CA;https://scontent-b-sea.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/p180x540/998273_191473871030576_1711204546_n.jpg?oh=adada49e82e4312c78159acf9fd2ec59&oe=553C091C;https://scontent-a-sea.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/p180x540/1185807_191473841030579_527436294_n.jpg?oh=8949155ca17c8f697d2b7bd73d4b11a2&oe=553B2E32;https://scontent-a-sea.xx.fbcdn.net/hphotos-prn2/v/t1.0-9/555786_191473917697238_1338436432_n.jpg?oh=5e6b57a58ef9fa31ad37225e41565b6d&oe=5545D897;https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-prn2/v/t1.0-9/1185332_191473801030583_4593166_n.jpg?oh=0559c5c0cbcc46f5613e288b2c4f2080&oe=554586E9&__gda__=1430620966_dd6c956b599b530b26b5f8f0739ee134;;
1028929;UKRAINIAN LEARNING ACADEMY;60 NORTH JEFFERSON ROAD;HANOVER TOWNSHIP;NJ;7981;Morris;(908) 938-1497;https://www.facebook.com/pages/Ukrainian-Learning-Academy/485483141463545?sk=info&tab=page_info;Ukracademy@yahoo.com;Ukrainian Learning Academy is an Early Learning Development Center in Central New Jersey providing pre-school education and day care services to Ukrainian heritage families with young children ages 2.5-6 The ULA is an excellent opportunity for your child to learn and grow surrounded by Ukrainian traditions, language, songs, and friends!;https://www.facebook.com/pages/Ukrainian-Learning-Academy/485483141463545?sk=info&tab=page_info;https://www.facebook.com/pages/Ukrainian-Learning-Academy/485483141463545?sk=info&tab=page_info;;;;;n;n;y;y;n;n;;https://scontent-a-sea.xx.fbcdn.net/hphotos-xfp1/t31.0-8/s960x960/10428149_845979655413890_8077228412570593125_o.jpg;https://scontent-a-sea.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/s720x720/563416_581233591888499_1673997924_n.jpg?oh=f40a9b533ff40246dcd84aa50c83e438&oe=5525EB9D;https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/313772_581232335221958_478106769_n.jpg?oh=02301f4ce319b9c2ebefd822ac207734&oe=553867AF&__gda__=1429042302_bf89e37503c656e3846eaa3e760cdc9a;;;
1028771;Holy Trinity School, Inc.;153 GLENWOOD AVENUE;EAST ORANGE;NJ;7017;ESSEX;(973) 677-3131;;;;;;;;;;;;;;;;;;;;;Y;
1074797;Bright Start II;5 - 05 SADDLE RIVER ROAD;FAIR LAWN;NJ;7410;BERGEN;(201) 794-9400;http://www.allbrightcenter.com/all-bright/getpage.php?page=contact;info@allbrightcenter.com;"We believe in the potential of each child to achieve greatness and success,
if given a chance,
and our mission is to help all children
become creative and independent learners
and acquire all necessary skills to be successful and happy in life.
We combine the great European tradition of Education and Culture with
the state-of-the-art American technology and
our personal dedication and
love of children.
Our goal is to bridge the cultural gaps and bring these values to as many children as possible , regardless of ability, age, race or cultural and economic backgrounds. ";http://www.allbrightcenter.com/all-bright/getpage.php?page=contact;;;;http://www.allbrightcenter.com/all-bright/enrollment.php;;n;y;y;y;y;y;http://www.allbrightcenter.com/all-bright/images/logo/ColorLogo.gif;http://www.allbrightcenter.com/all-bright/images/photo/20110818Camp/camp12.jpg;http://www.allbrightcenter.com/all-bright/images/photo/20110818Camp/camp9.jpg;http://www.allbrightcenter.com/all-bright/images/photo/2011067MusiciansOfBremen/IMG_1786-BremMuzikanti-060711-crop2-mod.jpg;http://www.allbrightcenter.com/all-bright/images/photo/20091101BrightMindsPerformance/IMG_1070.JPG;;
1074798;Gan Aviv Nursery;16-00 POLLITT DRIVE;FAIR LAWN;NJ;7410;BERGEN;(201) 452-4549;http://www.ganaviv.com/fairlawnlocation.html;info@ganaviv;"Welcome to Gan Aviv, a Jewish school for children ages 2 months to Pre-K.  Founded in 2007, it was created for Jewish working parents.  With 5+ years of experience, our program's success is now the model for other centers in the area.  

Gan Aviv offers a bilingual English-Hebrew program, aimed to support language skills and development of children growing up in bilingual environments.  We are a Kosher facility and offer hot Kosher lunches for an additional fee, including meat days twice a week.

We offer age-appropriate activities focusing on the physical, emotional and social needs of each individual child in a stimulating, creative, nurturing and safe environment.";http://www.ganaviv.com/fairlawnlocation.html;;;http://www.ganaviv.com/employment.html;;;y;y;y;y;n;n;;http://www.ganaviv.com/images/296_infant_sleeping_area.jpg;http://www.ganaviv.com/images/385_DSC02608.JPG;http://www.ganaviv.com/images/385_infant_playing_area.JPG;http://www.ganaviv.com/images/385_DSC02696.JPG;;
1074900;The Keith Wold Johnson C C C;2050 OAK TREE RD;EDISON;NJ;8820;MIDDLESEX;(732) 379-5101;;;;;;;;;;;;;;;;;;;;;Y;
1028861;Painted Oak Nursery School;104 Straube Center Boulevard, Building C;PENNINGTON;NJ;8534;MERCER;(609) 737-3072;http://www.paintedoak.org/;paintedoakns@gmail.com ;"At PONS, we believe that childhood is a time of wonder and magic, 
a time to ask questions and be given the time to find the answers, a time to play,  to imagine, and to explore. Painted Oak puts the natural development of children, as well as the close relationships they share with their environment,  at the center of its mission.  Our program revolves around imaginative play, outdoor exploration, and creative expression. ";http://www.paintedoak.org/;https://www.facebook.com/paintedoak/info?tab=page_info;8:00am to 5:00pm, Monday through Friday;http://www.paintedoak.org/#!employment;http://www.paintedoak.org/#!enrollment;;y;y;y;y;n;n;;https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/p180x540/10176232_845849308794859_1703042929161612799_n.jpg?oh=f986d0224a3d8b641cce4d92bf538b26&oe=5545A114&__gda__=1428556787_98c6a7326c70783cbd85793a92e83eb4;https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/s720x720/10846019_845320478847742_589415574690888064_n.jpg?oh=db6edb7e04bf046413fec697dad3f9e4&oe=55354E49&__gda__=1428304423_0fe4c22b0a744eb224b93ad61ffd7c1c;https://scontent-a-sea.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s720x720/10896893_846524462060677_7971851351659296113_n.jpg?oh=b8a78917a649181ba1a79a1cc89311b6&oe=55431F00;https://scontent-b-sea.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/p180x540/1920599_843767979002992_5213935157807994573_n.jpg?oh=a0f0ef0b1c63d0b30cb53b629d36763f&oe=5539A25C;;
