"id";"name";"street";"city";"state";"zip";"phone";"county";"email";"website";"rating";"ages_served";"schedule";"environment";"special_needs";"languages";"license_id";"care_type";"meals";"financial_assistance";"animals_pets";"transportation";"elementary_schools";"hours_of_operation_monday";"hours_of_operation_tuesday";"hours_of_operation_wednesday";"hours_of_operation_thursday";"hours_of_operation_friday";"hours_of_operation_saturday";"hours_of_operation_sunday";"latitude";"longitude";"alternate_phone"
3776;"NMPreK-P (Bernalillo PS) Algodones Elementary";"1399 Hwy 313";"Algodones";"NM";87001;"505-867-2803";"Sandoval";;;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.378863;-106.4826551;
4131;"Santo Domingo Pueblo Tribe - Santo Domingo Head Start";"125 W Hwy 22";"Santo Domingo Pueblo";"NM";87052;"505-465-2728 EXT 104";"Sandoval";;;" ";"3, 4, 5 years old";"Part-Time, School Year";;;;;"(CCC) Head Start";;"Head Start; FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.5147979;-106.3658566;
4165;"Five Sandoval Indian Pueblos, Inc - Santa Ana Head Start";"2 Dove Rd";"Bernalillo";"NM";87004;"505-867-3351 EXT 144";"Sandoval";;;" ";"3, 4, 5 years old";"Part-Time, School Year";;;;;"(CCC) Head Start";;"Head Start; FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.343659;-106.530655;
2048;"PMS Head Start - Bernalillo (TEMP CLOSED)";"100 Ricardo Lane";"Bernalillo";"NM";87004;"505-771-0647";"Sandoval";"gabrielle.bigger@pmsnm.org";"www.pmsnm.org";"2-STAR Basic Licensure";"Infant, 1, 2, 3, 4, 5 years old";"Full-Time, School Year";;;"English; Spanish; Bilingual";94727;"(CCC) Head Start";;"Head Start; FREE-CALL FOR SESSION START/END TIMES";;"Transportation Not Provided";;;;;;;;;35.3241892;-106.5395157;
3779;"NMPreK-P (BPS) La Escuelita ECC @ Carroll Elementary";"301 Calle de Escuela";"Bernalillo";"NM";87004;"505-404-5585";"Sandoval";;;" ";"4 years old";"Part-Time, School Year";;;"English";;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.3134209;-106.542295;
1529;"PB & J Family Services Inc.";"255 A Camino del Pueblo";"Bernalillo";"NM";87004;"505-867-2356";"Sandoval";"alixandria@pbjfamilyservices.org";"www.pbjfamilyservices.org";"5-STAR";"Infant, 1, 2, 3 years old";"Part-Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";90433;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"No Child Care Assistance Accepted";"No Pets or Animals";"Transportation Not Provided";;"7:30 AM - 04:30 PM";"7:30 AM - 04:30 PM";"7:30 AM - 04:30 PM";"7:30 AM - 04:30 PM";"7:30 AM - 04:30 PM";;;35.3154379;-106.5462497;"505-877-7060"
4458;"NMPreK-C PB & J Family Services - Bernalillo";"255 A Camino Del Pueblo";"Bernalillo";"NM";87004;"505-867-2356";"Sandoval";;;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.3154379;-106.5462497;
3938;"NMPreK-C La Petite Academy Inc 7280 (EMERG OPEN)";"355 E Avenida Bernalillo";"Bernalillo";"NM";87004;"505-867-6672";"Sandoval";"7280@lapetite.com";;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.2970018;-106.5454713;
631;"La Petite Academy Inc 7280 (EMERG OPEN)";"355 E Avenida Bernalillo";"Bernalillo";"NM";87004;"505-867-6672";"Sandoval";"lpanmaab@lpacorp.com";"www.lapetite.com";"5-STAR";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";81441;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Sibling Discount; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Provided; Near Public Transportation; School bus stop is close to Provider";"Placitas Elem. - Placitas; Vista Grande Elem. - Rio Rancho";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";;;35.2970018;-106.5454713;"505-867-6673"
506;"Marians Day Care (EMERG OPEN)";"1206 Camino del Pueblo";"Bernalillo";"NM";87004;"505-832-7939";"Sandoval";"mar0312.dj@gmail.com";;"4-STAR";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";15292;"Child Care Center";"Breakfast; Morning Snack; Lunch; Afternoon Snack; Dinner";"Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Provided; Walking Distance to School; Near Public Transportation; School bus stop is close to Provider";"Bernalillo Elem. - Bernalillo; Carroll Elem. - Bernalillo";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";;;35.298406;-106.5517401;
2432;"(FCCH) (SSB) Irene's Childcare";"Avenida Bernalillo & Calle Mesquite";"Bernalillo";"NM";87004;"505-435-7223";"Sandoval";"irenemsaenz@yahoo.com";;"2-STAR Basic Licensure";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Smoking; No Swimming Pool; No Guns (FCCH Only); Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; No Experience or Training";"English; Spanish; Bilingual";58815;"Family Child Care";"Breakfast; Morning Snack; Lunch; Afternoon Snack; Dinner";"Sibling Discount; Rates Negotiable; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Outdoor Only; Dog(s)";"Transportation Not Provided; School bus stop is close to Provider";"All Local Schools";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";;35.302843;-106.556613;
1840;"(FCCH) Joann's Day Care (EMERG OPEN)";"Avenida Bernalillo & Camino del Pueblo";"Bernalillo";"NM";87004;"505-867-1577";"Sandoval";"joannejaramillo93@yahoo.com";;"2-STAR Basic Licensure";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Smoking; No Swimming Pool; Non Faith-based; Outdoor play area fenced; Guns kept locked & inaccessible to children";"Program has strong commitment to inclusion; Experience with Inclusion";"English; Spanish; Bilingual";69424;"Family Child Care";"Breakfast; Morning Snack; Lunch; Afternoon Snack; Dinner; Special Diet";"Rates Negotiable; Sliding scale based on family size/income; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Indoor/Outdoor; Dog(s)";"Transportation Provided; School bus stop is close to Provider";"All Local Schools";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";;;35.293923;-106.5519573;
3777;"NMPreK-P (Bernalillo PS) Cochiti Elementary";"800 Quail Hill Trail";"Pena Blanca";"NM";87041;"505-867-5547";"Sandoval";;;" ";"4 years old";"Part-Time, School Year";;;"English";;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.5792628;-106.3207029;
2932;"Marians Child Development Center";"4351 Jager Way NE";"Rio Rancho";"NM";87144;"505-867-5500";"Sandoval";"laurencrespin@yahoo.com";;"3-STAR";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";148836;"Child Care Center";"Breakfast; Morning Snack; Lunch; Afternoon Snack; Dinner";"Sibling Discount; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Provided";"Bernalillo Elem. - Bernalillo; Sandia Vista Elem. - Rio Rancho; Shining Stars Preschool - Rio Rancho; Vista Grande Elem. - Rio Rancho";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";;;35.3236775;-106.5785719;"505-220-7539"
4660;"Country Bumpkin Daycare (EMERG OPEN)";"7555 Enchanted Hills Blvd 103";"Rio Rancho";"NM";87144;"505-377-1923";"Sandoval";"countrybumpkindaycare@gmail.com";;"2-STAR Basic Licensure";"Infant, 1, 2, 3, 4, 5 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";170188;"Child Care Center";"Morning Snack; Afternoon Snack; Parents must send meals/snacks";"Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Not Provided";;"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";;;35.327729;-106.5805977;
4130;"Five Sandoval Indian Pueblos, Inc - Cochiti Head Start";"272 Cochiti St";"Cochiti Pueblo";"NM";87072;"505-867-3351 EXT 144";"Sandoval";;;" ";"3, 4, 5 years old";"Part-Time, School Year";;;;;"(CCC) Head Start";;"Head Start; FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.608501;-106.3499499;
2377;"Children's Choice at Double Eagle (EMERG OPEN)";"8901 Lowell Dr. NE";"Albuquerque";"NM";87122;"505-296-2880";"Bernalillo";"ashcraft@childrens-choice.org-choice.org";"www.childrens";"5-STAR";"5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";135439;"School Age Program";"Morning Snack; Lunch; Afternoon Snack";"Sibling Discount; Scholarships; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Walking Distance to School; Near Public Transportation; Transportation Not Provided";"Double Eagle Elem. - Albuquerque";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";;;35.1863045;-106.5077861;"505-480-1298"
