"ID";"Program Name";"Permit Holder";"Address";"Borough";"Zip Code";"Phone";"Permit Number";"Permit Expiration Date";"Permit Status";"Age Range";"Maximum Capacity";"Certified to Administer Medication";"Site Type";"Program Type";"Years in Operation";"Last Inspection Date";"Last Inspection Result";"% of Annual Inspections w/Violations";"Number of Educational Staff";"Educational Staff Turnove"
"BronxDC2027";"1199 S E I U / EMPLOYER CHILD CARE CORPORATION";"1199 S E I U / EMPLOYER CHILD CARE CORPORATION";"2500 CRESTON AVENUE";"Bronx";10468;"718-562-2915";7455;"07/31/2023";"Permitted";"2 - 5";115;"No";"Private";"Child Care - Pre School";"17 or more";" 5/10/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection";"33 %";14;
"BronxDC11899";"1332 FULTON DAY CARE CENTER";"1332 FULTON AVENUE DAY CARE CENTER, INC.";"1332 FULTON AVENUE";"Bronx";10456;"718-378-1330";4055;"11/19/2022";"Permitted";"2 - 5";148;"No";"ACS Contracted Preschools";"Child Care - Pre School";"18 or more";" 1/13/22";;"100 %";14;
"BronxDC20062";"3467 READY, SET, LEARN L L C";"3467 READY, SET, LEARN, L L C";"3463-67 3 AVENUE";"Bronx";10456;"718-665-1234";8178;"08/11/2022";"Permitted";;167;"No";"Private";"Child Care - Pre School";12;" 12/16/21";;"50 %";16;
"BronxDC31728";"A HOUSE ON BEEKMAN, INC.";"A HOUSE ON BEEKMAN, INC.";"390 JACKSON AVENUE";"Bronx";10454;"972-841-8120";79237;"01/14/2023";"Permitted";"2 - 5";41;"No";"Private";"Child Care - Pre School";7;" 1/6/22";" Initial Annual Inspection - Reinspection Not Required";"40 %";5;
"BronxDC39754";"A HOUSE ON BEEKMAN, INC.";"A HOUSE ON BEEKMAN, INC.";"454 EAST 148 STREET";"Bronx";10455;"845-397-1952";105552;"12/01/2023";"Permitted";;25;"No";"Private";"Child Care - Pre School";1;;;"N/A";1;
"BronxDC32490";"A PLACE OF MIRACLES";"PROJECT YOUTH SUCCESS CHILDCARE, INC.";"1838 ADEE AVENUE";"Bronx";10469;"347-427-7436";104256;"10/13/2023";"Permitted";"2 - 5";49;"Yes";"Private";"Child Care - Pre School";5;" 5/14/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";5;
"BronxDC1627";"ADAPT Community Network Bronx Children's Program";"UNITED CEREBRAL PALSY OF NEW YORK CITY INC.";"1770 STILLWELL AVENUE";"Bronx";10469;"718-652-9790";4911;"09/19/2022";"Permitted";"2 - 5";135;"Yes";"Private";"Child Care - Pre School";"18 or more";" 5/5/21";" Initial Annual Inspection - Passed inspection with no violations";"20 %";28;
"BronxDC39218";"ADAPT COMMUNITY NETWORK/ HARRY H. GORDON SCHOOL";"UNITED CEREBRAL PALSY OF NEW YORK CITY, INC.";"2465 BATHGATE AVENUE";"Bronx";10458;"718-367-5917";105234;"09/09/2022";"Permitted";;165;"No";"Corporate";"Child Care - Pre School";1;" 8/12/21";" Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection";"0 %";1;
"BronxDC260";"ALEENE LOGAN PRESCHOOL CENTER";"CLAREMONT NEIGHBORHOOD CENTER, INC.";"1450 WEBSTER AVENUE";"Bronx";10456;"718-293-1530";4170;"11/02/2023";"Permitted";"2 - 5";55;"No";"ACS Dual";"Child Care - Pre School";"19 or more";" 12/16/21";;"100 %";7;
"BronxDC22115";"ALL SEASONS A & C DAY CARE, LLC";"ALL SEASONS A & C DAY CARE, LLC";"700 ROSEWOOD STREET";"Bronx";10467;"718-231-7200";24119;"10/05/2022";"Permitted";;45;"No";"DOE CBO";"Child Care - Pre School";10;" 10/7/21";;"75 %";8;
"BronxDC35870";"ALL SEASONS ABC DAY CARE, LLC";"ALL SEASONS ABC DAY CARE, LLC";"190 EAST 162 STREET";"Bronx";10451;"718-410-9200";104380;"04/16/2022";"Permitted";"2 - 5";91;"No";"DOE CBO";"Child Care - Pre School";4;" 9/10/21";;"50 %";9;
"BronxDC35866";"ALL SEASONS ABC DAY CARE, LLC";"ALL SEASONS DAY CARE, LLC";"190 E 162ND ST";"Bronx";10451;"914-490-5231";104386;"04/26/2022";"Permitted";;14;"No";"DOE CBO";"Child Care - Infants/Toddlers";4;" 6/11/21";;"33 %";4;
"BronxDC11674";"ALL SEASONS DAY CARE, LLC";"ALL SEASONS DAY CARE, LLC";"1701 NEREID AVENUE";"Bronx";10466;"718-324-8300";7237;"05/05/2022";"Permitted";;29;"No";"Private";"Child Care - Pre School";"18 or more";" 1/12/22";" Monitoring Inspection Non-Routine - Passed inspection with no violations";"66 %";8;
"BronxDC11867";"ALL SEASONS DAY NURSERY INFANT/TODDLER";"ALL SEASONS DAY CARE, LLC";"1701 NEREID AVENUE";"Bronx";10466;"718-324-8300";7458;"11/06/2022";"Permitted";"0 - 2";18;"No";"Private";"Child Care - Infants/Toddlers";17;" 10/13/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection";"100 %";9;
"BronxDC21774";"ALLCARE PROVIDER SERVICES, INC.";"ALLCARE PROVIDER SERVICES, INC.";"100A ALDRICH STREET";"Bronx";10475;"718-618-0782";8310;"07/15/2023";"Permitted";"2 - 5";74;"No";"DOE CBO";"Child Care - Pre School";11;" 8/5/21";" Initial Annual Inspection - Passed inspection with no violations";"50 %";8;
"BronxDC32476";"AMALGAMATED NURSERY SCHOOL";"AMALGAMATED HOUSING CORPORATION";"130 GALE PLACE";"Bronx";10463;"718-543-8688";98357;"10/09/2023";"Permitted";"2 - 5";20;"No";"Private";"Child Care - Pre School";7;" 9/29/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";3;
"BronxDC109";"AMALGAMATED NURSERY SCHOOL";"AMALGAMATED NURSERY SCHOOL";"3980 ORLOFF AVENUE";"Bronx";10463;"718-543-8688";7169;"11/09/2023";"Permitted";"2 - 5";56;"No";"Private";"Child Care - Pre School";33;" 9/29/21";" Initial Annual Inspection - Reinspection Required; Fines pending";"40 %";9;
"BronxDC37363";"AMAZING KIDS LEARNING CENTER";"AMAZING KIDS CORP";"2331 Eastchester Road";"Bronx";10469;"718-654-5437";105134;"01/30/2022";"In-Renewal";"2 - 5";90;"No";"Corporate";"Child Care - Pre School";2;" 12/9/21";" Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection";"50 %";11;
"BronxDC16721";"ARCADIA CHILDREN'S DAYCARE";"SHARBANI ROY INC.";"2195 GRAND CONCOURSE";"Bronx";10453;"718-561-8062";7703;"01/05/2023";"Permitted";"2 - 5";62;"No";"Private";"Child Care - Pre School";15;" 1/27/22";" Initial Annual Inspection - Passed inspection with no violations";"20 %";9;
"BronxDC2046";"ASTOR SERVICES FOR CHILDREN AND FAMILIES / LAWRENCE F. HICKEY CENTER";"ASTOR SERVICES FOR CHILDREN AND FAMILIES";"4010 DYRE AVENUE";"Bronx";10466;"718-515-3000";5927;"07/18/2023";"Permitted";"2 - 5";40;"No";"Private";"Child Care - Pre School";"19 or more";" 11/9/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection";"60 %";14;
"BronxDC23234";"B ' ABOVE EARLY LEARNING CENTER";"B'ABOVE WORLDWIDE INSTITUTE, INC.";"1810 DAVIDSON AVENUE";"Bronx";10453;"718-466-7519";23517;"09/28/2022";"Permitted";"2 - 5";131;"No";"DOE CBO";"Child Care - Pre School";10;" 1/26/22";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection";"66 %";13;
"BronxDC36639";"BEANSTALK CHILD CARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"1465 Webster Avenue";"Bronx";10456;"718-681-7040";104902;"06/28/2023";"Permitted";"0 - 2";47;"Yes";"Corporate";"Child Care - Infants/Toddlers";3;" 1/13/22";;"80 %";5;
"BronxDC36660";"BEANSTALK CHILD CARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"950 Westchester Avenue";"Bronx";10459;"718-991-5465";104871;"06/13/2023";"Permitted";"0 - 2";40;"Yes";"Corporate";"Child Care - Infants/Toddlers";3;" 7/7/21";;"75 %";12;
